* Measurement data measured by REW V5.19
* Source: Auriculares con micrófono (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Volumen general), L, volume: 0,200
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS  With no timing reference
* Dated: 17-nov-2021 12:39:15
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Aria L3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.518	-102.4970
20.600000	91.551	-102.9169
20.900000	91.628	-103.8042
21.200001	91.706	-104.7773
21.400000	91.754	-105.4314
21.799999	91.840	-106.7381
22.000000	91.877	-107.3887
22.400000	91.944	-108.6937
22.700001	91.987	-109.6757
23.000000	92.026	-110.6578
23.299999	92.062	-111.6382
23.600000	92.096	-112.6158
24.000000	92.138	-113.9122
24.299999	92.167	-114.8757
24.700001	92.204	-116.1414
25.000000	92.230	-117.0709
25.400000	92.263	-118.2780
25.799999	92.296	-119.4471
26.200001	92.327	-120.5819
26.500000	92.350	-121.4138
26.900000	92.379	-122.4999
27.200001	92.399	-123.2970
27.600000	92.422	-124.3346
28.000000	92.442	-125.3412
28.500000	92.463	-126.5581
29.000000	92.481	-127.7402
29.500000	92.496	-128.9005
30.000000	92.508	-130.0469
30.400000	92.514	-130.9542
30.700001	92.518	-131.6278
31.100000	92.521	-132.5158
31.500000	92.524	-133.3918
32.000000	92.526	-134.4699
32.500000	92.528	-135.5286
33.000000	92.529	-136.5665
33.500000	92.530	-137.5819
34.000000	92.531	-138.5744
34.500000	92.532	-139.5444
35.000000	92.533	-140.4925
35.500000	92.532	-141.4192
36.000000	92.530	-142.3249
36.500000	92.526	-143.2102
37.000000	92.520	-144.0761
37.500000	92.513	-144.9240
38.200001	92.500	-146.0839
38.700001	92.488	-146.8944
39.500000	92.468	-148.1609
40.000000	92.454	-148.9341
40.599998	92.437	-149.8444
41.200001	92.420	-150.7356
41.799999	92.403	-151.6063
42.500000	92.382	-152.5958
43.099998	92.364	-153.4235
43.700001	92.346	-154.2327
44.400002	92.322	-155.1513
45.000000	92.301	-155.9176
45.500000	92.284	-156.5448
46.200001	92.257	-157.4093
46.799999	92.233	-158.1380
47.500000	92.204	-158.9755
48.200001	92.173	-159.8012
48.700001	92.149	-160.3784
49.400002	92.114	-161.1539
50.000000	92.086	-161.7848
50.799999	92.054	-162.5990
51.500000	92.028	-163.3084
52.200001	92.002	-164.0146
53.000000	91.971	-164.8021
53.799999	91.938	-165.5629
54.500000	91.908	-166.2100
55.200001	91.877	-166.8414
56.000000	91.841	-167.5446
