* Measurement data measured by REW V5.20.4
* Source: Auriculares con micrófono (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Volumen general), L, volume: 0,200. Timing signal peak level -33,6 dBFS, measurement signal peak level -31,3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 11-dic-2021 13:13:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Thieaudio Cable + Foam Delay -0,0705 ms (-24 mm, -0,95 in) using estimated IR delay relative to Acoustic reference on HEADPHONE L with no timing offset
* Measurement: Moondrop SSR L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	81.425	-71.9092
20.600000	81.476	-72.2749
20.900000	81.596	-73.0538
21.200001	81.719	-73.9258
21.400000	81.795	-74.5188
21.799999	81.934	-75.6989
22.000000	81.997	-76.2732
22.400000	82.122	-77.3830
22.700001	82.218	-78.1888
23.000000	82.319	-78.9911
23.299999	82.424	-79.8107
23.600000	82.528	-80.6562
24.000000	82.658	-81.8159
24.299999	82.745	-82.6838
24.700001	82.844	-83.7964
25.000000	82.910	-84.5773
25.400000	82.992	-85.5470
25.799999	83.072	-86.4648
26.200001	83.152	-87.3682
26.500000	83.213	-88.0496
26.900000	83.294	-88.9639
27.200001	83.354	-89.6486
27.600000	83.434	-90.5530
28.000000	83.513	-91.4460
28.500000	83.608	-92.5494
29.000000	83.698	-93.6339
29.500000	83.780	-94.6846
30.000000	83.859	-95.6904
30.400000	83.921	-96.4649
30.700001	83.969	-97.0325
31.100000	84.034	-97.7784
31.500000	84.099	-98.5189
32.000000	84.177	-99.4491
32.500000	84.251	-100.3951
33.000000	84.316	-101.3542
33.500000	84.375	-102.3053
34.000000	84.430	-103.2207
34.500000	84.488	-104.0875
35.000000	84.549	-104.9099
35.500000	84.609	-105.6951
36.000000	84.664	-106.4433
36.500000	84.714	-107.1573
37.000000	84.762	-107.8582
37.500000	84.812	-108.5767
38.200001	84.886	-109.6391
38.700001	84.941	-110.4172
39.500000	85.030	-111.6226
40.000000	85.085	-112.3418
40.599998	85.144	-113.1888
41.200001	85.194	-114.0348
41.799999	85.238	-114.8755
42.500000	85.285	-115.8244
43.099998	85.327	-116.5943
43.700001	85.370	-117.3305
44.400002	85.420	-118.1692
45.000000	85.461	-118.8816
45.500000	85.496	-119.4688
46.200001	85.544	-120.2721
46.799999	85.583	-120.9354
47.500000	85.623	-121.6898
48.200001	85.657	-122.4795
48.700001	85.678	-123.0980
49.400002	85.702	-124.0145
50.000000	85.721	-124.7589
50.799999	85.757	-125.5870
51.500000	85.800	-126.1878
52.200001	85.842	-126.7554
53.000000	85.881	-127.4122
53.799999	85.914	-128.0885
54.500000	85.946	-128.6974
55.200001	85.981	-129.3138
56.000000	86.021	-130.0229
57.000000	86.066	-130.9288
58.000000	86.103	-131.8267
59.000000	86.141	-132.6577
60.000000	86.178	-133.4129
60.799999	86.201	-133.9721
61.500000	86.217	-134.4418
62.200001	86.233	-134.9146
63.000000	86.253	-135.4777
64.000000	86.280	-136.2013
65.000000	86.308	-136.9027
66.000000	86.335	-137.5751
67.000000	86.362	-138.2458
68.000000	86.387	-138.9294
69.000000	86.413	-139.6215
70.000000	86.439	-140.3142
71.000000	86.455	-140.9790
72.000000	86.463	-141.5766
73.000000	86.471	-142.1104
74.000000	86.485	-142.6198
75.000000	86.502	-143.1347
76.199997	86.522	-143.7683
77.500000	86.538	-144.4605
78.800003	86.548	-145.1422
80.000000	86.556	-145.7593
81.199997	86.566	-146.3653
82.500000	86.580	-147.0023
83.800003	86.594	-147.6148
85.000000	86.605	-148.1634
86.199997	86.616	-148.6980
87.500000	86.625	-149.2589
88.500000	86.631	-149.6800
90.000000	86.638	-150.3043
91.199997	86.644	-150.8023
92.500000	86.650	-151.3423
93.800003	86.657	-151.8733
95.000000	86.665	-152.3542
96.199997	86.678	-152.8409
97.500000	86.695	-153.3665
98.800003	86.706	-153.8407
100.000000	86.702	-154.2128
101.500000	86.690	-154.6557
103.000000	86.684	-155.1369
104.400002	86.685	-155.6050
106.000000	86.687	-156.1349
107.500000	86.690	-156.6145
109.000000	86.692	-157.0719
110.599998	86.692	-157.5387
112.000000	86.692	-157.9371
113.800003	86.692	-158.4436
115.000000	86.693	-158.7809
117.199997	86.694	-159.3970
118.000000	86.693	-159.6169
120.599998	86.686	-160.3014
122.000000	86.683	-160.6505
124.099998	86.678	-161.1639
125.000000	86.676	-161.3827
126.500000	86.674	-161.7433
128.000000	86.671	-162.0948
131.500000	86.663	-162.8754
132.000000	86.662	-162.9832
134.000000	86.655	-163.4089
136.000000	86.646	-163.8303
138.000000	86.637	-164.2460
140.000000	86.627	-164.6513
143.000000	86.612	-165.2354
145.000000	86.602	-165.6049
147.500000	86.587	-166.0449
150.000000	86.570	-166.4811
152.500000	86.556	-166.9148
155.000000	86.542	-167.3310
157.500000	86.526	-167.7329
160.000000	86.510	-168.1280
162.500000	86.492	-168.5139
165.000000	86.472	-168.8816
167.500000	86.451	-169.2301
170.000000	86.429	-169.5682
172.500000	86.408	-169.8992
175.000000	86.388	-170.2218
177.500000	86.367	-170.5355
180.000000	86.345	-170.8378
182.500000	86.323	-171.1259
185.000000	86.299	-171.4025
187.500000	86.275	-171.6730
190.000000	86.251	-171.9341
192.500000	86.227	-172.1807
195.000000	86.203	-172.4143
197.500000	86.179	-172.6398
200.000000	86.155	-172.8653
203.000000	86.124	-173.1389
206.000000	86.093	-173.4027
209.000000	86.062	-173.6503
212.000000	86.031	-173.8871
214.000000	86.011	-174.0413
218.000000	85.971	-174.3378
220.000000	85.951	-174.4786
224.000000	85.910	-174.7460
227.000000	85.877	-174.9353
230.000000	85.844	-175.1139
233.000000	85.811	-175.2819
236.000000	85.779	-175.4406
240.000000	85.735	-175.6410
243.000000	85.703	-175.7846
247.000000	85.660	-175.9684
250.000000	85.628	-176.1017
254.000000	85.583	-176.2721
258.000000	85.538	-176.4269
262.000000	85.494	-176.5642
265.000000	85.461	-176.6572
269.000000	85.417	-176.7695
272.000000	85.384	-176.8464
276.000000	85.338	-176.9418
280.000000	85.294	-177.0287
285.000000	85.238	-177.1279
290.000000	85.183	-177.2160
295.000000	85.129	-177.2877
300.000000	85.076	-177.3446
304.000000	85.034	-177.3799
307.000000	85.002	-177.4003
311.000000	84.959	-177.4187
315.000000	84.915	-177.4278
320.000000	84.860	-177.4273
325.000000	84.806	-177.4111
330.000000	84.753	-177.3866
335.000000	84.701	-177.3594
340.000000	84.649	-177.3242
345.000000	84.596	-177.2780
350.000000	84.543	-177.2212
355.000000	84.489	-177.1543
360.000000	84.435	-177.0793
365.000000	84.383	-176.9951
370.000000	84.334	-176.8972
375.000000	84.285	-176.7855
382.000000	84.216	-176.6119
387.000000	84.166	-176.4780
395.000000	84.088	-176.2485
400.000000	84.039	-176.0973
406.000000	83.982	-175.9101
412.000000	83.925	-175.7162
418.000000	83.868	-175.5125
425.000000	83.802	-175.2573
431.000000	83.746	-175.0234
437.000000	83.691	-174.7809
444.000000	83.628	-174.4912
450.000000	83.574	-174.2357
