* Measurement data measured by REW V5.20.4
* Source: Auriculares con micrófono (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Volumen general), L, volume: 0,200. Timing signal peak level -35,7 dBFS, measurement signal peak level -35,9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 04-dic-2021 17:36:52
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Tin Cable + Foam Delay -0,0873 ms (-30 mm, -1,18 in) using estimated IR delay relative to Acoustic reference on HEADPHONE L with no timing offset
* Measurement: Tin T2 Plus L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.156	-93.7881
20.600000	87.187	-94.1926
20.900000	87.261	-95.0446
21.200001	87.339	-95.9703
21.400000	87.389	-96.5852
21.799999	87.483	-97.7952
22.000000	87.527	-98.3894
22.400000	87.612	-99.5708
22.700001	87.673	-100.4557
23.000000	87.731	-101.3399
23.299999	87.785	-102.2206
23.600000	87.836	-103.0933
24.000000	87.897	-104.2352
24.299999	87.939	-105.0684
24.700001	87.991	-106.1419
25.000000	88.028	-106.9185
25.400000	88.074	-107.9206
25.799999	88.119	-108.8954
26.200001	88.162	-109.8562
26.500000	88.191	-110.5735
26.900000	88.228	-111.5281
27.200001	88.253	-112.2406
27.600000	88.283	-113.1798
28.000000	88.310	-114.0964
28.500000	88.343	-115.1991
29.000000	88.376	-116.2527
29.500000	88.411	-117.2690
30.000000	88.446	-118.2634
30.400000	88.473	-119.0483
30.700001	88.491	-119.6295
31.100000	88.513	-120.3908
31.500000	88.533	-121.1338
32.000000	88.558	-122.0387
32.500000	88.584	-122.9284
33.000000	88.611	-123.8158
33.500000	88.636	-124.7035
34.000000	88.657	-125.5801
34.500000	88.674	-126.4285
35.000000	88.689	-127.2377
35.500000	88.702	-128.0076
36.000000	88.717	-128.7478
36.500000	88.732	-129.4722
37.000000	88.748	-130.1938
37.500000	88.763	-130.9189
38.200001	88.781	-131.9356
38.700001	88.792	-132.6510
39.500000	88.808	-133.7521
40.000000	88.819	-134.4068
40.599998	88.831	-135.1591
41.200001	88.841	-135.8817
41.799999	88.848	-136.5871
42.500000	88.855	-137.4069
43.099998	88.860	-138.1129
43.700001	88.869	-138.8152
44.400002	88.881	-139.6162
45.000000	88.892	-140.2811
45.500000	88.899	-140.8217
46.200001	88.907	-141.5681
46.799999	88.915	-142.2029
47.500000	88.927	-142.9166
48.200001	88.946	-143.5608
48.700001	88.962	-143.9749
49.400002	88.982	-144.5340
50.000000	88.989	-145.0413
50.799999	88.978	-145.7747
51.500000	88.957	-146.4347
52.200001	88.940	-147.0829
53.000000	88.930	-147.7979
53.799999	88.926	-148.4779
54.500000	88.923	-149.0461
55.200001	88.921	-149.6003
56.000000	88.918	-150.2240
57.000000	88.915	-150.9861
58.000000	88.909	-151.7391
59.000000	88.902	-152.4929
60.000000	88.895	-153.2116
60.799999	88.892	-153.7395
61.500000	88.890	-154.1782
62.200001	88.889	-154.6124
63.000000	88.886	-155.1108
64.000000	88.882	-155.7254
65.000000	88.876	-156.3168
66.000000	88.868	-156.8905
67.000000	88.856	-157.4553
68.000000	88.844	-158.0077
69.000000	88.833	-158.5412
70.000000	88.823	-159.0633
71.000000	88.812	-159.5856
72.000000	88.802	-160.1061
73.000000	88.791	-160.6143
74.000000	88.778	-161.1062
75.000000	88.765	-161.5866
76.199997	88.749	-162.1501
77.500000	88.732	-162.7375
78.800003	88.714	-163.3034
80.000000	88.697	-163.8145
81.199997	88.679	-164.3144
82.500000	88.661	-164.8400
83.800003	88.642	-165.3526
85.000000	88.623	-165.8149
86.199997	88.605	-166.2654
87.500000	88.585	-166.7412
88.500000	88.569	-167.0986
90.000000	88.545	-167.6220
91.199997	88.525	-168.0335
92.500000	88.504	-168.4720
93.800003	88.483	-168.8982
95.000000	88.463	-169.2767
96.199997	88.443	-169.6416
97.500000	88.423	-170.0257
98.800003	88.402	-170.4023
100.000000	88.384	-170.7453
101.500000	88.361	-171.1691
103.000000	88.339	-171.5864
104.400002	88.317	-171.9649
106.000000	88.291	-172.3801
107.500000	88.266	-172.7546
109.000000	88.242	-173.1184
110.599998	88.217	-173.4971
112.000000	88.196	-173.8250
113.800003	88.168	-174.2480
115.000000	88.150	-174.5275
117.199997	88.117	-175.0172
118.000000	88.105	-175.1867
120.599998	88.066	-175.7126
122.000000	88.044	-175.9847
124.099998	88.010	-176.3866
125.000000	87.995	-176.5566
126.500000	87.971	-176.8349
128.000000	87.946	-177.1058
131.500000	87.885	-177.7141
132.000000	87.877	-177.7986
134.000000	87.842	-178.1288
136.000000	87.809	-178.4474
138.000000	87.775	-178.7566
140.000000	87.741	-179.0522
143.000000	87.690	-179.4624
145.000000	87.656	-179.7252
147.500000	87.614	179.9447
150.000000	87.571	179.6237
152.500000	87.527	179.3275
155.000000	87.482	179.0497
157.500000	87.437	178.7804
160.000000	87.392	178.5239
162.500000	87.348	178.2808
165.000000	87.306	178.0444
167.500000	87.264	177.8125
170.000000	87.220	177.5895
172.500000	87.176	177.3780
175.000000	87.132	177.1814
177.500000	87.088	177.0013
180.000000	87.044	176.8293
182.500000	87.001	176.6604
185.000000	86.958	176.5006
187.500000	86.915	176.3549
190.000000	86.872	176.2212
192.500000	86.828	176.0949
195.000000	86.783	175.9716
197.500000	86.738	175.8512
200.000000	86.694	175.7380
203.000000	86.643	175.6160
206.000000	86.592	175.5071
209.000000	86.541	175.4083
212.000000	86.491	175.3175
214.000000	86.457	175.2610
218.000000	86.389	175.1577
220.000000	86.356	175.1120
224.000000	86.291	175.0347
227.000000	86.242	174.9877
230.000000	86.192	174.9481
233.000000	86.143	174.9153
236.000000	86.094	174.8899
240.000000	86.031	174.8689
243.000000	85.983	174.8628
247.000000	85.921	174.8648
250.000000	85.874	174.8730
254.000000	85.811	174.8925
258.000000	85.749	174.9227
262.000000	85.688	174.9616
265.000000	85.643	174.9969
269.000000	85.584	175.0526
272.000000	85.540	175.0997
276.000000	85.482	175.1682
280.000000	85.425	175.2463
285.000000	85.354	175.3578
290.000000	85.284	175.4825
295.000000	85.215	175.6211
300.000000	85.147	175.7712
304.000000	85.092	175.8986
307.000000	85.052	175.9989
311.000000	84.998	176.1407
315.000000	84.945	176.2897
320.000000	84.880	176.4807
325.000000	84.817	176.6768
330.000000	84.755	176.8835
335.000000	84.695	177.1019
340.000000	84.634	177.3248
345.000000	84.574	177.5493
350.000000	84.514	177.7852
355.000000	84.456	178.0412
360.000000	84.398	178.3106
365.000000	84.342	178.5852
370.000000	84.287	178.8628
375.000000	84.233	179.1449
382.000000	84.160	179.5509
387.000000	84.108	179.8455
395.000000	84.028	-179.6785
400.000000	83.978	-179.3721
406.000000	83.918	-178.9944
412.000000	83.860	-178.6120
418.000000	83.804	-178.2267
425.000000	83.740	-177.7670
431.000000	83.687	-177.3630
437.000000	83.635	-176.9537
444.000000	83.575	-176.4727
450.000000	83.525	-176.0577
455.000000	83.483	-175.7080
462.000000	83.426	-175.2100
468.000000	83.380	-174.7751
475.000000	83.328	-174.2610
482.000000	83.277	-173.7447
487.000000	83.241	-173.3761
494.000000	83.193	-172.8596
500.000000	83.153	-172.4155
508.000000	83.103	-171.8242
515.000000	83.061	-171.3122
522.000000	83.021	-170.8143
530.000000	82.972	-170.2759
538.000000	82.916	-169.7648
545.000000	82.855	-169.2995
552.000000	82.786	-168.7556
560.000000	82.711	-168.0004
570.000000	82.642	-166.9502
580.000000	82.598	-165.9340
590.000000	82.563	-164.9917
600.000000	82.528	-164.1012
608.000000	82.500	-163.4133
615.000000	82.474	-162.8248
622.000000	82.447	-162.2446
630.000000	82.412	-161.5767
640.000000	82.365	-160.7003
650.000000	82.320	-159.7599
660.000000	82.284	-158.7785
670.000000	82.255	-157.7878
680.000000	82.231	-156.8044
690.000000	82.209	-155.8289
700.000000	82.190	-154.8556
710.000000	82.173	-153.8811
720.000000	82.159	-152.9027
730.000000	82.147	-151.9201
740.000000	82.137	-150.9309
750.000000	82.130	-149.9329
762.000000	82.125	-148.7250
775.000000	82.125	-147.4075
788.000000	82.130	-146.0814
800.000000	82.140	-144.8511
812.000000	82.156	-143.6174
825.000000	82.180	-142.2777
838.000000	82.208	-140.9357
850.000000	82.240	-139.6975
862.000000	82.278	-138.4611
875.000000	82.325	-137.1216
885.000000	82.367	-136.0917
900.000000	82.438	-134.5570
912.000000	82.501	-133.3424
925.000000	82.576	-132.0432
938.000000	82.658	-130.7634
950.000000	82.739	-129.5954
962.000000	82.826	-128.4398
975.000000	82.925	-127.2091
988.000000	83.032	-126.0064
1000.000000	83.135	-124.9235
1015.000000	83.272	-123.6100
1030.000000	83.416	-122.3448
1044.000000	83.556	-121.2112
1060.000000	83.722	-119.9740
1075.000000	83.886	-118.8721
1090.000000	84.054	-117.8280
1106.000000	84.240	-116.7795
1120.000000	84.406	-115.9195
1138.000000	84.624	-114.8982
1150.000000	84.771	-114.2735
1172.000000	85.044	-113.2503
1180.000000	85.145	-112.9177
1206.000000	85.472	-111.9810
1220.000000	85.647	-111.5686
1241.000000	85.906	-111.0730
1250.000000	86.015	-110.9050
1265.000000	86.193	-110.6822
1280.000000	86.366	-110.5280
1315.000000	86.744	-110.4116
1320.000000	86.794	-110.4201
1340.000000	86.987	-110.5064
1360.000000	87.164	-110.6617
1380.000000	87.325	-110.8665
1400.000000	87.471	-111.1051
1430.000000	87.660	-111.4949
1450.000000	87.769	-111.7557
1475.000000	87.887	-112.0660
1500.000000	87.989	-112.3498
1525.000000	88.075	-112.5979
1550.000000	88.150	-112.8011
1575.000000	88.215	-112.9560
1600.000000	88.272	-113.0657
1625.000000	88.321	-113.1347
1650.000000	88.366	-113.1654
1675.000000	88.406	-113.1600
1700.000000	88.443	-113.1240
1725.000000	88.477	-113.0626
1750.000000	88.509	-112.9784
1775.000000	88.539	-112.8733
1800.000000	88.567	-112.7505
1825.000000	88.593	-112.6126
1850.000000	88.617	-112.4609
1875.000000	88.640	-112.2971
1900.000000	88.661	-112.1230
1925.000000	88.680	-111.9394
1950.000000	88.698	-111.7475
1975.000000	88.715	-111.5494
2000.000000	88.730	-111.3459
2030.000000	88.745	-111.0937
2060.000000	88.759	-110.8316
2090.000000	88.769	-110.5607
2120.000000	88.777	-110.2815
2140.000000	88.781	-110.0899
2180.000000	88.786	-109.6936
2200.000000	88.787	-109.4901
2240.000000	88.785	-109.0721
2270.000000	88.782	-108.7464
2300.000000	88.775	-108.4101
2330.000000	88.767	-108.0650
2360.000000	88.757	-107.7107
2400.000000	88.740	-107.2196
2430.000000	88.724	-106.8352
2470.000000	88.701	-106.3011
2500.000000	88.682	-105.8843
2540.000000	88.655	-105.3083
2580.000000	88.624	-104.7118
2620.000000	88.591	-104.0929
2650.000000	88.566	-103.6118
2690.000000	88.530	-102.9464
2720.000000	88.502	-102.4305
2760.000000	88.464	-101.7219
2800.000000	88.425	-100.9912
2850.000000	88.376	-100.0482
2900.000000	88.327	-99.0696
2950.000000	88.277	-98.0536
3000.000000	88.228	-97.0033
3040.000000	88.189	-96.1406
3070.000000	88.160	-95.4812
3110.000000	88.122	-94.5855
3150.000000	88.086	-93.6714
3200.000000	88.042	-92.5049
3250.000000	88.000	-91.3137
3300.000000	87.961	-90.1004
3350.000000	87.925	-88.8678
3400.000000	87.892	-87.6195
3450.000000	87.863	-86.3589
3500.000000	87.837	-85.0877
3550.000000	87.815	-83.8081
3600.000000	87.796	-82.5229
3650.000000	87.781	-81.2345
3700.000000	87.770	-79.9466
3750.000000	87.764	-78.6640
3820.000000	87.761	-76.8844
3870.000000	87.764	-75.6286
3950.000000	87.775	-73.6542
4000.000000	87.787	-72.4466
4060.000000	87.804	-71.0304
4120.000000	87.825	-69.6553
4180.000000	87.848	-68.3252
4250.000000	87.877	-66.8351
4310.000000	87.903	-65.6135
4370.000000	87.928	-64.4456
4440.000000	87.955	-63.1521
4500.000000	87.974	-62.1017
4550.000000	87.986	-61.2663
4620.000000	87.997	-60.1559
4680.000000	87.998	-59.2546
4750.000000	87.990	-58.2521
4820.000000	87.971	-57.2912
4870.000000	87.949	-56.6235
4940.000000	87.906	-55.7023
5000.000000	87.858	-54.9142
5080.000000	87.777	-53.8526
5150.000000	87.692	-52.9010
5220.000000	87.594	-51.9118
5300.000000	87.468	-50.7179
5380.000000	87.328	-49.4416
5450.000000	87.197	-48.2465
5520.000000	87.058	-46.9703
5600.000000	86.894	-45.4036
5700.000000	86.687	-43.2783
5800.000000	86.484	-40.9929
5900.000000	86.287	-38.5826
6000.000000	86.097	-36.0507
6080.000000	85.950	-33.9330
6150.000000	85.828	-32.0144
6220.000000	85.713	-30.0410
6300.000000	85.591	-27.7281
6400.000000	85.453	-24.7647
6500.000000	85.334	-21.7339
6600.000000	85.235	-18.6485
6700.000000	85.157	-15.5172
6800.000000	85.102	-12.3473
6900.000000	85.071	-9.1482
7000.000000	85.067	-5.9293
7100.000000	85.094	-2.7107
7200.000000	85.153	0.4751
7300.000000	85.244	3.5976
7400.000000	85.368	6.6361
7500.000000	85.525	9.5739
7620.000000	85.763	12.9333
7750.000000	86.083	16.3028
7880.000000	86.474	19.2915
8000.000000	86.898	21.5946
8120.000000	87.377	23.3149
8250.000000	87.939	24.3193
8380.000000	88.510	24.2106
8500.000000	88.995	22.9825
8620.000000	89.389	20.6655
8750.000000	89.657	17.1260
8850.000000	89.724	13.9397
9000.000000	89.582	9.0252
9120.000000	89.272	5.4926
9250.000000	88.778	2.4808
9380.000000	88.173	0.5097
9500.000000	87.564	-0.3771
9620.000000	86.946	-0.4603
9750.000000	86.301	0.1996
9880.000000	85.707	1.4596
10000.000000	85.217	3.0037
10150.000000	84.693	5.2557
10300.000000	84.273	7.6731
10440.000000	83.972	9.9170
10600.000000	83.726	12.2919
10750.000000	83.574	14.1919
10900.000000	83.478	15.6735
11060.000000	83.408	16.7535
11200.000000	83.352	17.3339
11380.000000	83.277	17.8130
11500.000000	83.244	18.1085
11720.000000	83.330	18.4953
11800.000000	83.433	18.3606
12060.000000	83.936	15.1487
12200.000000	84.147	11.1217
12410.000000	84.123	2.7986
12500.000000	83.958	-1.0805
12650.000000	83.489	-7.2388
12800.000000	82.824	-12.5144
13150.000000	80.924	-20.7581
13200.000000	80.649	-21.5672
13400.000000	79.616	-24.3176
13600.000000	78.728	-26.8075
13800.000000	78.004	-29.6367
14000.000000	77.424	-33.3081
14300.000000	76.706	-41.2299
14500.000000	76.217	-48.3575
14750.000000	75.439	-58.9658
15000.000000	74.358	-70.2293
15250.000000	72.962	-80.5532
15500.000000	71.386	-89.2162
15750.000000	69.855	-96.9466
16000.000000	68.511	-105.1457
16250.000000	67.300	-114.5390
16500.000000	66.083	-124.7921
16750.000000	64.800	-135.2808
17000.000000	63.476	-145.7863
17250.000000	62.175	-156.5387
17500.000000	60.940	-167.9568
17750.000000	59.785	179.4573
18000.000000	58.698	165.1699
18250.000000	57.635	148.7631
18500.000000	56.531	130.0634
18750.000000	55.310	109.2953
19000.000000	53.902	87.3386
19250.000000	52.276	65.9220
19500.000000	50.521	47.2608
19750.000000	48.939	33.3008
