* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 2 sweeps at -3.0 dBFS with no timing reference
* Dated: Jun 21, 2020 10:56:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ER2XR L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	93.0259	154.41
20.3000	92.9802	153.92
20.6000	92.9245	153.46
20.9000	92.8602	153.06
21.2000	92.7960	152.72
21.4000	92.7542	152.53
21.8000	92.6756	152.20
22.0000	92.6402	152.05
22.4000	92.5786	151.69
22.7000	92.5317	151.41
23.0000	92.4809	151.13
23.3000	92.4284	150.85
23.6000	92.3742	150.61
24.0000	92.3032	150.33
24.3000	92.2554	150.14
24.7000	92.1970	149.85
25.0000	92.1524	149.60
25.4000	92.0875	149.23
25.8000	92.0099	148.90
26.2000	91.9274	148.64
26.5000	91.8693	148.49
26.9000	91.7990	148.33
27.2000	91.7514	148.19
27.6000	91.6891	147.98
28.0000	91.6185	147.76
28.5000	91.5261	147.57
29.0000	91.4502	147.48
29.5000	91.4024	147.30
30.0000	91.3516	146.92
30.4000	91.2872	146.53
30.7000	91.2215	146.29
31.1000	91.1265	146.12
31.5000	91.0459	146.11
32.0000	90.9817	146.13
32.5000	90.9392	145.94
33.0000	90.8754	145.59
33.5000	90.7807	145.29
34.0000	90.6822	145.20
34.5000	90.6107	145.18
35.0000	90.5543	145.09
35.5000	90.4918	144.91
36.0000	90.4181	144.77
36.5000	90.3454	144.69
37.0000	90.2796	144.61
37.5000	90.2152	144.50
38.2000	90.1155	144.38
38.7000	90.0476	144.35
39.5000	89.9591	144.22
40.0000	89.8981	144.04
40.6000	89.8019	143.82
41.2000	89.6943	143.78
41.8000	89.6123	143.92
42.5000	89.5658	143.99
43.1000	89.5216	143.74
43.7000	89.4361	143.54
44.4000	89.3459	143.71
45.0000	89.3278	143.79
45.5000	89.2983	143.54
46.2000	89.1594	143.43
46.8000	89.0696	144.22
47.5000	89.1695	144.87
48.2000	89.2462	143.85
48.7000	89.1301	142.87
49.4000	88.8489	142.86
50.0000	88.7311	143.72
50.8000	88.7139	143.99
51.5000	88.6155	143.77
52.2000	88.5025	143.96
53.0000	88.4386	144.07
53.8000	88.3446	143.93
54.5000	88.2589	144.07
55.2000	88.2160	144.20
56.0000	88.1687	144.13
57.0000	88.0768	144.07
58.0000	87.9823	144.18
59.0000	87.8937	144.32
60.0000	87.8062	144.45
60.8000	87.7282	144.52
61.5000	87.6575	144.60
62.2000	87.5895	144.71
63.0000	87.5243	144.88
64.0000	87.4679	145.01
65.0000	87.4138	144.96
66.0000	87.3365	144.93
67.0000	87.2591	145.00
68.0000	87.1778	145.18
69.0000	87.1259	145.40
70.0000	87.0615	145.46
71.0000	86.9929	145.64
72.0000	86.9339	145.71
73.0000	86.8575	145.84
74.0000	86.8040	146.01
75.0000	86.7435	146.08
76.2000	86.6706	146.24
77.5000	86.5923	146.45
78.8000	86.5337	146.66
80.0000	86.4671	146.83
81.2000	86.4156	147.05
82.5000	86.3457	147.20
83.8000	86.2864	147.40
85.0000	86.2147	147.53
86.2000	86.1607	147.76
87.5000	86.1164	147.85
88.5000	86.0724	147.82
90.0000	85.9763	148.08
91.2000	85.9375	148.33
92.5000	85.8761	148.58
93.8000	85.8190	148.79
95.0000	85.7480	149.03
96.2000	85.7060	149.34
97.5000	85.6722	149.41
98.8000	85.6248	149.53
100.0000	85.5874	149.60
