* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 8, 2021 3:13:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Double flange R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.880554	172.6510
20.299999	88.863876	172.3456
20.600000	88.843956	172.0808
20.900000	88.822075	171.8643
21.200001	88.804825	171.6757
21.400000	88.795128	171.5629
21.799999	88.780754	171.3576
22.000000	88.777069	171.2479
22.400000	88.778435	170.9630
22.700001	88.779175	170.7072
23.000000	88.775871	170.4133
23.299999	88.767670	170.0857
23.600000	88.750839	169.7572
24.000000	88.714432	169.3611
24.299999	88.681770	169.1172
24.700001	88.638092	168.8844
25.000000	88.610466	168.7648
25.400000	88.587135	168.6210
25.799999	88.573700	168.4578
26.200001	88.564362	168.2299
26.500000	88.555908	168.0209
26.900000	88.537567	167.7395
27.200001	88.520889	167.5428
27.600000	88.499985	167.3098
28.000000	88.481697	167.0900
28.500000	88.463867	166.7639
29.000000	88.439995	166.3848
29.500000	88.404083	165.9964
30.000000	88.354965	165.6954
30.400000	88.316429	165.5297
30.700001	88.290924	165.4473
31.100000	88.264381	165.3494
31.500000	88.245125	165.2225
32.000000	88.221542	165.0150
32.500000	88.193230	164.7626
33.000000	88.156723	164.5247
33.500000	88.115433	164.3147
34.000000	88.072937	164.1415
34.500000	88.037750	163.9765
35.000000	88.006264	163.8083
35.500000	87.977013	163.6074
36.000000	87.944077	163.3790
36.500000	87.904282	163.1414
37.000000	87.861916	162.9532
37.500000	87.827354	162.8054
38.200001	87.790131	162.5658
38.700001	87.760292	162.3408
39.500000	87.704506	162.0687
40.000000	87.678452	161.9725
40.599998	87.658691	161.7828
41.200001	87.629211	161.4782
41.799999	87.576561	161.2128
42.500000	87.509430	161.1247
43.099998	87.474922	161.1089
43.700001	87.449486	160.9812
44.400002	87.402321	160.7528
45.000000	87.352516	160.6266
45.500000	87.317162	160.5522
46.200001	87.271355	160.4181
46.799999	87.226845	160.2846
47.500000	87.175278	160.1615
48.200001	87.126457	160.0457
48.700001	87.091438	159.9520
49.400002	87.043953	159.8552
50.000000	87.006302	159.7786
50.799999	86.960617	159.5991
51.500000	86.916138	159.4734
52.200001	86.873260	159.3604
53.000000	86.822708	159.1991
53.799999	86.764717	159.0644
54.500000	86.711319	158.9898
55.200001	86.662231	158.9587
56.000000	86.617706	158.9316
57.000000	86.561394	158.7650
58.000000	86.485168	158.6558
59.000000	86.422516	158.6376
60.000000	86.370010	158.5569
60.799999	86.318932	158.4384
61.500000	86.265434	158.3537
62.200001	86.210571	158.3605
63.000000	86.166183	158.4105
64.000000	86.115074	158.3053
65.000000	86.047241	158.2744
66.000000	86.001823	158.2681
67.000000	85.951256	158.1094
68.000000	85.882675	158.0143
69.000000	85.817566	158.0265
70.000000	85.758904	158.1103
71.000000	85.711906	158.1788
72.000000	85.663437	158.1932
73.000000	85.607376	158.1898
74.000000	85.550896	158.2162
75.000000	85.502274	158.2144
76.199997	85.441353	158.1392
