* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 8, 2021 4:25:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Etymotic ER2XR R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.519615	172.2501
20.299999	88.528702	172.0812
20.600000	88.540421	171.8524
20.900000	88.546860	171.5801
21.200001	88.548836	171.2831
21.400000	88.546722	171.0927
21.799999	88.537506	170.7422
22.000000	88.532677	170.5732
22.400000	88.526222	170.2006
22.700001	88.516663	169.9130
23.000000	88.500626	169.6314
23.299999	88.481232	169.3694
23.600000	88.459351	169.1472
24.000000	88.430923	168.9029
24.299999	88.413727	168.7213
24.700001	88.392395	168.4511
25.000000	88.372391	168.2276
25.400000	88.338661	167.9273
25.799999	88.297066	167.7061
26.200001	88.260384	167.5671
26.500000	88.242355	167.4814
26.900000	88.228775	167.3482
27.200001	88.222900	167.1973
27.600000	88.213699	166.9277
28.000000	88.194260	166.6233
28.500000	88.160164	166.2481
29.000000	88.122078	165.9205
29.500000	88.084244	165.6025
30.000000	88.037926	165.3163
30.400000	87.997528	165.1376
30.700001	87.967781	165.0552
31.100000	87.935722	164.9861
31.500000	87.915138	164.9056
32.000000	87.895706	164.7323
32.500000	87.869827	164.4681
33.000000	87.828545	164.2253
33.500000	87.782333	164.0670
34.000000	87.745537	163.9619
34.500000	87.722687	163.7875
35.000000	87.693237	163.5276
35.500000	87.648087	163.2781
36.000000	87.598732	163.1465
36.500000	87.564735	163.0717
37.000000	87.546379	162.9215
37.500000	87.524216	162.6413
38.200001	87.458084	162.2770
38.700001	87.406067	162.1872
39.500000	87.367218	162.1174
40.000000	87.349403	161.9434
40.599998	87.304703	161.6827
41.200001	87.250641	161.5616
41.799999	87.212517	161.5020
42.500000	87.172134	161.3342
43.099998	87.124748	161.1827
43.700001	87.079903	161.0960
44.400002	87.037125	160.9601
45.000000	86.995758	160.8069
45.500000	86.962135	160.7159
46.200001	86.928253	160.5759
46.799999	86.893875	160.3310
47.500000	86.823868	160.1400
48.200001	86.774277	160.2624
48.700001	86.778198	160.2738
49.400002	86.776596	159.8712
50.000000	86.707657	159.4953
50.799999	86.604843	159.5541
51.500000	86.584099	159.6889
52.200001	86.550247	159.4702
53.000000	86.461090	159.4748
53.799999	86.439079	159.6874
54.500000	86.425110	159.3887
55.200001	86.337433	159.1157
56.000000	86.251633	159.3653
57.000000	86.236176	159.3629
58.000000	86.156784	159.0636
59.000000	86.078621	159.1135
60.000000	86.037155	159.1045
60.799999	85.999474	158.9507
61.500000	85.947296	158.7931
62.200001	85.884995	158.7903
63.000000	85.840218	158.9075
64.000000	85.801994	158.8315
65.000000	85.734909	158.7277
66.000000	85.666840	158.7601
67.000000	85.618378	158.7999
68.000000	85.570572	158.7048
69.000000	85.510941	158.6426
70.000000	85.453056	158.6120
71.000000	85.389366	158.6563
72.000000	85.352242	158.7869
73.000000	85.317810	158.7151
74.000000	85.257088	158.7077
75.000000	85.207176	158.7923
76.199997	85.150841	158.8536
77.500000	85.095749	158.8822
78.800003	85.023972	158.8740
