* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Sep 24, 2021 3:48:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Triple flange L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.872864	-28.4124
20.299999	86.881149	-28.9299
20.600000	86.890434	-29.4995
20.900000	86.894089	-30.1167
21.200001	86.891129	-30.7754
21.400000	86.882507	-31.2107
21.799999	86.851868	-32.0236
22.000000	86.833519	-32.3908
22.400000	86.801910	-33.0642
22.700001	86.783234	-33.5115
23.000000	86.771095	-33.9468
23.299999	86.765488	-34.4081
23.600000	86.760544	-34.8948
24.000000	86.748451	-35.5734
24.299999	86.734833	-36.0882
24.700001	86.711784	-36.7463
25.000000	86.693520	-37.2128
25.400000	86.673355	-37.8258
25.799999	86.654022	-38.4327
26.200001	86.634010	-39.0571
26.500000	86.617584	-39.5331
26.900000	86.591476	-40.1465
27.200001	86.571274	-40.5914
27.600000	86.546463	-41.1687
28.000000	86.521599	-41.7404
28.500000	86.491455	-42.4718
29.000000	86.460556	-43.1874
29.500000	86.433922	-43.8964
30.000000	86.408195	-44.6100
30.400000	86.387520	-45.2047
30.700001	86.369217	-45.6485
31.100000	86.341782	-46.2270
31.500000	86.313774	-46.7859
32.000000	86.280182	-47.4436
32.500000	86.252312	-48.0972
33.000000	86.225342	-48.7572
33.500000	86.195038	-49.4307
34.000000	86.159462	-50.0856
34.500000	86.126366	-50.7194
35.000000	86.093903	-51.3235
35.500000	86.064117	-51.9187
36.000000	86.035370	-52.5142
36.500000	86.005356	-53.1321
37.000000	85.972397	-53.7451
37.500000	85.939644	-54.3391
38.200001	85.896355	-55.1375
38.700001	85.868607	-55.7241
39.500000	85.822029	-56.7007
40.000000	85.785027	-57.2824
40.599998	85.738327	-57.9140
41.200001	85.703629	-58.4921
41.799999	85.680168	-59.1115
42.500000	85.647453	-59.8956
43.099998	85.615540	-60.5531
43.700001	85.588097	-61.2223
44.400002	85.548691	-62.0779
45.000000	85.498604	-62.7786
45.500000	85.456543	-63.2706
46.200001	85.412643	-63.8886
46.799999	85.383583	-64.4673
47.500000	85.347237	-65.1709
48.200001	85.311523	-65.8658
48.700001	85.285553	-66.4069
49.400002	85.233315	-67.1647
50.000000	85.176056	-67.6827
50.799999	85.128311	-68.2442
51.500000	85.113220	-68.8111
52.200001	85.089279	-69.5355
53.000000	85.038536	-70.3437
53.799999	84.989403	-71.0463
54.500000	84.947838	-71.6827
55.200001	84.898857	-72.2805
56.000000	84.854820	-72.8293
57.000000	84.834091	-73.6683
58.000000	84.780022	-74.7115
59.000000	84.704269	-75.4805
60.000000	84.670380	-76.1507
60.799999	84.645348	-76.8713
61.500000	84.603111	-77.5504
62.200001	84.543938	-78.0967
63.000000	84.497841	-78.5084
64.000000	84.491356	-79.2408
65.000000	84.449417	-80.2106
66.000000	84.409256	-80.9823
67.000000	84.369965	-81.9871
68.000000	84.272003	-82.6344
69.000000	84.260666	-82.8812
70.000000	84.269157	-83.6814
71.000000	84.205574	-84.3672
72.000000	84.178009	-84.8319
73.000000	84.146263	-85.5533
74.000000	84.113243	-86.1689
75.000000	84.095955	-87.0847
76.199997	83.998093	-87.9420
77.500000	84.002464	-88.3981
78.800003	83.977547	-89.3883
80.000000	83.934029	-89.9503
