* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 21, 2020 4:34:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop SSP R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.359802	-143.9160
20.299999	86.429810	-144.4862
20.600000	86.491028	-145.1120
20.900000	86.535828	-145.7565
21.200001	86.564751	-146.3665
21.400000	86.576286	-146.7016
21.799999	86.596237	-147.1503
22.000000	86.615005	-147.2759
22.400000	86.691307	-147.4551
22.700001	86.777878	-147.6447
23.000000	86.874741	-148.0030
23.299999	86.960541	-148.5390
23.600000	87.016327	-149.1437
24.000000	87.035385	-149.8066
24.299999	87.028450	-150.0124
24.700001	87.039818	-149.8274
25.000000	87.096695	-149.5078
25.400000	87.248512	-149.2468
25.799999	87.434296	-149.5251
26.200001	87.579948	-150.3587
26.500000	87.635216	-151.1391
26.900000	87.638321	-152.0503
27.200001	87.614746	-152.5050
27.600000	87.590767	-152.8383
28.000000	87.594055	-153.1138
28.500000	87.608498	-153.7194
29.000000	87.576118	-154.4722
29.500000	87.504074	-154.9780
30.000000	87.451874	-155.1024
30.400000	87.453522	-155.1265
30.700001	87.474869	-155.1848
31.100000	87.520012	-155.3335
31.500000	87.585258	-155.5395
32.000000	87.703171	-155.9362
32.500000	87.841957	-156.7249
33.000000	87.931068	-157.8371
33.500000	87.940331	-158.7547
34.000000	87.943779	-159.0037
34.500000	88.051842	-158.9859
35.000000	88.237030	-159.5789
35.500000	88.345474	-161.0356
36.000000	88.269485	-162.5073
36.500000	88.069855	-162.9567
37.000000	87.932259	-162.1994
37.500000	87.963371	-161.2256
38.200001	88.115524	-161.1084
38.700001	88.147354	-161.6278
39.500000	88.112152	-162.0254
40.000000	88.122635	-162.1218
40.599998	88.155815	-162.5328
41.200001	88.161850	-163.1617
41.799999	88.140038	-163.7274
42.500000	88.107971	-164.0992
43.099998	88.121155	-164.1608
43.700001	88.197418	-164.3605
44.400002	88.277435	-165.1356
45.000000	88.271851	-165.7344
45.500000	88.279419	-165.8482
46.200001	88.381210	-166.2236
46.799999	88.410210	-167.3346
47.500000	88.252533	-167.9687
48.200001	88.226212	-167.0394
48.700001	88.386063	-167.0244
49.400002	88.468544	-168.9901
50.000000	88.204208	-170.0955
50.799999	87.968857	-168.2206
51.500000	88.211304	-167.2708
52.200001	88.322433	-168.5436
53.000000	88.177223	-168.8716
53.799999	88.246620	-168.3750
54.500000	88.289200	-169.2141
55.200001	88.160652	-169.4549
56.000000	88.184975	-168.4746
57.000000	88.421623	-169.1425
58.000000	88.428658	-170.4304
59.000000	88.450859	-170.9777
60.000000	88.486862	-171.6994
60.799999	88.497177	-172.0977
61.500000	88.523979	-172.4794
62.200001	88.511986	-173.0807
63.000000	88.403046	-173.3999
64.000000	88.335052	-172.7347
65.000000	88.393341	-172.7896
66.000000	88.340950	-173.1211
67.000000	88.361328	-173.1861
68.000000	88.348007	-174.0404
69.000000	88.268097	-174.1812
70.000000	88.317207	-174.2212
71.000000	88.337990	-174.8219
72.000000	88.308136	-175.2010
73.000000	88.259109	-175.2827
74.000000	88.272888	-175.0352
75.000000	88.319481	-175.4656
76.199997	88.260284	-175.7925
77.500000	88.293022	-176.0732
78.800003	88.288254	-176.5706
80.000000	88.248978	-177.2355
81.199997	88.272690	-176.8758
82.500000	88.241325	-178.2483
83.800003	88.265144	-176.5327
85.000000	88.380905	-178.2559
86.199997	88.322037	-177.0302
87.500000	88.356651	-178.7325
88.500000	88.189835	-177.1811
90.000000	88.321869	-178.6457
91.199997	88.081619	-177.7508
92.500000	88.136627	-178.7049
