* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 7, 2021 1:25:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Aria R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.901596	-171.2439
20.299999	90.898285	-171.6763
20.600000	90.896530	-172.0437
20.900000	90.898827	-172.3639
21.200001	90.910164	-172.6868
21.400000	90.919373	-172.9148
21.799999	90.937035	-173.3992
22.000000	90.944305	-173.6580
22.400000	90.956116	-174.2123
22.700001	90.958366	-174.6088
23.000000	90.957428	-174.9747
23.299999	90.958267	-175.3224
23.600000	90.959930	-175.6525
24.000000	90.962463	-176.0842
24.299999	90.964554	-176.4180
24.700001	90.964767	-176.8654
25.000000	90.962219	-177.1921
25.400000	90.958908	-177.6181
25.799999	90.954224	-178.0125
26.200001	90.950729	-178.4009
26.500000	90.948776	-178.6980
26.900000	90.943222	-179.0833
27.200001	90.937698	-179.3641
27.600000	90.930527	-179.7201
28.000000	90.922455	179.9432
28.500000	90.914993	179.5143
29.000000	90.906876	179.0816
29.500000	90.897232	178.6406
30.000000	90.881607	178.2278
30.400000	90.868980	177.9169
30.700001	90.859665	177.7023
31.100000	90.849121	177.4212
31.500000	90.840736	177.1259
32.000000	90.828011	176.7478
32.500000	90.812569	176.3633
33.000000	90.793602	176.0083
33.500000	90.773834	175.6725
34.000000	90.753716	175.3505
34.500000	90.737465	175.0197
35.000000	90.719238	174.6968
35.500000	90.700142	174.3849
36.000000	90.680595	174.0902
36.500000	90.660919	173.7894
37.000000	90.640923	173.4957
37.500000	90.622719	173.2055
38.200001	90.595840	172.8055
38.700001	90.574738	172.5199
39.500000	90.543236	172.1031
40.000000	90.525360	171.8621
40.599998	90.503212	171.5532
41.200001	90.478973	171.2452
41.799999	90.453568	170.9549
42.500000	90.422424	170.6460
43.099998	90.397781	170.3856
43.700001	90.373512	170.1078
44.400002	90.338715	169.7757
45.000000	90.306511	169.5325
45.500000	90.285286	169.3459
46.200001	90.259308	169.0470
46.799999	90.229607	168.7581
47.500000	90.191925	168.4863
48.200001	90.166458	168.2310
48.700001	90.149162	167.9614
49.400002	90.101028	167.5659
50.000000	90.044052	167.3998
50.799999	90.003883	167.3293
51.500000	89.994827	167.1552
52.200001	89.970108	166.8506
53.000000	89.923584	166.5809
53.799999	89.884476	166.3860
54.500000	89.849487	166.1869
55.200001	89.811592	166.0114
56.000000	89.774246	165.8421
57.000000	89.730911	165.5533
58.000000	89.676056	165.2485
59.000000	89.619926	165.0312
60.000000	89.586159	164.8232
60.799999	89.553383	164.5193
61.500000	89.507446	164.2590
62.200001	89.454826	164.1160
63.000000	89.409485	164.0537
64.000000	89.369148	163.8765
65.000000	89.315559	163.6775
66.000000	89.269814	163.5306
67.000000	89.223549	163.2690
68.000000	89.162552	163.0800
