* Measurement data measured by REW V5.20 Beta 60
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Jan 14, 2022 2:05:23 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Steel L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.009460	167.9360
20.299999	88.066437	167.8634
20.600000	88.107735	167.6289
20.900000	88.126350	167.3383
21.200001	88.132317	167.0589
21.400000	88.132523	166.9010
21.799999	88.129211	166.6243
22.000000	88.126328	166.4635
22.400000	88.111610	165.9812
22.700001	88.076401	165.5703
23.000000	88.012238	165.2066
23.299999	87.927078	164.9749
23.600000	87.835197	164.9596
24.000000	87.731049	165.2541
24.299999	87.683929	165.5622
24.700001	87.660355	165.8860
25.000000	87.653671	166.0026
25.400000	87.634094	166.0465
25.799999	87.598373	166.1496
26.200001	87.577164	166.4039
26.500000	87.587479	166.6194
26.900000	87.628952	166.7664
27.200001	87.663078	166.6797
27.600000	87.682686	166.3654
28.000000	87.657166	166.1107
28.500000	87.609390	166.1984
29.000000	87.628319	166.5770
29.500000	87.716965	166.5623
30.000000	87.770515	165.9040
30.400000	87.732346	165.2455
30.700001	87.661232	164.9520
31.100000	87.560165	164.9748
31.500000	87.504051	165.2891
32.000000	87.506714	165.5211
32.500000	87.506790	165.2032
33.000000	87.426506	164.8118
33.500000	87.307823	164.9551
34.000000	87.265121	165.5773
34.500000	87.330086	165.9289
35.000000	87.412399	165.6088
35.500000	87.430695	164.9660
36.000000	87.404182	164.5618
36.500000	87.397552	164.4113
37.000000	87.421829	164.1522
37.500000	87.425644	163.7015
38.200001	87.363152	163.4096
38.700001	87.340591	163.6535
39.500000	87.402252	163.8781
40.000000	87.425217	163.6839
40.599998	87.399666	163.4959
41.200001	87.365013	163.5557
41.799999	87.339424	163.6202
42.500000	87.296837	163.6623
43.099998	87.264648	163.7569
43.700001	87.242332	163.6917
44.400002	87.179077	163.5427
45.000000	87.127045	163.7385
45.500000	87.141113	163.9188
46.200001	87.190308	163.5446
46.799999	87.144211	162.9691
47.500000	87.046982	163.0876
48.200001	87.070778	163.6010
48.700001	87.130447	163.5853
49.400002	87.159828	163.2433
50.000000	87.159180	163.1185
50.799999	87.168442	162.8477
51.500000	87.114815	162.5410
52.200001	87.044548	162.7020
53.000000	87.033264	162.8972
53.799999	86.994774	162.7534
54.500000	86.952187	162.8953
55.200001	86.968025	162.8671
56.000000	86.933067	162.3062
57.000000	86.824608	162.3740
58.000000	86.867615	162.3047
59.000000	86.801178	161.7221
60.000000	86.778358	162.1109
60.799999	86.837135	161.8572
61.500000	86.802834	161.4594
62.200001	86.754768	161.6628
63.000000	86.816483	161.9271
64.000000	86.854576	161.0510
65.000000	86.691315	160.8208
66.000000	86.677338	161.5324
67.000000	86.710030	161.0813
68.000000	86.600494	160.8810
69.000000	86.571587	161.0948
70.000000	86.529900	160.9613
