* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 26, 2020 2:42:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sony IER-M7 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	89.6352	176.76
20.3000	89.6508	176.50
20.6000	89.6581	176.21
20.9000	89.6534	175.91
21.2000	89.6398	175.63
21.4000	89.6251	175.48
21.8000	89.5884	175.29
22.0000	89.5711	175.24
22.4000	89.5504	175.21
22.7000	89.5457	175.23
23.0000	89.5504	175.25
23.3000	89.5641	175.23
23.6000	89.5819	175.17
24.0000	89.6077	175.04
24.3000	89.6274	174.88
24.7000	89.6476	174.58
25.0000	89.6508	174.30
25.4000	89.6322	173.91
25.8000	89.5839	173.66
26.2000	89.5275	173.67
26.5000	89.5006	173.84
26.9000	89.5011	174.15
27.2000	89.5280	174.29
27.6000	89.5768	174.25
28.0000	89.6012	173.97
28.5000	89.5786	173.62
29.0000	89.5427	173.62
29.5000	89.5594	173.78
30.0000	89.6150	173.60
30.4000	89.6377	173.14
30.7000	89.6215	172.75
31.1000	89.5661	172.42
31.5000	89.5106	172.41
32.0000	89.4976	172.66
32.5000	89.5480	172.70
33.0000	89.5942	172.37
33.5000	89.5993	171.96
34.0000	89.5894	171.73
34.5000	89.5983	171.52
35.0000	89.5938	171.17
35.5000	89.5349	170.91
36.0000	89.4534	171.20
36.5000	89.4451	171.96
37.0000	89.5425	172.45
37.5000	89.6445	172.11
38.2000	89.5802	171.27
38.7000	89.4501	171.64
39.5000	89.5434	173.20
40.0000	89.7401	172.88
40.6000	89.8059	171.08
41.2000	89.6003	169.78
41.8000	89.3826	170.12
42.5000	89.3923	170.94
43.1000	89.4632	170.51
43.7000	89.4242	169.79
44.4000	89.3426	169.64
45.0000	89.3453	169.66
45.5000	89.3585	169.45
46.2000	89.3371	169.18
46.8000	89.3266	169.20
47.5000	89.3580	169.13
48.2000	89.3715	168.77
48.7000	89.3532	168.50
49.4000	89.3110	168.28
50.0000	89.2696	168.17
50.8000	89.2188	168.13
51.5000	89.2091	168.24
52.2000	89.2462	168.06
53.0000	89.2321	167.25
53.8000	89.0927	166.94
54.5000	89.0360	167.53
55.2000	89.1029	167.78
56.0000	89.1201	167.36
57.0000	89.0846	167.53
58.0000	89.1460	167.16
59.0000	89.0292	166.63
60.0000	88.9860	167.10
60.8000	89.0070	166.96
61.5000	88.9829	166.73
62.2000	88.9562	166.67
63.0000	88.9370	166.62
64.0000	88.9158	166.61
65.0000	88.9081	166.54
66.0000	88.8798	166.30
67.0000	88.8127	166.16
68.0000	88.7880	166.13
69.0000	88.7501	165.67
70.0000	88.6895	165.80
71.0000	88.8048	165.54
72.0000	88.7644	164.24
73.0000	88.6250	164.32
74.0000	88.6207	164.61
75.0000	88.5799	164.79
76.2000	88.5945	165.08
77.5000	88.5549	164.94
78.8000	88.5238	164.80
80.0000	88.4694	164.85
81.2000	88.5083	164.95
82.5000	88.4595	164.63
83.8000	88.4463	164.70
85.0000	88.2668	164.48
86.2000	88.2923	164.56
87.5000	88.0717	163.94
88.5000	88.3708	162.85
90.0000	87.3434	159.11
91.2000	87.7533	165.61
92.5000	88.0372	162.64
93.8000	88.1515	163.80
95.0000	88.0831	163.09
96.2000	88.0641	164.05
97.5000	87.9939	163.93
98.8000	87.9113	163.92
100.0000	87.8658	164.06
101.5000	87.8586	163.47
103.0000	87.8087	163.42
104.4000	87.7647	163.37
106.0000	87.8312	163.02
107.5000	87.5703	162.51
109.0000	87.6484	163.37
110.6000	87.6249	163.11
112.0000	87.6168	163.12
113.8000	87.5948	163.27
115.0000	87.5422	163.31
117.2000	87.4633	163.13
118.0000	87.4392	163.34
120.6000	87.3570	163.19
122.0000	87.3695	163.14
124.1000	87.2775	163.33
125.0000	87.2683	163.22
126.5000	87.2277	163.24
128.0000	87.1950	163.20
131.5000	87.1126	163.57
132.0000	87.0969	163.47
134.0000	86.9659	163.89
136.0000	86.9936	163.83
138.0000	86.9282	163.37
140.0000	86.9227	163.44
143.0000	86.8720	163.52
145.0000	86.7478	163.60
147.5000	86.6949	163.46
150.0000	86.6686	164.05
152.5000	86.6260	163.80
155.0000	86.5813	164.04
157.5000	86.5101	164.24
160.0000	86.3614	164.41
162.5000	86.4123	164.22
165.0000	86.4062	163.81
167.5000	86.3757	164.25
170.0000	86.3792	164.37
172.5000	86.2849	164.56
175.0000	86.1434	164.59
177.5000	86.2060	164.96
180.0000	86.1509	164.84
182.5000	86.0914	165.06
185.0000	86.0310	165.14
187.5000	85.9772	165.34
190.0000	85.9254	165.49
192.5000	85.8758	165.61
195.0000	85.8426	165.71
197.5000	85.7855	165.84
200.0000	85.6990	166.07
203.0000	85.7035	166.08
206.0000	85.6450	166.13
209.0000	85.5893	166.53
212.0000	85.5317	166.69
214.0000	85.5063	166.70
218.0000	85.4660	166.89
220.0000	85.4325	167.06
224.0000	85.3914	167.61
227.0000	85.3496	167.80
230.0000	85.3328	167.91
233.0000	85.3085	167.93
236.0000	85.2762	167.98
240.0000	85.2230	168.25
243.0000	85.2009	168.42
247.0000	85.1578	169.07
250.0000	85.1230	168.95
254.0000	85.0623	169.09
258.0000	85.0102	169.39
262.0000	84.9560	169.61
265.0000	84.9462	169.85
269.0000	84.8766	170.00
272.0000	84.8532	170.23
276.0000	84.8065	170.59
280.0000	84.7646	170.75
285.0000	84.7176	170.84
290.0000	84.6969	171.36
295.0000	84.6359	171.79
300.0000	84.5842	172.15
304.0000	84.5563	172.13
307.0000	84.5367	172.31
311.0000	84.5048	172.67
315.0000	84.4656	172.90
320.0000	84.4268	173.12
325.0000	84.3681	173.48
330.0000	84.3577	173.75
335.0000	84.3161	174.13
340.0000	84.2736	174.39
345.0000	84.2300	174.73
350.0000	84.1739	174.89
355.0000	84.1577	175.28
360.0000	84.1123	175.53
365.0000	84.0881	175.92
370.0000	84.0403	176.21
375.0000	84.0180	176.36
382.0000	84.0086	176.64
387.0000	84.0070	176.73
395.0000	83.9629	177.53
400.0000	83.8856	178.01
406.0000	83.8124	178.63
412.0000	83.8478	178.56
418.0000	83.7263	178.98
425.0000	83.7690	179.32
431.0000	83.6143	-179.91
437.0000	83.7147	-179.50
444.0000	83.6147	-179.53
450.0000	83.6571	-179.26
455.0000	83.5564	-178.58
462.0000	83.5936	-178.43
468.0000	83.5172	-178.29
475.0000	83.5008	-178.01
482.0000	83.4800	-177.71
487.0000	83.4425	-177.55
494.0000	83.3874	-177.20
500.0000	83.4326	-176.44
508.0000	83.3718	-176.24
515.0000	83.3298	-175.82
522.0000	83.2980	-175.41
530.0000	83.2636	-175.03
538.0000	83.2300	-174.65
545.0000	83.1958	-174.20
552.0000	83.1812	-173.70
560.0000	83.1560	-173.31
570.0000	83.0939	-172.53
580.0000	83.0508	-171.90
590.0000	83.0569	-171.42
600.0000	83.0017	-170.83
608.0000	82.9780	-170.30
615.0000	82.9549	-169.92
622.0000	82.9423	-169.47
630.0000	82.9315	-168.93
640.0000	82.8953	-168.26
650.0000	82.8587	-167.70
660.0000	82.9187	-166.93
670.0000	82.8149	-166.54
680.0000	82.8181	-165.99
690.0000	82.8123	-165.46
700.0000	82.7989	-164.20
710.0000	82.8051	-163.97
720.0000	82.7540	-163.31
730.0000	82.7588	-162.47
740.0000	82.7843	-161.97
750.0000	82.7419	-161.26
762.0000	82.7578	-160.53
775.0000	82.7553	-159.72
788.0000	82.7440	-158.88
800.0000	82.7362	-157.93
812.0000	82.7324	-157.08
825.0000	82.7574	-156.50
838.0000	82.7992	-155.31
850.0000	82.7994	-154.66
862.0000	82.8205	-153.72
875.0000	82.8513	-152.90
885.0000	82.8637	-152.30
900.0000	82.9098	-151.31
912.0000	82.9505	-150.58
925.0000	82.9978	-149.77
938.0000	83.0373	-149.07
950.0000	83.1009	-148.28
962.0000	83.1533	-147.59
975.0000	83.2159	-146.83
988.0000	83.2964	-146.10
1000.0000	83.4284	-145.37
1015.0000	83.4231	-144.82
1030.0000	83.4921	-144.15
1044.0000	83.5637	-143.53
1060.0000	83.6601	-142.89
1075.0000	83.7391	-142.32
1090.0000	83.8349	-141.85
1106.0000	83.9536	-141.33
1120.0000	84.0412	-140.93
1138.0000	84.1426	-140.48
1150.0000	84.2296	-140.23
1172.0000	84.3713	-139.73
1180.0000	84.4204	-139.60
1206.0000	84.5659	-139.16
1220.0000	84.6530	-138.92
1241.0000	84.7711	-138.70
1250.0000	84.8294	-138.65
1265.0000	84.9138	-138.47
1280.0000	84.9925	-138.34
1315.0000	85.1657	-138.07
1320.0000	85.1841	-137.99
1340.0000	85.2787	-137.86
1360.0000	85.3624	-137.78
1380.0000	85.4578	-137.59
1400.0000	85.5386	-137.46
1430.0000	85.6624	-137.22
1450.0000	85.7451	-137.11
1475.0000	85.8389	-136.86
1500.0000	85.9381	-136.79
1525.0000	86.0267	-136.57
1550.0000	86.1262	-136.35
1575.0000	86.2158	-136.23
1600.0000	86.3184	-136.05
1625.0000	86.4191	-135.89
1650.0000	86.5136	-135.71
1675.0000	86.6183	-135.56
1700.0000	86.7156	-135.44
1725.0000	86.8222	-135.31
1750.0000	86.9243	-135.28
1775.0000	87.0268	-135.14
1800.0000	87.1284	-134.99
1825.0000	87.2316	-135.03
1850.0000	87.3371	-135.04
1875.0000	87.4407	-134.97
1900.0000	87.5459	-134.99
1925.0000	87.6520	-135.08
1950.0000	87.7486	-135.22
1975.0000	87.8314	-135.33
2000.0000	87.8656	-135.83
2030.0000	88.0474	-135.69
2060.0000	88.1729	-135.99
2090.0000	88.2837	-136.30
2120.0000	88.3813	-136.67
2140.0000	88.4569	-136.89
2180.0000	88.5761	-137.50
2200.0000	88.6449	-137.75
