* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.970
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 26, 2021 12:26:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: BLON BL03 R 7 Oct 26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.812	-165.2040
20.299999	87.813	-165.5497
20.600000	87.818	-165.9119
20.900000	87.839	-166.3180
21.200001	87.844	-166.7708
21.400000	87.850	-167.0847
21.799999	87.867	-167.7084
22.000000	87.876	-168.0042
22.400000	87.881	-168.5520
22.700001	87.900	-168.9404
23.000000	87.926	-169.3355
23.299999	87.941	-169.7525
23.600000	87.949	-170.1868
24.000000	87.946	-170.7614
24.299999	87.932	-171.1530
24.700001	87.917	-171.5923
25.000000	87.912	-171.8667
25.400000	87.901	-172.2016
25.799999	87.897	-172.5584
26.200001	87.895	-172.9590
26.500000	87.890	-173.2729
26.900000	87.880	-173.6784
27.200001	87.866	-173.9604
27.600000	87.847	-174.3149
28.000000	87.847	-174.6744
28.500000	87.840	-175.1642
29.000000	87.833	-175.6881
29.500000	87.821	-176.2098
30.000000	87.813	-176.7075
30.400000	87.808	-177.0854
30.700001	87.802	-177.3565
31.100000	87.797	-177.7036
31.500000	87.792	-178.0420
32.000000	87.788	-178.4699
32.500000	87.783	-178.9086
33.000000	87.762	-179.3373
33.500000	87.741	-179.7360
34.000000	87.726	179.8872
34.500000	87.714	179.5077
35.000000	87.705	179.1198
35.500000	87.691	178.7419
36.000000	87.673	178.3907
36.500000	87.675	178.0613
37.000000	87.677	177.7309
37.500000	87.668	177.3801
38.200001	87.641	176.8637
38.700001	87.609	176.5133
39.500000	87.552	176.0259
40.000000	87.509	175.7296
40.599998	87.497	175.3412
41.200001	87.480	174.9432
41.799999	87.462	174.5803
42.500000	87.444	174.1866
43.099998	87.423	173.8419
43.700001	87.400	173.5106
44.400002	87.386	173.1505
45.000000	87.365	172.8165
45.500000	87.343	172.5120
46.200001	87.316	172.1176
46.799999	87.293	171.8419
47.500000	87.271	171.5011
48.200001	87.245	171.0988
48.700001	87.210	170.8349
49.400002	87.151	170.5430
50.000000	87.120	170.2890
50.799999	87.103	169.8728
51.500000	87.080	169.5260
52.200001	87.059	169.2275
53.000000	87.027	168.8486
53.799999	86.978	168.4550
54.500000	86.948	168.1873
55.200001	86.930	167.9372
56.000000	86.908	167.5997
57.000000	86.849	167.2698
58.000000	86.809	166.9321
59.000000	86.765	166.4507
60.000000	86.717	166.1029
60.799999	86.681	165.8165
61.500000	86.641	165.5479
62.200001	86.602	165.3155
63.000000	86.575	165.0630
64.000000	86.546	164.7416
65.000000	86.505	164.4200
66.000000	86.462	164.1017
67.000000	86.434	163.7794
68.000000	86.390	163.4673
69.000000	86.336	163.1772
70.000000	86.270	162.8870
71.000000	86.217	162.6390
72.000000	86.166	162.3389
73.000000	86.103	162.0849
74.000000	86.074	161.9015
75.000000	86.053	161.6359
76.199997	86.002	161.3201
77.500000	85.942	161.0182
78.800003	85.878	160.6832
80.000000	85.806	160.4330
81.199997	85.750	160.2050
82.500000	85.693	159.9410
83.800003	85.634	159.6815
85.000000	85.589	159.4601
86.199997	85.538	159.2228
87.500000	85.482	158.9641
88.500000	85.433	158.7954
90.000000	85.356	158.5613
91.199997	85.294	158.3446
92.500000	85.230	158.1808
93.800003	85.179	158.0310
95.000000	85.136	157.8026
96.199997	85.083	157.6515
97.500000	85.036	157.5030
98.800003	84.993	157.1547
100.000000	84.885	156.9151
101.500000	84.833	156.9913
103.000000	84.773	156.7212
104.400002	84.720	156.6149
106.000000	84.673	156.5439
107.500000	84.615	156.3053
109.000000	84.527	156.2014
110.599998	84.459	156.0302
112.000000	84.382	155.9193
113.800003	84.317	155.8236
115.000000	84.270	155.7244
117.199997	84.178	155.5663
118.000000	84.147	155.5426
120.599998	84.032	155.3976
122.000000	83.975	155.3174
124.099998	83.897	155.1474
125.000000	83.875	155.2151
126.500000	83.820	155.1099
128.000000	83.762	155.1168
131.500000	83.589	154.9691
132.000000	83.571	154.9683
134.000000	83.511	154.8339
136.000000	83.446	154.8313
138.000000	83.372	154.7396
140.000000	83.283	154.7322
143.000000	83.175	154.7213
145.000000	83.113	154.7792
147.500000	83.002	154.7472
150.000000	82.913	154.7197
152.500000	82.838	154.7158
155.000000	82.754	154.7534
157.500000	82.697	154.8486
160.000000	82.617	154.7616
162.500000	82.559	154.8757
165.000000	82.471	155.0101
167.500000	82.381	155.0331
170.000000	82.260	155.0733
172.500000	82.133	155.1385
175.000000	82.004	155.3080
177.500000	81.892	155.4074
180.000000	81.755	155.4803
182.500000	81.686	155.6078
185.000000	81.671	155.7656
187.500000	81.647	155.7901
190.000000	81.612	156.0287
192.500000	81.544	156.1832
195.000000	81.492	156.2828
197.500000	81.439	156.4188
200.000000	81.362	156.5535
203.000000	81.262	156.6964
206.000000	81.168	156.9093
209.000000	81.101	157.1664
212.000000	81.002	157.3731
214.000000	80.943	157.4960
218.000000	80.849	157.7603
220.000000	80.791	157.8996
224.000000	80.673	158.1265
227.000000	80.613	158.3846
230.000000	80.536	158.6914
233.000000	80.468	158.8558
236.000000	80.413	159.1524
240.000000	80.319	159.4970
243.000000	80.247	159.7247
247.000000	80.183	159.9644
250.000000	80.104	160.3814
254.000000	80.001	160.6830
258.000000	79.913	160.9952
262.000000	79.848	161.4285
265.000000	79.772	161.6217
269.000000	79.690	162.0857
272.000000	79.630	162.3825
276.000000	79.557	162.7423
280.000000	79.472	163.1128
285.000000	79.376	163.5606
290.000000	79.311	163.9763
295.000000	79.204	164.5726
300.000000	79.145	165.1352
304.000000	79.049	165.3750
307.000000	79.008	165.6941
311.000000	78.955	166.1317
315.000000	78.914	166.5026
320.000000	78.831	166.9593
325.000000	78.755	167.5018
330.000000	78.675	167.9720
335.000000	78.614	168.5417
340.000000	78.532	169.1019
345.000000	78.434	169.5750
350.000000	78.384	170.0680
355.000000	78.327	170.6642
360.000000	78.265	171.1789
365.000000	78.219	171.6183
370.000000	78.160	172.1804
375.000000	78.084	172.6833
382.000000	78.010	173.5161
387.000000	77.956	173.9857
395.000000	77.868	174.8287
400.000000	77.802	175.3439
406.000000	77.741	175.9266
412.000000	77.678	176.7107
418.000000	77.598	177.1179
425.000000	77.565	178.0362
431.000000	77.514	178.5211
437.000000	77.461	179.2198
444.000000	77.392	-179.9883
450.000000	77.349	-179.3843
455.000000	77.302	-178.8782
462.000000	77.252	-178.0231
468.000000	77.200	-177.5337
475.000000	77.156	-176.6638
482.000000	77.113	-176.0675
487.000000	77.063	-175.4587
494.000000	77.022	-174.8199
500.000000	76.962	-173.9497
508.000000	76.935	-173.3443
