* Measurement data measured by REW V5.20
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 6, 2021 2:17:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCZ Plume L Aug 6
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.600	-140.7544
20.299999	84.635	-141.3827
20.600000	84.671	-141.9221
20.900000	84.730	-142.4188
21.200001	84.788	-142.9650
21.400000	84.834	-143.4013
21.799999	84.925	-144.4399
22.000000	84.958	-145.0069
22.400000	84.972	-146.0864
22.700001	84.971	-146.7094
23.000000	84.972	-147.0950
23.299999	84.983	-147.2964
23.600000	85.021	-147.4327
24.000000	85.111	-147.7242
24.299999	85.185	-148.1264
24.700001	85.277	-148.8795
25.000000	85.326	-149.5014
25.400000	85.352	-150.2593
25.799999	85.366	-150.8607
26.200001	85.386	-151.3432
26.500000	85.407	-151.6743
26.900000	85.441	-152.1081
27.200001	85.463	-152.4309
27.600000	85.493	-152.8610
28.000000	85.542	-153.3191
28.500000	85.593	-153.9827
29.000000	85.632	-154.7158
29.500000	85.653	-155.4001
30.000000	85.680	-155.9773
30.400000	85.712	-156.4157
30.700001	85.737	-156.7688
31.100000	85.771	-157.2822
31.500000	85.794	-157.8113
32.000000	85.817	-158.4275
32.500000	85.842	-158.9843
33.000000	85.860	-159.5431
33.500000	85.880	-160.1381
34.000000	85.897	-160.7351
34.500000	85.910	-161.2867
35.000000	85.927	-161.7894
35.500000	85.947	-162.2720
36.000000	85.967	-162.7575
36.500000	86.003	-163.2492
37.000000	86.034	-163.7401
37.500000	86.052	-164.2240
38.200001	86.067	-164.8969
38.700001	86.069	-165.3873
39.500000	86.056	-166.1703
40.000000	86.033	-166.6290
40.599998	86.043	-167.1497
41.200001	86.056	-167.6676
41.799999	86.071	-168.1859
42.500000	86.085	-168.7724
43.099998	86.090	-169.2630
43.700001	86.094	-169.7365
44.400002	86.111	-170.2596
45.000000	86.118	-170.7244
45.500000	86.120	-171.1448
46.200001	86.125	-171.7212
46.799999	86.125	-172.1516
47.500000	86.130	-172.6578
48.200001	86.131	-173.2229
48.700001	86.113	-173.5978
49.400002	86.078	-174.0264
50.000000	86.070	-174.3894
50.799999	86.085	-174.9573
51.500000	86.088	-175.4518
52.200001	86.091	-175.9144
53.000000	86.079	-176.4422
53.799999	86.057	-176.9343
54.500000	86.057	-177.3500
55.200001	86.057	-177.7742
56.000000	86.055	-178.2134
57.000000	86.047	-178.7606
58.000000	86.030	-179.4295
59.000000	86.009	179.9337
60.000000	85.997	179.3592
60.799999	85.980	178.9047
61.500000	85.960	178.5166
62.200001	85.943	178.1511
