* Measurement data measured by REW V5.20
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2021 3:28:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Heart Mirror R 2 Aug 25
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.687	-143.7126
20.299999	78.738	-144.2662
20.600000	78.772	-144.8494
20.900000	78.800	-145.3912
21.200001	78.804	-145.8295
21.400000	78.813	-146.0615
21.799999	78.859	-146.4402
22.000000	78.892	-146.6263
22.400000	78.960	-147.0784
22.700001	79.024	-147.5135
23.000000	79.085	-148.0143
23.299999	79.124	-148.5417
23.600000	79.152	-149.0680
24.000000	79.173	-149.7412
24.299999	79.178	-150.2144
24.700001	79.182	-150.7806
25.000000	79.184	-151.1278
25.400000	79.180	-151.4606
25.799999	79.197	-151.6874
26.200001	79.247	-151.9499
26.500000	79.297	-152.2652
26.900000	79.361	-152.8862
27.200001	79.384	-153.4506
27.600000	79.381	-154.1889
28.000000	79.365	-154.7417
28.500000	79.343	-155.1090
29.000000	79.365	-155.3492
29.500000	79.413	-155.7251
30.000000	79.456	-156.2348
30.400000	79.477	-156.6102
30.700001	79.489	-156.8322
31.100000	79.514	-157.0831
31.500000	79.548	-157.3614
32.000000	79.589	-157.8222
32.500000	79.609	-158.3349
33.000000	79.600	-158.7480
33.500000	79.596	-159.0262
34.000000	79.614	-159.2708
34.500000	79.645	-159.5845
35.000000	79.678	-159.9837
35.500000	79.703	-160.4403
36.000000	79.715	-160.9231
36.500000	79.729	-161.3795
37.000000	79.730	-161.7305
37.500000	79.726	-161.9505
38.200001	79.742	-162.2012
38.700001	79.760	-162.4772
39.500000	79.763	-163.0444
40.000000	79.744	-163.3668
40.599998	79.759	-163.7178
41.200001	79.774	-164.0843
41.799999	79.783	-164.4251
42.500000	79.795	-164.7201
43.099998	79.812	-164.9716
43.700001	79.830	-165.3114
44.400002	79.844	-165.7326
45.000000	79.838	-166.0205
45.500000	79.839	-166.2485
46.200001	79.855	-166.6355
46.799999	79.853	-166.9856
47.500000	79.841	-167.3072
48.200001	79.842	-167.5850
48.700001	79.836	-167.8067
49.400002	79.810	-168.1114
50.000000	79.800	-168.3081
50.799999	79.832	-168.5461
51.500000	79.867	-168.8371
52.200001	79.893	-169.1454
53.000000	79.910	-169.4521
53.799999	79.920	-169.8491
54.500000	79.916	-170.2096
55.200001	79.903	-170.4056
56.000000	79.905	-170.5545
57.000000	79.889	-170.8865
58.000000	79.850	-171.2408
59.000000	79.833	-171.4230
60.000000	79.900	-171.8300
60.799999	79.893	-172.7194
61.500000	79.796	-173.0798
62.200001	79.760	-172.7449
63.000000	79.850	-172.6746
64.000000	79.890	-173.3095
65.000000	79.876	-173.3876
66.000000	79.893	-173.7212
67.000000	79.854	-173.8886
68.000000	79.887	-173.8654
69.000000	79.890	-174.5782
70.000000	79.803	-174.9157
71.000000	79.809	-174.9879
72.000000	79.811	-175.3652
73.000000	79.817	-175.5088
74.000000	79.853	-175.8258
75.000000	79.857	-175.9481
76.199997	79.887	-176.1561
77.500000	79.830	-176.4987
78.800003	79.804	-176.5656
80.000000	79.765	-176.8863
81.199997	79.749	-176.9947
82.500000	79.771	-177.5068
83.800003	79.726	-177.8319
85.000000	79.749	-177.9680
86.199997	79.732	-178.2040
87.500000	79.750	-178.2828
88.500000	79.748	-178.6199
90.000000	79.676	-178.8650
91.199997	79.670	-178.9145
92.500000	79.651	-179.3134
93.800003	79.642	-179.4026
95.000000	79.652	-179.8124
96.199997	79.645	-179.8022
97.500000	79.680	179.7784
98.800003	79.655	179.9306
100.000000	79.707	179.4279
101.500000	79.582	178.9627
103.000000	79.475	179.2525
104.400002	79.557	179.4041
106.000000	79.512	178.7977
107.500000	79.550	178.5547
109.000000	79.533	178.1773
110.599998	79.535	177.8190
112.000000	79.486	177.8344
113.800003	79.447	177.8405
115.000000	79.460	178.1806
117.199997	79.455	177.2587
118.000000	79.420	177.1710
120.599998	79.345	177.0827
122.000000	79.383	176.8802
124.099998	79.350	176.5214
125.000000	79.362	176.5864
126.500000	79.369	176.4223
128.000000	79.306	176.1921
131.500000	79.233	175.9531
132.000000	79.226	175.9583
134.000000	79.255	175.7816
136.000000	79.219	175.5686
138.000000	79.218	175.2220
140.000000	79.136	175.2674
143.000000	79.118	175.0354
145.000000	79.089	174.7255
147.500000	79.081	174.6686
150.000000	79.038	174.5782
152.500000	79.023	174.4528
155.000000	78.974	174.1328
157.500000	78.959	174.0586
160.000000	78.963	173.8128
162.500000	78.975	173.7292
165.000000	78.928	173.8702
167.500000	78.920	173.7072
170.000000	78.781	173.4880
172.500000	78.762	173.1022
175.000000	78.679	173.0232
177.500000	78.578	173.2936
180.000000	78.480	173.0560
182.500000	78.448	172.9430
185.000000	78.474	172.8358
187.500000	78.501	172.7332
190.000000	78.514	172.7184
192.500000	78.481	172.6182
195.000000	78.460	172.6493
197.500000	78.490	172.6255
200.000000	78.473	172.2299
203.000000	78.384	172.4959
206.000000	78.303	172.3394
209.000000	78.287	172.2599
212.000000	78.233	172.3901
214.000000	78.198	172.1626
218.000000	78.151	172.1314
220.000000	78.103	172.0887
224.000000	78.062	172.0748
227.000000	78.052	171.9858
230.000000	78.037	172.1935
233.000000	78.005	172.4071
236.000000	77.964	172.1109
240.000000	77.873	172.0457
243.000000	77.866	172.1064
247.000000	77.796	171.9841
250.000000	77.797	172.1595
254.000000	77.730	172.1357
258.000000	77.660	172.0068
262.000000	77.628	172.4399
265.000000	77.583	172.2994
269.000000	77.563	172.4221
272.000000	77.495	172.2740
276.000000	77.472	172.7115
280.000000	77.437	172.4230
285.000000	77.362	172.5602
290.000000	77.310	172.9543
295.000000	77.242	172.9589
300.000000	77.212	173.4151
304.000000	77.194	173.1905
307.000000	77.143	173.1908
311.000000	77.148	173.3364
315.000000	77.117	173.3716
320.000000	77.013	173.8741
325.000000	76.980	173.8981
330.000000	76.971	173.9114
335.000000	76.911	174.2395
340.000000	76.874	174.2634
345.000000	76.775	174.5618
350.000000	76.731	174.7683
355.000000	76.719	174.9791
360.000000	76.691	175.3105
365.000000	76.632	175.5717
370.000000	76.603	175.8821
375.000000	76.574	175.8161
382.000000	76.516	176.2243
387.000000	76.463	176.3433
395.000000	76.383	176.8008
400.000000	76.362	177.1187
406.000000	76.315	177.2761
412.000000	76.279	177.7844
418.000000	76.220	177.8965
425.000000	76.183	178.2903
431.000000	76.153	178.6166
437.000000	76.122	179.0565
444.000000	76.088	179.3272
450.000000	76.024	179.6049
455.000000	76.040	179.8292
462.000000	75.954	-179.5674
468.000000	75.926	-179.3253
475.000000	75.908	-178.9622
482.000000	75.852	-178.2314
487.000000	75.827	-178.2612
494.000000	75.775	-177.5655
500.000000	75.764	-177.3097
508.000000	75.741	-177.0546
515.000000	75.703	-176.4312
522.000000	75.669	-175.9879
530.000000	75.636	-175.6067
538.000000	75.616	-174.9707
545.000000	75.571	-174.5473
552.000000	75.515	-174.0664
560.000000	75.487	-173.4766
570.000000	75.361	-172.7112
580.000000	75.423	-171.7762
590.000000	75.400	-171.1093
600.000000	75.348	-170.4495
608.000000	75.373	-169.9177
615.000000	75.353	-169.4089
622.000000	75.351	-168.9138
630.000000	75.299	-168.1576
640.000000	75.281	-167.5026
650.000000	75.260	-166.7769
660.000000	75.190	-165.8353
670.000000	75.188	-165.2921
680.000000	75.166	-163.9767
690.000000	75.169	-162.6691
700.000000	75.262	-161.4898
710.000000	75.395	-160.8002
720.000000	75.449	-160.4520
730.000000	75.467	-159.9910
740.000000	75.478	-159.4698
750.000000	75.479	-158.8408
762.000000	75.506	-158.1425
775.000000	75.538	-157.2718
788.000000	75.526	-156.1640
800.000000	75.567	-155.3279
812.000000	75.592	-154.3906
825.000000	75.629	-153.3291
838.000000	75.675	-152.4818
850.000000	75.734	-151.4264
862.000000	75.777	-150.6520
875.000000	75.831	-149.6843
885.000000	75.892	-148.8617
900.000000	75.959	-147.7773
912.000000	76.035	-146.7538
925.000000	76.130	-145.8749
938.000000	76.224	-145.1274
950.000000	76.309	-144.1400
962.000000	76.403	-143.6207
975.000000	76.527	-142.7719
988.000000	76.626	-142.0412
1000.000000	76.794	-140.9291
1015.000000	76.889	-140.4686
1030.000000	76.996	-139.6399
1044.000000	77.125	-138.9693
1060.000000	77.304	-138.2586
1075.000000	77.448	-137.6530
1090.000000	77.584	-137.1491
1106.000000	77.751	-136.4957
1120.000000	77.914	-136.1805
1138.000000	78.133	-135.7156
1150.000000	78.233	-135.2369
1172.000000	78.474	-134.9362
1180.000000	78.561	-134.6946
1206.000000	78.854	-134.4167
1220.000000	78.987	-134.3727
1241.000000	79.194	-134.2068
1250.000000	79.289	-134.0356
1265.000000	79.443	-134.1208
1280.000000	79.578	-134.2032
1315.000000	79.917	-134.3247
1320.000000	79.942	-134.3149
1340.000000	80.132	-134.5185
1360.000000	80.289	-134.7321
1380.000000	80.464	-134.8725
1400.000000	80.617	-135.2773
1430.000000	80.865	-135.5320
1450.000000	80.996	-135.8670
1475.000000	81.197	-136.2693
1500.000000	81.414	-136.7113
1525.000000	81.629	-137.0867
1550.000000	81.845	-137.5527
1575.000000	82.084	-137.9056
1600.000000	82.311	-138.3209
1625.000000	82.440	-138.7656
1650.000000	82.458	-139.1508
1675.000000	82.387	-139.6862
1700.000000	82.330	-140.0920
1725.000000	82.342	-140.5748
1750.000000	82.389	-140.9737
1775.000000	82.506	-141.4926
1800.000000	82.660	-141.9752
1825.000000	82.793	-142.4798
1850.000000	82.938	-142.8690
1875.000000	83.085	-143.4818
1900.000000	83.208	-143.9706
1925.000000	83.332	-144.5843
1950.000000	83.456	-145.2036
1975.000000	83.586	-145.7423
2000.000000	83.661	-146.2001
2030.000000	83.814	-147.0704
2060.000000	83.922	-147.8648
2090.000000	84.013	-148.6431
2120.000000	84.095	-149.3640
2140.000000	84.151	-149.8820
2180.000000	84.240	-150.9017
2200.000000	84.283	-151.4633
2240.000000	84.369	-152.4637
2270.000000	84.426	-153.2656
2300.000000	84.473	-154.0553
2330.000000	84.519	-154.7726
2360.000000	84.528	-155.4672
2400.000000	84.557	-156.3701
2430.000000	84.566	-157.0331
2470.000000	84.576	-157.9675
2500.000000	84.563	-158.5606
2540.000000	84.572	-159.3215
2580.000000	84.550	-160.0063
2620.000000	84.525	-160.6069
2650.000000	84.492	-161.0631
2690.000000	84.480	-161.6222
2720.000000	84.456	-161.9998
2760.000000	84.430	-162.4683
