* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.530
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Feb 3, 2022 2:15:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JVC FD02 R 2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.490	-163.0540
20.299999	83.496	-163.7196
20.600000	83.488	-164.4061
20.900000	83.479	-165.0610
21.200001	83.447	-165.6368
21.400000	83.432	-165.9728
21.799999	83.426	-166.5734
22.000000	83.431	-166.8683
22.400000	83.440	-167.5158
22.700001	83.458	-168.0705
23.000000	83.469	-168.6589
23.299999	83.458	-169.2247
23.600000	83.437	-169.7236
24.000000	83.405	-170.2541
24.299999	83.386	-170.5783
24.700001	83.385	-170.9966
25.000000	83.395	-171.3566
25.400000	83.395	-171.9225
25.799999	83.382	-172.5368
26.200001	83.359	-173.1181
26.500000	83.338	-173.5053
26.900000	83.315	-173.9702
27.200001	83.296	-174.3129
27.600000	83.270	-174.7993
28.000000	83.251	-175.3182
28.500000	83.204	-175.9347
29.000000	83.156	-176.4229
29.500000	83.120	-176.8021
30.000000	83.113	-177.2026
30.400000	83.114	-177.6107
30.700001	83.109	-177.9681
31.100000	83.093	-178.4679
31.500000	83.062	-178.9338
32.000000	83.019	-179.4046
32.500000	82.986	-179.7731
33.000000	82.956	179.8558
33.500000	82.933	179.4026
34.000000	82.906	178.8872
34.500000	82.864	178.4082
35.000000	82.822	178.0362
35.500000	82.786	177.7516
36.000000	82.761	177.4740
36.500000	82.758	177.1522
37.000000	82.746	176.8001
37.500000	82.718	176.4602
38.200001	82.665	176.0375
38.700001	82.621	175.7585
39.500000	82.542	175.3236
40.000000	82.480	175.0640
40.599998	82.446	174.7661
41.200001	82.415	174.4577
41.799999	82.387	174.1111
42.500000	82.345	173.6854
43.099998	82.297	173.3692
43.700001	82.252	173.1077
44.400002	82.217	172.8139
45.000000	82.176	172.5666
45.500000	82.143	172.3849
46.200001	82.118	172.1238
46.799999	82.092	171.8401
47.500000	82.041	171.5381
48.200001	81.992	171.3864
48.700001	81.962	171.2912
49.400002	81.910	171.0248
50.000000	81.856	170.7537
50.799999	81.799	170.5543
51.500000	81.767	170.4400
52.200001	81.740	170.2450
53.000000	81.688	170.0039
53.799999	81.632	169.7792
54.500000	81.597	169.5747
55.200001	81.562	169.4049
56.000000	81.527	169.2551
57.000000	81.470	169.0812
58.000000	81.405	168.8456
59.000000	81.338	168.7119
60.000000	81.304	168.6038
60.799999	81.256	168.3711
61.500000	81.193	168.2955
62.200001	81.156	168.3116
63.000000	81.140	168.1764
64.000000	81.098	167.9542
65.000000	81.047	167.8977
66.000000	81.017	167.7882
67.000000	80.990	167.5571
68.000000	80.932	167.4214
69.000000	80.867	167.3576
70.000000	80.787	167.3605
71.000000	80.748	167.4343
72.000000	80.710	167.2489
73.000000	80.644	167.1479
74.000000	80.618	167.1125
75.000000	80.589	167.0379
76.199997	80.552	167.0151
77.500000	80.487	166.9245
78.800003	80.439	166.9979
80.000000	80.383	166.9445
81.199997	80.346	166.8972
82.500000	80.274	166.8203
83.800003	80.245	166.9212
85.000000	80.207	166.7975
86.199997	80.162	166.8381
87.500000	80.120	166.8369
88.500000	80.082	166.8555
90.000000	80.018	166.8812
91.199997	79.970	166.9055
92.500000	79.939	166.8742
93.800003	79.886	166.8943
95.000000	79.873	166.9187
96.199997	79.832	166.9185
97.500000	79.803	167.0162
98.800003	79.763	167.0167
100.000000	79.703	167.0277
101.500000	79.658	167.1530
103.000000	79.608	167.1538
104.400002	79.593	167.2661
106.000000	79.568	167.3112
107.500000	79.530	167.3400
109.000000	79.479	167.4240
110.599998	79.425	167.5402
112.000000	79.386	167.6031
113.800003	79.341	167.7121
115.000000	79.312	167.7838
117.199997	79.282	167.9157
118.000000	79.263	167.9874
120.599998	79.178	168.0954
122.000000	79.162	168.1251
124.099998	79.146	168.4309
125.000000	79.136	168.3671
126.500000	79.110	168.4470
128.000000	79.047	168.5416
131.500000	78.964	168.6591
132.000000	78.950	168.7114
134.000000	78.926	168.9106
136.000000	78.922	169.0637
138.000000	78.872	169.1289
140.000000	78.831	169.2701
143.000000	78.787	169.5278
145.000000	78.758	169.6726
147.500000	78.715	169.8768
150.000000	78.665	170.0309
152.500000	78.646	170.2491
155.000000	78.636	170.3835
157.500000	78.621	170.4923
160.000000	78.591	170.7807
162.500000	78.568	170.9196
165.000000	78.546	171.1607
167.500000	78.508	171.3589
170.000000	78.465	171.4435
172.500000	78.359	171.6848
175.000000	78.290	171.7326
177.500000	78.216	171.9370
180.000000	78.154	172.1354
182.500000	78.126	172.2875
185.000000	78.164	172.4130
187.500000	78.195	172.6120
190.000000	78.208	172.8021
192.500000	78.196	172.9650
195.000000	78.195	173.1306
197.500000	78.178	173.2979
200.000000	78.149	173.5331
203.000000	78.105	173.6723
206.000000	78.074	173.8720
209.000000	78.053	174.0758
212.000000	78.014	174.2535
214.000000	77.976	174.5217
218.000000	77.967	174.7126
220.000000	77.945	174.8683
224.000000	77.898	175.1055
227.000000	77.883	175.3174
230.000000	77.863	175.4717
233.000000	77.840	175.6132
236.000000	77.829	175.8523
240.000000	77.823	176.0775
243.000000	77.800	176.3420
247.000000	77.792	176.5573
250.000000	77.775	176.7650
254.000000	77.719	177.1569
