* Measurement data measured by REW V5.20.3
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 21, 2021 1:53:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KB Ear Aurora R Oct 21
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.357	-138.4057
20.299999	84.422	-139.0742
20.600000	84.476	-139.8121
20.900000	84.525	-140.6002
21.200001	84.536	-141.3808
21.400000	84.537	-141.8452
21.799999	84.534	-142.5596
22.000000	84.536	-142.7881
22.400000	84.554	-143.0196
22.700001	84.616	-143.1192
23.000000	84.711	-143.3079
23.299999	84.809	-143.6749
23.600000	84.900	-144.2220
24.000000	84.987	-145.1304
24.299999	85.020	-145.8099
24.700001	85.047	-146.5663
25.000000	85.067	-146.9934
25.400000	85.095	-147.4425
25.799999	85.140	-147.8854
26.200001	85.194	-148.3967
26.500000	85.232	-148.8134
26.900000	85.278	-149.3737
27.200001	85.306	-149.7866
27.600000	85.343	-150.3497
28.000000	85.392	-150.9666
28.500000	85.429	-151.8037
29.000000	85.447	-152.5992
29.500000	85.456	-153.2626
30.000000	85.482	-153.8360
30.400000	85.511	-154.2997
30.700001	85.532	-154.6667
31.100000	85.557	-155.1678
31.500000	85.578	-155.6600
32.000000	85.603	-156.2516
32.500000	85.628	-156.8333
33.000000	85.638	-157.4047
33.500000	85.647	-157.9389
34.000000	85.665	-158.4351
34.500000	85.691	-158.9391
35.000000	85.720	-159.4832
35.500000	85.741	-160.0403
36.000000	85.754	-160.5604
36.500000	85.784	-161.0372
37.000000	85.815	-161.5089
37.500000	85.835	-162.0005
38.200001	85.844	-162.6870
38.700001	85.841	-163.1468
39.500000	85.829	-163.8625
40.000000	85.807	-164.3153
40.599998	85.814	-164.8410
41.200001	85.820	-165.3265
41.799999	85.834	-165.7926
42.500000	85.853	-166.3603
43.099998	85.860	-166.8835
43.700001	85.861	-167.4117
44.400002	85.864	-167.9760
45.000000	85.858	-168.4141
45.500000	85.855	-168.7850
46.200001	85.863	-169.3250
46.799999	85.862	-169.7588
47.500000	85.864	-170.2423
48.200001	85.869	-170.8023
48.700001	85.851	-171.2232
49.400002	85.800	-171.6958
50.000000	85.777	-171.9911
50.799999	85.791	-172.4516
51.500000	85.795	-172.9412
52.200001	85.791	-173.3700
53.000000	85.783	-173.8570
53.799999	85.758	-174.4174
54.500000	85.743	-174.7999
55.200001	85.749	-175.1557
56.000000	85.750	-175.7588
57.000000	85.679	-176.2725
58.000000	85.671	-176.5345
59.000000	85.664	-177.3344
60.000000	85.602	-177.7615
60.799999	85.595	-177.9768
61.500000	85.588	-178.3862
62.200001	85.562	-178.7974
63.000000	85.544	-179.1785
64.000000	85.525	-179.6504
65.000000	85.499	-179.9908
66.000000	85.495	179.5431
67.000000	85.472	179.0207
68.000000	85.444	178.7404
69.000000	85.428	178.3488
70.000000	85.377	177.8724
71.000000	85.334	177.5584
72.000000	85.305	177.2102
73.000000	85.272	176.8031
74.000000	85.250	176.4023
75.000000	85.231	176.0846
76.199997	85.206	175.6581
77.500000	85.154	175.2458
78.800003	85.119	174.8347
80.000000	85.063	174.4157
81.199997	85.022	174.0383
82.500000	84.967	173.6288
83.800003	84.930	173.3063
85.000000	84.900	172.9132
86.199997	84.856	172.6220
87.500000	84.825	172.3012
88.500000	84.789	172.0229
90.000000	84.726	171.6503
91.199997	84.665	171.2900
92.500000	84.612	171.0730
93.800003	84.571	170.7601
95.000000	84.546	170.4595
96.199997	84.500	170.1849
97.500000	84.470	169.9774
98.800003	84.412	169.8293
100.000000	84.401	169.5882
101.500000	84.293	169.0481
103.000000	84.235	168.9238
104.400002	84.178	168.6699
106.000000	84.135	168.2934
107.500000	84.064	168.1334
109.000000	84.006	167.8510
110.599998	83.935	167.5859
112.000000	83.867	167.4144
113.800003	83.790	167.2158
115.000000	83.735	166.9212
117.199997	83.642	167.0394
118.000000	83.608	166.7953
120.599998	83.467	166.5447
122.000000	83.336	166.4509
124.099998	83.261	166.3528
125.000000	83.197	166.4015
126.500000	83.103	166.6808
128.000000	83.003	167.0781
131.500000	82.905	168.6751
132.000000	82.907	169.0155
134.000000	83.033	169.2993
136.000000	83.163	169.4651
138.000000	83.204	168.8727
140.000000	83.184	168.1906
143.000000	83.167	167.2684
145.000000	83.110	167.0055
147.500000	83.019	166.4893
150.000000	82.926	166.2090
152.500000	82.850	166.0094
155.000000	82.776	165.9113
157.500000	82.704	165.7437
160.000000	82.630	165.4831
162.500000	82.571	165.4542
165.000000	82.486	165.4368
167.500000	82.410	165.4032
170.000000	82.311	165.5028
172.500000	82.181	165.4629
175.000000	82.044	165.4183
177.500000	81.916	165.3150
180.000000	81.806	165.3162
182.500000	81.748	165.5537
185.000000	81.701	165.5390
187.500000	81.698	165.6605
190.000000	81.658	165.7845
192.500000	81.601	165.8278
195.000000	81.566	165.9689
197.500000	81.518	166.2468
200.000000	81.433	166.6242
203.000000	81.394	166.2866
206.000000	81.318	166.2068
209.000000	81.249	166.4960
212.000000	81.154	166.5669
214.000000	81.093	166.6275
218.000000	81.021	166.8984
220.000000	80.947	167.1139
224.000000	80.857	167.4674
227.000000	80.794	167.7146
230.000000	80.756	168.0139
233.000000	80.713	168.1600
236.000000	80.691	168.3590
240.000000	80.635	168.5233
243.000000	80.590	168.5795
247.000000	80.553	168.5598
250.000000	80.453	168.7080
254.000000	80.378	168.9156
258.000000	80.297	169.0093
262.000000	80.208	169.3363
265.000000	80.155	169.4861
269.000000	80.054	169.6498
272.000000	80.003	169.9676
276.000000	79.897	170.1723
280.000000	79.831	170.5618
285.000000	79.698	170.9683
290.000000	79.627	171.5727
295.000000	79.497	172.3724
300.000000	79.457	173.2970
304.000000	79.436	173.9755
307.000000	79.463	174.1221
311.000000	79.498	174.5219
315.000000	79.495	174.6250
320.000000	79.446	174.5468
325.000000	79.380	174.7092
330.000000	79.305	175.0533
335.000000	79.228	175.2864
340.000000	79.160	175.5824
345.000000	79.074	175.9390
350.000000	78.995	176.3322
355.000000	78.961	176.6937
360.000000	78.892	177.1418
365.000000	78.831	177.4904
370.000000	78.767	177.9818
375.000000	78.714	178.3350
382.000000	78.628	179.0254
387.000000	78.552	179.4741
395.000000	78.487	-179.7837
400.000000	78.445	-179.3571
406.000000	78.363	-178.8122
412.000000	78.314	-178.3553
418.000000	78.231	-177.6919
425.000000	78.188	-177.0927
431.000000	78.141	-176.4919
437.000000	78.083	-176.0581
444.000000	78.039	-175.3133
450.000000	77.990	-174.8238
455.000000	77.945	-174.2577
462.000000	77.891	-173.6747
468.000000	77.844	-173.0437
475.000000	77.804	-172.3802
482.000000	77.771	-171.6814
487.000000	77.725	-171.2570
494.000000	77.666	-170.5145
500.000000	77.622	-170.0500
508.000000	77.592	-169.3284
515.000000	77.565	-168.6035
522.000000	77.509	-168.0013
530.000000	77.454	-167.1227
538.000000	77.428	-166.4196
545.000000	77.392	-165.7114
552.000000	77.373	-165.0410
560.000000	77.337	-164.2076
570.000000	77.282	-163.2765
580.000000	77.256	-162.3827
590.000000	77.222	-161.4352
600.000000	77.196	-160.4042
608.000000	77.173	-159.5571
615.000000	77.161	-159.0677
622.000000	77.132	-158.3111
630.000000	77.107	-157.5342
640.000000	77.101	-156.5820
650.000000	77.093	-155.6904
660.000000	77.057	-154.6514
670.000000	77.037	-153.6745
680.000000	77.023	-152.6260
690.000000	77.026	-151.7133
700.000000	77.020	-150.9301
710.000000	77.029	-149.8875
720.000000	77.017	-148.9009
730.000000	77.029	-147.9323
740.000000	77.056	-147.0395
750.000000	77.026	-146.1924
762.000000	77.083	-144.9257
775.000000	77.077	-143.9116
788.000000	77.143	-142.6234
800.000000	77.186	-141.5735
812.000000	77.256	-140.2685
825.000000	77.403	-139.7129
838.000000	77.439	-139.5980
850.000000	77.453	-139.5639
862.000000	77.358	-140.7365
875.000000	76.632	-140.0331
885.000000	76.469	-134.9801
900.000000	76.841	-131.4177
912.000000	77.058	-129.9810
925.000000	77.240	-128.9074
938.000000	77.360	-127.7886
950.000000	77.476	-126.9287
962.000000	77.577	-126.1125
975.000000	77.683	-125.1858
988.000000	77.794	-124.2915
1000.000000	77.936	-123.1103
1015.000000	78.029	-122.4877
1030.000000	78.121	-121.4014
1044.000000	78.238	-120.7982
1060.000000	78.359	-119.8762
1075.000000	78.471	-119.0142
1090.000000	78.578	-118.2589
1106.000000	78.708	-117.4338
1120.000000	78.845	-116.7616
1138.000000	79.009	-116.0892
1150.000000	79.068	-115.5264
1172.000000	79.249	-114.4873
1180.000000	79.316	-114.2564
1206.000000	79.497	-113.3229
1220.000000	79.621	-112.8919
1241.000000	79.757	-111.9996
1250.000000	79.835	-111.7111
1265.000000	79.939	-111.2980
1280.000000	80.037	-110.8125
1315.000000	80.290	-109.7459
1320.000000	80.317	-109.4945
1340.000000	80.471	-108.9221
1360.000000	80.611	-108.3247
1380.000000	80.756	-107.7817
1400.000000	80.908	-107.1827
1430.000000	81.181	-106.4238
1450.000000	81.336	-105.8645
1475.000000	81.554	-105.3870
1500.000000	81.798	-104.7712
1525.000000	82.073	-104.4234
1550.000000	82.354	-103.8647
