* Measurement data measured by REW V5.20
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 23, 2021 6:21:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KB Ear Neon triflange L2 Aug
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.116	-145.5948
20.299999	74.142	-145.8996
20.600000	74.171	-146.2057
20.900000	74.215	-146.5400
21.200001	74.240	-146.9141
21.400000	74.259	-147.1765
21.799999	74.300	-147.6965
22.000000	74.318	-147.9346
22.400000	74.340	-148.3364
22.700001	74.373	-148.5782
23.000000	74.418	-148.7999
23.299999	74.460	-149.0420
23.600000	74.503	-149.3298
24.000000	74.553	-149.7917
24.299999	74.579	-150.1679
24.700001	74.608	-150.6469
25.000000	74.627	-150.9534
25.400000	74.643	-151.2847
25.799999	74.668	-151.5748
26.200001	74.704	-151.8902
26.500000	74.732	-152.1635
26.900000	74.764	-152.5638
27.200001	74.776	-152.8632
27.600000	74.783	-153.2251
28.000000	74.802	-153.5289
28.500000	74.820	-153.8538
29.000000	74.847	-154.1709
29.500000	74.876	-154.5040
30.000000	74.908	-154.8450
30.400000	74.933	-155.1163
30.700001	74.948	-155.3178
31.100000	74.968	-155.5819
31.500000	74.983	-155.8355
32.000000	75.000	-156.1287
32.500000	75.019	-156.3979
33.000000	75.028	-156.6616
33.500000	75.038	-156.9333
34.000000	75.053	-157.2051
34.500000	75.068	-157.4592
35.000000	75.091	-157.6976
35.500000	75.116	-157.9471
36.000000	75.139	-158.2272
36.500000	75.173	-158.5212
37.000000	75.199	-158.7880
37.500000	75.212	-159.0080
38.200001	75.229	-159.2825
38.700001	75.237	-159.4951
39.500000	75.236	-159.8530
40.000000	75.222	-160.0670
40.599998	75.241	-160.3215
41.200001	75.258	-160.5733
41.799999	75.274	-160.7937
42.500000	75.296	-161.0073
43.099998	75.314	-161.2001
43.700001	75.333	-161.4224
44.400002	75.360	-161.6923
45.000000	75.367	-161.9170
45.500000	75.371	-162.0971
46.200001	75.386	-162.3188
46.799999	75.396	-162.4675
47.500000	75.409	-162.6185
48.200001	75.427	-162.7851
48.700001	75.431	-162.9205
49.400002	75.419	-163.1231
50.000000	75.416	-163.2963
50.799999	75.435	-163.5193
51.500000	75.449	-163.7066
52.200001	75.462	-163.8757
53.000000	75.466	-164.0586
53.799999	75.463	-164.2540
54.500000	75.475	-164.3973
55.200001	75.496	-164.5141
56.000000	75.528	-164.6985
57.000000	75.533	-164.9787
58.000000	75.527	-165.1749
59.000000	75.539	-165.3408
60.000000	75.555	-165.5257
60.799999	75.559	-165.6449
61.500000	75.564	-165.7795
62.200001	75.563	-165.9852
63.000000	75.555	-166.1425
64.000000	75.572	-166.1467
65.000000	75.595	-166.3395
66.000000	75.592	-166.5133
67.000000	75.624	-166.5736
68.000000	75.647	-166.7912
69.000000	75.636	-166.9246
70.000000	75.636	-167.0057
71.000000	75.635	-167.2466
72.000000	75.615	-167.3297
73.000000	75.618	-167.4277
74.000000	75.625	-167.5732
75.000000	75.652	-167.6051
76.199997	75.673	-167.8108
77.500000	75.682	-167.9278
78.800003	75.687	-168.1946
80.000000	75.659	-168.2509
81.199997	75.671	-168.2907
82.500000	75.670	-168.4339
83.800003	75.682	-168.5172
85.000000	75.693	-168.6164
86.199997	75.720	-168.6919
87.500000	75.726	-168.9404
88.500000	75.716	-168.9414
90.000000	75.720	-169.0184
91.199997	75.701	-169.1469
92.500000	75.705	-169.1314
93.800003	75.711	-169.3195
95.000000	75.721	-169.3605
96.199997	75.739	-169.4813
97.500000	75.748	-169.5346
98.800003	75.743	-169.6071
100.000000	75.745	-169.5360
101.500000	75.736	-169.7759
103.000000	75.741	-169.7219
104.400002	75.751	-169.8543
106.000000	75.765	-169.9552
107.500000	75.770	-169.9236
109.000000	75.765	-170.0753
110.599998	75.754	-170.0825
112.000000	75.743	-170.1780
113.800003	75.753	-170.1370
115.000000	75.758	-170.1873
117.199997	75.772	-170.2486
118.000000	75.778	-170.2398
120.599998	75.754	-170.3722
122.000000	75.755	-170.4637
124.099998	75.778	-170.5149
125.000000	75.791	-170.5240
