* Measurement data measured by REW V5.20
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 8 sweeps at -12.0 dBFS using a loopback as a timing reference
* Dated: Aug 14, 2021 12:55:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0000 ms (0 mm, 0 in)  relative to Loopback with no timing offset
* Measurement: KBEAR Neon L foams
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.613	-143.8297
20.299999	72.641	-144.3444
20.600000	72.658	-144.8572
20.900000	72.664	-145.3232
21.200001	72.667	-145.7263
21.400000	72.671	-145.9570
21.799999	72.689	-146.3552
22.000000	72.702	-146.5483
22.400000	72.737	-146.9664
22.700001	72.764	-147.3214
23.000000	72.787	-147.7032
23.299999	72.804	-148.0922
23.600000	72.816	-148.4610
24.000000	72.832	-148.9005
24.299999	72.847	-149.2070
24.700001	72.871	-149.6118
25.000000	72.890	-149.9305
25.400000	72.912	-150.3806
25.799999	72.928	-150.8166
26.200001	72.940	-151.2085
26.500000	72.951	-151.4694
26.900000	72.971	-151.7952
27.200001	72.989	-152.0514
27.600000	73.013	-152.4286
28.000000	73.032	-152.8364
28.500000	73.043	-153.3366
29.000000	73.048	-153.7503
29.500000	73.058	-154.0941
30.000000	73.077	-154.4340
30.400000	73.098	-154.7467
30.700001	73.111	-154.9993
31.100000	73.124	-155.3394
31.500000	73.132	-155.6591
32.000000	73.140	-156.0119
32.500000	73.149	-156.3396
33.000000	73.160	-156.6679
33.500000	73.168	-157.0037
34.000000	73.175	-157.2994
34.500000	73.185	-157.5397
35.000000	73.202	-157.7593
35.500000	73.225	-158.0191
36.000000	73.246	-158.3276
36.500000	73.260	-158.6659
37.000000	73.265	-158.9741
37.500000	73.270	-159.2220
38.200001	73.279	-159.5110
38.700001	73.290	-159.7256
39.500000	73.308	-160.1077
40.000000	73.314	-160.3409
40.599998	73.323	-160.5862
41.200001	73.338	-160.8307
41.799999	73.356	-161.1461
42.500000	73.361	-161.5749
43.099998	73.352	-161.8560
43.700001	73.348	-162.0015
44.400002	73.368	-162.1618
45.000000	73.391	-162.4061
45.500000	73.400	-162.6457
46.200001	73.401	-162.9274
46.799999	73.405	-163.1056
47.500000	73.415	-163.3081
48.200001	73.423	-163.5312
48.700001	73.427	-163.6919
49.400002	73.432	-163.9174
50.000000	73.434	-164.0987
50.799999	73.441	-164.3255
51.500000	73.447	-164.5560
52.200001	73.445	-164.7955
53.000000	73.441	-164.9660
53.799999	73.458	-165.0948
54.500000	73.478	-165.3339
55.200001	73.479	-165.6100
56.000000	73.473	-165.7934
57.000000	73.484	-166.0056
58.000000	73.483	-166.2724
59.000000	73.484	-166.4559
60.000000	73.488	-166.6599
60.799999	73.494	-166.8330
61.500000	73.498	-167.0074
62.200001	73.497	-167.1388
63.000000	73.507	-167.2468
64.000000	73.522	-167.5459
65.000000	73.509	-167.7435
66.000000	73.512	-167.8373
67.000000	73.519	-167.9916
68.000000	73.530	-168.2027
69.000000	73.523	-168.4686
70.000000	73.519	-168.5907
71.000000	73.529	-168.7900
72.000000	73.528	-169.0175
73.000000	73.520	-169.1831
74.000000	73.514	-169.2149
75.000000	73.539	-169.2596
76.199997	73.548	-169.5746
77.500000	73.521	-169.6788
78.800003	73.547	-169.7865
80.000000	73.535	-170.1708
81.199997	73.514	-170.2020
82.500000	73.530	-170.3260
83.800003	73.532	-170.4063
85.000000	73.558	-170.5187
86.199997	73.555	-170.7630
87.500000	73.546	-170.8542
88.500000	73.547	-171.0275
90.000000	73.519	-171.1273
91.199997	73.536	-171.2180
92.500000	73.536	-171.3387
93.800003	73.553	-171.5239
95.000000	73.537	-171.6698
96.199997	73.542	-171.6764
97.500000	73.542	-171.8475
98.800003	73.533	-171.9127
100.000000	73.537	-171.9733
101.500000	73.552	-172.1552
103.000000	73.537	-172.3345
104.400002	73.538	-172.4410
106.000000	73.527	-172.4776
107.500000	73.541	-172.6029
109.000000	73.532	-172.6819
110.599998	73.535	-172.7581
112.000000	73.546	-172.8483
113.800003	73.520	-172.8865
115.000000	73.546	-172.9272
117.199997	73.509	-173.0305
118.000000	73.529	-173.0302
120.599998	73.523	-173.3047
122.000000	73.513	-173.4870
124.099998	73.530	-173.5115
125.000000	73.524	-173.5359
126.500000	73.530	-173.6547
128.000000	73.515	-173.6003
131.500000	73.516	-173.8196
132.000000	73.515	-173.8437
134.000000	73.508	-173.9380
136.000000	73.490	-173.8762
138.000000	73.512	-173.9961
140.000000	73.495	-174.1225
143.000000	73.486	-174.3240
145.000000	73.482	-174.3001
147.500000	73.487	-174.3962
150.000000	73.472	-174.4261
152.500000	73.465	-174.5272
155.000000	73.491	-174.5517
157.500000	73.498	-174.5662
160.000000	73.484	-174.6135
162.500000	73.487	-174.6801
165.000000	73.499	-174.6486
167.500000	73.492	-174.7802
170.000000	73.507	-174.8703
172.500000	73.507	-174.8883
175.000000	73.495	-174.8630
177.500000	73.469	-174.8690
180.000000	73.476	-174.8564
182.500000	73.457	-174.8895
185.000000	73.429	-174.9645
187.500000	73.445	-174.9656
190.000000	73.424	-175.0537
192.500000	73.405	-175.0593
195.000000	73.415	-175.0716
197.500000	73.401	-175.0785
200.000000	73.399	-175.0365
203.000000	73.375	-175.1777
206.000000	73.372	-175.2014
209.000000	73.359	-175.1465
212.000000	73.333	-175.2230
214.000000	73.316	-175.2376
218.000000	73.323	-175.0902
220.000000	73.307	-175.1292
224.000000	73.315	-175.1961
227.000000	73.307	-175.1388
230.000000	73.303	-175.1786
233.000000	73.290	-175.1418
236.000000	73.294	-175.0655
240.000000	73.293	-175.1402
243.000000	73.294	-175.1121
247.000000	73.276	-174.9356
250.000000	73.255	-174.9983
254.000000	73.259	-174.9295
258.000000	73.231	-174.9793
262.000000	73.222	-174.9342
265.000000	73.215	-174.9769
269.000000	73.210	-174.9929
272.000000	73.207	-174.8522
276.000000	73.192	-174.7167
280.000000	73.177	-174.7388
285.000000	73.154	-174.7198
290.000000	73.154	-174.5584
295.000000	73.131	-174.5666
300.000000	73.140	-174.4198
304.000000	73.108	-174.3778
307.000000	73.103	-174.2721
311.000000	73.091	-174.2883
315.000000	73.070	-174.3215
320.000000	73.072	-174.0914
325.000000	73.053	-173.9888
330.000000	73.028	-173.9143
335.000000	73.035	-173.7841
340.000000	73.007	-173.6847
345.000000	72.990	-173.6434
350.000000	73.006	-173.5320
355.000000	72.978	-173.4039
360.000000	72.963	-173.2386
365.000000	72.960	-173.1920
370.000000	72.965	-173.0467
375.000000	72.941	-172.8774
382.000000	72.934	-172.8684
387.000000	72.913	-172.7462
395.000000	72.908	-172.4463
400.000000	72.876	-172.2717
406.000000	72.880	-172.1730
412.000000	72.858	-172.0515
418.000000	72.830	-171.8525
425.000000	72.811	-171.6489
431.000000	72.813	-171.3781
437.000000	72.795	-171.1978
444.000000	72.776	-170.9494
450.000000	72.761	-170.8656
455.000000	72.752	-170.6423
462.000000	72.753	-170.4232
468.000000	72.697	-170.2319
475.000000	72.697	-169.9769
482.000000	72.681	-169.8363
487.000000	72.675	-169.6680
494.000000	72.659	-169.3812
500.000000	72.639	-169.1765
508.000000	72.641	-168.9018
515.000000	72.620	-168.6168
522.000000	72.621	-168.2843
530.000000	72.608	-168.0788
538.000000	72.592	-167.7979
545.000000	72.573	-167.4665
552.000000	72.589	-167.0674
560.000000	72.569	-166.7818
570.000000	72.548	-166.5075
580.000000	72.526	-165.8192
590.000000	72.519	-165.4136
600.000000	72.502	-165.0314
608.000000	72.505	-164.5169
615.000000	72.500	-164.3289
622.000000	72.503	-164.0416
630.000000	72.484	-163.6862
640.000000	72.471	-163.1254
650.000000	72.454	-162.5439
660.000000	72.432	-162.1484
670.000000	72.457	-161.6700
680.000000	72.443	-161.1069
690.000000	72.438	-160.5257
700.000000	72.439	-160.0580
710.000000	72.441	-159.5039
720.000000	72.428	-158.8483
730.000000	72.441	-158.2969
740.000000	72.423	-157.7428
750.000000	72.466	-157.1644
762.000000	72.464	-156.5084
775.000000	72.464	-155.6320
788.000000	72.491	-154.8515
800.000000	72.519	-154.1058
812.000000	72.543	-153.2925
825.000000	72.575	-152.5872
838.000000	72.591	-151.7538
850.000000	72.619	-150.9504
862.000000	72.649	-150.1732
875.000000	72.691	-149.3202
885.000000	72.728	-148.7612
900.000000	72.783	-147.8546
912.000000	72.840	-147.0401
925.000000	72.878	-146.3056
938.000000	72.944	-145.4556
950.000000	72.995	-144.7982
962.000000	73.033	-144.1942
975.000000	73.128	-143.4537
988.000000	73.174	-142.7797
1000.000000	73.241	-142.2066
1015.000000	73.337	-141.3739
1030.000000	73.417	-140.8206
1044.000000	73.489	-140.0040
1060.000000	73.591	-139.4103
1075.000000	73.674	-138.9053
1090.000000	73.749	-138.3567
1106.000000	73.852	-137.8853
1120.000000	73.941	-137.3496
1138.000000	74.023	-137.0312
1150.000000	74.084	-136.6493
1172.000000	74.204	-136.1965
1180.000000	74.240	-136.0356
1206.000000	74.382	-135.5038
1220.000000	74.426	-135.4417
1241.000000	74.513	-135.0361
1250.000000	74.553	-135.0198
1265.000000	74.629	-134.7930
1280.000000	74.674	-134.5679
1315.000000	74.791	-134.0714
1320.000000	74.817	-133.9979
1340.000000	74.894	-133.7757
1360.000000	74.938	-133.5110
1380.000000	75.011	-133.2143
1400.000000	75.084	-132.8705
1430.000000	75.179	-132.3883
1450.000000	75.236	-132.0879
1475.000000	75.317	-131.5542
1500.000000	75.383	-131.0775
1525.000000	75.452	-130.5417
1550.000000	75.525	-129.9913
1575.000000	75.604	-129.5449
1600.000000	75.690	-129.0105
1625.000000	75.762	-128.4227
1650.000000	75.846	-127.8117
1675.000000	75.929	-127.2328
1700.000000	76.004	-126.6294
1725.000000	76.076	-125.9285
1750.000000	76.176	-125.4010
1775.000000	76.270	-124.7272
1800.000000	76.362	-124.0778
1825.000000	76.464	-123.4493
1850.000000	76.556	-122.8772
1875.000000	76.658	-122.3005
1900.000000	76.755	-121.5751
1925.000000	76.830	-121.0141
1950.000000	76.955	-120.4105
1975.000000	77.081	-119.8946
2000.000000	77.215	-119.2859
2030.000000	77.357	-118.5973
2060.000000	77.538	-118.0346
2090.000000	77.690	-117.3868
2120.000000	77.844	-116.8609
2140.000000	77.983	-116.5343
2180.000000	78.209	-115.8447
2200.000000	78.330	-115.5978
2240.000000	78.571	-115.0429
2270.000000	78.749	-114.6406
2300.000000	78.928	-114.5076
2330.000000	79.114	-114.2218
2360.000000	79.305	-114.1228
2400.000000	79.554	-114.0074
2430.000000	79.751	-114.0617
2470.000000	79.988	-114.2454
2500.000000	80.167	-114.4689
2540.000000	80.395	-114.8710
2580.000000	80.618	-115.4558
2620.000000	80.845	-116.1083
2650.000000	80.995	-116.7697
2690.000000	81.181	-117.7477
2720.000000	81.300	-118.5074
2760.000000	81.457	-119.7299
2800.000000	81.567	-121.0619
2850.000000	81.667	-122.8664
2900.000000	81.721	-124.6503
2950.000000	81.728	-126.5760
3000.000000	81.688	-128.4579
3040.000000	81.598	-129.9130
3070.000000	81.543	-131.0011
3110.000000	81.407	-132.3625
3150.000000	81.249	-133.6245
3200.000000	81.039	-135.0404
3250.000000	80.787	-136.2244
3300.000000	80.506	-137.1833
3350.000000	80.217	-138.0487
3400.000000	79.911	-138.6057
3450.000000	79.601	-138.9483
3500.000000	79.295	-139.1185
3550.000000	78.994	-139.1508
3600.000000	78.696	-138.9291
3650.000000	78.396	-138.5884
3700.000000	78.116	-138.2719
3750.000000	77.816	-137.5685
3820.000000	77.437	-136.5374
3870.000000	77.190	-135.7088
3950.000000	76.817	-134.1245
4000.000000	76.609	-133.0396
4060.000000	76.355	-131.5963
4120.000000	76.118	-129.9695
4180.000000	75.897	-128.3358
4250.000000	75.660	-126.2858
4310.000000	75.471	-124.4610
4370.000000	75.266	-122.5415
4440.000000	75.041	-120.2118
4500.000000	74.863	-118.2057
4550.000000	74.757	-116.4597
4620.000000	74.587	-113.9948
4680.000000	74.429	-111.7946
4750.000000	74.301	-109.2141
4820.000000	74.169	-106.4818
4870.000000	74.115	-104.7294
4940.000000	73.974	-101.9103
5000.000000	73.898	-99.6399
5080.000000	73.808	-96.5500
5150.000000	73.728	-93.6188
5220.000000	73.667	-90.8537
5300.000000	73.667	-87.6943
5380.000000	73.652	-84.4597
5450.000000	73.672	-81.7064
5520.000000	73.669	-78.7452
5600.000000	73.752	-75.6010
5700.000000	73.815	-71.5210
5800.000000	73.967	-67.7634
5900.000000	74.140	-63.7075
6000.000000	74.351	-59.9174
6080.000000	74.548	-56.9068
6150.000000	74.729	-54.3424
6220.000000	74.928	-51.8298
6300.000000	75.193	-49.1341
6400.000000	75.555	-45.5975
6500.000000	75.972	-42.5601
6600.000000	76.433	-39.4872
6700.000000	76.927	-36.6033
6800.000000	77.484	-34.0970
6900.000000	78.188	-32.0348
7000.000000	78.839	-30.1392
7100.000000	79.570	-28.8492
7200.000000	80.354	-28.0640
7300.000000	81.199	-27.9808
7400.000000	82.114	-28.6783
7500.000000	83.108	-30.3545
7620.000000	84.353	-34.6391
7750.000000	85.708	-42.4029
7880.000000	86.645	-53.6118
8000.000000	86.976	-66.4544
8120.000000	86.608	-79.6862
8250.000000	85.564	-91.9528
8380.000000	84.128	-101.1229
8500.000000	82.663	-106.8227
8620.000000	81.166	-110.4599
8750.000000	79.608	-112.7260
8850.000000	78.433	-113.3265
9000.000000	76.710	-112.7497
9120.000000	75.487	-110.5319
9250.000000	74.344	-108.5883
9380.000000	73.130	-106.2474
9500.000000	72.048	-103.4982
9620.000000	70.996	-100.3222
9750.000000	69.918	-95.9986
9880.000000	68.863	-91.4778
10000.000000	68.037	-86.6820
10150.000000	66.934	-81.5595
10300.000000	66.043	-75.0635
10440.000000	65.144	-68.7684
10600.000000	64.247	-61.6910
10750.000000	63.428	-54.5511
10900.000000	62.848	-47.3777
11060.000000	62.015	-39.5492
11200.000000	61.407	-32.5384
11380.000000	60.733	-23.7374
11500.000000	60.530	-18.0054
11720.000000	59.849	-7.5399
11800.000000	59.845	-4.2701
12060.000000	59.292	8.8380
12200.000000	59.067	15.0342
12410.000000	58.898	24.9383
12500.000000	58.974	29.5601
