* Measurement data measured by REW V5.20
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 8 sweeps at -12.0 dBFS using a loopback as a timing reference
* Dated: Aug 14, 2021 12:48:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0000 ms (0 mm, 0 in)  relative to Loopback with no timing offset
* Measurement: KBEAR Neon R foams
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.593	-145.5686
20.299999	73.617	-146.1060
20.600000	73.622	-146.6191
20.900000	73.613	-147.0198
21.200001	73.602	-147.2674
21.400000	73.606	-147.3526
21.799999	73.648	-147.4714
22.000000	73.685	-147.5894
22.400000	73.771	-148.0679
22.700001	73.818	-148.6412
23.000000	73.834	-149.2880
23.299999	73.815	-149.8562
23.600000	73.777	-150.2068
24.000000	73.745	-150.2795
24.299999	73.765	-150.2010
24.700001	73.852	-150.2853
25.000000	73.932	-150.6748
25.400000	73.999	-151.6085
25.799999	73.979	-152.6209
26.200001	73.894	-153.2177
26.500000	73.830	-153.2375
26.900000	73.809	-152.8743
27.200001	73.859	-152.6048
27.600000	73.981	-152.6716
28.000000	74.094	-153.3420
28.500000	74.131	-154.6119
29.000000	74.053	-155.5208
29.500000	73.956	-155.6638
30.000000	73.939	-155.3800
30.400000	73.990	-155.2681
30.700001	74.042	-155.3683
31.100000	74.102	-155.7231
31.500000	74.135	-156.1964
32.000000	74.144	-156.7541
32.500000	74.137	-157.1982
33.000000	74.125	-157.5469
33.500000	74.113	-157.8274
34.000000	74.109	-158.0197
34.500000	74.119	-158.1568
35.000000	74.145	-158.3286
35.500000	74.175	-158.6107
36.000000	74.195	-158.9690
36.500000	74.201	-159.3238
37.000000	74.199	-159.5896
37.500000	74.205	-159.7636
38.200001	74.228	-159.9876
38.700001	74.251	-160.2015
39.500000	74.282	-160.6079
40.000000	74.296	-160.8798
40.599998	74.304	-161.2175
41.200001	74.298	-161.5177
41.799999	74.287	-161.7261
42.500000	74.284	-161.8899
43.099998	74.290	-162.0461
43.700001	74.291	-162.2030
44.400002	74.293	-162.3133
45.000000	74.311	-162.3908
45.500000	74.333	-162.5234
46.200001	74.358	-162.8369
46.799999	74.367	-163.1207
47.500000	74.371	-163.3717
48.200001	74.384	-163.6084
48.700001	74.394	-163.8111
49.400002	74.399	-164.0945
50.000000	74.402	-164.2889
50.799999	74.408	-164.5152
51.500000	74.412	-164.6673
52.200001	74.426	-164.7692
53.000000	74.453	-165.0389
53.799999	74.443	-165.3614
54.500000	74.430	-165.4054
55.200001	74.449	-165.5028
56.000000	74.439	-165.8846
57.000000	74.380	-165.7397
58.000000	74.461	-165.5975
59.000000	74.483	-166.2808
60.000000	74.445	-166.4467
60.799999	74.456	-166.5849
61.500000	74.449	-166.7897
62.200001	74.439	-166.8558
63.000000	74.452	-166.9432
64.000000	74.457	-167.2285
65.000000	74.451	-167.3818
66.000000	74.455	-167.5498
67.000000	74.450	-167.7147
68.000000	74.459	-167.8210
69.000000	74.463	-168.0482
70.000000	74.453	-168.1330
71.000000	74.465	-168.2228
72.000000	74.462	-168.3916
73.000000	74.467	-168.4338
74.000000	74.480	-168.6274
75.000000	74.476	-168.8254
76.199997	74.469	-168.9315
77.500000	74.484	-169.0828
78.800003	74.471	-169.2763
80.000000	74.479	-169.2668
81.199997	74.489	-169.4387
82.500000	74.488	-169.5610
83.800003	74.483	-169.7165
85.000000	74.482	-169.7927
86.199997	74.486	-169.9170
87.500000	74.487	-170.0324
88.500000	74.503	-170.1022
90.000000	74.502	-170.4275
91.199997	74.492	-170.3906
92.500000	74.503	-170.5050
93.800003	74.491	-170.5220
95.000000	74.492	-170.5779
96.199997	74.490	-170.5998
97.500000	74.487	-170.7074
98.800003	74.489	-170.7380
100.000000	74.492	-170.8553
101.500000	74.498	-170.9332
103.000000	74.496	-171.0605
104.400002	74.493	-171.0785
106.000000	74.500	-171.2269
107.500000	74.482	-171.2749
109.000000	74.484	-171.3409
110.599998	74.499	-171.4525
112.000000	74.484	-171.6026
113.800003	74.490	-171.5781
115.000000	74.503	-171.6161
117.199997	74.490	-171.7263
118.000000	74.492	-171.7066
120.599998	74.503	-171.7130
122.000000	74.501	-171.8449
124.099998	74.484	-171.9285
125.000000	74.484	-171.9489
126.500000	74.479	-171.9584
128.000000	74.489	-171.9685
131.500000	74.483	-172.0144
132.000000	74.488	-172.0029
134.000000	74.479	-172.0804
136.000000	74.476	-172.1531
138.000000	74.487	-172.2471
140.000000	74.486	-172.2371
143.000000	74.479	-172.2228
145.000000	74.455	-172.3693
