* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2021 9:48:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Dauntless R 3 Nov 18
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	77.679	-154.9287
20.299999	77.690	-155.4024
20.600000	77.691	-155.8686
20.900000	77.697	-156.2888
21.200001	77.689	-156.6497
21.400000	77.694	-156.8761
21.799999	77.727	-157.3563
22.000000	77.747	-157.6369
22.400000	77.769	-158.3028
22.700001	77.778	-158.8455
23.000000	77.772	-159.3356
23.299999	77.742	-159.6913
23.600000	77.709	-159.8839
24.000000	77.684	-159.9356
24.299999	77.689	-159.9366
24.700001	77.729	-160.0552
25.000000	77.766	-160.2883
25.400000	77.786	-160.7432
25.799999	77.776	-161.2037
26.200001	77.752	-161.5367
26.500000	77.736	-161.7007
26.900000	77.728	-161.8798
27.200001	77.722	-162.0428
27.600000	77.708	-162.3161
28.000000	77.694	-162.5790
28.500000	77.662	-162.7548
29.000000	77.662	-162.8004
29.500000	77.697	-162.9650
30.000000	77.739	-163.4147
30.400000	77.746	-163.8857
30.700001	77.730	-164.2010
31.100000	77.698	-164.4699
31.500000	77.671	-164.5652
32.000000	77.669	-164.5963
32.500000	77.690	-164.7352
33.000000	77.694	-165.0242
33.500000	77.678	-165.3402
34.000000	77.656	-165.5679
34.500000	77.635	-165.7045
35.000000	77.626	-165.8055
35.500000	77.621	-165.9096
36.000000	77.616	-166.0323
36.500000	77.629	-166.1890
37.000000	77.632	-166.3727
37.500000	77.616	-166.5313
38.200001	77.589	-166.6413
38.700001	77.577	-166.7138
39.500000	77.552	-167.0202
40.000000	77.505	-167.2268
40.599998	77.478	-167.3065
41.200001	77.475	-167.2702
41.799999	77.496	-167.3405
42.500000	77.503	-167.5707
43.099998	77.483	-167.6873
43.700001	77.469	-167.6923
44.400002	77.475	-167.6961
45.000000	77.470	-167.7392
45.500000	77.465	-167.7940
46.200001	77.466	-167.9194
46.799999	77.453	-168.0338
47.500000	77.428	-168.0644
48.200001	77.422	-168.0606
48.700001	77.413	-168.1272
49.400002	77.373	-168.2643
50.000000	77.340	-168.2943
50.799999	77.338	-168.2435
51.500000	77.351	-168.2694
52.200001	77.355	-168.3591
53.000000	77.334	-168.4300
53.799999	77.303	-168.3839
54.500000	77.307	-168.2721
55.200001	77.331	-168.2591
56.000000	77.342	-168.4160
57.000000	77.300	-168.4446
58.000000	77.282	-168.3851
59.000000	77.257	-168.4832
60.000000	77.232	-168.3579
60.799999	77.220	-168.2895
61.500000	77.198	-168.2426
62.200001	77.185	-168.1236
63.000000	77.198	-168.0467
64.000000	77.210	-168.0679
65.000000	77.201	-168.0747
66.000000	77.186	-168.0246
67.000000	77.201	-167.8974
68.000000	77.209	-167.8611
69.000000	77.204	-167.7764
70.000000	77.191	-167.8237
71.000000	77.152	-167.7758
72.000000	77.141	-167.5155
73.000000	77.143	-167.5010
74.000000	77.135	-167.4204
75.000000	77.157	-167.2776
76.199997	77.154	-167.2944
77.500000	77.139	-167.1486
78.800003	77.124	-167.0620
80.000000	77.106	-166.9051
81.199997	77.098	-166.7529
82.500000	77.109	-166.5990
83.800003	77.100	-166.5591
85.000000	77.103	-166.3429
86.199997	77.110	-166.2900
87.500000	77.095	-166.1381
88.500000	77.094	-166.0031
90.000000	77.077	-165.8071
91.199997	77.080	-165.7230
92.500000	77.070	-165.6505
93.800003	77.067	-165.4507
95.000000	77.086	-165.2996
96.199997	77.090	-165.1486
97.500000	77.104	-164.9492
98.800003	77.087	-164.8533
100.000000	77.070	-164.5212
101.500000	77.089	-164.5084
103.000000	77.065	-164.3155
104.400002	77.105	-164.2302
106.000000	77.098	-164.1139
107.500000	77.119	-163.9242
109.000000	77.103	-163.7611
110.599998	77.093	-163.4480
112.000000	77.098	-163.3876
113.800003	77.080	-163.0727
115.000000	77.097	-163.0439
117.199997	77.113	-162.7315
118.000000	77.129	-162.7610
120.599998	77.128	-162.3942
122.000000	77.142	-162.2144
124.099998	77.163	-161.8993
125.000000	77.177	-161.8006
126.500000	77.175	-161.6836
128.000000	77.151	-161.4473
131.500000	77.171	-161.0868
132.000000	77.169	-161.0631
134.000000	77.192	-160.7541
136.000000	77.217	-160.4893
138.000000	77.216	-160.2958
140.000000	77.219	-160.1199
143.000000	77.233	-159.7598
145.000000	77.250	-159.4089
147.500000	77.267	-159.2637
150.000000	77.275	-158.8958
152.500000	77.306	-158.6753
155.000000	77.334	-158.3087
157.500000	77.377	-157.9640
160.000000	77.398	-157.6876
162.500000	77.419	-157.5159
165.000000	77.439	-157.3482
167.500000	77.489	-156.9643
170.000000	77.459	-156.7110
172.500000	77.429	-156.5642
175.000000	77.387	-156.2058
177.500000	77.369	-155.9565
180.000000	77.348	-155.6620
182.500000	77.380	-155.3738
185.000000	77.460	-155.2162
187.500000	77.532	-154.9550
190.000000	77.590	-154.7121
192.500000	77.625	-154.5061
195.000000	77.668	-154.2965
197.500000	77.700	-154.0436
200.000000	77.742	-153.7629
203.000000	77.741	-153.4642
206.000000	77.761	-153.1759
209.000000	77.803	-152.8480
212.000000	77.804	-152.6483
