* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2021 9:55:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kotori Vampire R Nov 18
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.124	73.9071
20.299999	76.261	73.7004
20.600000	76.394	73.3783
20.900000	76.523	72.9839
21.200001	76.621	72.5973
21.400000	76.687	72.3800
21.799999	76.833	72.0413
22.000000	76.913	71.8997
22.400000	77.078	71.5839
22.700001	77.222	71.2493
23.000000	77.364	70.8069
23.299999	77.481	70.2972
23.600000	77.579	69.7798
24.000000	77.684	69.1711
24.299999	77.752	68.8140
24.700001	77.856	68.4519
25.000000	77.945	68.2162
25.400000	78.064	67.8798
25.799999	78.186	67.4747
26.200001	78.307	67.0060
26.500000	78.392	66.6328
26.900000	78.500	66.1322
27.200001	78.570	65.7680
27.600000	78.659	65.3080
28.000000	78.758	64.8790
28.500000	78.873	64.3755
29.000000	78.995	63.8845
29.500000	79.118	63.3877
30.000000	79.247	62.8800
30.400000	79.350	62.4645
30.700001	79.423	62.1463
31.100000	79.519	61.7159
31.500000	79.609	61.2884
32.000000	79.716	60.7800
32.500000	79.822	60.3063
33.000000	79.917	59.8392
33.500000	80.015	59.3482
34.000000	80.113	58.8393
34.500000	80.206	58.3440
35.000000	80.302	57.8718
35.500000	80.399	57.3979
36.000000	80.493	56.9008
36.500000	80.597	56.3950
37.000000	80.693	55.9148
37.500000	80.776	55.4733
38.200001	80.889	54.8788
38.700001	80.963	54.4320
39.500000	81.066	53.6720
40.000000	81.111	53.2031
40.599998	81.199	52.6716
41.200001	81.286	52.1527
41.799999	81.374	51.6196
42.500000	81.468	51.0089
43.099998	81.540	50.5336
43.700001	81.618	50.0668
44.400002	81.720	49.4680
45.000000	81.787	48.9324
45.500000	81.839	48.5103
46.200001	81.927	47.9469
46.799999	81.999	47.4514
47.500000	82.074	46.8683
48.200001	82.147	46.3195
48.700001	82.190	45.9422
49.400002	82.237	45.4031
50.000000	82.284	44.9271
50.799999	82.363	44.3121
51.500000	82.432	43.8187
52.200001	82.505	43.3256
53.000000	82.572	42.7078
53.799999	82.622	42.0952
54.500000	82.680	41.6054
55.200001	82.743	41.1197
56.000000	82.813	40.5618
57.000000	82.878	39.8764
58.000000	82.933	39.1638
59.000000	82.993	38.4875
60.000000	83.058	37.8169
60.799999	83.098	37.2999
61.500000	83.130	36.8619
62.200001	83.164	36.4023
63.000000	83.208	35.8918
64.000000	83.271	35.3173
65.000000	83.322	34.7075
66.000000	83.366	34.1101
67.000000	83.426	33.5356
68.000000	83.474	32.9419
69.000000	83.504	32.3369
70.000000	83.517	31.7606
71.000000	83.541	31.2395
72.000000	83.570	30.7104
73.000000	83.597	30.1416
74.000000	83.634	29.5750
75.000000	83.675	29.1162
76.199997	83.724	28.4953
77.500000	83.747	27.8182
78.800003	83.774	27.2034
80.000000	83.785	26.6369
81.199997	83.807	26.0852
82.500000	83.828	25.4863
83.800003	83.850	24.8959
85.000000	83.874	24.3640
86.199997	83.890	23.8488
87.500000	83.912	23.3190
88.500000	83.923	22.8911
90.000000	83.925	22.2868
91.199997	83.926	21.7468
