* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 22, 2022 4:16:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Moondrop Aria 2021
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.913	-129.1956
20.299999	87.968	-129.9606
20.600000	88.019	-130.7329
20.900000	88.065	-131.5122
21.200001	88.108	-132.2878
21.400000	88.134	-132.7938
21.799999	88.177	-133.7666
22.000000	88.197	-134.2306
22.400000	88.237	-135.1189
22.700001	88.274	-135.7643
23.000000	88.316	-136.4065
23.299999	88.359	-137.0518
23.600000	88.400	-137.6992
24.000000	88.453	-138.5566
24.299999	88.493	-139.1860
24.700001	88.544	-140.0005
25.000000	88.580	-140.5945
25.400000	88.626	-141.3718
25.799999	88.670	-142.1412
26.200001	88.715	-142.9056
26.500000	88.748	-143.4734
26.900000	88.789	-144.2184
27.200001	88.816	-144.7648
27.600000	88.847	-145.4744
28.000000	88.871	-146.1617
28.500000	88.891	-146.9922
29.000000	88.906	-147.7963
29.500000	88.920	-148.5767
30.000000	88.930	-149.3293
30.400000	88.937	-149.9093
30.700001	88.944	-150.3344
31.100000	88.956	-150.8986
31.500000	88.972	-151.4730
32.000000	88.998	-152.2161
32.500000	89.029	-152.9741
33.000000	89.059	-153.7117
33.500000	89.082	-154.4050
34.000000	89.102	-155.0591
34.500000	89.124	-155.7021
35.000000	89.148	-156.3542
35.500000	89.169	-157.0115
36.000000	89.185	-157.6511
36.500000	89.193	-158.2542
37.000000	89.194	-158.8185
37.500000	89.192	-159.3539
38.200001	89.192	-160.0692
38.700001	89.199	-160.5623
39.500000	89.212	-161.3640
40.000000	89.214	-161.8999
40.599998	89.209	-162.5682
41.200001	89.193	-163.2162
41.799999	89.174	-163.8134
42.500000	89.164	-164.4655
43.099998	89.171	-165.0290
43.700001	89.187	-165.6117
44.400002	89.206	-166.2858
45.000000	89.219	-166.8223
45.500000	89.228	-167.2369
46.200001	89.237	-167.7914
46.799999	89.239	-168.2545
47.500000	89.237	-168.7717
48.200001	89.234	-169.2640
48.700001	89.231	-169.6050
49.400002	89.220	-170.0817
50.000000	89.201	-170.5271
50.799999	89.156	-171.2020
51.500000	89.108	-171.7667
52.200001	89.077	-172.2327
53.000000	89.078	-172.8001
53.799999	89.080	-173.5132
54.500000	89.066	-174.0838
55.200001	89.056	-174.4984
56.000000	89.064	-174.9197
57.000000	89.071	-175.5424
58.000000	89.046	-176.1393
59.000000	89.004	-176.6595
60.000000	88.955	-177.1912
60.799999	88.915	-177.6021
61.500000	88.887	-177.9407
62.200001	88.866	-178.2937
63.000000	88.846	-178.7254
64.000000	88.827	-179.2639
65.000000	88.810	-179.7947
66.000000	88.785	179.7568
67.000000	88.768	179.4117
68.000000	88.761	178.9753
69.000000	88.735	178.4125
70.000000	88.684	177.8661
71.000000	88.626	177.3969
72.000000	88.576	176.9874
73.000000	88.543	176.6078
74.000000	88.524	176.2258
75.000000	88.513	175.8502
76.199997	88.500	175.4210
77.500000	88.472	174.9427
78.800003	88.420	174.4888
80.000000	88.363	174.0942
81.199997	88.308	173.7000
82.500000	88.255	173.2565
83.800003	88.216	172.8402
85.000000	88.188	172.4775
86.199997	88.158	172.1298
87.500000	88.115	171.7841
88.500000	88.074	171.5465
90.000000	88.011	171.1859
91.199997	87.966	170.8124
92.500000	87.913	170.4138
93.800003	87.869	170.1145
95.000000	87.845	169.8630
96.199997	87.826	169.6035
97.500000	87.799	169.3276
98.800003	87.758	169.0553
100.000000	87.708	168.8051
101.500000	87.636	168.5093
103.000000	87.570	168.2608
104.400002	87.529	168.0379
106.000000	87.493	167.7477
107.500000	87.450	167.4586
109.000000	87.393	167.1600
110.599998	87.314	166.8792
112.000000	87.255	166.6937
113.800003	87.205	166.4099
115.000000	87.180	166.2595
117.199997	87.139	166.0533
118.000000	87.118	165.9718
120.599998	87.024	165.6052
122.000000	86.959	165.3271
124.099998	86.871	165.1154
125.000000	86.851	165.0963
126.500000	86.831	165.0302
128.000000	86.797	164.8961
131.500000	86.655	164.5744
132.000000	86.637	164.5219
134.000000	86.582	164.3157
136.000000	86.546	164.1578
138.000000	86.501	164.0508
140.000000	86.432	163.9670
143.000000	86.318	163.8187
145.000000	86.265	163.7156
147.500000	86.212	163.5458
150.000000	86.145	163.4150
152.500000	86.071	163.3137
155.000000	86.005	163.2512
157.500000	85.950	163.1871
160.000000	85.888	163.0503
162.500000	85.822	162.9449
165.000000	85.770	162.9354
167.500000	85.725	162.9621
170.000000	85.667	162.9412
172.500000	85.602	162.9037
175.000000	85.549	162.8827
177.500000	85.497	162.8566
180.000000	85.434	162.8348
182.500000	85.374	162.8283
185.000000	85.324	162.8416
187.500000	85.273	162.8730
190.000000	85.209	162.8982
192.500000	85.137	162.9285
195.000000	85.071	162.9734
197.500000	85.013	163.0125
200.000000	84.956	163.0617
203.000000	84.892	163.1473
206.000000	84.833	163.2833
209.000000	84.779	163.4409
212.000000	84.722	163.5095
214.000000	84.685	163.5243
218.000000	84.611	163.5996
220.000000	84.570	163.6734
224.000000	84.491	163.8730
227.000000	84.442	164.0134
230.000000	84.391	164.1240
233.000000	84.341	164.2261
236.000000	84.300	164.3329
240.000000	84.243	164.5157
243.000000	84.197	164.6793
247.000000	84.139	164.9136
250.000000	84.094	165.0896
254.000000	84.039	165.2841
258.000000	83.986	165.4900
262.000000	83.932	165.7314
265.000000	83.894	165.9054
269.000000	83.846	166.1450
272.000000	83.810	166.3206
276.000000	83.764	166.5291
280.000000	83.718	166.7429
285.000000	83.663	167.0261
290.000000	83.610	167.2881
295.000000	83.559	167.5410
300.000000	83.512	167.7993
304.000000	83.478	168.0314
307.000000	83.452	168.2249
311.000000	83.412	168.4570
315.000000	83.373	168.6174
320.000000	83.333	168.8105
325.000000	83.297	169.0642
330.000000	83.258	169.3148
335.000000	83.215	169.5653
340.000000	83.173	169.8356
345.000000	83.136	170.0942
350.000000	83.092	170.3581
355.000000	83.048	170.6268
360.000000	83.009	170.9025
365.000000	82.974	171.1644
370.000000	82.940	171.4191
375.000000	82.901	171.6995
382.000000	82.849	172.1331
387.000000	82.814	172.4235
395.000000	82.758	172.8521
400.000000	82.731	173.1193
406.000000	82.701	173.4907
412.000000	82.659	173.8823
418.000000	82.622	174.2680
425.000000	82.589	174.6830
431.000000	82.553	175.0188
437.000000	82.518	175.3815
444.000000	82.478	175.8057
450.000000	82.443	176.1666
455.000000	82.421	176.4674
462.000000	82.392	176.8846
468.000000	82.370	177.2512
475.000000	82.355	177.6556
482.000000	82.339	178.0638
487.000000	82.318	178.3536
494.000000	82.286	178.7880
500.000000	82.265	179.1952
508.000000	82.235	179.7057
515.000000	82.201	-179.8824
522.000000	82.177	-179.5103
530.000000	82.159	-179.0958
538.000000	82.151	-178.6261
545.000000	82.139	-178.1609
552.000000	82.115	-177.7197
560.000000	82.086	-177.2186
570.000000	82.068	-176.5877
580.000000	82.059	-175.9976
590.000000	82.040	-175.4091
600.000000	82.014	-174.8333
608.000000	81.995	-174.3636
615.000000	81.985	-173.9354
622.000000	81.978	-173.4994
630.000000	81.975	-173.0107
640.000000	81.978	-172.3889
650.000000	81.977	-171.7133
660.000000	81.968	-171.0779
670.000000	81.961	-170.4820
680.000000	81.955	-169.8726
690.000000	81.958	-169.2480
700.000000	81.965	-168.6157
710.000000	81.964	-167.9825
720.000000	81.971	-167.3682
730.000000	81.983	-166.7459
740.000000	81.994	-166.1196
750.000000	82.009	-165.4720
762.000000	82.024	-164.6818
775.000000	82.040	-163.8354
788.000000	82.064	-163.0218
800.000000	82.095	-162.2759
812.000000	82.129	-161.5095
825.000000	82.162	-160.6714
838.000000	82.198	-159.8676
850.000000	82.233	-159.1269
862.000000	82.273	-158.3766
875.000000	82.324	-157.5762
885.000000	82.370	-156.9749
900.000000	82.440	-156.1047
912.000000	82.492	-155.4042
925.000000	82.553	-154.6418
938.000000	82.619	-153.8887
950.000000	82.683	-153.2180
962.000000	82.746	-152.5859
975.000000	82.815	-151.8895
988.000000	82.884	-151.2149
1000.000000	82.952	-150.6160
1015.000000	83.042	-149.8031
1030.000000	83.134	-148.9541
1044.000000	83.229	-148.0980
1060.000000	83.375	-147.0490
1075.000000	83.579	-146.3013
1090.000000	83.807	-146.1564
1106.000000	83.994	-146.5162
1120.000000	84.089	-146.8860
1138.000000	84.136	-147.1220
1150.000000	84.144	-147.0295
1172.000000	84.193	-146.4609
1180.000000	84.225	-146.2266
1206.000000	84.337	-145.6523
1220.000000	84.385	-145.4311
1241.000000	84.425	-145.1757
1250.000000	84.437	-145.1031
1265.000000	84.470	-145.0236
1280.000000	84.545	-144.9767
1315.000000	84.944	-144.9104
1320.000000	85.019	-144.9033
1340.000000	85.320	-144.9015
1360.000000	85.587	-144.9229
1380.000000	85.798	-144.9402
1400.000000	85.953	-144.9788
1430.000000	86.113	-145.0416
1450.000000	86.199	-145.1078
1475.000000	86.304	-145.1940
1500.000000	86.405	-145.2666
1525.000000	86.503	-145.3546
1550.000000	86.603	-145.4480
1575.000000	86.704	-145.5276
1600.000000	86.809	-145.6259
1625.000000	86.917	-145.7286
1650.000000	87.019	-145.8226
1675.000000	87.120	-145.9242
1700.000000	87.227	-146.0278
1725.000000	87.335	-146.1404
1750.000000	87.442	-146.2769
1775.000000	87.549	-146.4302
1800.000000	87.657	-146.5878
1825.000000	87.769	-146.7577
1850.000000	87.883	-146.9410
1875.000000	87.995	-147.1567
1900.000000	88.106	-147.3917
1925.000000	88.216	-147.6368
1950.000000	88.327	-147.8993
1975.000000	88.439	-148.1801
2000.000000	88.551	-148.5011
2030.000000	88.689	-148.9329
