* Measurement data measured by REW V5.20
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2021 3:34:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TRN BA8 R 2 Aug 25
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.858	-143.2535
20.299999	81.890	-143.8118
20.600000	81.917	-144.3793
20.900000	81.950	-144.9507
21.200001	81.963	-145.5128
21.400000	81.973	-145.8723
21.799999	82.003	-146.5419
22.000000	82.020	-146.8489
22.400000	82.046	-147.4135
22.700001	82.081	-147.8105
23.000000	82.125	-148.2042
23.299999	82.161	-148.6060
23.600000	82.195	-149.0188
24.000000	82.237	-149.5836
24.299999	82.263	-150.0126
24.700001	82.304	-150.5881
25.000000	82.334	-151.0221
25.400000	82.359	-151.5990
25.799999	82.376	-152.1536
26.200001	82.391	-152.6562
26.500000	82.403	-152.9921
26.900000	82.425	-153.4026
27.200001	82.441	-153.7114
27.600000	82.465	-154.1619
28.000000	82.497	-154.6642
28.500000	82.512	-155.2979
29.000000	82.521	-155.8330
29.500000	82.538	-156.2653
30.000000	82.577	-156.7108
30.400000	82.611	-157.1385
30.700001	82.629	-157.4917
31.100000	82.645	-157.9514
31.500000	82.652	-158.3487
32.000000	82.667	-158.7512
32.500000	82.696	-159.1382
33.000000	82.718	-159.5992
33.500000	82.734	-160.1167
34.000000	82.745	-160.6059
34.500000	82.755	-161.0269
35.000000	82.777	-161.4213
35.500000	82.801	-161.8496
36.000000	82.818	-162.3110
36.500000	82.842	-162.7498
37.000000	82.860	-163.1201
37.500000	82.873	-163.4377
38.200001	82.894	-163.8975
38.700001	82.901	-164.2703
39.500000	82.894	-164.8626
40.000000	82.877	-165.1972
40.599998	82.898	-165.5963
41.200001	82.920	-166.0320
41.799999	82.938	-166.4843
42.500000	82.950	-166.9725
43.099998	82.952	-167.3382
43.700001	82.960	-167.6757
44.400002	82.985	-168.0853
45.000000	82.993	-168.4757
45.500000	82.994	-168.8025
46.200001	83.007	-169.2133
46.799999	83.019	-169.5449
47.500000	83.029	-169.9626
48.200001	83.034	-170.3566
48.700001	83.029	-170.5909
49.400002	83.017	-170.9031
50.000000	83.021	-171.2014
50.799999	83.047	-171.6523
51.500000	83.056	-172.0918
52.200001	83.042	-172.4148
53.000000	83.034	-172.4995
53.799999	83.079	-172.7835
54.500000	83.107	-173.4225
55.200001	83.082	-173.9492
56.000000	83.069	-174.1898
57.000000	83.080	-174.6730
58.000000	83.055	-175.2286
59.000000	83.058	-175.6377
60.000000	83.071	-176.1211
60.799999	83.070	-176.4649
61.500000	83.065	-176.7487
62.200001	83.063	-177.0167
63.000000	83.075	-177.3229
64.000000	83.087	-177.7593
65.000000	83.074	-178.1362
66.000000	83.072	-178.4828
67.000000	83.085	-178.9036
68.000000	83.081	-179.2930
69.000000	83.074	-179.6696
70.000000	83.051	179.9183
71.000000	83.036	179.6163
72.000000	83.036	179.2936
73.000000	83.025	178.9024
74.000000	83.029	178.5794
75.000000	83.042	178.2606
76.199997	83.043	177.8553
77.500000	83.028	177.4105
78.800003	83.017	177.0322
80.000000	83.000	176.6254
81.199997	82.985	176.2788
82.500000	82.984	175.8786
83.800003	82.974	175.4417
85.000000	82.974	175.0901
86.199997	82.967	174.7080
87.500000	82.958	174.3595
88.500000	82.954	174.0662
90.000000	82.920	173.6475
91.199997	82.906	173.2914
92.500000	82.886	172.9651
93.800003	82.880	172.5884
95.000000	82.875	172.3235
96.199997	82.877	171.9761
97.500000	82.866	171.7114
98.800003	82.846	171.2862
100.000000	82.811	171.1646
101.500000	82.813	170.6609
103.000000	82.789	170.2360
104.400002	82.780	169.9098
106.000000	82.783	169.4789
107.500000	82.761	169.2094
109.000000	82.739	168.8506
110.599998	82.697	168.4697
112.000000	82.682	168.1870
113.800003	82.652	167.7476
115.000000	82.651	167.5016
117.199997	82.635	166.9957
118.000000	82.627	166.8276
