* Measurement data measured by REW V5.20
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2021 3:41:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TRN STM L Aug 25
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.110	-159.5046
20.299999	80.112	-159.9646
20.600000	80.107	-160.4027
20.900000	80.112	-160.8024
21.200001	80.102	-161.1668
21.400000	80.102	-161.4006
21.799999	80.119	-161.8565
22.000000	80.129	-162.0785
22.400000	80.138	-162.4941
22.700001	80.157	-162.7663
23.000000	80.186	-163.0089
23.299999	80.211	-163.2524
23.600000	80.238	-163.5269
24.000000	80.269	-163.9631
24.299999	80.281	-164.3210
24.700001	80.292	-164.7729
25.000000	80.299	-165.0567
25.400000	80.303	-165.3734
25.799999	80.319	-165.7103
26.200001	80.339	-166.1526
26.500000	80.345	-166.5441
26.900000	80.334	-167.0615
27.200001	80.310	-167.3742
27.600000	80.275	-167.6493
28.000000	80.271	-167.8266
28.500000	80.282	-168.1009
29.000000	80.295	-168.5190
29.500000	80.286	-168.9319
30.000000	80.278	-169.1685
30.400000	80.289	-169.2624
30.700001	80.307	-169.3450
31.100000	80.338	-169.5399
31.500000	80.361	-169.8253
32.000000	80.372	-170.2001
32.500000	80.371	-170.4843
33.000000	80.363	-170.6975
33.500000	80.365	-170.9348
34.000000	80.369	-171.2304
34.500000	80.366	-171.5348
35.000000	80.364	-171.8085
35.500000	80.365	-172.0693
36.000000	80.367	-172.3535
36.500000	80.383	-172.6665
37.000000	80.393	-172.9835
37.500000	80.388	-173.2760
38.200001	80.371	-173.6174
38.700001	80.357	-173.8257
39.500000	80.333	-174.1622
40.000000	80.305	-174.3713
40.599998	80.309	-174.5942
41.200001	80.318	-174.8232
41.799999	80.328	-175.1153
42.500000	80.320	-175.4679
43.099998	80.298	-175.6548
43.700001	80.292	-175.7598
44.400002	80.319	-175.9645
45.000000	80.331	-176.3028
45.500000	80.327	-176.6475
46.200001	80.312	-177.0614
46.799999	80.295	-177.2732
47.500000	80.289	-177.4582
48.200001	80.292	-177.6720
48.700001	80.285	-177.8147
49.400002	80.270	-178.0404
50.000000	80.262	-178.3551
50.799999	80.232	-178.7430
51.500000	80.202	-178.7897
52.200001	80.212	-178.8169
53.000000	80.214	-179.1118
53.799999	80.186	-179.4405
54.500000	80.175	-179.6838
55.200001	80.165	-179.8636
56.000000	80.178	-179.9630
57.000000	80.204	179.6118
58.000000	80.170	179.0759
59.000000	80.122	178.8055
60.000000	80.093	178.9305
60.799999	80.131	178.9206
61.500000	80.133	178.4233
62.200001	80.056	178.1083
63.000000	80.018	178.3772
64.000000	80.087	178.1522
65.000000	80.036	177.5604
66.000000	80.006	177.5627
67.000000	80.037	177.2345
68.000000	80.014	176.9135
69.000000	79.994	176.7716
70.000000	79.974	176.5886
71.000000	79.964	176.3380
72.000000	79.928	176.0742
73.000000	79.898	175.9694
74.000000	79.901	175.7198
75.000000	79.876	175.4816
76.199997	79.850	175.4382
77.500000	79.838	175.2828
78.800003	79.819	175.0682
80.000000	79.790	174.9072
81.199997	79.773	174.6763
82.500000	79.737	174.4988
83.800003	79.721	174.3087
85.000000	79.705	174.1644
86.199997	79.690	173.8892
87.500000	79.655	173.8135
88.500000	79.653	173.6073
90.000000	79.591	173.4296
91.199997	79.568	173.2239
92.500000	79.527	173.1210
93.800003	79.510	172.9970
95.000000	79.493	172.8253
96.199997	79.480	172.7160
97.500000	79.453	172.5507
98.800003	79.478	172.2763
100.000000	79.354	171.7312
101.500000	79.372	172.4011
103.000000	79.365	171.7344
104.400002	79.335	171.6570
106.000000	79.330	171.6899
107.500000	79.276	171.4681
109.000000	79.256	171.4681
110.599998	79.196	171.1593
112.000000	79.173	171.3006
113.800003	79.115	171.0072
115.000000	79.134	171.3296
117.199997	79.097	170.8430
118.000000	79.080	170.8479
120.599998	78.987	170.8193
122.000000	78.993	170.7723
124.099998	78.980	170.3171
125.000000	78.947	170.3162
126.500000	78.956	170.3255
128.000000	78.890	170.1426
131.500000	78.787	170.1219
132.000000	78.787	170.1866
134.000000	78.772	170.0142
136.000000	78.738	169.9653
138.000000	78.700	169.8374
140.000000	78.641	169.9904
143.000000	78.592	169.8526
145.000000	78.566	169.7224
147.500000	78.540	169.8080
150.000000	78.493	169.5529
152.500000	78.445	169.6049
155.000000	78.416	169.6119
157.500000	78.416	169.5746
160.000000	78.382	169.7093
162.500000	78.328	169.7764
165.000000	78.334	169.7843
167.500000	78.304	169.8810
170.000000	78.166	170.0492
172.500000	78.094	169.7884
175.000000	78.035	169.6105
177.500000	77.910	169.5848
180.000000	77.862	169.7212
182.500000	77.814	169.7676
185.000000	77.858	169.8632
187.500000	77.865	170.0147
190.000000	77.876	169.9087
192.500000	77.856	170.0153
195.000000	77.814	170.0280
197.500000	77.804	170.1085
200.000000	77.735	170.2893
203.000000	77.695	170.1288
206.000000	77.666	170.1357
209.000000	77.606	170.3016
212.000000	77.568	170.3925
214.000000	77.553	170.6531
