* Measurement data measured by REW V5.20
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2021 3:54:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: TRN TA1 L 2 Aug 25
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.185	-128.9886
20.299999	80.257	-129.5216
20.600000	80.323	-130.0442
20.900000	80.397	-130.5354
21.200001	80.460	-131.0001
21.400000	80.511	-131.3186
21.799999	80.632	-132.0226
22.000000	80.693	-132.4206
22.400000	80.786	-133.2914
22.700001	80.849	-133.9404
23.000000	80.901	-134.5026
23.299999	80.937	-134.9367
23.600000	80.977	-135.2583
24.000000	81.048	-135.6048
24.299999	81.113	-135.9024
24.700001	81.210	-136.4276
25.000000	81.276	-136.8980
25.400000	81.327	-137.5235
25.799999	81.359	-138.0145
26.200001	81.398	-138.3294
26.500000	81.441	-138.5029
26.900000	81.522	-138.7633
27.200001	81.587	-139.0501
27.600000	81.673	-139.5885
28.000000	81.756	-140.2632
28.500000	81.818	-141.1596
29.000000	81.856	-141.9578
29.500000	81.885	-142.5798
30.000000	81.933	-143.0563
30.400000	81.990	-143.4120
30.700001	82.038	-143.7079
31.100000	82.106	-144.1697
31.500000	82.165	-144.6924
32.000000	82.227	-145.3513
32.500000	82.279	-145.9373
33.000000	82.322	-146.4601
33.500000	82.371	-146.9905
34.000000	82.421	-147.5595
34.500000	82.461	-148.1197
35.000000	82.498	-148.6169
35.500000	82.536	-149.0558
36.000000	82.578	-149.4919
36.500000	82.637	-149.9676
37.000000	82.688	-150.4744
37.500000	82.718	-150.9672
38.200001	82.750	-151.5750
38.700001	82.773	-151.9820
39.500000	82.813	-152.7369
40.000000	82.818	-153.2737
40.599998	82.848	-153.8904
41.200001	82.876	-154.4164
41.799999	82.914	-154.8909
42.500000	82.966	-155.4575
43.099998	83.004	-155.9732
43.700001	83.037	-156.5052
44.400002	83.075	-157.1083
45.000000	83.089	-157.5736
45.500000	83.101	-157.9254
46.200001	83.133	-158.3959
46.799999	83.160	-158.8125
47.500000	83.183	-159.3396
48.200001	83.198	-159.8605
48.700001	83.198	-160.1875
49.400002	83.197	-160.6390
50.000000	83.209	-161.1093
50.799999	83.233	-161.7641
51.500000	83.253	-162.2583
52.200001	83.277	-162.7693
53.000000	83.281	-163.3041
53.799999	83.295	-163.7290
54.500000	83.329	-164.2335
55.200001	83.336	-164.6952
56.000000	83.364	-164.9524
57.000000	83.419	-165.6720
58.000000	83.383	-166.4102
59.000000	83.407	-166.8138
60.000000	83.430	-167.6830
60.799999	83.400	-168.2262
61.500000	83.377	-168.5920
62.200001	83.360	-168.8907
63.000000	83.376	-169.1613
64.000000	83.407	-169.7729
65.000000	83.383	-170.1793
66.000000	83.418	-170.4774
67.000000	83.454	-171.2004
68.000000	83.434	-171.7975
69.000000	83.411	-172.2176
70.000000	83.396	-172.6435
71.000000	83.396	-173.0459
72.000000	83.414	-173.4984
73.000000	83.408	-174.0723
74.000000	83.412	-174.4164
75.000000	83.435	-174.8365
76.199997	83.418	-175.2956
77.500000	83.403	-175.8192
78.800003	83.371	-176.2720
80.000000	83.354	-176.7467
81.199997	83.342	-177.2347
82.500000	83.325	-177.7824
83.800003	83.317	-178.1829
85.000000	83.308	-178.6637
86.199997	83.296	-178.9982
87.500000	83.283	-179.5225
88.500000	83.270	-179.8077
90.000000	83.246	179.4927
91.199997	83.203	179.1032
92.500000	83.189	178.7636
93.800003	83.169	178.3394
95.000000	83.158	178.1140
96.199997	83.165	177.6833
97.500000	83.132	177.3295
98.800003	83.119	176.8420
