* Measurement data measured by REW V5.20.4
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.530
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Mar 24, 2022 10:49:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim OLA L2
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.298	-123.7699
20.299999	74.367	-124.8156
20.600000	74.379	-125.6838
20.900000	74.368	-126.1702
21.200001	74.351	-126.1901
21.400000	74.376	-126.0286
21.799999	74.525	-125.6269
22.000000	74.640	-125.5671
22.400000	74.893	-126.0213
22.700001	75.076	-126.8613
23.000000	75.210	-127.9668
23.299999	75.273	-129.1109
23.600000	75.286	-130.1171
24.000000	75.260	-131.0681
24.299999	75.238	-131.4887
24.700001	75.249	-131.8163
25.000000	75.289	-132.0364
25.400000	75.353	-132.4311
25.799999	75.424	-132.9659
26.200001	75.493	-133.5842
26.500000	75.542	-134.0698
26.900000	75.605	-134.7320
27.200001	75.643	-135.2355
27.600000	75.685	-135.8970
28.000000	75.733	-136.5029
28.500000	75.782	-137.1396
29.000000	75.849	-137.6993
29.500000	75.922	-138.2829
30.000000	75.993	-138.8823
30.400000	76.043	-139.2985
30.700001	76.078	-139.5528
31.100000	76.137	-139.8555
31.500000	76.203	-140.1953
32.000000	76.285	-140.7455
32.500000	76.345	-141.3589
33.000000	76.376	-141.8844
33.500000	76.413	-142.3103
34.000000	76.469	-142.7685
34.500000	76.522	-143.3309
35.000000	76.562	-143.9118
35.500000	76.592	-144.3982
36.000000	76.630	-144.8119
36.500000	76.696	-145.2604
37.000000	76.754	-145.7795
37.500000	76.787	-146.2880
38.200001	76.818	-146.8442
38.700001	76.846	-147.1813
39.500000	76.893	-147.8410
40.000000	76.900	-148.3175
40.599998	76.931	-148.8448
41.200001	76.962	-149.2775
41.799999	77.006	-149.6891
42.500000	77.062	-150.2448
43.099998	77.094	-150.7528
43.700001	77.122	-151.2145
44.400002	77.169	-151.7062
45.000000	77.202	-152.1368
45.500000	77.227	-152.4924
46.200001	77.280	-152.9682
46.799999	77.327	-153.4152
47.500000	77.363	-154.0182
48.200001	77.376	-154.5468
48.700001	77.372	-154.8071
49.400002	77.371	-155.1063
50.000000	77.387	-155.4157
50.799999	77.425	-155.8664
51.500000	77.458	-156.2405
52.200001	77.492	-156.6483
53.000000	77.511	-157.1434
53.799999	77.520	-157.6051
54.500000	77.547	-158.0074
55.200001	77.576	-158.4271
