* Measurement data measured by REW V5.20
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 27, 2021 7:57:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tri i3 Pro R 3 Aug 27
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.592	147.2187
20.299999	88.521	147.0343
20.600000	88.446	146.8421
20.900000	88.380	146.6425
21.200001	88.296	146.4420
21.400000	88.245	146.3091
21.799999	88.160	146.0358
22.000000	88.122	145.8891
22.400000	88.036	145.5620
22.700001	87.985	145.2880
23.000000	87.939	145.0016
23.299999	87.881	144.7173
23.600000	87.824	144.4418
24.000000	87.750	144.0869
24.299999	87.695	143.8228
24.700001	87.633	143.4700
25.000000	87.590	143.2131
25.400000	87.522	142.8998
25.799999	87.456	142.6351
26.200001	87.396	142.4139
26.500000	87.354	142.2649
26.900000	87.301	142.0750
27.200001	87.255	141.9354
27.600000	87.188	141.7560
28.000000	87.129	141.5956
28.500000	87.040	141.4382
29.000000	86.955	141.3238
29.500000	86.872	141.2101
30.000000	86.797	141.0465
30.400000	86.734	140.8794
30.700001	86.680	140.7501
31.100000	86.608	140.5958
31.500000	86.535	140.4641
32.000000	86.454	140.2970
32.500000	86.379	140.0884
33.000000	86.291	139.8543
33.500000	86.204	139.6427
34.000000	86.127	139.4724
34.500000	86.057	139.3251
35.000000	85.996	139.1862
35.500000	85.935	139.0549
36.000000	85.873	138.9309
36.500000	85.825	138.8191
37.000000	85.772	138.7363
37.500000	85.707	138.6865
38.200001	85.611	138.6154
38.700001	85.534	138.5324
39.500000	85.393	138.4033
40.000000	85.293	138.3494
40.599998	85.215	138.2848
41.200001	85.140	138.2045
41.799999	85.070	138.1207
42.500000	84.989	138.0242
43.099998	84.915	137.9514
43.700001	84.845	137.8920
44.400002	84.774	137.8192
45.000000	84.698	137.7690
45.500000	84.636	137.7604
46.200001	84.570	137.7525
46.799999	84.511	137.6890
47.500000	84.427	137.6220
48.200001	84.347	137.6436
48.700001	84.289	137.6511
49.400002	84.195	137.5729
50.000000	84.110	137.5086
50.799999	84.021	137.5594
51.500000	83.959	137.6386
52.200001	83.901	137.6605
53.000000	83.815	137.6859
53.799999	83.727	137.7375
54.500000	83.667	137.7634
55.200001	83.608	137.7912
56.000000	83.545	137.8214
57.000000	83.441	137.8279
58.000000	83.327	137.9258
59.000000	83.240	138.0667
60.000000	83.167	138.1564
60.799999	83.098	138.1834
61.500000	83.027	138.1978
62.200001	82.955	138.2475
