* Measurement data measured by REW V5.20
* Source: Microphone (USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 17, 2021 7:24:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yuan Li FINAL R 5 Aug 17
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.586	-169.9171
20.299999	85.585	-170.5766
20.600000	85.570	-171.2620
20.900000	85.551	-171.9198
21.200001	85.506	-172.4874
21.400000	85.480	-172.7947
21.799999	85.453	-173.2616
22.000000	85.453	-173.4521
22.400000	85.467	-173.8523
22.700001	85.504	-174.2513
23.000000	85.545	-174.7708
23.299999	85.563	-175.3725
23.600000	85.561	-175.9892
24.000000	85.531	-176.7195
24.299999	85.499	-177.1438
24.700001	85.472	-177.5639
25.000000	85.467	-177.8380
25.400000	85.464	-178.2479
25.799999	85.462	-178.7556
26.200001	85.452	-179.3175
26.500000	85.437	-179.7285
26.900000	85.414	179.7651
27.200001	85.393	179.4034
27.600000	85.365	178.9078
28.000000	85.347	178.3790
28.500000	85.301	177.7299
29.000000	85.255	177.1895
29.500000	85.222	176.7383
30.000000	85.213	176.2422
30.400000	85.208	175.7626
30.700001	85.195	175.3759
31.100000	85.170	174.8863
31.500000	85.138	174.4695
32.000000	85.106	174.0367
32.500000	85.087	173.6091
33.000000	85.057	173.1249
33.500000	85.018	172.6233
34.000000	84.978	172.1777
34.500000	84.940	171.8023
35.000000	84.913	171.4490
35.500000	84.889	171.0676
36.000000	84.861	170.6570
36.500000	84.845	170.2484
37.000000	84.823	169.8637
37.500000	84.791	169.4944
38.200001	84.738	168.9721
38.700001	84.691	168.5996
39.500000	84.606	168.0444
40.000000	84.543	167.7227
40.599998	84.507	167.3506
41.200001	84.475	166.9863
41.799999	84.448	166.6140
42.500000	84.412	166.1558
43.099998	84.368	165.7751
43.700001	84.322	165.4476
44.400002	84.283	165.1157
45.000000	84.243	164.8185
45.500000	84.207	164.5464
46.200001	84.164	164.1704
46.799999	84.122	163.8936
47.500000	84.077	163.5872
48.200001	84.035	163.2228
48.700001	83.990	162.9458
49.400002	83.906	162.6184
50.000000	83.848	162.3971
50.799999	83.806	162.0974
51.500000	83.772	161.8058
52.200001	83.735	161.4935
