* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 16 Sep, 2020 6:11:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 16 18:11:05
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 51.192, -48.993
10.293, 51.376, -49.607
10.443, 51.580, -50.246
10.595, 51.788, -50.965
10.749, 51.995, -51.799
10.905, 52.199, -52.732
11.064, 52.389, -53.730
11.225, 52.564, -54.809
11.388, 52.721, -55.878
11.554, 52.855, -56.934
11.722, 52.974, -57.914
11.892, 53.078, -58.765
12.065, 53.175, -59.490
12.241, 53.278, -60.046
12.419, 53.389, -60.473
12.599, 53.526, -60.821
12.782, 53.685, -61.132
12.968, 53.873, -61.539
13.157, 54.081, -62.062
13.348, 54.298, -62.817
13.543, 54.515, -63.780
13.740, 54.712, -64.975
13.939, 54.883, -66.314
14.142, 55.014, -67.755
14.348, 55.109, -69.148
14.557, 55.164, -70.440
14.768, 55.200, -71.492
14.983, 55.224, -72.289
15.201, 55.266, -72.808
15.422, 55.335, -73.149
15.646, 55.447, -73.385
15.874, 55.597, -73.722
16.105, 55.777, -74.212
16.339, 55.962, -74.958
16.577, 56.133, -75.869
16.818, 56.277, -76.893
17.063, 56.386, -77.835
17.311, 56.478, -78.581
17.563, 56.565, -79.058
17.818, 56.683, -79.273
18.077, 56.843, -79.412
18.340, 57.048, -79.622
18.607, 57.281, -80.107
18.877, 57.503, -80.913
19.152, 57.687, -81.925
19.431, 57.818, -82.983
19.713, 57.896, -83.835
20.000, 57.957, -84.327
20.291, 58.036, -84.530
20.586, 58.152, -84.633
20.885, 58.302, -84.908
21.189, 58.444, -85.556
21.497, 58.520, -86.443
21.810, 58.508, -87.179
22.127, 58.434, -87.318
22.449, 58.378, -86.597
22.776, 58.446, -85.209
23.107, 58.703, -83.908
23.443, 59.107, -83.621
23.784, 59.524, -84.745
24.130, 59.832, -86.980
24.481, 59.972, -89.651
24.837, 59.963, -92.050
25.198, 59.879, -93.711
25.565, 59.820, -94.628
25.937, 59.850, -95.225
26.314, 59.958, -96.009
26.697, 60.087, -97.186
27.085, 60.186, -98.585
27.479, 60.244, -99.883
27.879, 60.289, -100.848
28.284, 60.358, -101.449
28.696, 60.480, -101.835
29.113, 60.663, -102.256
29.537, 60.884, -102.974
29.966, 61.094, -104.112
30.402, 61.237, -105.502
30.844, 61.293, -106.716
31.293, 61.311, -107.349
31.748, 61.380, -107.468
32.210, 61.540, -107.699
32.678, 61.723, -108.586
33.154, 61.825, -109.987
33.636, 61.817, -111.201
34.125, 61.785, -111.727
34.621, 61.833, -111.811
35.125, 61.975, -112.187
35.636, 62.123, -113.178
36.154, 62.204, -114.434
36.680, 62.234, -115.413
37.214, 62.283, -115.969
37.755, 62.400, -116.480
38.304, 62.553, -117.410
38.861, 62.655, -118.770
39.427, 62.663, -120.032
40.000, 62.645, -120.688
40.582, 62.700, -121.011
41.172, 62.811, -121.795
41.771, 62.861, -123.063
42.379, 62.819, -124.016
42.995, 62.810, -124.308
43.620, 62.900, -124.606
44.255, 63.006, -125.320
44.898, 63.097, -125.913
45.552, 63.266, -126.408
46.214, 63.486, -127.726
46.886, 63.554, -129.794
47.568, 63.428, -130.986
48.260, 63.366, -130.688
48.962, 63.492, -130.562
49.674, 63.590, -131.380
50.397, 63.585, -132.026
51.130, 63.623, -132.309
51.874, 63.695, -133.045
52.628, 63.710, -133.968
53.394, 63.721, -134.588
54.170, 63.779, -135.125
54.958, 63.880, -135.741
55.758, 64.013, -136.633
56.569, 64.121, -137.780
57.391, 64.205, -138.924
58.226, 64.261, -140.230
59.073, 64.251, -141.481
59.932, 64.231, -142.493
60.804, 64.208, -143.685
61.688, 64.135, -144.894
62.586, 64.059, -145.900
63.496, 63.996, -147.017
64.420, 63.870, -148.279
65.357, 63.666, -148.801
66.307, 63.547, -148.633
67.272, 63.438, -148.678
68.250, 63.312, -148.140
69.243, 63.246, -147.772
70.250, 63.091, -146.835
71.272, 63.206, -145.226
72.309, 63.384, -145.630
73.360, 63.398, -145.842
74.427, 63.502, -145.834
75.510, 63.589, -146.062
76.608, 63.690, -146.135
77.723, 63.812, -146.243
78.853, 63.924, -146.775
80.000, 63.959, -147.092
81.164, 64.055, -147.361
82.344, 64.121, -147.937
83.542, 64.202, -148.468
84.757, 64.260, -149.186
85.990, 64.321, -149.634
87.241, 64.384, -150.371
88.510, 64.404, -150.801
89.797, 64.443, -151.460
91.103, 64.447, -151.834
92.428, 64.494, -152.372
93.773, 64.584, -152.981
95.137, 64.572, -154.183
96.520, 64.597, -154.213
97.924, 64.649, -154.870
99.349, 64.761, -155.270
100.794, 64.734, -156.506
102.260, 64.749, -156.718
103.747, 64.742, -157.443
105.256, 64.746, -158.131
106.787, 64.711, -158.723
108.340, 64.696, -159.408
109.916, 64.641, -159.957
111.515, 64.625, -160.330
113.137, 64.606, -160.405
114.783, 64.613, -160.664
116.452, 64.615, -160.625
118.146, 64.658, -161.174
119.865, 64.657, -161.283
121.608, 64.703, -161.980
123.377, 64.710, -162.579
125.171, 64.739, -162.709
126.992, 64.729, -163.414
128.839, 64.742, -163.787
130.713, 64.737, -164.354
132.615, 64.722, -164.752
134.543, 64.706, -165.311
136.500, 64.706, -165.770
138.486, 64.713, -166.537
140.500, 64.661, -167.102
142.544, 64.638, -167.245
144.617, 64.593, -167.831
146.721, 64.558, -168.304
148.855, 64.519, -168.613
151.020, 64.443, -169.104
153.217, 64.385, -169.291
155.445, 64.316, -169.315
157.706, 64.249, -169.437
160.000, 64.225, -169.072
162.327, 64.211, -169.107
164.688, 64.184, -168.799
167.084, 64.232, -168.869
169.514, 64.258, -168.868
171.980, 64.293, -168.996
174.481, 64.314, -169.087
177.019, 64.328, -169.094
179.594, 64.362, -169.437
182.206, 64.382, -169.730
184.856, 64.412, -169.969
187.545, 64.427, -170.396
190.273, 64.460, -170.716
193.041, 64.485, -171.164
195.849, 64.509, -171.680
198.697, 64.473, -172.124
201.587, 64.521, -172.878
204.520, 64.515, -173.459
207.494, 64.478, -174.127
210.512, 64.494, -174.650
213.574, 64.390, -175.028
216.681, 64.336, -176.015
219.833, 64.255, -176.633
223.030, 64.177, -176.936
226.274, 64.054, -177.588
229.565, 63.978, -177.867
232.905, 63.864, -177.878
236.292, 63.742, -178.060
239.729, 63.660, -178.232
243.216, 63.564, -177.994
246.754, 63.467, -177.714
250.343, 63.407, -177.560
253.984, 63.377, -177.348
257.678, 63.369, -177.566
261.426, 63.317, -177.742
265.229, 63.251, -178.488
269.087, 63.098, -178.874
273.001, 62.842, -178.710
276.972, 62.678, -177.470
281.000, 62.679, -176.497
285.088, 62.670, -176.329
289.234, 62.645, -176.447
293.441, 62.540, -176.628
297.710, 62.407, -176.599
302.040, 62.154, -175.805
306.433, 61.998, -173.773
310.890, 62.060, -172.141
