* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 23 Sep, 2020 8:01:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 23 20:01:59
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 46.498, 140.347
10.293, 46.575, 140.899
10.443, 46.658, 141.276
10.595, 46.828, 141.281
10.749, 47.022, 140.895
10.905, 47.207, 139.918
11.064, 47.373, 138.454
11.225, 47.471, 136.589
11.388, 47.502, 134.379
11.554, 47.439, 132.157
11.722, 47.286, 129.960
11.892, 47.055, 128.254
12.065, 46.760, 127.066
12.241, 46.472, 126.821
12.419, 46.222, 127.397
12.599, 46.133, 128.704
12.782, 46.202, 130.287
12.968, 46.492, 131.424
13.157, 46.907, 131.749
13.348, 47.413, 130.796
13.543, 47.890, 128.786
13.740, 48.307, 125.731
13.939, 48.596, 122.169
14.142, 48.753, 118.333
14.348, 48.758, 114.643
14.557, 48.640, 111.581
14.768, 48.414, 109.389
14.983, 48.163, 108.537
15.201, 47.971, 108.901
15.422, 47.917, 110.442
15.646, 48.076, 112.227
15.874, 48.402, 113.740
16.105, 48.852, 114.418
16.339, 49.296, 114.182
16.577, 49.686, 113.339
16.818, 49.985, 112.173
17.063, 50.193, 111.144
17.311, 50.353, 110.463
17.563, 50.501, 110.130
17.818, 50.677, 110.028
18.077, 50.890, 109.785
18.340, 51.099, 109.151
18.607, 51.256, 108.108
18.877, 51.311, 106.827
19.152, 51.231, 105.716
19.431, 51.034, 105.387
19.713, 50.811, 106.299
20.000, 50.694, 108.435
20.291, 50.798, 111.161
20.586, 51.158, 113.374
20.885, 51.673, 114.058
21.189, 52.176, 112.959
21.497, 52.533, 110.529
21.810, 52.682, 107.497
22.127, 52.620, 104.630
22.449, 52.399, 102.597
22.776, 52.115, 101.803
23.107, 51.882, 102.220
23.443, 51.779, 103.402
23.784, 51.817, 104.800
24.130, 51.964, 106.111
24.481, 52.201, 107.278
24.837, 52.534, 108.195
25.198, 52.960, 108.516
25.565, 53.419, 107.864
25.937, 53.810, 106.203
26.314, 54.044, 103.974
26.697, 54.095, 101.942
27.085, 54.023, 100.843
27.479, 53.961, 100.909
27.879, 54.025, 101.592
28.284, 54.213, 102.004
28.696, 54.433, 101.721
29.113, 54.600, 100.999
29.537, 54.713, 100.321
29.966, 54.830, 99.814
30.402, 54.977, 99.196
30.844, 55.117, 98.231
31.293, 55.195, 97.162
31.748, 55.221, 96.504
32.210, 55.278, 96.485
32.678, 55.440, 96.705
33.154, 55.686, 96.591
33.636, 55.933, 96.016
34.125, 56.138, 95.335
34.621, 56.325, 94.842
35.125, 56.534, 94.443
35.636, 56.758, 93.851
36.154, 56.954, 92.948
36.680, 57.083, 91.868
37.214, 57.124, 90.861
37.755, 57.082, 90.343
38.304, 57.030, 90.776
38.861, 57.132, 91.971
39.427, 57.456, 92.589
40.000, 57.830, 91.473
40.582, 58.005, 89.258
41.172, 57.969, 87.671
41.771, 57.950, 87.466
42.379, 58.112, 87.489
42.995, 58.318, 86.603
43.620, 58.408, 85.441
44.255, 58.429, 84.946
44.898, 58.497, 85.085
45.552, 58.646, 85.319
46.214, 58.847, 85.220
46.886, 59.024, 84.706
47.568, 59.153, 84.336
48.260, 59.354, 84.279
48.962, 59.663, 83.452
49.674, 59.891, 81.424
50.397, 59.915, 79.320
51.130, 59.817, 78.284
51.874, 59.785, 78.550
52.628, 59.948, 78.952
53.394, 60.130, 78.343
54.170, 60.187, 77.933
54.958, 60.340, 78.139
55.758, 60.553, 77.260
56.569, 60.586, 76.107
57.391, 60.608, 75.898
58.226, 60.724, 75.678
59.073, 60.869, 75.346
59.932, 61.059, 74.713
60.804, 61.214, 73.873
61.688, 61.408, 72.988
62.586, 61.537, 71.122
63.496, 61.415, 69.747
64.420, 61.360, 70.118
65.357, 61.552, 69.742
66.307, 61.563, 67.832
67.272, 61.404, 67.782
68.250, 61.599, 67.992
69.243, 61.638, 66.517
70.250, 61.616, 67.160
71.272, 61.862, 67.046
72.309, 61.964, 66.683
73.360, 62.235, 65.953
74.427, 62.238, 63.775
75.510, 62.175, 63.483
76.608, 62.284, 62.566
77.723, 62.324, 60.878
78.853, 62.125, 59.154
80.000, 61.972, 59.821
81.164, 62.076, 59.270
82.344, 61.956, 58.037
83.542, 61.680, 58.435
84.757, 61.758, 60.647
85.990, 61.951, 60.594
87.241, 61.988, 61.151
88.510, 61.961, 61.545
89.797, 61.988, 63.578
91.103, 62.156, 63.979
92.428, 62.227, 65.050
93.773, 62.782, 65.114
95.137, 62.691, 61.873
96.520, 63.078, 64.450
97.924, 63.113, 60.592
99.349, 63.144, 62.252
100.794, 63.434, 63.174
102.260, 63.744, 59.474
103.747, 63.779, 60.516
105.256, 63.937, 59.439
106.787, 64.204, 58.521
108.340, 64.034, 58.044
109.916, 64.027, 58.003
111.515, 64.094, 56.932
113.137, 64.119, 56.659
114.783, 64.435, 56.495
116.452, 64.451, 56.727
118.146, 64.578, 55.645
119.865, 64.845, 56.734
121.608, 64.731, 55.107
123.377, 64.783, 55.127
125.171, 65.144, 53.912
126.992, 64.873, 53.465
128.839, 65.525, 55.320
130.713, 65.521, 52.156
132.615, 65.367, 52.354
134.543, 65.579, 51.812
136.500, 65.601, 51.214
138.486, 65.597, 51.114
140.500, 65.744, 49.154
142.544, 65.744, 49.949
144.617, 65.846, 48.751
146.721, 65.939, 48.101
148.855, 65.886, 46.943
151.020, 65.951, 46.331
153.217, 66.125, 45.648
155.445, 66.041, 44.980
157.706, 66.320, 45.313
160.000, 66.377, 44.697
162.327, 66.454, 43.500
164.688, 66.451, 42.702
167.084, 66.523, 42.446
169.514, 66.548, 41.144
171.980, 66.747, 40.653
174.481, 66.658, 40.113
177.019, 66.756, 39.974
179.594, 66.805, 37.278
182.206, 66.952, 37.190
184.856, 66.929, 37.226
187.545, 66.986, 36.455
190.273, 66.972, 35.145
193.041, 66.984, 34.741
195.849, 66.905, 33.899
198.697, 67.015, 33.518
201.587, 67.038, 32.987
204.520, 66.994, 32.334
207.494, 67.033, 31.244
210.512, 66.930, 31.396
213.574, 67.027, 31.289
216.681, 67.019, 30.380
219.833, 66.918, 29.391
223.030, 66.997, 28.665
226.274, 67.088, 27.389
229.565, 67.022, 26.599
232.905, 66.976, 26.190
236.292, 66.703, 25.858
239.729, 66.654, 25.436
243.216, 66.570, 25.761
246.754, 66.368, 26.635
250.343, 66.441, 26.815
253.984, 66.403, 27.423
257.678, 66.482, 27.439
261.426, 66.502, 27.526
265.229, 66.680, 28.541
269.087, 66.710, 28.411
273.001, 66.729, 28.361
276.972, 66.822, 27.615
281.000, 66.873, 27.754
285.088, 67.000, 27.098
289.234, 66.993, 26.901
293.441, 67.105, 26.552
297.710, 67.114, 26.141
302.040, 67.136, 25.856
306.433, 67.068, 25.865
310.890, 67.189, 24.736
315.412, 67.275, 24.918
320.000, 67.236, 24.342
324.655, 67.296, 24.216
329.377, 67.310, 24.133
334.168, 67.321, 23.602
339.028, 67.327, 23.250
343.959, 67.315, 23.428
348.962, 67.337, 22.513
354.038, 67.478, 22.585
359.188, 67.476, 22.704
364.412, 67.573, 22.136
369.713, 67.534, 22.232
375.090, 67.487, 22.016
380.546, 67.540, 21.122
386.081, 67.583, 21.203
391.697, 67.615, 20.937
397.395, 67.678, 20.795
403.175, 67.711, 19.876
409.039, 67.779, 19.670
414.989, 67.777, 19.684
421.025, 67.826, 19.416
427.149, 67.922, 18.767
433.362, 67.926, 18.601
439.665, 68.144, 18.173
446.060, 68.128, 17.060
452.548, 68.071, 17.092
459.131, 68.176, 15.598
465.809, 68.236, 14.585
472.584, 68.229, 12.994
479.458, 68.263, 10.849
486.432, 68.331, 7.997
493.507, 68.055, 3.655
500.686, 67.318, -1.139
507.968, 65.748, -1.237
515.357, 64.403, 6.740
522.853, 64.541, 17.038
530.458, 65.223, 21.238
538.174, 65.905, 24.153
546.002, 66.419, 23.599
553.943, 66.736, 22.683
562.001, 66.914, 22.935
570.175, 67.019, 22.731
578.469, 67.301, 22.649
586.883, 67.405, 21.779
595.419, 67.435, 21.644
604.080, 67.517, 22.004
612.866, 67.558, 20.594
621.780, 67.768, 20.844
630.824, 67.810, 20.435
640.000, 67.903, 19.791
649.309, 67.879, 19.571
658.753, 68.093, 18.372
668.335, 68.008, 18.702
678.056, 68.169, 18.664
687.919, 68.243, 17.553
697.925, 68.203, 17.174
708.076, 68.182, 16.503
718.376, 68.288, 15.770
728.825, 68.293, 16.171
739.426, 68.254, 15.335
750.181, 68.282, 15.366
761.093, 68.336, 14.695
772.163, 68.394, 14.062
783.394, 68.464, 13.770
794.789, 68.470, 13.172
806.349, 68.419, 11.990
818.078, 68.414, 12.607
829.977, 68.457, 10.902
842.050, 68.356, 10.954
854.297, 68.294, 11.094
866.724, 68.252, 9.448
879.330, 68.261, 8.934
892.120, 68.362, 8.916
905.097, 68.290, 8.012
918.262, 68.311, 7.230
