* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 16 Sep, 2020 7:07:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 16 19:07:02
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 67.981, -103.839
10.293, 68.104, -104.605
10.443, 68.259, -105.493
10.595, 68.417, -106.540
10.749, 68.565, -107.782
10.905, 68.704, -109.197
11.064, 68.815, -110.695
11.225, 68.899, -112.304
11.388, 68.955, -113.883
11.554, 68.977, -115.422
11.722, 68.975, -116.841
11.892, 68.951, -118.071
12.065, 68.916, -119.116
12.241, 68.884, -119.925
12.419, 68.859, -120.539
12.599, 68.860, -121.008
12.782, 68.885, -121.367
12.968, 68.940, -121.745
13.157, 69.021, -122.156
13.348, 69.120, -122.711
13.543, 69.230, -123.396
13.740, 69.339, -124.246
13.939, 69.442, -125.220
14.142, 69.531, -126.303
14.348, 69.605, -127.437
14.557, 69.662, -128.602
14.768, 69.708, -129.752
14.983, 69.741, -130.880
15.201, 69.767, -131.968
15.422, 69.789, -133.021
15.646, 69.807, -134.040
15.874, 69.824, -135.033
16.105, 69.840, -136.001
16.339, 69.856, -136.949
16.577, 69.871, -137.876
16.818, 69.887, -138.782
17.063, 69.904, -139.670
17.311, 69.923, -140.543
17.563, 69.944, -141.405
17.818, 69.968, -142.263
18.077, 69.995, -143.123
18.340, 70.023, -143.986
18.607, 70.053, -144.856
18.877, 70.083, -145.731
19.152, 70.115, -146.613
19.431, 70.148, -147.505
19.713, 70.182, -148.418
20.000, 70.215, -149.367
20.291, 70.244, -150.360
20.586, 70.263, -151.388
20.885, 70.267, -152.419
21.189, 70.254, -153.390
21.497, 70.230, -154.222
21.810, 70.211, -154.878
22.127, 70.212, -155.391
22.449, 70.246, -155.871
22.776, 70.314, -156.478
23.107, 70.396, -157.348
23.443, 70.465, -158.510
23.784, 70.493, -159.849
