* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 15 Sep, 2020 2:01:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 15 14:01:02
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 60.354, -64.379
10.293, 60.544, -65.434
10.443, 60.725, -66.571
10.595, 60.893, -67.788
10.749, 61.040, -69.055
10.905, 61.167, -70.367
11.064, 61.275, -71.623
11.225, 61.361, -72.835
11.388, 61.438, -73.943
11.554, 61.503, -74.918
11.722, 61.569, -75.783
11.892, 61.643, -76.521
12.065, 61.727, -77.182
12.241, 61.830, -77.816
12.419, 61.947, -78.445
12.599, 62.078, -79.153
12.782, 62.217, -79.930
12.968, 62.356, -80.816
13.157, 62.492, -81.788
13.348, 62.615, -82.821
13.543, 62.728, -83.887
13.740, 62.828, -84.935
13.939, 62.920, -85.948
14.142, 63.005, -86.893
14.348, 63.092, -87.782
14.557, 63.183, -88.613
14.768, 63.280, -89.429
14.983, 63.385, -90.239
15.201, 63.493, -91.078
15.422, 63.602, -91.939
15.646, 63.708, -92.825
15.874, 63.809, -93.699
16.105, 63.906, -94.548
16.339, 64.002, -95.341
16.577, 64.101, -96.085
16.818, 64.207, -96.786
17.063, 64.324, -97.490
17.311, 64.447, -98.232
17.563, 64.573, -99.038
17.818, 64.692, -99.921
18.077, 64.797, -100.837
18.340, 64.885, -101.739
18.607, 64.954, -102.554
18.877, 65.016, -103.211
19.152, 65.083, -103.708
19.431, 65.168, -104.075
19.713, 65.282, -104.407
20.000, 65.423, -104.850
20.291, 65.574, -105.487
20.586, 65.718, -106.344
20.885, 65.834, -107.374
21.189, 65.909, -108.439
21.497, 65.950, -109.373
21.810, 65.975, -110.073
22.127, 66.010, -110.537
22.449, 66.078, -110.872
22.776, 66.186, -111.264
23.107, 66.320, -111.895
23.443, 66.451, -112.835
23.784, 66.550, -114.009
24.130, 66.606, -115.240
24.481, 66.624, -116.348
24.837, 66.629, -117.234
25.198, 66.645, -117.921
25.565, 66.685, -118.531
25.937, 66.747, -119.194
26.314, 66.815, -119.964
26.697, 66.875, -120.797
27.085, 66.926, -121.605
27.479, 66.978, -122.343
27.879, 67.042, -123.056
28.284, 67.115, -123.837
28.696, 67.180, -124.720
29.113, 67.221, -125.614
29.537, 67.241, -126.344
29.966, 67.270, -126.824
30.402, 67.339, -127.194
30.844, 67.447, -127.749
31.293, 67.551, -128.663
31.748, 67.601, -129.766
32.210, 67.591, -130.642
32.678, 67.581, -131.035
33.154, 67.639, -131.164
33.636, 67.767, -131.581
34.125, 67.893, -132.555
34.621, 67.947, -133.807
35.125, 67.935, -134.816
35.636, 67.922, -135.385
36.154, 67.958, -135.777
36.680, 68.027, -136.351
37.214, 68.085, -137.156
37.755, 68.108, -137.984
38.304, 68.105, -138.618
38.861, 68.112, -138.970
39.427, 68.165, -139.195
40.000, 68.259, -139.664
40.582, 68.336, -140.495
41.172, 68.361, -141.325
41.771, 68.381, -141.934
42.379, 68.426, -142.690
42.995, 68.409, -143.721
43.620, 68.300, -144.194
44.255, 68.275, -143.641
44.898, 68.454, -143.500
45.552, 68.617, -144.848
46.214, 68.557, -146.448
46.886, 68.415, -146.675
47.568, 68.463, -146.185
48.260, 68.639, -146.715
48.962, 68.715, -148.179
49.674, 68.653, -149.360
50.397, 68.590, -149.742
51.130, 68.620, -149.946
51.874, 68.679, -150.525
52.628, 68.710, -151.189
53.394, 68.741, -151.818
54.170, 68.747, -152.504
54.958, 68.737, -152.876
55.758, 68.779, -153.231
56.569, 68.798, -153.883
57.391, 68.803, -154.354
58.226, 68.820, -155.118
59.073, 68.751, -155.678
59.932, 68.810, -155.697
60.804, 68.900, -157.258
61.688, 68.693, -158.336
62.586, 68.689, -157.372
63.496, 68.912, -158.217
64.420, 68.874, -159.608
65.357, 68.869, -159.729
66.307, 68.941, -160.589
67.272, 68.847, -161.414
68.250, 68.803, -161.317
69.243, 68.793, -161.997
70.250, 68.629, -161.937
71.272, 68.741, -161.327
72.309, 68.841, -162.917
73.360, 68.687, -164.095
74.427, 68.591, -163.945
75.510, 68.728, -164.038
76.608, 68.749, -165.738
77.723, 68.569, -165.911
78.853, 68.594, -165.485
80.000, 68.598, -165.751
81.164, 68.567, -165.867
82.344, 68.507, -166.093
83.542, 68.483, -166.006
84.757, 68.455, -166.688
