* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 23 Sep, 2020 7:24:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 23 19:24:53
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 61.772, 88.569
10.293, 61.884, 87.506
10.443, 61.997, 86.304
10.595, 62.098, 85.164
10.749, 62.191, 83.992
10.905, 62.275, 82.808
11.064, 62.350, 81.614
11.225, 62.418, 80.434
11.388, 62.477, 79.267
11.554, 62.530, 78.130
11.722, 62.579, 77.021
11.892, 62.625, 75.939
12.065, 62.667, 74.885
12.241, 62.709, 73.847
12.419, 62.748, 72.826
12.599, 62.784, 71.812
12.782, 62.815, 70.811
12.968, 62.840, 69.827
13.157, 62.858, 68.881
13.348, 62.867, 67.984
13.543, 62.872, 67.168
13.740, 62.873, 66.446
13.939, 62.876, 65.836
14.142, 62.886, 65.328
14.348, 62.910, 64.915
14.557, 62.951, 64.537
14.768, 63.012, 64.170
14.983, 63.089, 63.735
15.201, 63.176, 63.205
15.422, 63.269, 62.550
15.646, 63.353, 61.775
15.874, 63.425, 60.913
16.105, 63.478, 59.999
16.339, 63.512, 59.106
16.577, 63.532, 58.272
16.818, 63.542, 57.526
17.063, 63.553, 56.878
17.311, 63.570, 56.287
17.563, 63.596, 55.712
17.818, 63.629, 55.105
18.077, 63.664, 54.427
18.340, 63.690, 53.691
18.607, 63.703, 52.939
18.877, 63.702, 52.235
19.152, 63.692, 51.648
19.431, 63.688, 51.217
19.713, 63.707, 50.901
20.000, 63.758, 50.597
20.291, 63.842, 50.170
20.586, 63.944, 49.493
20.885, 64.040, 48.508
21.189, 64.100, 47.268
21.497, 64.102, 45.940
21.810, 64.044, 44.752
22.127, 63.940, 43.925
22.449, 63.825, 43.593
22.776, 63.740, 43.733
23.107, 63.715, 44.153
23.443, 63.757, 44.580
23.784, 63.844, 44.796
24.130, 63.943, 44.738
24.481, 64.030, 44.484
24.837, 64.097, 44.154
25.198, 64.152, 43.808
25.565, 64.201, 43.415
25.937, 64.238, 42.912
26.314, 64.245, 42.307
26.697, 64.208, 41.731
27.085, 64.138, 41.380
27.479, 64.070, 41.348
27.879, 64.042, 41.497
28.284, 64.064, 41.519
28.696, 64.103, 41.188
29.113, 64.113, 40.558
29.537, 64.075, 39.935
29.966, 64.023, 39.591
30.402, 64.010, 39.495
30.844, 64.061, 39.308
31.293, 64.139, 38.699
31.748, 64.176, 37.696
32.210, 64.127, 36.712
32.678, 64.008, 36.348
33.154, 63.903, 37.012
33.636, 63.944, 38.531
34.125, 64.208, 39.964
34.621, 64.617, 40.226
35.125, 64.984, 39.043
35.636, 65.177, 37.183
36.154, 65.214, 35.756
36.680, 65.242, 35.083
37.214, 65.355, 34.360
37.755, 65.446, 32.769
38.304, 65.349, 30.788
38.861, 65.078, 29.872
39.427, 64.872, 30.526
40.000, 64.907, 31.360
40.582, 65.019, 30.820
41.172, 64.963, 29.549
41.771, 64.756, 29.169
42.379, 64.635, 29.991
42.995, 64.676, 30.542
43.620, 64.677, 30.348
44.255, 64.585, 30.634
44.898, 64.608, 31.588
45.552, 64.770, 31.496
46.214, 64.778, 29.973
46.886, 64.517, 28.843
47.568, 64.204, 29.171
48.260, 63.991, 30.171
48.962, 63.852, 31.394
49.674, 63.827, 32.741
50.397, 63.893, 33.580
51.130, 63.963, 34.092
51.874, 64.066, 34.412
52.628, 64.112, 34.251
53.394, 64.032, 34.942
54.170, 64.126, 36.885
54.958, 64.403, 37.610
55.758, 64.468, 37.532
56.569, 64.484, 39.188
57.391, 64.825, 40.863
58.226, 65.184, 40.437
59.073, 65.358, 39.764
59.932, 65.559, 39.306
60.804, 65.728, 38.329
61.688, 65.877, 37.682
62.586, 66.116, 36.389
63.496, 66.199, 34.067
64.420, 66.096, 32.142
65.357, 65.879, 31.016
66.307, 65.695, 31.357
67.272, 65.724, 31.494
68.250, 65.666, 30.798
69.243, 65.532, 30.840
70.250, 65.413, 31.507
71.272, 65.369, 33.138
72.309, 65.555, 34.596
73.360, 65.696, 34.134
74.427, 65.464, 34.350
75.510, 65.402, 36.927
76.608, 65.585, 38.255
77.723, 65.626, 38.547
78.853, 65.576, 40.379
80.000, 65.930, 41.694
81.164, 65.969, 41.422
82.344, 66.174, 43.226
83.542, 66.396, 43.288
84.757, 66.653, 44.008
85.990, 66.802, 43.834
87.241, 67.120, 44.621
88.510, 67.321, 43.558
89.797, 67.716, 43.770
91.103, 67.867, 40.398
92.428, 67.994, 40.743
93.773, 68.045, 38.957
95.137, 68.578, 40.093
96.520, 68.527, 36.816
97.924, 68.708, 38.136
99.349, 68.663, 38.642
100.794, 68.992, 38.234
102.260, 68.922, 38.098
103.747, 69.023, 37.497
105.256, 69.156, 37.905
106.787, 69.489, 36.416
108.340, 69.585, 35.377
109.916, 69.796, 34.420
111.515, 69.899, 33.669
113.137, 70.140, 32.135
114.783, 70.256, 31.158
116.452, 70.277, 28.623
118.146, 70.426, 27.688
119.865, 70.373, 27.192
121.608, 70.542, 25.882
123.377, 70.612, 24.398
125.171, 70.663, 23.808
126.992, 70.527, 21.881
128.839, 70.709, 20.717
130.713, 70.474, 19.605
132.615, 70.643, 18.850
134.543, 70.621, 19.101
136.500, 70.586, 18.816
138.486, 70.617, 17.711
140.500, 70.658, 17.131
142.544, 70.752, 15.361
144.617, 70.662, 14.554
146.721, 70.601, 13.325
148.855, 70.720, 12.241
151.020, 70.647, 11.007
153.217, 70.572, 9.553
155.445, 70.565, 9.298
157.706, 70.536, 8.467
160.000, 70.430, 8.097
162.327, 70.256, 8.050
164.688, 70.219, 6.502
167.084, 70.235, 5.559
169.514, 70.193, 4.998
171.980, 70.115, 4.322
174.481, 70.000, 4.150
177.019, 69.959, 4.026
179.594, 69.892, 3.262
182.206, 69.956, 2.946
184.856, 69.889, 2.457
187.545, 69.835, 1.913
190.273, 69.799, 1.232
193.041, 69.743, 0.298
195.849, 69.681, -0.142
198.697, 69.629, -0.197
201.587, 69.574, -0.862
204.520, 69.492, -1.570
207.494, 69.414, -1.652
210.512, 69.289, -2.178
213.574, 69.266, -2.636
216.681, 69.161, -2.891
219.833, 69.058, -2.922
223.030, 68.994, -3.089
226.274, 68.903, -3.355
229.565, 68.845, -3.550
232.905, 68.777, -3.831
236.292, 68.700, -4.094
239.729, 68.610, -3.737
243.216, 68.517, -3.837
246.754, 68.477, -3.841
250.343, 68.435, -3.860
253.984, 68.378, -3.876
257.678, 68.318, -3.925
261.426, 68.266, -3.975
265.229, 68.226, -4.172
269.087, 68.169, -4.270
273.001, 68.105, -4.328
276.972, 68.051, -4.397
281.000, 67.998, -4.245
285.088, 67.944, -4.235
289.234, 67.869, -4.202
293.441, 67.833, -4.237
297.710, 67.784, -4.158
302.040, 67.712, -4.029
306.433, 67.669, -4.134
310.890, 67.617, -4.031
315.412, 67.569, -3.983
320.000, 67.524, -3.958
324.655, 67.473, -3.769
329.377, 67.417, -3.665
334.168, 67.351, -3.519
339.028, 67.329, -3.355
343.959, 67.280, -3.271
348.962, 67.239, -2.956
354.038, 67.199, -2.804
359.188, 67.157, -2.517
364.412, 67.138, -2.374
369.713, 67.097, -2.011
375.090, 67.094, -1.999
380.546, 67.053, -1.851
386.081, 67.022, -1.768
391.697, 67.001, -1.653
397.395, 66.981, -1.554
403.175, 66.955, -1.515
409.039, 66.917, -1.502
414.989, 66.877, -1.473
421.025, 66.824, -1.427
427.149, 66.760, -1.389
433.362, 66.667, -1.338
439.665, 66.549, -1.137
446.060, 66.397, -0.485
452.548, 66.254, 0.795
459.131, 66.263, 2.842
465.809, 66.442, 4.112
472.584, 66.689, 4.753
479.458, 66.820, 4.049
486.432, 66.873, 3.499
493.507, 66.850, 3.178
500.686, 66.813, 2.964
507.968, 66.800, 2.913
515.357, 66.768, 2.810
522.853, 66.669, 3.049
530.458, 66.713, 3.388
538.174, 66.718, 3.519
546.002, 66.706, 3.520
553.943, 66.665, 3.669
562.001, 66.607, 3.877
570.175, 66.641, 4.196
578.469, 66.640, 4.334
586.883, 66.623, 4.572
595.419, 66.606, 4.740
604.080, 66.605, 4.887
612.866, 66.588, 5.004
621.780, 66.582, 5.270
630.824, 66.562, 5.478
640.000, 66.556, 5.597
649.309, 66.559, 5.852
658.753, 66.558, 6.007
668.335, 66.541, 6.267
678.056, 66.537, 6.404
687.919, 66.525, 6.648
697.925, 66.520, 6.891
708.076, 66.508, 7.021
718.376, 66.504, 7.221
728.825, 66.494, 7.528
739.426, 66.481, 7.730
750.181, 66.479, 7.940
761.093, 66.479, 8.169
772.163, 66.467, 8.426
783.394, 66.463, 8.647
794.789, 66.453, 8.877
806.349, 66.444, 9.105
818.078, 66.444, 9.352
829.977, 66.431, 9.545
842.050, 66.420, 9.839
854.297, 66.418, 10.079
866.724, 66.392, 10.342
879.330, 66.390, 10.646
892.120, 66.381, 10.897
905.097, 66.367, 11.189
918.262, 66.348, 11.484
931.618, 66.339, 11.790
945.169, 66.323, 12.095
958.917, 66.309, 12.447
972.864, 66.293, 12.832
987.015, 66.287, 13.236
1001.371, 66.272, 13.594
1015.937, 66.260, 14.022
1030.714, 66.246, 14.431
1045.706, 66.240, 14.912
1060.916, 66.221, 15.374
1076.347, 66.214, 15.906
1092.003, 66.204, 16.440
1107.887, 66.207, 17.006
1124.001, 66.202, 17.557
1140.350, 66.199, 18.138
1156.937, 66.200, 18.773
1173.765, 66.191, 19.441
1190.838, 66.205, 20.269
1208.159, 66.228, 21.035
1225.732, 66.246, 21.843
1243.561, 66.291, 22.647
1261.649, 66.343, 23.461
1280.000, 66.391, 24.185
1298.618, 66.435, 24.872
1317.507, 66.465, 25.702
1336.670, 66.453, 26.895
1356.113, 66.554, 28.691
