* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 23 Sep, 2020 8:15:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 23 20:15:25
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 76.937, -123.166
10.293, 76.969, -124.148
10.443, 77.001, -125.233
10.595, 77.034, -126.213
10.749, 77.067, -127.202
10.905, 77.097, -128.205
11.064, 77.125, -129.216
11.225, 77.149, -130.231
11.388, 77.168, -131.245
11.554, 77.182, -132.241
11.722, 77.192, -133.218
11.892, 77.197, -134.154
12.065, 77.200, -135.049
12.241, 77.204, -135.893
12.419, 77.209, -136.692
12.599, 77.219, -137.453
12.782, 77.235, -138.191
12.968, 77.259, -138.927
13.157, 77.287, -139.680
13.348, 77.321, -140.468
13.543, 77.354, -141.300
13.740, 77.384, -142.179
13.939, 77.407, -143.087
14.142, 77.421, -144.005
14.348, 77.423, -144.904
14.557, 77.419, -145.749
14.768, 77.408, -146.525
14.983, 77.398, -147.214
15.201, 77.394, -147.834
15.422, 77.399, -148.399
15.646, 77.418, -148.965
15.874, 77.446, -149.561
16.105, 77.482, -150.223
16.339, 77.518, -150.965
16.577, 77.548, -151.771
16.818, 77.569, -152.622
17.063, 77.579, -153.474
17.311, 77.581, -154.295
17.563, 77.580, -155.077
17.818, 77.580, -155.820
18.077, 77.584, -156.554
18.340, 77.592, -157.312
18.607, 77.599, -158.109
18.877, 77.602, -158.950
19.152, 77.596, -159.816
19.431, 77.580, -160.669
19.713, 77.557, -161.483
20.000, 77.531, -162.249
20.291, 77.505, -162.975
20.586, 77.480, -163.681
20.885, 77.455, -164.378
21.189, 77.426, -165.060
21.497, 77.394, -165.696
21.810, 77.362, -166.258
22.127, 77.339, -166.748
22.449, 77.330, -167.206
22.776, 77.338, -167.699
23.107, 77.355, -168.286
23.443, 77.372, -168.983
23.784, 77.378, -169.757
24.130, 77.372, -170.543
24.481, 77.358, -171.293
24.837, 77.343, -172.002
25.198, 77.334, -172.709
25.565, 77.326, -173.460
25.937, 77.313, -174.267
26.314, 77.287, -175.086
26.697, 77.251, -175.855
