* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 15 Feb, 2021 4:58:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 15 16:58:42
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 55.827, 145.618
10.293, 55.945, 144.752
10.443, 56.068, 143.629
10.595, 56.256, 142.208
10.749, 56.455, 140.782
10.905, 56.621, 139.820
11.064, 56.781, 139.045
11.225, 56.973, 138.114
11.388, 57.187, 137.113
11.554, 57.407, 136.086
11.722, 57.636, 135.017
11.892, 57.866, 133.849
12.065, 58.094, 132.585
12.241, 58.313, 131.201
12.419, 58.521, 129.728
12.599, 58.706, 128.256
12.782, 58.874, 126.790
12.968, 59.023, 125.357
13.157, 59.159, 124.006
13.348, 59.284, 122.782
13.543, 59.409, 121.669
13.740, 59.537, 120.667
13.939, 59.676, 119.734
14.142, 59.828, 118.840
14.348, 59.994, 117.934
14.557, 60.169, 116.966
14.768, 60.351, 115.913
14.983, 60.531, 114.759
15.201, 60.703, 113.517
15.422, 60.862, 112.196
15.646, 61.006, 110.843
15.874, 61.134, 109.488
16.105, 61.248, 108.160
16.339, 61.350, 106.896
16.577, 61.447, 105.706
16.818, 61.543, 104.597
17.063, 61.644, 103.558
17.311, 61.757, 102.558
17.563, 61.883, 101.560
17.818, 62.024, 100.521
18.077, 62.176, 99.391
18.340, 62.332, 98.144
18.607, 62.485, 96.777
18.877, 62.630, 95.308
19.152, 62.762, 93.780
19.431, 62.881, 92.248
19.713, 62.993, 90.745
20.000, 63.104, 89.273
20.291, 63.220, 87.808
20.586, 63.340, 86.304
20.885, 63.458, 84.725
21.189, 63.564, 83.077
21.497, 63.650, 81.425
21.810, 63.715, 79.864
22.127, 63.773, 78.473
22.449, 63.842, 77.251
22.776, 63.936, 76.103
23.107, 64.055, 74.871
23.443, 64.180, 73.431
23.784, 64.281, 71.774
24.130, 64.335, 70.040
24.481, 64.336, 68.456
24.837, 64.308, 67.217
25.198, 64.289, 66.360
25.565, 64.312, 65.721
25.937, 64.379, 65.037
26.314, 64.466, 64.113
26.697, 64.538, 62.947
27.085, 64.572, 61.703
27.479, 64.575, 60.570
27.879, 64.571, 59.628
28.284, 64.583, 58.809
28.696, 64.615, 57.987
29.113, 64.661, 57.064
29.537, 64.707, 56.019
29.966, 64.748, 54.870
30.402, 64.777, 53.637
30.844, 64.789, 52.360
31.293, 64.783, 51.107
31.748, 64.766, 49.943
32.210, 64.750, 48.872
32.678, 64.739, 47.829
33.154, 64.728, 46.767
33.636, 64.705, 45.720
34.125, 64.674, 44.760
34.621, 64.647, 43.888
35.125, 64.626, 43.015
35.636, 64.595, 42.104
36.154, 64.543, 41.280
36.680, 64.489, 40.678
37.214, 64.467, 40.203
37.755, 64.473, 39.562
38.304, 64.457, 38.693
38.861, 64.396, 37.943
39.427, 64.338, 37.513
40.000, 64.322, 37.098
40.582, 64.288, 36.443
41.172, 64.198, 36.040
41.771, 64.144, 36.230
42.379, 64.199, 36.237
42.995, 64.216, 35.460
43.620, 64.092, 35.116
44.255, 64.058, 36.017
44.898, 64.275, 36.322
45.552, 64.428, 34.675
46.214, 64.271, 33.200
46.886, 64.105, 33.864
47.568, 64.250, 34.881
48.260, 64.492, 34.447
48.962, 64.652, 33.400
49.674, 64.776, 32.010
50.397, 64.749, 30.290
51.130, 64.590, 29.784
51.874, 64.590, 30.157
52.628, 64.634, 29.456
53.394, 64.466, 29.181
54.170, 64.452, 30.691
54.958, 64.770, 30.882
55.758, 64.930, 28.756
56.569, 64.824, 27.075
57.391, 64.751, 26.419
58.226, 64.751, 25.521
59.073, 64.710, 24.546
59.932, 64.681, 23.845
60.804, 64.665, 22.989
61.688, 64.588, 22.237
62.586, 64.519, 21.988
63.496, 64.507, 21.615
64.420, 64.455, 20.940
65.357, 64.368, 20.572
66.307, 64.326, 20.331
67.272, 64.281, 19.956
68.250, 64.243, 19.888
69.243, 64.271, 19.708
70.250, 64.252, 19.089
71.272, 64.144, 18.889
72.309, 64.094, 19.253
73.360, 64.088, 19.194
74.427, 64.049, 19.389
75.510, 64.154, 19.410
76.608, 64.183, 18.370
77.723, 64.115, 18.042
78.853, 64.105, 17.928
80.000, 64.066, 17.865
81.164, 64.043, 17.971
82.344, 64.018, 17.853
83.542, 63.979, 17.709
84.757, 63.959, 17.441
85.990, 63.965, 17.051
87.241, 63.941, 16.375
88.510, 63.897, 16.384
89.797, 63.930, 16.307
91.103, 63.920, 16.218
92.428, 63.920, 16.190
93.773, 63.900, 16.083
95.137, 63.879, 16.055
96.520, 63.870, 15.930
97.924, 63.849, 15.846
99.349, 63.856, 15.782
100.794, 63.857, 15.566
102.260, 63.837, 15.364
103.747, 63.804, 15.481
105.256, 63.805, 15.522
106.787, 63.804, 15.690
108.340, 63.827, 15.248
109.916, 63.734, 15.134
111.515, 63.721, 15.896
113.137, 63.828, 16.224
114.783, 63.817, 16.209
116.452, 63.793, 16.317
118.146, 63.746, 16.070
119.865, 63.719, 15.577
121.608, 63.670, 14.999
123.377, 63.723, 14.836
125.171, 63.679, 15.114
126.992, 63.829, 14.969
128.839, 63.663, 14.203
130.713, 63.591, 15.623
132.615, 63.702, 15.794
134.543, 63.762, 15.493
136.500, 63.734, 15.213
138.486, 63.692, 15.258
140.500, 63.703, 15.123
142.544, 63.677, 14.978
144.617, 63.680, 15.125
146.721, 63.715, 15.164
148.855, 63.725, 15.152
151.020, 63.725, 15.194
153.217, 63.717, 15.383
155.445, 63.722, 15.440
157.706, 63.716, 15.529
160.000, 63.733, 15.639
162.327, 63.751, 15.576
164.688, 63.763, 15.579
167.084, 63.776, 15.647
169.514, 63.781, 15.850
171.980, 63.788, 15.998
174.481, 63.786, 16.120
177.019, 63.815, 15.995
179.594, 63.819, 15.917
182.206, 63.819, 16.062
184.856, 63.818, 16.201
187.545, 63.826, 16.330
190.273, 63.850, 16.501
193.041, 63.864, 16.598
195.849, 63.891, 16.634
198.697, 63.925, 16.690
201.587, 63.905, 16.885
204.520, 63.933, 16.712
207.494, 64.025, 16.437
210.512, 64.091, 16.821
213.574, 64.094, 17.547
216.681, 64.065, 17.588
219.833, 64.056, 17.367
223.030, 64.049, 17.278
226.274, 64.088, 17.555
229.565, 64.117, 17.883
232.905, 64.121, 18.167
236.292, 64.130, 18.327
239.729, 64.150, 18.534
243.216, 64.179, 18.901
246.754, 64.197, 19.417
250.343, 64.242, 20.248
253.984, 64.365, 20.982
257.678, 64.558, 21.319
261.426, 64.735, 21.091
265.229, 64.848, 20.611
269.087, 64.920, 20.068
273.001, 64.958, 19.582
276.972, 64.984, 19.283
281.000, 65.005, 19.203
285.088, 65.053, 19.241
289.234, 65.089, 19.214
293.441, 65.140, 19.284
297.710, 65.218, 19.382
302.040, 65.273, 19.315
306.433, 65.336, 19.386
310.890, 65.421, 19.498
315.412, 65.525, 19.555
320.000, 65.627, 19.478
324.655, 65.738, 19.365
329.377, 65.872, 19.259
334.168, 66.012, 19.081
339.028, 66.172, 18.809
343.959, 66.355, 18.478
348.962, 66.552, 17.923
354.038, 66.779, 17.181
359.188, 67.043, 16.110
364.412, 67.327, 14.472
369.713, 67.610, 12.237
375.090, 67.867, 9.243
380.546, 68.085, 5.472
386.081, 68.240, 0.572
391.697, 68.208, -6.247
397.395, 67.669, -14.841
403.175, 66.219, -22.018
409.039, 64.028, -21.006
414.989, 62.373, -11.615
421.025, 61.951, -1.214
427.149, 62.197, 5.477
433.362, 62.548, 9.160
439.665, 62.867, 11.303
446.060, 63.071, 12.694
452.548, 63.361, 13.901
459.131, 63.542, 14.757
465.809, 63.770, 14.539
472.584, 63.862, 15.115
479.458, 63.751, 15.942
486.432, 63.742, 15.863
493.507, 63.792, 16.506
500.686, 63.839, 16.509
507.968, 63.972, 17.412
515.357, 63.864, 18.691
522.853, 64.017, 21.206
530.458, 63.803, 21.019
538.174, 63.863, 20.809
546.002, 64.024, 21.566
553.943, 64.182, 21.928
562.001, 64.231, 22.940
570.175, 64.279, 23.657
578.469, 64.450, 24.549
586.883, 64.566, 25.301
595.419, 64.703, 25.210
604.080, 64.820, 26.021
612.866, 64.958, 26.480
621.780, 65.092, 26.621
630.824, 65.185, 26.899
640.000, 65.280, 27.231
649.309, 65.362, 27.493
658.753, 65.392, 28.110
668.335, 65.438, 29.114
678.056, 65.491, 30.804
687.919, 65.751, 33.452
697.925, 66.317, 35.243
708.076, 66.936, 34.672
718.376, 67.284, 33.013
728.825, 67.563, 32.334
739.426, 67.976, 31.289
750.181, 68.287, 28.672
761.093, 68.354, 26.453
772.163, 68.460, 25.283
783.394, 68.638, 23.795
794.789, 68.846, 21.495
806.349, 68.779, 17.822
818.078, 68.323, 16.490
829.977, 68.097, 17.994
842.050, 68.245, 19.298
854.297, 68.504, 18.644
866.724, 68.602, 17.164
879.330, 68.614, 15.919
892.120, 68.550, 14.968
905.097, 68.511, 14.820
918.262, 68.614, 15.085
931.618, 68.803, 13.788
945.169, 68.756, 12.513
958.917, 68.752, 11.770
972.864, 68.853, 11.408
987.015, 68.940, 9.796
1001.371, 68.881, 8.444
1015.937, 68.862, 6.884
1030.714, 68.678, 5.492
1045.706, 68.525, 4.783
1060.916, 68.399, 4.303
1076.347, 68.237, 3.743
1092.003, 68.076, 3.536
1107.887, 67.876, 3.847
1124.001, 67.739, 4.442
1140.350, 67.611, 4.959
1156.937, 67.428, 6.553
1173.765, 67.379, 8.768
1190.838, 67.377, 11.982
1208.159, 67.898, 17.153
1225.732, 69.305, 18.217
1243.561, 70.105, 11.655
1261.649, 70.347, 6.461
1280.000, 70.476, 1.204
1298.618, 70.361, -4.075
1317.507, 69.933, -8.686
1336.670, 69.363, -11.554
1356.113, 68.756, -12.506
1375.838, 68.314, -12.279
1395.850, 68.129, -11.698
1416.153, 67.956, -13.220
1436.751, 67.547, -13.382
1457.649, 67.437, -13.900
1478.851, 66.974, -15.373
1500.362, 66.527, -14.907
1522.185, 66.128, -14.482
1544.326, 65.669, -13.725
1566.789, 65.197, -11.773
1589.578, 64.878, -8.824
1612.699, 64.737, -6.074
1636.156, 64.667, -3.659
1659.955, 64.546, -2.279
1684.099, 64.371, 1.193
1708.595, 64.498, 3.757
1733.447, 64.507, 6.382
1758.661, 64.699, 9.405
1784.241, 65.025, 11.995
1810.193, 65.402, 13.724
1836.523, 65.951, 14.980
1863.236, 66.477, 13.158
1890.338, 66.511, 10.738
1917.833, 66.430, 10.371
1945.729, 66.338, 10.699
1974.030, 66.447, 11.898
2002.743, 66.594, 12.099
2031.873, 66.670, 12.445
2061.428, 66.768, 12.615
2091.412, 66.753, 13.542
2121.832, 67.091, 14.925
2152.695, 67.335, 14.735
2184.007, 67.617, 14.624
2215.774, 67.864, 13.591
2248.003, 67.962, 12.628
2280.701, 68.055, 11.909
2313.874, 68.164, 11.500
2347.530, 68.202, 10.577
2381.676, 68.320, 10.892
2416.318, 68.436, 10.543
2451.464, 68.571, 10.021
2487.122, 68.675, 9.507
2523.298, 68.788, 9.169
2560.000, 68.951, 8.921
2597.236, 69.146, 8.695
2635.014, 69.491, 7.568
2673.341, 69.696, 5.170
2712.226, 69.754, 2.997
2751.676, 69.774, 0.917
2791.700, 69.629, -0.448
2832.306, 69.767, -0.423
2873.503, 69.919, -3.474
2915.299, 69.698, -5.660
2957.703, 69.573, -6.612
3000.724, 69.485, -7.932
3044.370, 69.437, -9.627
3088.652, 69.235, -11.931
3133.577, 68.884, -13.480
3179.156, 68.532, -14.089
3225.398, 68.246, -13.621
3272.312, 68.153, -14.195
3319.909, 67.919, -15.494
3368.198, 67.379, -16.612
3417.190, 66.772, -15.267
3466.894, 66.295, -12.031
3517.321, 66.385, -8.920
3568.482, 66.052, -9.015
3620.387, 65.516, -6.439
3673.046, 64.862, 2.018
3726.472, 65.480, 11.559
3780.675, 66.653, 19.873
3835.666, 68.720, 23.429
3891.457, 70.708, 17.475
3948.060, 71.460, 6.169
4005.486, 71.445, -3.320
4063.747, 70.841, -10.971
