* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 15 Feb, 2021 4:21:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 15 16:21:48
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 56.956, 139.080
10.293, 57.061, 138.663
10.443, 57.173, 138.087
10.595, 57.372, 137.336
10.749, 57.602, 136.497
10.905, 57.831, 135.735
11.064, 58.071, 134.916
11.225, 58.329, 133.823
11.388, 58.599, 132.517
11.554, 58.858, 131.071
11.722, 59.108, 129.483
11.892, 59.339, 127.812
12.065, 59.552, 126.061
12.241, 59.747, 124.293
12.419, 59.925, 122.520
12.599, 60.086, 120.819
12.782, 60.235, 119.181
12.968, 60.376, 117.615
13.157, 60.512, 116.127
13.348, 60.646, 114.728
13.543, 60.779, 113.398
13.740, 60.913, 112.134
13.939, 61.051, 110.926
14.142, 61.192, 109.767
14.348, 61.339, 108.646
14.557, 61.491, 107.536
14.768, 61.650, 106.424
14.983, 61.813, 105.276
15.201, 61.976, 104.078
15.422, 62.137, 102.817
15.646, 62.288, 101.502
15.874, 62.428, 100.152
16.105, 62.556, 98.788
16.339, 62.674, 97.442
16.577, 62.787, 96.108
16.818, 62.898, 94.772
17.063, 63.008, 93.389
17.311, 63.113, 91.907
17.563, 63.203, 90.313
17.818, 63.267, 88.618
18.077, 63.293, 86.910
18.340, 63.279, 85.337
18.607, 63.240, 84.025
18.877, 63.199, 83.067
19.152, 63.191, 82.461
19.431, 63.250, 82.014
19.713, 63.382, 81.436
20.000, 63.564, 80.478
20.291, 63.757, 79.014
20.586, 63.918, 77.091
20.885, 64.016, 74.921
21.189, 64.046, 72.795
21.497, 64.029, 70.958
21.810, 64.004, 69.497
22.127, 64.003, 68.321
22.449, 64.041, 67.228
22.776, 64.103, 66.039
23.107, 64.164, 64.708
23.443, 64.204, 63.327
23.784, 64.222, 62.048
24.130, 64.234, 60.954
24.481, 64.259, 60.003
24.837, 64.305, 59.067
25.198, 64.358, 58.038
25.565, 64.401, 56.909
25.937, 64.423, 55.759
26.314, 64.426, 54.673
26.697, 64.419, 53.683
27.085, 64.408, 52.774
27.479, 64.397, 51.934
