* Measurement data measured by REW V5.19
* Source: In 1-2 (MOTU M Series), no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 16 Dec, 2020 7:50:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dec 16 19:50:21
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 69.345, 120.569
10.293, 69.452, 119.373
10.443, 69.563, 117.744
10.595, 69.733, 115.585
10.749, 69.909, 113.305
10.905, 70.041, 111.506
11.064, 70.155, 109.865
11.225, 70.274, 108.027
11.388, 70.391, 106.114
11.554, 70.496, 104.307
11.722, 70.591, 102.584
11.892, 70.682, 100.949
12.065, 70.770, 99.395
12.241, 70.862, 97.880
12.419, 70.960, 96.415
12.599, 71.064, 95.022
12.782, 71.175, 93.654
12.968, 71.298, 92.239
13.157, 71.426, 90.777
13.348, 71.558, 89.259
13.543, 71.688, 87.655
13.740, 71.812, 85.956
13.939, 71.925, 84.186
14.142, 72.023, 82.364
14.348, 72.103, 80.522
14.557, 72.167, 78.699
14.768, 72.216, 76.916
14.983, 72.256, 75.212
15.201, 72.292, 73.582
15.422, 72.328, 72.026
15.646, 72.369, 70.512
15.874, 72.416, 69.016
16.105, 72.469, 67.509
16.339, 72.522, 65.971
16.577, 72.572, 64.412
16.818, 72.617, 62.847
17.063, 72.654, 61.314
17.311, 72.688, 59.847
17.563, 72.725, 58.457
17.818, 72.769, 57.141
18.077, 72.827, 55.859
18.340, 72.899, 54.556
18.607, 72.979, 53.191
18.877, 73.061, 51.740
19.152, 73.135, 50.208
19.431, 73.194, 48.644
19.713, 73.238, 47.108
20.000, 73.269, 45.644
20.291, 73.296, 44.271
20.586, 73.324, 42.974
20.885, 73.358, 41.713
21.189, 73.395, 40.443
21.497, 73.429, 39.145
21.810, 73.453, 37.838
22.127, 73.467, 36.569
22.449, 73.473, 35.383
22.776, 73.480, 34.303
23.107, 73.497, 33.310
23.443, 73.532, 32.352
23.784, 73.583, 31.364
24.130, 73.645, 30.300
24.481, 73.711, 29.151
24.837, 73.773, 27.939
25.198, 73.830, 26.707
25.565, 73.882, 25.497
25.937, 73.935, 24.336
26.314, 73.993, 23.225
26.697, 74.060, 22.143
27.085, 74.136, 21.058
27.479, 74.217, 19.943
27.879, 74.294, 18.795
28.284, 74.362, 17.651
28.696, 74.419, 16.568
29.113, 74.469, 15.606
29.537, 74.525, 14.778
29.966, 74.600, 14.020
30.402, 74.695, 13.211
30.844, 74.798, 12.236
31.293, 74.886, 11.066
31.748, 74.942, 9.778
32.210, 74.962, 8.496
32.678, 74.958, 7.303
33.154, 74.941, 6.195
33.636, 74.916, 5.126
34.125, 74.882, 4.070
34.621, 74.841, 3.019
35.125, 74.795, 1.932
35.636, 74.735, 0.761
36.154, 74.645, -0.452
36.680, 74.523, -1.557
37.214, 74.390, -2.453
37.755, 74.268, -3.228
38.304, 74.151, -4.026
38.861, 74.014, -4.806
39.427, 73.860, -5.380
40.000, 73.719, -5.700
40.582, 73.602, -5.916
41.172, 73.496, -6.074
41.771, 73.405, -6.078
42.379, 73.354, -5.990
42.995, 73.343, -6.069
43.620, 73.336, -6.393
44.255, 73.320, -6.859
44.898, 73.300, -7.513
45.552, 73.252, -8.472
46.214, 73.142, -9.637
46.886, 72.962, -10.854
47.568, 72.695, -12.026
48.260, 72.320, -12.723
48.962, 71.917, -12.377
49.674, 71.638, -11.367
50.397, 71.478, -10.829
51.130, 71.276, -10.925
51.874, 70.985, -10.726
52.628, 70.716, -9.779
53.394, 70.555, -8.471
54.170, 70.510, -7.232
54.958, 70.553, -6.459
55.758, 70.598, -6.170
56.569, 70.637, -5.821
57.391, 70.734, -5.640
58.226, 70.791, -5.912
59.073, 70.797, -5.714
59.932, 70.909, -5.368
60.804, 71.025, -5.848
61.688, 71.058, -6.359
62.586, 71.108, -7.008
63.496, 71.064, -8.077
64.420, 70.978, -8.539
65.357, 70.968, -9.507
66.307, 70.768, -11.033
67.272, 70.505, -11.236
68.250, 70.331, -11.930
69.243, 69.904, -12.286
70.250, 69.602, -10.631
71.272, 69.457, -10.250
72.309, 69.107, -9.316
73.360, 68.967, -7.320
74.427, 68.939, -6.302
75.510, 68.918, -5.284
76.608, 69.043, -4.309
77.723, 69.280, -4.384
78.853, 69.455, -5.217
80.000, 69.613, -6.126
81.164, 69.742, -7.218
82.344, 69.860, -8.445
83.542, 69.897, -9.843
84.757, 69.906, -10.923
85.990, 69.882, -12.093
87.241, 69.804, -13.026
88.510, 69.695, -13.610
89.797, 69.601, -14.087
91.103, 69.430, -14.601
92.428, 69.243, -14.725
93.773, 69.020, -14.944
95.137, 68.759, -14.766
96.520, 68.527, -14.328
97.924, 68.316, -13.756
99.349, 68.128, -12.937
