* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 6:40:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 18:40:47
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 52.616, -18.519
10.293, 52.898, -20.255
10.443, 53.180, -22.170
10.595, 53.409, -23.934
10.749, 53.607, -25.640
10.905, 53.772, -27.196
11.064, 53.911, -28.582
11.225, 54.037, -29.669
11.388, 54.156, -30.477
11.554, 54.301, -30.973
11.722, 54.472, -31.191
11.892, 54.704, -31.317
12.065, 54.991, -31.394
12.241, 55.336, -31.752
12.419, 55.726, -32.411
12.599, 56.126, -33.602
12.782, 56.520, -35.276
12.968, 56.869, -37.462
13.157, 57.152, -39.999
13.348, 57.350, -42.823
13.543, 57.452, -45.643
13.740, 57.454, -48.371
13.939, 57.368, -50.656
14.142, 57.220, -52.395
14.348, 57.040, -53.341
14.557, 56.901, -53.570
14.768, 56.835, -53.128
14.983, 56.903, -52.513
15.201, 57.080, -52.099
15.422, 57.354, -52.251
15.646, 57.639, -53.165
15.874, 57.897, -54.680
16.105, 58.083, -56.636
16.339, 58.184, -58.566
16.577, 58.230, -60.190
16.818, 58.256, -61.297
17.063, 58.340, -61.815
17.311, 58.538, -62.169
17.563, 58.854, -62.786
17.818, 59.263, -64.152
18.077, 59.675, -66.555
18.340, 60.002, -69.796
18.607, 60.192, -73.499
18.877, 60.214, -77.141
19.152, 60.078, -80.080
19.431, 59.867, -81.689
19.713, 59.720, -81.849
20.000, 59.763, -81.142
20.291, 60.032, -80.610
20.586, 60.443, -81.272
20.885, 60.817, -83.465
21.189, 60.993, -86.673
21.497, 60.889, -89.846
21.810, 60.527, -91.691
22.127, 60.074, -91.019
22.449, 59.852, -87.728
22.776, 60.117, -83.729
23.107, 60.786, -81.613
23.443, 61.532, -82.453
23.784, 62.076, -85.559
24.130, 62.300, -89.554
24.481, 62.228, -93.111
24.837, 61.988, -95.307
25.198, 61.761, -95.969
25.565, 61.689, -95.807
25.937, 61.779, -95.835
26.314, 61.938, -96.559
26.697, 62.082, -97.823
27.085, 62.192, -99.255
27.479, 62.291, -100.671
27.879, 62.394, -102.080
28.284, 62.504, -103.487
28.696, 62.625, -104.881
29.113, 62.764, -106.393
29.537, 62.879, -108.203
29.966, 62.893, -110.042
30.402, 62.796, -111.005
30.844, 62.769, -110.314
31.293, 63.087, -109.144
31.748, 63.694, -110.251
32.210, 64.141, -114.771
32.678, 63.986, -120.797
33.154, 63.119, -124.581
33.636, 62.076, -121.823
34.125, 62.027, -114.411
34.621, 62.946, -111.506
35.125, 63.610, -114.764
35.636, 63.550, -118.951
36.154, 63.177, -119.424
36.680, 63.276, -117.245
37.214, 63.863, -117.789
37.755, 64.204, -121.809
38.304, 64.005, -125.785
38.861, 63.601, -126.774
39.427, 63.440, -125.704
40.000, 63.506, -124.973
40.582, 63.571, -124.521
41.172, 63.709, -123.699
41.771, 63.987, -123.537
42.379, 64.213, -124.778
42.995, 64.228, -126.466
43.620, 64.084, -127.481
44.255, 63.936, -127.430
44.898, 63.959, -127.113
45.552, 64.074, -128.367
46.214, 63.889, -130.886
46.886, 63.388, -131.031
47.568, 63.321, -128.167
48.260, 63.778, -128.228
48.962, 63.828, -131.419
49.674, 63.446, -131.792
50.397, 63.527, -129.426
51.130, 63.935, -129.908
51.874, 63.988, -131.909
