* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 4:29:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 16:29:57
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 54.522, -51.168
10.293, 54.844, -51.579
10.443, 55.172, -52.325
10.595, 55.532, -53.502
10.749, 55.891, -55.042
10.905, 56.226, -56.940
11.064, 56.535, -59.156
11.225, 56.798, -61.578
11.388, 57.014, -64.194
11.554, 57.173, -66.833
11.722, 57.274, -69.482
11.892, 57.319, -71.943
12.065, 57.310, -74.193
12.241, 57.265, -76.032
12.419, 57.193, -77.450
12.599, 57.132, -78.320
12.782, 57.099, -78.733
12.968, 57.136, -78.733
13.157, 57.250, -78.622
13.348, 57.461, -78.646
13.543, 57.732, -78.865
13.740, 58.055, -79.688
13.939, 58.364, -81.107
14.142, 58.640, -83.029
14.348, 58.842, -85.346
14.557, 58.956, -87.756
14.768, 58.974, -90.114
14.983, 58.907, -92.040
15.201, 58.792, -93.380
15.422, 58.659, -93.961
15.646, 58.590, -93.856
15.874, 58.613, -93.382
16.105, 58.758, -92.872
16.339, 58.986, -92.930
16.577, 59.236, -93.671
16.818, 59.446, -95.150
17.063, 59.545, -97.108
17.311, 59.501, -99.064
17.563, 59.319, -100.571
17.818, 59.022, -101.133
18.077, 58.701, -100.248
18.340, 58.492, -97.970
18.607, 58.494, -94.860
18.877, 58.755, -91.771
19.152, 59.227, -89.700
19.431, 59.773, -89.069
19.713, 60.293, -89.716
20.000, 60.726, -91.334
20.291, 61.040, -93.575
20.586, 61.227, -96.126
20.885, 61.286, -98.716
21.189, 61.226, -101.075
21.497, 61.067, -102.890
21.810, 60.862, -103.866
22.127, 60.699, -103.912
22.449, 60.675, -103.381
22.776, 60.832, -103.071
23.107, 61.111, -103.803
23.443, 61.384, -105.917
23.784, 61.521, -109.116
24.130, 61.445, -112.635
24.481, 61.162, -115.519
24.837, 60.773, -116.963
25.198, 60.450, -116.795
25.565, 60.332, -115.776
25.937, 60.409, -115.039
26.314, 60.553, -115.064
26.697, 60.660, -115.441
27.085, 60.749, -115.534
27.479, 60.914, -115.329
27.879, 61.192, -115.561
28.284, 61.476, -116.865
28.696, 61.617, -118.993
29.113, 61.549, -120.925
29.537, 61.370, -121.626
29.966, 61.283, -121.086
30.402, 61.401, -120.491
30.844, 61.626, -121.046
31.293, 61.782, -122.783
31.748, 61.802, -125.024
32.210, 61.713, -127.363
32.678, 61.511, -129.808
33.154, 61.122, -131.995
33.636, 60.552, -132.515
34.125, 60.100, -130.139
34.621, 60.171, -126.612
35.125, 60.633, -125.587
35.636, 60.947, -127.281
36.154, 60.888, -128.668
36.680, 60.806, -127.549
37.214, 61.140, -125.745
37.755, 61.643, -126.574
38.304, 61.780, -129.288
38.861, 61.491, -130.168
39.427, 61.310, -127.690
40.000, 61.628, -125.051
40.582, 62.028, -125.118
41.172, 62.145, -125.943
41.771, 62.190, -125.500
42.379, 62.448, -125.134
42.995, 62.684, -126.736
43.620, 62.571, -128.729
44.255, 62.268, -128.294
44.898, 62.296, -125.436
45.552, 62.835, -123.639
46.214, 63.480, -125.075
46.886, 63.827, -128.688
47.568, 63.771, -132.240
48.260, 63.469, -133.974
48.962, 63.196, -133.657
49.674, 63.112, -132.421
50.397, 63.177, -131.506
51.130, 63.228, -131.069
51.874, 63.256, -129.876
52.628, 63.559, -127.968
53.394, 64.159, -128.070
54.170, 64.627, -130.759
54.958, 64.798, -133.965
55.758, 64.797, -136.472
56.569, 64.756, -138.016
57.391, 64.816, -139.100
58.226, 64.897, -141.070
59.073, 64.767, -143.093
59.932, 64.619, -143.592
60.804, 64.655, -144.126
61.688, 64.642, -145.309
62.586, 64.635, -146.035
63.496, 64.665, -147.555
64.420, 64.469, -148.809
65.357, 64.395, -148.404
66.307, 64.445, -149.474
67.272, 64.171, -149.900
68.250, 64.212, -148.157
69.243, 64.451, -149.084
70.250, 64.397, -150.321
71.272, 64.332, -151.044
72.309, 64.214, -150.683
73.360, 64.482, -150.856
74.427, 64.360, -153.677
75.510, 64.131, -152.751
76.608, 64.298, -153.398
77.723, 64.256, -153.966
78.853, 64.392, -155.055
80.000, 64.225, -155.836
81.164, 64.333, -154.794
82.344, 64.374, -155.857
83.542, 64.279, -154.310
84.757, 64.481, -155.290
85.990, 64.113, -154.936
87.241, 64.218, -154.057
88.510, 64.296, -154.103
89.797, 64.274, -156.363
91.103, 64.283, -155.323
92.428, 64.385, -158.422
93.773, 64.174, -158.401
95.137, 64.027, -158.410
96.520, 64.308, -156.804
97.924, 64.295, -159.272
99.349, 64.195, -157.805
100.794, 64.122, -158.083
102.260, 64.190, -157.405
103.747, 64.072, -157.600
