* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 4:12:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 16:12:41
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 58.173, -88.427
10.293, 58.275, -88.973
10.443, 58.380, -89.633
10.595, 58.498, -90.323
10.749, 58.620, -91.089
10.905, 58.742, -91.936
11.064, 58.865, -92.860
11.225, 58.985, -93.846
11.388, 59.103, -94.899
11.554, 59.218, -96.006
11.722, 59.329, -97.172
11.892, 59.436, -98.397
12.065, 59.537, -99.680
12.241, 59.631, -101.023
12.419, 59.715, -102.420
12.599, 59.786, -103.861
12.782, 59.844, -105.332
12.968, 59.885, -106.810
13.157, 59.908, -108.266
13.348, 59.913, -109.680
13.543, 59.902, -111.004
13.740, 59.874, -112.222
13.939, 59.833, -113.279
14.142, 59.785, -114.152
14.348, 59.734, -114.798
14.557, 59.695, -115.199
14.768, 59.674, -115.344
14.983, 59.695, -115.280
15.201, 59.766, -115.122
15.422, 59.899, -114.973
15.646, 60.086, -115.096
15.874, 60.305, -115.607
16.105, 60.533, -116.637
16.339, 60.716, -118.191
16.577, 60.821, -120.110
16.818, 60.819, -122.213
17.063, 60.685, -124.119
17.311, 60.434, -125.343
17.563, 60.116, -125.515
17.818, 59.809, -124.314
18.077, 59.665, -121.840
18.340, 59.774, -119.065
18.607, 60.114, -116.959
18.877, 60.587, -116.317
19.152, 61.033, -117.352
19.431, 61.317, -119.533
19.713, 61.386, -122.095
20.000, 61.245, -124.218
20.291, 60.970, -125.155
20.586, 60.703, -124.519
20.885, 60.624, -122.663
21.189, 60.834, -120.904
21.497, 61.232, -120.662
21.810, 61.609, -122.327
22.127, 61.791, -125.364
22.449, 61.688, -128.737
22.776, 61.306, -131.180
23.107, 60.779, -131.491
23.443, 60.383, -129.261
23.784, 60.391, -125.783
24.130, 60.812, -123.428
24.481, 61.383, -123.570
24.837, 61.827, -125.854
25.198, 62.010, -129.060
25.565, 61.944, -131.943
25.937, 61.738, -133.684
26.314, 61.543, -134.186
26.697, 61.457, -134.073
27.085, 61.461, -134.088
27.479, 61.468, -134.404
27.879, 61.433, -134.630
28.284, 61.401, -134.412
28.696, 61.444, -133.916
29.113, 61.572, -133.715
29.537, 61.710, -134.185
29.966, 61.771, -135.114
30.402, 61.724, -135.967
30.844, 61.605, -136.246
31.293, 61.488, -135.722
31.748, 61.456, -134.489
32.210, 61.575, -133.015
32.678, 61.839, -132.079
33.154, 62.151, -132.173
33.636, 62.392, -133.033
34.125, 62.542, -133.965
34.621, 62.677, -134.746
35.125, 62.820, -135.891
35.636, 62.856, -137.579
36.154, 62.699, -138.735
36.680, 62.527, -138.126
37.214, 62.667, -136.702
37.755, 63.043, -137.248
38.304, 63.220, -140.167
38.861, 62.978, -142.772
39.427, 62.623, -142.681
40.000, 62.638, -140.984
40.582, 62.956, -141.138
41.172, 63.125, -143.316
41.771, 62.996, -145.249
42.379, 62.782, -145.333
42.995, 62.758, -144.076
43.620, 62.965, -143.127
44.255, 63.221, -143.375
44.898, 63.349, -144.170
45.552, 63.396, -144.444
46.214, 63.505, -144.540
46.886, 63.591, -145.354
47.568, 63.520, -146.065
48.260, 63.460, -145.688
48.962, 63.582, -145.497
49.674, 63.694, -146.552
50.397, 63.650, -147.663
51.130, 63.603, -147.884
51.874, 63.681, -147.971
52.628, 63.793, -148.662
53.394, 63.838, -149.465
54.170, 63.886, -149.906
54.958, 63.976, -150.631
55.758, 63.980, -151.737
56.569, 63.925, -152.319
57.391, 63.934, -152.824
58.226, 63.899, -153.663
59.073, 63.852, -153.852
59.932, 63.921, -154.209
60.804, 63.898, -154.864
61.688, 63.936, -154.496
62.586, 64.076, -155.498
63.496, 63.828, -156.449
64.420, 63.733, -154.701
65.357, 63.888, -155.137
66.307, 63.722, -155.827
67.272, 63.775, -155.774
68.250, 63.761, -157.642
69.243, 63.612, -158.143
70.250, 63.697, -157.992
71.272, 63.947, -158.526
72.309, 64.050, -160.547
73.360, 63.846, -160.698
74.427, 63.929, -159.563
75.510, 64.039, -160.249
76.608, 63.866, -161.688
77.723, 63.499, -160.457
78.853, 63.810, -159.053
80.000, 63.816, -161.678
81.164, 63.650, -160.898
82.344, 63.686, -161.245
83.542, 63.680, -159.619
84.757, 63.901, -160.599
85.990, 63.731, -160.373
87.241, 63.823, -160.525
88.510, 63.706, -160.485
89.797, 63.750, -159.659
91.103, 64.104, -160.078
92.428, 63.785, -163.808
93.773, 63.620, -159.635
95.137, 64.047, -163.380
96.520, 63.487, -163.377
97.924, 63.585, -161.700
99.349, 63.860, -161.175
100.794, 63.877, -161.793
102.260, 63.896, -161.057
103.747, 63.879, -161.673
105.256, 63.890, -160.303
106.787, 64.005, -163.297
108.340, 63.814, -162.736
109.916, 63.825, -163.781
111.515, 63.798, -162.577
113.137, 63.949, -162.466
114.783, 63.887, -163.057
116.452, 63.923, -162.447
118.146, 63.887, -163.015
119.865, 63.982, -162.796
121.608, 63.835, -164.415
123.377, 63.739, -162.703
125.171, 63.845, -163.538
126.992, 63.978, -164.260
128.839, 64.004, -162.914
130.713, 63.924, -163.708
132.615, 64.017, -163.518
134.543, 64.013, -163.976
136.500, 63.853, -163.434
138.486, 63.995, -163.154
140.500, 63.887, -161.928
142.544, 63.947, -163.810
144.617, 63.784, -164.271
146.721, 63.975, -163.708
148.855, 63.955, -163.292
151.020, 64.144, -164.204
153.217, 64.034, -163.759
155.445, 64.094, -164.212
157.706, 64.110, -163.821
160.000, 64.084, -163.945
162.327, 64.156, -163.949
164.688, 64.163, -163.846
167.084, 64.166, -164.031
169.514, 64.139, -163.839
171.980, 64.242, -163.939
174.481, 64.126, -164.687
177.019, 63.889, -163.942
179.594, 64.037, -164.666
182.206, 64.152, -164.705
184.856, 64.354, -163.223
187.545, 64.106, -163.132
190.273, 64.222, -163.905
193.041, 64.082, -162.983
195.849, 64.485, -164.827
198.697, 64.293, -164.072
201.587, 64.368, -163.778
204.520, 64.306, -163.554
207.494, 64.399, -163.459
210.512, 64.491, -163.720
213.574, 64.407, -164.441
216.681, 64.513, -163.307
219.833, 64.662, -163.153
223.030, 64.519, -163.841
226.274, 64.538, -163.535
229.565, 64.521, -163.778
232.905, 64.567, -163.655
236.292, 64.502, -163.728
239.729, 64.591, -164.274
243.216, 64.619, -164.360
246.754, 64.617, -164.268
250.343, 64.624, -163.974
253.984, 64.835, -164.153
257.678, 64.722, -164.734
261.426, 64.748, -164.633
265.229, 64.930, -164.125
269.087, 64.818, -163.926
273.001, 64.775, -164.736
276.972, 64.954, -164.042
281.000, 64.914, -164.412
285.088, 65.004, -164.174
289.234, 64.964, -164.636
293.441, 64.927, -165.163
297.710, 64.938, -162.034
302.040, 65.123, -164.630
306.433, 65.238, -165.484
310.890, 65.170, -165.124
315.412, 65.232, -165.124
320.000, 65.242, -165.710
324.655, 65.323, -165.965
329.377, 65.347, -165.799
334.168, 65.343, -165.925
339.028, 65.393, -166.361
343.959, 65.455, -165.692
348.962, 65.301, -166.537
354.038, 65.348, -166.731
359.188, 65.419, -166.825
364.412, 65.427, -167.315
369.713, 65.462, -167.183
375.090, 65.325, -167.134
380.546, 65.477, -168.599
386.081, 65.338, -168.094
391.697, 65.341, -167.576
397.395, 65.352, -168.575
403.175, 65.274, -168.194
409.039, 65.307, -168.612
414.989, 65.283, -168.450
421.025, 65.169, -168.351
427.149, 65.249, -168.290
433.362, 65.137, -168.285
439.665, 65.143, -168.425
446.060, 65.200, -168.280
452.548, 65.148, -167.556
459.131, 64.977, -167.925
465.809, 65.054, -167.253
