* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 4:24:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 16:24:15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 62.679, -104.512
10.293, 62.728, -105.594
10.443, 62.778, -106.779
10.595, 62.830, -107.826
10.749, 62.884, -108.873
10.905, 62.940, -109.926
11.064, 63.000, -110.991
11.225, 63.061, -112.092
11.388, 63.123, -113.227
11.554, 63.182, -114.416
11.722, 63.237, -115.656
11.892, 63.282, -116.942
12.065, 63.314, -118.266
12.241, 63.330, -119.584
12.419, 63.329, -120.881
12.599, 63.310, -122.089
12.782, 63.278, -123.185
12.968, 63.238, -124.111
13.157, 63.202, -124.871
13.348, 63.177, -125.444
13.543, 63.176, -125.915
13.740, 63.204, -126.308
13.939, 63.261, -126.770
14.142, 63.340, -127.340
14.348, 63.430, -128.113
14.557, 63.510, -129.068
14.768, 63.570, -130.194
14.983, 63.592, -131.370
15.201, 63.577, -132.479
15.422, 63.524, -133.413
15.646, 63.454, -134.019
15.874, 63.390, -134.295
16.105, 63.352, -134.235
16.339, 63.368, -134.021
16.577, 63.437, -133.840
16.818, 63.552, -133.853
17.063, 63.684, -134.221
17.311, 63.801, -134.910
17.563, 63.882, -135.831
17.818, 63.914, -136.840
18.077, 63.898, -137.730
18.340, 63.856, -138.386
18.607, 63.813, -138.794
18.877, 63.792, -139.021
19.152, 63.806, -139.236
19.431, 63.847, -139.648
19.713, 63.889, -140.354
20.000, 63.904, -141.332
20.291, 63.872, -142.460
20.586, 63.787, -143.544
20.885, 63.663, -144.392
21.189, 63.534, -144.899
21.497, 63.437, -145.132
21.810, 63.396, -145.319
22.127, 63.402, -145.732
22.449, 63.420, -146.528
22.776, 63.404, -147.642
23.107, 63.327, -148.799
23.443, 63.196, -149.620
23.784, 63.063, -149.825
24.130, 63.006, -149.467
24.481, 63.074, -149.010
24.837, 63.246, -149.059
25.198, 63.435, -149.923
25.565, 63.545, -151.399
25.937, 63.531, -152.913
26.314, 63.422, -153.849
26.697, 63.308, -153.931
27.085, 63.284, -153.494
27.479, 63.358, -153.273
27.879, 63.442, -153.730
28.284, 63.427, -154.632
28.696, 63.278, -155.275
29.113, 63.065, -154.984
29.537, 62.928, -153.740
29.966, 62.953, -152.351
30.402, 63.089, -151.704
30.844, 63.207, -151.983
31.293, 63.223, -152.618
31.748, 63.162, -152.927
32.210, 63.114, -152.655
32.678, 63.157, -152.109
33.154, 63.299, -151.789
33.636, 63.491, -152.046
34.125, 63.654, -152.958
34.621, 63.701, -154.181
35.125, 63.594, -154.755
35.636, 63.472, -153.686
36.154, 63.615, -151.545
36.680, 64.030, -150.769
37.214, 64.321, -152.448
37.755, 64.177, -154.322
38.304, 63.809, -153.381
38.861, 63.845, -150.387
39.427, 64.248, -149.907
40.000, 64.345, -152.522
40.582, 63.947, -154.019
41.172, 63.659, -152.578
41.771, 63.808, -152.064
42.379, 63.813, -154.401
42.995, 63.451, -155.621
43.620, 63.355, -154.669
44.255, 63.544, -155.864
44.898, 63.310, -158.176
45.552, 62.950, -156.008
46.214, 63.485, -152.721
46.886, 64.173, -155.442
47.568, 63.978, -159.292
48.260, 63.518, -157.352
48.962, 63.883, -153.861
49.674, 64.355, -155.187
50.397, 64.196, -157.033
51.130, 63.967, -155.193
51.874, 64.300, -153.229
