* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS  With no timing reference
* Dated: 30 Apr, 2021 9:42:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Apr 30 21:42:08
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 63.775, 76.968
10.293, 63.799, 76.369
10.443, 63.824, 75.576
10.595, 63.866, 74.558
10.749, 63.915, 73.507
10.905, 63.960, 72.729
11.064, 64.007, 72.043
11.225, 64.061, 71.218
11.388, 64.118, 70.322
11.554, 64.174, 69.424
11.722, 64.229, 68.513
11.892, 64.278, 67.592
12.065, 64.323, 66.659
12.241, 64.362, 65.718
12.419, 64.397, 64.781
12.599, 64.427, 63.897
12.782, 64.456, 63.050
12.968, 64.486, 62.226
13.157, 64.518, 61.428
13.348, 64.554, 60.657
13.543, 64.594, 59.880
13.740, 64.638, 59.089
13.939, 64.682, 58.268
14.142, 64.725, 57.421
14.348, 64.764, 56.547
14.557, 64.796, 55.670
14.768, 64.820, 54.799
14.983, 64.838, 53.970
15.201, 64.852, 53.190
15.422, 64.865, 52.472
15.646, 64.881, 51.809
15.874, 64.902, 51.185
16.105, 64.931, 50.582
16.339, 64.966, 49.966
16.577, 65.004, 49.325
16.818, 65.043, 48.650
17.063, 65.078, 47.945
17.311, 65.108, 47.231
17.563, 65.131, 46.526
17.818, 65.148, 45.849
18.077, 65.162, 45.215
18.340, 65.177, 44.621
18.607, 65.193, 44.058
18.877, 65.213, 43.512
19.152, 65.235, 42.964
19.431, 65.258, 42.402
19.713, 65.280, 41.824
20.000, 65.298, 41.239
20.291, 65.312, 40.658
20.586, 65.322, 40.098
20.885, 65.329, 39.568
21.189, 65.336, 39.073
21.497, 65.346, 38.602
21.810, 65.359, 38.140
22.127, 65.375, 37.675
22.449, 65.391, 37.200
22.776, 65.406, 36.721
23.107, 65.420, 36.251
23.443, 65.435, 35.795
23.784, 65.454, 35.346
24.130, 65.476, 34.883
24.481, 65.500, 34.385
24.837, 65.521, 33.849
25.198, 65.535, 33.297
25.565, 65.542, 32.762
25.937, 65.544, 32.269
26.314, 65.547, 31.819
26.697, 65.553, 31.391
27.085, 65.560, 30.966
27.479, 65.566, 30.545
27.879, 65.571, 30.144
28.284, 65.577, 29.774
28.696, 65.587, 29.421
29.113, 65.601, 29.058
29.537, 65.616, 28.669
29.966, 65.628, 28.266
30.402, 65.637, 27.869
30.844, 65.645, 27.483
31.293, 65.652, 27.098
31.748, 65.657, 26.709
32.210, 65.658, 26.332
32.678, 65.657, 25.989
33.154, 65.658, 25.675
33.636, 65.662, 25.363
34.125, 65.666, 25.044
34.621, 65.668, 24.734
35.125, 65.672, 24.440
35.636, 65.678, 24.139
36.154, 65.682, 23.819
36.680, 65.683, 23.515
37.214, 65.686, 23.255
37.755, 65.697, 22.984
38.304, 65.709, 22.638
38.861, 65.705, 22.277
39.427, 65.693, 22.028
40.000, 65.696, 21.888
40.582, 65.719, 21.691
41.172, 65.739, 21.373
41.771, 65.743, 21.054
42.379, 65.745, 20.815
42.995, 65.753, 20.584
43.620, 65.757, 20.341
44.255, 65.760, 20.154
44.898, 65.772, 19.991
45.552, 65.790, 19.776
46.214, 65.809, 19.514
46.886, 65.827, 19.161
47.568, 65.821, 18.692
48.260, 65.775, 18.397
48.962, 65.745, 18.493
49.674, 65.780, 18.577
50.397, 65.822, 18.290
51.130, 65.818, 17.975
51.874, 65.814, 17.919
52.628, 65.841, 17.876
53.394, 65.870, 17.683
54.170, 65.885, 17.478
54.958, 65.899, 17.326
55.758, 65.916, 17.184
56.569, 65.937, 17.024
57.391, 65.956, 16.843
58.226, 65.975, 16.674
59.073, 65.998, 16.527
59.932, 66.028, 16.360
60.804, 66.060, 16.137
61.688, 66.086, 15.885
62.586, 66.106, 15.658
63.496, 66.128, 15.460
64.420, 66.155, 15.230
65.357, 66.177, 14.951
66.307, 66.194, 14.695
67.272, 66.218, 14.436
68.250, 66.240, 14.135
69.243, 66.264, 13.878
70.250, 66.293, 13.558
71.272, 66.312, 13.284
72.309, 66.350, 12.996
73.360, 66.366, 12.505
