* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 5:06:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 17:06:40
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 61.873, -106.459
10.293, 61.926, -107.039
10.443, 61.981, -107.714
10.595, 62.064, -108.364
10.749, 62.158, -109.094
10.905, 62.257, -109.961
11.064, 62.357, -110.947
11.225, 62.444, -112.056
11.388, 62.520, -113.274
11.554, 62.572, -114.529
11.722, 62.601, -115.812
11.892, 62.608, -117.017
12.065, 62.593, -118.139
12.241, 62.570, -119.093
12.419, 62.540, -119.891
12.599, 62.522, -120.523
12.782, 62.517, -121.039
12.968, 62.537, -121.500
13.157, 62.577, -121.984
13.348, 62.637, -122.556
13.543, 62.700, -123.259
13.740, 62.762, -124.107
13.939, 62.807, -125.050
14.142, 62.832, -126.044
14.348, 62.831, -127.008
14.557, 62.816, -127.872
14.768, 62.788, -128.603
14.983, 62.763, -129.191
15.201, 62.746, -129.683
15.422, 62.743, -130.118
15.646, 62.747, -130.569
15.874, 62.752, -131.027
16.105, 62.752, -131.486
16.339, 62.743, -131.851
16.577, 62.739, -132.068
16.818, 62.744, -132.110
17.063, 62.789, -132.023
17.311, 62.879, -131.990
17.563, 63.006, -132.149
17.818, 63.152, -132.635
18.077, 63.277, -133.454
18.340, 63.359, -134.425
18.607, 63.395, -135.333
18.877, 63.403, -135.981
19.152, 63.423, -136.265
19.431, 63.505, -136.385
19.713, 63.651, -136.739
20.000, 63.822, -137.645
20.291, 63.948, -139.185
20.586, 63.956, -141.101
20.885, 63.805, -142.801
21.189, 63.523, -143.507
21.497, 63.234, -142.595
21.810, 63.134, -140.262
22.127, 63.345, -137.794
22.449, 63.791, -136.680
22.776, 64.269, -137.522
23.107, 64.591, -139.879
23.443, 64.666, -142.746
23.784, 64.516, -145.049
24.130, 64.258, -146.057
24.481, 64.057, -145.794
24.837, 64.016, -145.107
25.198, 64.089, -144.956
25.565, 64.149, -145.585
25.937, 64.110, -146.477
26.314, 63.990, -146.944
26.697, 63.888, -146.741
27.085, 63.881, -146.297
27.479, 63.952, -146.235
27.879, 64.021, -146.701
28.284, 64.043, -147.352
28.696, 64.048, -147.893
29.113, 64.076, -148.439
29.537, 64.111, -149.306
29.966, 64.088, -150.450
30.402, 63.981, -151.384
30.844, 63.847, -151.658
31.293, 63.777, -151.414
31.748, 63.788, -151.187
32.210, 63.821, -151.174
32.678, 63.858, -151.107
33.154, 63.949, -150.959
33.636, 64.102, -151.272
34.125, 64.211, -152.342
34.621, 64.181, -153.517
35.125, 64.076, -153.818
35.636, 64.072, -153.368
36.154, 64.206, -153.462
36.680, 64.290, -154.639
37.214, 64.177, -155.848
37.755, 63.988, -155.797
38.304, 63.950, -154.782
38.861, 64.081, -154.385
39.427, 64.186, -154.983
40.000, 64.180, -155.661
40.582, 64.162, -155.895
41.172, 64.183, -156.200
41.771, 64.163, -156.743
42.379, 64.083, -156.846
42.995, 64.072, -156.349
43.620, 64.166, -156.212
44.255, 64.216, -156.737
44.898, 64.165, -156.994
45.552, 64.148, -156.547
46.214, 64.237, -156.235
46.886, 64.325, -156.513
47.568, 64.362, -156.891
48.260, 64.398, -157.271
48.962, 64.406, -157.877
49.674, 64.353, -158.324
50.397, 64.316, -158.317
