* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 10 Dec, 2021 6:20:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dec 10 18:20:12
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 61.542, 83.667
10.293, 61.570, 82.893
10.443, 61.599, 81.865
10.595, 61.640, 80.529
10.749, 61.679, 79.158
10.905, 61.702, 78.160
11.064, 61.717, 77.318
11.225, 61.737, 76.389
11.388, 61.760, 75.450
11.554, 61.786, 74.603
11.722, 61.817, 73.826
11.892, 61.858, 73.083
12.065, 61.908, 72.365
12.241, 61.971, 71.597
12.419, 62.044, 70.783
12.599, 62.122, 69.913
12.782, 62.201, 68.971
12.968, 62.277, 67.913
13.157, 62.342, 66.790
13.348, 62.392, 65.619
13.543, 62.425, 64.456
13.740, 62.439, 63.319
13.939, 62.439, 62.290
14.142, 62.429, 61.379
14.348, 62.419, 60.626
14.557, 62.418, 59.994
14.768, 62.433, 59.469
14.983, 62.469, 58.970
15.201, 62.522, 58.440
15.422, 62.590, 57.823
15.646, 62.660, 57.085
15.874, 62.723, 56.246
16.105, 62.772, 55.328
16.339, 62.801, 54.416
16.577, 62.815, 53.565
16.818, 62.818, 52.822
17.063, 62.823, 52.215
17.311, 62.840, 51.699
17.563, 62.874, 51.220
17.818, 62.926, 50.704
18.077, 62.989, 50.073
18.340, 63.049, 49.310
18.607, 63.095, 48.441
18.877, 63.120, 47.522
19.152, 63.120, 46.643
19.431, 63.101, 45.895
19.713, 63.077, 45.324
20.000, 63.062, 44.925
20.291, 63.067, 44.646
20.586, 63.100, 44.391
20.885, 63.158, 44.051
21.189, 63.228, 43.541
21.497, 63.291, 42.837
21.810, 63.329, 41.992
22.127, 63.332, 41.121
22.449, 63.299, 40.377
22.776, 63.246, 39.889
23.107, 63.200, 39.703
23.443, 63.190, 39.727
23.784, 63.229, 39.755
24.130, 63.306, 39.559
24.481, 63.386, 39.017
24.837, 63.434, 38.193
25.198, 63.429, 37.302
25.565, 63.380, 36.588
25.937, 63.322, 36.167
26.314, 63.288, 35.954
26.697, 63.290, 35.723
27.085, 63.307, 35.289
27.479, 63.304, 34.672
27.879, 63.267, 34.080
28.284, 63.215, 33.711
28.696, 63.186, 33.566
29.113, 63.200, 33.432
29.537, 63.241, 33.072
29.966, 63.267, 32.467
30.402, 63.256, 31.816
30.844, 63.221, 31.343
31.293, 63.193, 31.084
31.748, 63.187, 30.895
32.210, 63.191, 30.655
32.678, 63.185, 30.403
33.154, 63.171, 30.246
33.636, 63.164, 30.199
34.125, 63.170, 30.174
34.621, 63.179, 30.120
35.125, 63.186, 30.060
35.636, 63.193, 29.995
36.154, 63.191, 29.892
36.680, 63.168, 29.842
37.214, 63.134, 30.056
37.755, 63.137, 30.562
38.304, 63.210, 31.069
38.861, 63.323, 31.264
39.427, 63.438, 31.199
40.000, 63.558, 31.036
40.582, 63.698, 30.683
41.172, 63.835, 29.980
41.771, 63.930, 29.049
42.379, 63.988, 28.130
42.995, 64.031, 27.235
43.620, 64.050, 26.292
44.255, 64.035, 25.401
44.898, 64.001, 24.621
45.552, 63.944, 23.861
46.214, 63.841, 23.227
46.886, 63.711, 23.040
47.568, 63.624, 23.222
48.260, 63.587, 23.244
48.962, 63.515, 22.973
49.674, 63.371, 22.961
50.397, 63.224, 23.578
51.130, 63.129, 24.532
51.874, 63.060, 25.721
52.628, 63.054, 27.443
53.394, 63.203, 29.272
54.170, 63.461, 30.413
54.958, 63.735, 30.891
55.758, 64.012, 30.877
56.569, 64.267, 30.337
57.391, 64.478, 29.460
58.226, 64.645, 28.286
59.073, 64.733, 26.992
59.932, 64.773, 25.976
60.804, 64.810, 25.127
61.688, 64.836, 24.364
62.586, 64.871, 23.692
63.496, 64.896, 22.895
64.420, 64.888, 22.196
65.357, 64.884, 21.634
66.307, 64.876, 21.049
67.272, 64.863, 20.548
68.250, 64.852, 20.061
69.243, 64.838, 19.640
70.250, 64.831, 19.268
71.272, 64.824, 18.907
72.309, 64.819, 18.564
73.360, 64.802, 18.227
74.427, 64.789, 17.986
75.510, 64.782, 17.658
76.608, 64.759, 17.372
77.723, 64.749, 17.182
78.853, 64.747, 16.984
80.000, 64.750, 16.794
81.164, 64.747, 16.584
82.344, 64.730, 16.412
83.542, 64.719, 16.310
84.757, 64.713, 16.055
85.990, 64.694, 15.733
87.241, 64.667, 15.483
88.510, 64.677, 15.379
89.797, 64.683, 15.067
91.103, 64.677, 15.088
92.428, 64.691, 14.988
93.773, 64.684, 14.947
95.137, 64.683, 14.787
96.520, 64.700, 14.582
97.924, 64.707, 14.047
99.349, 64.673, 13.617
100.794, 64.606, 13.848
102.260, 64.656, 14.216
103.747, 64.660, 14.238
105.256, 64.671, 14.240
106.787, 64.665, 14.094
108.340, 64.657, 13.866
109.916, 64.657, 13.777
111.515, 64.678, 13.625
113.137, 64.676, 13.495
114.783, 64.664, 13.495
116.452, 64.660, 13.548
118.146, 64.665, 13.354
119.865, 64.632, 13.187
121.608, 64.613, 13.152
123.377, 64.626, 13.242
125.171, 64.658, 13.306
126.992, 64.693, 13.261
128.839, 64.718, 13.217
130.713, 64.723, 13.063
132.615, 64.711, 12.911
134.543, 64.702, 12.897
136.500, 64.716, 12.819
138.486, 64.705, 12.663
140.500, 64.719, 12.610
142.544, 64.720, 12.532
144.617, 64.728, 12.689
146.721, 64.741, 12.706
148.855, 64.731, 12.650
151.020, 64.727, 12.591
153.217, 64.735, 12.567
155.445, 64.748, 12.479
157.706, 64.751, 12.433
160.000, 64.759, 12.281
162.327, 64.770, 12.171
164.688, 64.767, 12.190
167.084, 64.772, 12.214
169.514, 64.768, 12.159
171.980, 64.770, 12.133
174.481, 64.785, 12.164
177.019, 64.811, 12.223
179.594, 64.811, 12.003
182.206, 64.809, 12.105
184.856, 64.836, 12.060
187.545, 64.827, 12.151
190.273, 64.820, 12.219
193.041, 64.826, 12.076
195.849, 64.840, 12.021
198.697, 64.874, 12.044
201.587, 64.867, 11.958
204.520, 64.868, 11.926
207.494, 64.860, 11.922
210.512, 64.858, 11.996
213.574, 64.887, 11.951
216.681, 64.886, 11.822
219.833, 64.874, 11.901
223.030, 64.885, 11.900
226.274, 64.904, 11.897
229.565, 64.904, 11.912
232.905, 64.924, 11.777
236.292, 64.944, 11.843
239.729, 64.939, 11.874
243.216, 64.919, 11.787
246.754, 64.928, 11.835
250.343, 64.939, 11.870
253.984, 64.946, 11.763
257.678, 64.956, 11.828
261.426, 64.945, 11.802
265.229, 64.950, 11.764
269.087, 64.961, 11.893
273.001, 64.974, 11.874
276.972, 64.986, 11.765
281.000, 64.989, 11.726
285.088, 65.002, 11.733
289.234, 64.993, 11.639
293.441, 64.982, 11.598
297.710, 64.995, 11.665
302.040, 64.953, 11.670
306.433, 64.947, 11.620
310.890, 64.949, 11.644
315.412, 64.925, 11.703
320.000, 64.915, 11.803
324.655, 64.900, 11.970
329.377, 64.885, 12.210
334.168, 64.876, 12.353
339.028, 64.869, 12.480
343.959, 64.873, 12.619
348.962, 64.859, 12.891
354.038, 64.844, 13.144
359.188, 64.856, 13.285
364.412, 64.869, 13.452
369.713, 64.866, 13.813
375.090, 64.876, 13.958
380.546, 64.891, 14.224
386.081, 64.908, 14.429
391.697, 64.922, 14.591
397.395, 64.934, 14.833
403.175, 64.960, 14.975
409.039, 64.968, 15.253
414.989, 64.982, 15.391
421.025, 64.997, 15.779
427.149, 65.029, 15.978
433.362, 65.069, 16.022
439.665, 65.088, 16.100
446.060, 65.101, 16.311
452.548, 65.137, 16.532
459.131, 65.163, 16.754
465.809, 65.185, 16.897
472.584, 65.223, 17.093
479.458, 65.257, 17.237
486.432, 65.293, 17.435
493.507, 65.305, 17.594
500.686, 65.337, 17.753
507.968, 65.428, 18.450
515.357, 65.373, 18.420
522.853, 65.445, 18.047
530.458, 65.483, 18.118
538.174, 65.522, 18.204
546.002, 65.570, 18.358
553.943, 65.589, 18.181
562.001, 65.591, 18.237
570.175, 65.596, 18.205
578.469, 65.568, 18.122
586.883, 65.551, 18.234
595.419, 65.553, 18.670
604.080, 65.519, 19.171
612.866, 65.490, 19.767
621.780, 65.521, 20.059
630.824, 65.561, 20.501
640.000, 65.613, 21.076
649.309, 65.674, 21.672
658.753, 65.772, 22.105
668.335, 65.829, 22.435
678.056, 65.907, 22.674
687.919, 65.995, 23.002
697.925, 66.094, 23.151
708.076, 66.187, 23.298
718.376, 66.270, 23.306
728.825, 66.359, 23.426
739.426, 66.458, 23.313
750.181, 66.530, 23.121
761.093, 66.588, 22.908
772.163, 66.644, 22.645
783.394, 66.686, 22.311
794.789, 66.670, 22.000
806.349, 66.625, 22.022
818.078, 66.615, 22.283
829.977, 66.601, 22.654
842.050, 66.626, 23.245
854.297, 66.680, 23.886
866.724, 66.761, 24.283
879.330, 66.850, 24.419
892.120, 66.931, 24.683
905.097, 66.989, 24.668
918.262, 67.042, 25.094
931.618, 67.172, 25.419
945.169, 67.253, 25.489
958.917, 67.354, 25.581
972.864, 67.449, 25.368
987.015, 67.487, 25.177
1001.371, 67.495, 25.246
1015.937, 67.549, 25.684
1030.714, 67.613, 26.134
1045.706, 67.723, 26.642
1060.916, 67.850, 27.042
1076.347, 68.010, 27.490
1092.003, 68.166, 27.266
1107.887, 68.305, 27.082
1124.001, 68.457, 26.933
1140.350, 68.588, 26.720
1156.937, 68.724, 26.558
1173.765, 68.851, 26.217
1190.838, 68.988, 26.215
1208.159, 69.090, 25.970
1225.732, 69.201, 25.838
1243.561, 69.393, 25.114
1261.649, 69.570, 24.561
1280.000, 69.754, 23.561
1298.618, 69.905, 22.361
1317.507, 69.988, 21.019
1336.670, 70.010, 20.005
1356.113, 70.096, 19.206
1375.838, 70.163, 17.750
1395.850, 70.140, 16.701
1416.153, 70.203, 16.023
1436.751, 70.234, 14.530
1457.649, 70.123, 13.383
1478.851, 70.086, 12.992
1500.362, 70.127, 12.114
1522.185, 70.063, 10.532
1544.326, 69.881, 10.228
1566.789, 69.889, 9.582
1589.578, 69.806, 8.675
1612.699, 69.662, 8.049
1636.156, 69.537, 7.230
1659.955, 69.401, 7.135
1684.099, 69.225, 6.308
1708.595, 68.956, 6.799
1733.447, 68.834, 7.064
1758.661, 68.474, 7.854
1784.241, 68.541, 10.536
1810.193, 68.552, 10.095
1836.523, 68.345, 11.727
1863.236, 68.444, 12.175
1890.338, 68.176, 13.890
1917.833, 68.252, 16.122
1945.729, 68.371, 18.891
1974.030, 68.754, 19.585
2002.743, 68.820, 21.416
2031.873, 69.453, 22.066
2061.428, 69.516, 21.028
2091.412, 69.912, 21.351
