* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 15 Feb, 2021 6:43:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 15 18:43:53
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 58.655, 102.827
10.293, 58.691, 102.119
10.443, 58.729, 101.183
10.595, 58.790, 99.977
10.749, 58.857, 98.737
10.905, 58.914, 97.830
11.064, 58.971, 97.047
11.225, 59.035, 96.139
11.388, 59.104, 95.182
11.554, 59.175, 94.268
11.722, 59.247, 93.383
11.892, 59.323, 92.513
12.065, 59.402, 91.653
12.241, 59.486, 90.768
12.419, 59.576, 89.863
12.599, 59.668, 88.953
12.782, 59.762, 88.014
12.968, 59.857, 87.008
13.157, 59.947, 85.957
13.348, 60.030, 84.868
13.543, 60.102, 83.757
13.740, 60.161, 82.633
13.939, 60.205, 81.550
14.142, 60.237, 80.526
14.348, 60.258, 79.602
14.557, 60.276, 78.789
14.768, 60.295, 78.091
14.983, 60.323, 77.491
15.201, 60.363, 76.946
15.422, 60.419, 76.419
15.646, 60.485, 75.844
15.874, 60.558, 75.202
16.105, 60.631, 74.468
16.339, 60.696, 73.657
16.577, 60.747, 72.805
16.818, 60.784, 71.946
17.063, 60.806, 71.134
17.311, 60.821, 70.400
17.563, 60.834, 69.753
17.818, 60.852, 69.189
18.077, 60.881, 68.675
18.340, 60.924, 68.168
18.607, 60.979, 67.627
18.877, 61.043, 67.018
19.152, 61.112, 66.319
19.431, 61.178, 65.529
19.713, 61.235, 64.679
20.000, 61.279, 63.813
20.291, 61.313, 62.987
20.586, 61.341, 62.246
20.885, 61.374, 61.602
21.189, 61.422, 61.014
21.497, 61.486, 60.388
21.810, 61.557, 59.637
22.127, 61.611, 58.744
22.449, 61.628, 57.811
22.776, 61.602, 57.044
23.107, 61.549, 56.666
23.443, 61.516, 56.772
23.784, 61.551, 57.197
24.130, 61.675, 57.544
24.481, 61.854, 57.404
24.837, 62.019, 56.630
25.198, 62.102, 55.454
25.565, 62.083, 54.369
25.937, 62.000, 53.842
26.314, 61.937, 54.000
26.697, 61.970, 54.485
27.085, 62.102, 54.676
27.479, 62.260, 54.182
27.879, 62.360, 53.136
28.284, 62.371, 52.035
28.696, 62.328, 51.312
29.113, 62.301, 51.033
29.537, 62.332, 50.876
29.966, 62.399, 50.496
30.402, 62.454, 49.874
30.844, 62.474, 49.275
31.293, 62.486, 48.926
31.748, 62.527, 48.762
32.210, 62.602, 48.545
32.678, 62.678, 48.174
33.154, 62.734, 47.792
33.636, 62.782, 47.565
34.125, 62.852, 47.443
34.621, 62.944, 47.232
35.125, 63.030, 46.846
35.636, 63.093, 46.401
36.154, 63.145, 46.014
36.680, 63.200, 45.642
37.214, 63.254, 45.190
37.755, 63.293, 44.688
38.304, 63.320, 44.245
38.861, 63.352, 43.885
39.427, 63.398, 43.516
40.000, 63.445, 43.084
40.582, 63.485, 42.652
41.172, 63.524, 42.294
41.771, 63.571, 42.004
42.379, 63.628, 41.732
42.995, 63.691, 41.458
43.620, 63.761, 41.163
44.255, 63.830, 40.822
44.898, 63.891, 40.485
45.552, 63.958, 40.209
46.214, 64.046, 39.835
46.886, 64.118, 39.193
47.568, 64.133, 38.613
48.260, 64.157, 38.486
48.962, 64.267, 38.308
49.674, 64.376, 37.407
50.397, 64.362, 36.358
51.130, 64.297, 36.053
51.874, 64.313, 36.147
52.628, 64.376, 35.955
53.394, 64.427, 35.592
54.170, 64.482, 35.184
54.958, 64.532, 34.609
55.758, 64.563, 33.998
56.569, 64.591, 33.407
57.391, 64.608, 32.819
58.226, 64.627, 32.429
59.073, 64.686, 32.043
59.932, 64.729, 31.435
60.804, 64.736, 31.100
61.688, 64.796, 30.990
62.586, 64.870, 30.496
