* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 19 Sep, 2020 4:43:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 19 16:43:21
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 46.293, -28.230
10.293, 46.613, -24.417
10.443, 46.953, -20.921
10.595, 47.608, -18.880
10.749, 48.353, -17.899
10.905, 49.061, -18.355
11.064, 49.739, -19.973
11.225, 50.290, -22.326
11.388, 50.726, -25.410
11.554, 51.023, -28.695
11.722, 51.181, -32.189
11.892, 51.210, -35.427
12.065, 51.114, -38.378
12.241, 50.930, -40.611
12.419, 50.680, -42.111
12.599, 50.443, -42.596
12.782, 50.256, -42.294
12.968, 50.211, -41.358
13.157, 50.299, -40.398
13.348, 50.549, -39.837
13.543, 50.858, -40.092
13.740, 51.203, -41.289
13.939, 51.477, -43.241
14.142, 51.668, -45.720
14.348, 51.730, -48.377
14.557, 51.681, -50.707
14.768, 51.529, -52.468
14.983, 51.346, -53.150
15.201, 51.211, -52.828
15.422, 51.202, -51.493
15.646, 51.403, -49.996
15.874, 51.775, -48.877
16.105, 52.280, -48.722
16.339, 52.787, -49.694
16.577, 53.233, -51.508
16.818, 53.569, -53.880
17.063, 53.771, -56.288
17.311, 53.867, -58.319
17.563, 53.896, -59.739
17.818, 53.911, -60.405
18.077, 53.985, -60.439
18.340, 54.139, -60.360
18.607, 54.358, -60.402
18.877, 54.603, -60.832
19.152, 54.817, -61.647
19.431, 54.961, -62.548
19.713, 55.041, -63.172
20.000, 55.100, -63.270
20.291, 55.199, -62.819
20.586, 55.393, -62.091
20.885, 55.698, -61.595
21.189, 56.071, -61.793
21.497, 56.428, -62.800
21.810, 56.705, -64.356
22.127, 56.876, -66.004
22.449, 56.966, -67.281
22.776, 57.044, -67.947
23.107, 57.186, -68.156
23.443, 57.429, -68.408
23.784, 57.735, -69.217
24.130, 58.020, -70.729
24.481, 58.209, -72.624
24.837, 58.284, -74.306
25.198, 58.300, -75.251
25.565, 58.361, -75.386
25.937, 58.541, -75.221
26.314, 58.822, -75.476
26.697, 59.105, -76.476
27.085, 59.296, -77.909
27.479, 59.374, -79.121
27.879, 59.404, -79.619
28.284, 59.482, -79.448
28.696, 59.658, -79.116
29.113, 59.904, -79.141
29.537, 60.156, -79.662
29.966, 60.377, -80.526
30.402, 60.556, -81.577
30.844, 60.690, -82.711
31.293, 60.779, -83.759
31.748, 60.851, -84.539
32.210, 60.958, -85.102
32.678, 61.120, -85.859
33.154, 61.284, -87.128
33.636, 61.370, -88.659
34.125, 61.377, -89.798
34.621, 61.397, -90.208
35.125, 61.520, -90.298
35.636, 61.719, -90.680
36.154, 61.912, -91.413
36.680, 62.073, -92.142
37.214, 62.222, -92.723
37.755, 62.352, -93.177
38.304, 62.454, -93.226
38.861, 62.609, -92.582
39.427, 62.920, -91.885
40.000, 63.332, -92.275
40.582, 63.639, -93.909
41.172, 63.734, -95.680
41.771, 63.703, -96.444
42.379, 63.741, -96.085
42.995, 63.955, -95.632
43.620, 64.266, -96.007
44.255, 64.549, -97.136
44.898, 64.778, -98.384
45.552, 65.029, -99.524
46.214, 65.334, -101.036
46.886, 65.609, -103.287
47.568, 65.759, -105.846
48.260, 65.794, -107.990
48.962, 65.796, -109.543
49.674, 65.790, -110.788
50.397, 65.755, -111.650
51.130, 65.752, -111.978
51.874, 65.824, -112.371
52.628, 65.869, -113.094
53.394, 65.875, -113.352
54.170, 65.976, -113.162
54.958, 66.163, -113.232
55.758, 66.403, -113.418
56.569, 66.732, -114.186
57.391, 66.987, -115.887
58.226, 67.118, -117.184
59.073, 67.325, -118.027
59.932, 67.564, -119.609
60.804, 67.715, -121.465
61.688, 67.841, -123.384
62.586, 67.899, -125.462
63.496, 67.937, -127.145
64.420, 67.999, -129.073
65.357, 67.971, -130.825
66.307, 68.004, -131.991
67.272, 68.030, -133.664
68.250, 67.969, -134.630
69.243, 68.010, -135.296
70.250, 68.049, -136.154
71.272, 68.134, -137.235
72.309, 68.125, -138.717
73.360, 68.141, -139.639
74.427, 68.149, -141.259
75.510, 68.073, -142.156
76.608, 68.087, -143.161
77.723, 68.005, -143.938
78.853, 68.046, -144.475
80.000, 67.989, -145.648
81.164, 67.989, -146.000
82.344, 67.984, -147.530
83.542, 67.885, -147.923
84.757, 67.952, -148.865
85.990, 67.882, -149.646
87.241, 67.935, -150.215
88.510, 67.914, -151.376
89.797, 67.810, -151.987
91.103, 67.805, -152.133
92.428, 67.797, -153.042
93.773, 67.738, -153.574
95.137, 67.726, -154.077
96.520, 67.712, -154.888
97.924, 67.648, -155.525
99.349, 67.599, -156.076
100.794, 67.575, -156.480
102.260, 67.557, -157.239
103.747, 67.503, -157.760
105.256, 67.478, -158.156
106.787, 67.446, -158.607
108.340, 67.413, -159.074
109.916, 67.351, -159.584
111.515, 67.259, -160.068
113.137, 67.213, -160.083
114.783, 67.224, -160.406
116.452, 67.170, -160.578
118.146, 67.183, -160.645
119.865, 67.179, -160.697
121.608, 67.162, -160.909
123.377, 67.165, -161.440
125.171, 67.098, -161.877
126.992, 67.106, -162.317
128.839, 67.097, -162.577
130.713, 67.029, -163.020
132.615, 67.075, -163.086
134.543, 67.052, -164.255
136.500, 66.950, -164.763
138.486, 66.876, -164.189
140.500, 66.911, -164.421
142.544, 66.919, -164.467
144.617, 66.860, -165.100
146.721, 66.889, -165.206
