* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 4:39:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 16:39:49
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 60.216, -89.252
10.293, 60.316, -90.319
10.443, 60.417, -91.552
10.595, 60.512, -92.767
10.749, 60.602, -94.032
10.905, 60.679, -95.317
11.064, 60.745, -96.608
11.225, 60.803, -97.843
11.388, 60.854, -99.028
11.554, 60.907, -100.136
11.722, 60.961, -101.175
11.892, 61.026, -102.187
12.065, 61.099, -103.179
12.241, 61.179, -104.226
12.419, 61.262, -105.325
12.599, 61.338, -106.513
12.782, 61.400, -107.752
12.968, 61.439, -109.009
13.157, 61.454, -110.191
13.348, 61.442, -111.236
13.543, 61.421, -112.040
13.740, 61.396, -112.572
13.939, 61.399, -112.845
14.142, 61.435, -112.950
14.348, 61.526, -113.021
14.557, 61.654, -113.271
14.768, 61.814, -113.792
14.983, 61.965, -114.689
15.201, 62.086, -115.860
15.422, 62.154, -117.236
15.646, 62.158, -118.531
15.874, 62.115, -119.585
16.105, 62.041, -120.222
16.339, 61.993, -120.391
16.577, 62.003, -120.304
16.818, 62.094, -120.188
17.063, 62.260, -120.486
17.311, 62.443, -121.415
17.563, 62.596, -122.981
17.818, 62.668, -125.065
18.077, 62.621, -127.298
18.340, 62.461, -129.273
18.607, 62.218, -130.670
18.877, 61.941, -131.270
19.152, 61.700, -131.043
19.431, 61.552, -130.296
19.713, 61.507, -129.421
20.000, 61.546, -128.673
20.291, 61.642, -128.157
20.586, 61.783, -127.875
20.885, 61.971, -127.873
21.189, 62.202, -128.349
21.497, 62.436, -129.551
21.810, 62.600, -131.508
22.127, 62.615, -133.891
22.449, 62.441, -136.015
22.776, 62.112, -136.990
23.107, 61.773, -136.128
23.443, 61.645, -133.687
23.784, 61.860, -131.186
24.130, 62.307, -130.304
24.481, 62.737, -131.519
24.837, 62.949, -134.050
25.198, 62.881, -136.560
25.565, 62.622, -137.807
25.937, 62.375, -137.272
26.314, 62.348, -135.698
26.697, 62.571, -134.652
27.085, 62.881, -135.098
27.479, 63.096, -136.767
27.879, 63.151, -138.786
28.284, 63.090, -140.448
28.696, 62.992, -141.545
29.113, 62.910, -142.248
29.537, 62.852, -142.748
29.966, 62.818, -143.082
30.402, 62.821, -143.298
30.844, 62.861, -143.591
31.293, 62.901, -144.072
31.748, 62.907, -144.532
32.210, 62.899, -144.670
32.678, 62.934, -144.580
33.154, 63.009, -144.732
33.636, 63.033, -145.277
34.125, 62.937, -145.581
34.621, 62.800, -144.835
35.125, 62.806, -143.203
35.636, 63.009, -141.989
36.154, 63.252, -142.110
36.680, 63.370, -143.058
37.214, 63.358, -143.841
37.755, 63.325, -144.142
38.304, 63.329, -144.362
38.861, 63.334, -144.810
39.427, 63.303, -145.291
40.000, 63.250, -145.542
40.582, 63.203, -145.430
41.172, 63.212, -144.884
41.771, 63.342, -144.263
42.379, 63.560, -144.359
42.995, 63.712, -145.189
43.620, 63.765, -145.693
44.255, 63.890, -145.657
44.898, 64.123, -146.354
45.552, 64.211, -148.279
46.214, 64.037, -149.556
46.886, 63.886, -148.932
47.568, 63.997, -148.209
48.260, 64.128, -148.925
48.962, 64.086, -149.740
49.674, 64.046, -149.672
50.397, 64.110, -149.765
51.130, 64.135, -150.359
51.874, 64.103, -150.667
52.628, 64.101, -150.699
53.394, 64.118, -150.783
54.170, 64.142, -150.931
54.958, 64.136, -151.236
55.758, 64.077, -151.071
56.569, 64.135, -150.373
57.391, 64.288, -150.554
58.226, 64.340, -151.107
59.073, 64.430, -151.297
59.932, 64.527, -152.252
60.804, 64.489, -152.790
61.688, 64.580, -152.734
62.586, 64.638, -153.625
63.496, 64.581, -153.304
64.420, 64.799, -152.710
65.357, 64.997, -153.983
66.307, 64.968, -155.246
67.272, 64.888, -155.552
68.250, 64.924, -155.391
69.243, 65.042, -155.954
70.250, 65.091, -157.362
71.272, 64.907, -158.369
72.309, 64.902, -157.327
73.360, 65.050, -158.808
74.427, 64.748, -158.828
75.510, 64.988, -157.546
76.608, 65.039, -159.623
77.723, 64.915, -159.583
78.853, 64.959, -160.464
80.000, 64.739, -160.723
81.164, 64.816, -159.395
82.344, 64.977, -160.354
83.542, 64.914, -160.755
84.757, 64.940, -161.006
85.990, 64.909, -161.165
87.241, 64.966, -161.481
88.510, 64.851, -162.104
89.797, 64.940, -161.429
91.103, 64.822, -163.007
92.428, 64.831, -161.071
93.773, 64.957, -162.408
95.137, 64.986, -162.544
96.520, 64.946, -162.413
97.924, 65.155, -162.650
99.349, 65.159, -162.223
100.794, 65.190, -162.530
102.260, 65.216, -161.520
103.747, 65.238, -163.542
105.256, 64.891, -162.612
106.787, 65.147, -165.127
108.340, 64.755, -164.202
109.916, 65.012, -164.064
111.515, 65.025, -164.179
113.137, 65.073, -163.486
114.783, 64.956, -164.176
116.452, 65.001, -164.284
118.146, 64.935, -164.601
119.865, 65.129, -165.145
121.608, 65.051, -164.987
123.377, 65.068, -165.191
125.171, 65.017, -165.037
126.992, 65.096, -165.126
128.839, 65.198, -164.196
130.713, 65.043, -165.616
132.615, 65.134, -165.036
134.543, 65.039, -164.789
136.500, 65.138, -164.512
138.486, 65.059, -166.718
140.500, 65.149, -165.973
142.544, 65.159, -166.153
144.617, 65.186, -165.548
146.721, 65.287, -165.996
148.855, 65.257, -165.677
151.020, 65.249, -165.885
153.217, 65.215, -166.031
155.445, 65.220, -166.535
157.706, 65.290, -166.658
160.000, 65.313, -165.745
162.327, 65.418, -165.791
