* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 4:50:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 16:50:05
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 46.466, -24.185
10.293, 46.515, -26.412
10.443, 46.564, -28.581
10.595, 46.599, -30.037
10.749, 46.640, -31.149
10.905, 46.704, -31.931
11.064, 46.789, -32.414
11.225, 46.905, -32.713
11.388, 47.049, -32.816
11.554, 47.215, -32.817
11.722, 47.404, -32.699
11.892, 47.613, -32.478
12.065, 47.843, -32.156
12.241, 48.102, -31.753
12.419, 48.391, -31.310
12.599, 48.719, -30.941
12.782, 49.078, -30.718
12.968, 49.460, -30.797
13.157, 49.841, -31.206
13.348, 50.204, -32.023
13.543, 50.514, -33.124
13.740, 50.759, -34.480
13.939, 50.918, -35.806
14.142, 50.996, -36.957
14.348, 50.997, -37.655
14.557, 50.996, -37.714
14.768, 50.993, -37.060
14.983, 51.076, -35.836
15.201, 51.281, -34.479
15.422, 51.627, -33.363
15.646, 52.047, -33.096
15.874, 52.484, -33.699
16.105, 52.872, -35.212
16.339, 53.146, -37.222
16.577, 53.301, -39.328
16.818, 53.341, -41.154
17.063, 53.317, -42.211
17.311, 53.326, -42.424
17.563, 53.436, -42.049
17.818, 53.705, -41.564
18.077, 54.110, -41.800
18.340, 54.544, -43.042
18.607, 54.920, -45.162
18.877, 55.165, -47.744
19.152, 55.254, -50.108
19.431, 55.237, -51.493
19.713, 55.241, -51.565
20.000, 55.398, -50.668
20.291, 55.773, -49.692
20.586, 56.313, -49.655
20.885, 56.861, -51.014
21.189, 57.264, -53.347
21.497, 57.455, -55.690
21.810, 57.480, -56.996
22.127, 57.502, -56.652
22.449, 57.728, -55.125
22.776, 58.236, -53.929
23.107, 58.895, -54.434
23.443, 59.475, -56.873
23.784, 59.804, -60.433
24.130, 59.837, -63.853
24.481, 59.662, -65.960
24.837, 59.485, -66.285
25.198, 59.504, -65.619
25.565, 59.732, -65.507
25.937, 59.992, -66.752
26.314, 60.109, -68.822
26.697, 60.064, -70.505
27.085, 60.015, -71.031
27.479, 60.157, -71.018
27.879, 60.490, -72.025
28.284, 60.793, -74.760
28.696, 60.850, -78.353
29.113, 60.629, -80.971
29.537, 60.363, -81.074
29.966, 60.435, -79.267
30.402, 60.949, -78.257
30.844, 61.586, -79.877
31.293, 61.987, -83.316
31.748, 62.054, -86.611
32.210, 61.937, -88.160
32.678, 61.920, -87.839
33.154, 62.157, -87.100
33.636, 62.534, -87.396
34.125, 62.864, -88.753
34.621, 63.090, -90.470
35.125, 63.257, -92.240
35.636, 63.372, -94.298
36.154, 63.357, -96.556
36.680, 63.189, -98.074
37.214, 63.040, -97.931
37.755, 63.164, -97.004
38.304, 63.534, -97.279
38.861, 63.857, -99.123
39.427, 64.036, -101.111
40.000, 64.222, -102.582
40.582, 64.469, -104.668
41.172, 64.527, -107.652
41.771, 64.255, -109.422
42.379, 64.015, -107.775
42.995, 64.381, -105.117
43.620, 65.093, -106.309
44.255, 65.414, -111.385
44.898, 64.988, -116.376
45.552, 64.169, -116.431
46.214, 64.045, -111.862
46.886, 64.770, -110.933
47.568, 65.210, -115.027
48.260, 65.099, -118.205
48.962, 65.164, -118.541
49.674, 65.572, -120.300
50.397, 65.729, -123.456
51.130, 65.752, -124.677
51.874, 66.041, -125.534
52.628, 66.269, -128.043
53.394, 66.244, -130.040
54.170, 66.272, -131.038
54.958, 66.355, -132.759
55.758, 66.301, -134.933
56.569, 66.165, -136.439
57.391, 66.125, -137.324
58.226, 66.205, -138.770
59.073, 66.209, -140.835
59.932, 66.132, -142.255
60.804, 66.121, -143.087
61.688, 66.153, -144.198
62.586, 66.091, -145.512
63.496, 66.009, -145.919
64.420, 66.124, -146.977
65.357, 66.004, -149.695
66.307, 65.704, -149.898
67.272, 65.901, -150.202
68.250, 65.812, -153.178
69.243, 65.505, -152.610
70.250, 65.741, -152.123
71.272, 65.782, -153.807
72.309, 65.704, -154.846
73.360, 65.494, -155.788
74.427, 65.450, -155.412
75.510, 65.479, -157.124
76.608, 65.377, -157.917
77.723, 65.344, -159.453
78.853, 65.235, -158.571
80.000, 65.614, -159.766
81.164, 65.350, -161.694
82.344, 65.352, -161.224
83.542, 65.150, -162.797
84.757, 64.994, -161.816
85.990, 65.012, -163.030
87.241, 64.855, -163.257
88.510, 64.883, -163.528
89.797, 65.014, -164.018
91.103, 64.951, -165.772
92.428, 64.884, -165.664
93.773, 64.895, -166.567
95.137, 64.716, -166.739
96.520, 64.891, -166.685
97.924, 64.889, -168.221
99.349, 64.503, -170.209
100.794, 64.758, -167.361
102.260, 64.378, -171.712
103.747, 64.484, -169.430
105.256, 64.341, -169.557
106.787, 64.603, -170.609
108.340, 64.405, -171.614
109.916, 64.435, -169.922
111.515, 64.412, -172.946
113.137, 64.219, -172.190
114.783, 64.248, -173.004
116.452, 64.039, -174.017
118.146, 64.115, -173.727
119.865, 63.988, -173.792
121.608, 63.938, -172.779
123.377, 64.026, -173.764
125.171, 64.111, -174.030
126.992, 63.942, -174.754
128.839, 63.899, -175.935
130.713, 63.848, -176.612
132.615, 63.932, -176.053
134.543, 63.886, -175.803
136.500, 63.746, -176.872
138.486, 63.786, -177.307
140.500, 63.605, -176.535
142.544, 63.582, -176.827
144.617, 63.539, -177.944
146.721, 63.606, -178.799
148.855, 63.436, -178.087
151.020, 63.512, -178.308
153.217, 63.362, -179.149
155.445, 63.424, -179.113
157.706, 63.413, -178.313
160.000, 63.288, -178.666
162.327, 63.446, 179.887
164.688, 63.368, 179.275
167.084, 63.536, -179.338
169.514, 63.220, 179.427
171.980, 63.150, 179.657
174.481, 63.327, 176.835
177.019, 63.144, 176.800
179.594, 63.180, 179.410
182.206, 62.972, 178.463
184.856, 63.059, 176.583
187.545, 63.047, 176.916
190.273, 62.924, 176.988
193.041, 62.895, 176.074
195.849, 62.765, 175.805
198.697, 62.700, 176.854
201.587, 62.531, 175.307
204.520, 62.419, 175.562
207.494, 62.460, 176.606
210.512, 62.341, 176.469
213.574, 62.274, 175.817
216.681, 62.234, 175.279
219.833, 62.115, 174.409
223.030, 62.020, 174.933
226.274, 61.863, 175.145
229.565, 61.874, 175.249
232.905, 61.439, 177.777
236.292, 61.763, 175.448
239.729, 61.572, 174.549
243.216, 61.555, 175.542
246.754, 61.441, 175.995
250.343, 61.430, 174.746
253.984, 61.236, 175.366
257.678, 61.039, 174.923
261.426, 61.030, 174.998
265.229, 60.952, 176.528
269.087, 60.887, 177.148
273.001, 60.814, 177.144
276.972, 60.665, 178.973
281.000, 60.651, 179.105
285.088, 60.735, -179.976
289.234, 60.682, -178.730
293.441, 60.917, 179.389
297.710, 60.937, -177.683
302.040, 60.978, -178.404
306.433, 60.838, -178.618
310.890, 60.821, -178.685
315.412, 60.803, -178.626
320.000, 60.882, -178.752
324.655, 60.901, -178.941
329.377, 60.827, -178.561
334.168, 60.708, -177.847
339.028, 60.811, -178.571
343.959, 60.941, -179.875
348.962, 60.936, 177.149
354.038, 60.811, -178.735
359.188, 60.686, -178.744
364.412, 60.566, -178.750
369.713, 60.505, -179.131
375.090, 60.420, -179.673
380.546, 60.233, -179.128
386.081, 60.098, -178.785
391.697, 59.975, -178.410
397.395, 59.870, -178.055
403.175, 59.674, -177.512
409.039, 59.548, -176.639
414.989, 59.416, -174.915
421.025, 59.408, -174.194
427.149, 59.352, -173.187
433.362, 59.307, -172.063
439.665, 59.263, -170.867
446.060, 59.288, -170.116
452.548, 59.181, -169.052
459.131, 59.205, -167.942
465.809, 59.119, -167.020
472.584, 59.213, -165.336
479.458, 59.156, -164.290
486.432, 59.253, -163.183
493.507, 59.299, -161.761
500.686, 59.408, -160.472
507.968, 59.549, -159.173
515.357, 59.602, -158.917
522.853, 59.760, -157.396
530.458, 59.965, -156.549
538.174, 60.134, -156.159
546.002, 60.284, -155.768
553.943, 60.519, -155.483
562.001, 60.651, -155.827
570.175, 60.791, -156.167
578.469, 60.841, -156.997
586.883, 60.844, -157.889
595.419, 60.781, -157.945
604.080, 60.662, -158.229
612.866, 60.495, -157.345
621.780, 60.480, -156.056
630.824, 60.519, -154.571
640.000, 60.714, -153.519
649.309, 60.679, -153.958
658.753, 60.571, -152.737
668.335, 60.610, -151.837
678.056, 60.737, -150.938
687.919, 60.839, -149.513
697.925, 60.863, -148.989
708.076, 61.055, -147.927
718.376, 61.170, -146.986
728.825, 61.267, -146.251
739.426, 61.521, -145.930
750.181, 61.606, -145.211
761.093, 61.791, -145.037
772.163, 61.949, -144.802
783.394, 62.048, -144.852
794.789, 62.218, -144.377
806.349, 62.332, -144.306
818.078, 62.479, -144.187
829.977, 62.566, -144.329
842.050, 62.614, -143.765
854.297, 62.687, -143.279
866.724, 62.824, -143.077
