* Measurement data measured by REW V5.19
* Source: In 1-2 (MOTU M Series), no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 23 Sep, 2020 5:23:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 23 17:23:19
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 72.983, 56.567
10.293, 73.005, 55.494
10.443, 73.023, 54.515
10.595, 73.038, 53.555
10.749, 73.052, 52.620
10.905, 73.063, 51.710
11.064, 73.073, 50.836
11.225, 73.082, 49.999
11.388, 73.094, 49.200
11.554, 73.107, 48.444
11.722, 73.125, 47.718
11.892, 73.149, 47.021
12.065, 73.180, 46.335
12.241, 73.219, 45.640
12.419, 73.264, 44.929
12.599, 73.313, 44.170
12.782, 73.366, 43.367
12.968, 73.416, 42.502
13.157, 73.463, 41.586
13.348, 73.500, 40.628
13.543, 73.528, 39.650
13.740, 73.543, 38.679
13.939, 73.548, 37.741
14.142, 73.543, 36.863
14.348, 73.535, 36.054
14.557, 73.525, 35.327
14.768, 73.520, 34.653
14.983, 73.522, 34.024
15.201, 73.532, 33.390
15.422, 73.546, 32.732
15.646, 73.563, 32.023
15.874, 73.573, 31.267
16.105, 73.576, 30.476
16.339, 73.566, 29.684
16.577, 73.545, 28.934
16.818, 73.516, 28.249
17.063, 73.484, 27.656
17.311, 73.457, 27.135
17.563, 73.438, 26.670
17.818, 73.430, 26.207
18.077, 73.430, 25.709
18.340, 73.433, 25.159
18.607, 73.434, 24.547
18.877, 73.427, 23.908
19.152, 73.411, 23.277
19.431, 73.388, 22.690
19.713, 73.363, 22.178
20.000, 73.346, 21.745
20.291, 73.342, 21.360
20.586, 73.356, 20.973
20.885, 73.390, 20.516
21.189, 73.435, 19.916
21.497, 73.479, 19.134
21.810, 73.505, 18.197
22.127, 73.501, 17.193
22.449, 73.466, 16.247
22.776, 73.408, 15.487
23.107, 73.351, 14.974
23.443, 73.319, 14.651
23.784, 73.325, 14.338
24.130, 73.357, 13.851
24.481, 73.386, 13.124
24.837, 73.385, 12.251
25.198, 73.349, 11.415
25.565, 73.294, 10.753
25.937, 73.246, 10.249
26.314, 73.216, 9.753
26.697, 73.188, 9.127
27.085, 73.134, 8.402
27.479, 73.043, 7.764
27.879, 72.937, 7.387
28.284, 72.851, 7.245
28.696, 72.800, 7.108
29.113, 72.762, 6.768
29.537, 72.696, 6.273
29.966, 72.589, 5.882
30.402, 72.470, 5.786
30.844, 72.375, 5.922
31.293, 72.308, 6.086
31.748, 72.243, 6.217
32.210, 72.172, 6.479
32.678, 72.120, 6.988
33.154, 72.117, 7.602
33.636, 72.152, 8.088
34.125, 72.193, 8.453
34.621, 72.236, 8.892
35.125, 72.317, 9.449
35.636, 72.453, 9.887
36.154, 72.621, 10.016
36.680, 72.794, 9.887
37.214, 72.981, 9.541
37.755, 73.179, 8.792
38.304, 73.338, 7.525
38.861, 73.405, 6.071
39.427, 73.400, 4.938
40.000, 73.403, 4.209
40.582, 73.447, 3.469
41.172, 73.475, 2.481
41.771, 73.459, 1.591
42.379, 73.455, 1.067
42.995, 73.523, 0.455
43.620, 73.601, -0.754
44.255, 73.594, -2.340
44.898, 73.502, -3.639
45.552, 73.408, -4.468
46.214, 73.358, -5.187
46.886, 73.324, -6.161
47.568, 73.242, -7.382
48.260, 73.077, -8.379
48.962, 72.894, -8.650
49.674, 72.800, -8.491
50.397, 72.770, -8.673
51.130, 72.701, -9.102
51.874, 72.609, -9.192
52.628, 72.575, -9.133
53.394, 72.563, -9.375
54.170, 72.521, -9.689
54.958, 72.486, -9.816
55.758, 72.487, -9.991
56.569, 72.492, -10.330
57.391, 72.501, -10.703
58.226, 72.523, -11.296
59.073, 72.492, -12.185
59.932, 72.382, -12.693
60.804, 72.339, -12.607
61.688, 72.379, -13.232
62.586, 72.258, -14.351
63.496, 72.095, -14.257
64.420, 72.085, -14.348
65.357, 71.966, -14.812
66.307, 71.926, -14.261
67.272, 72.025, -14.948
68.250, 71.904, -16.145
69.243, 71.752, -16.163
70.250, 71.703, -16.223
71.272, 71.610, -16.468
72.309, 71.559, -16.334
73.360, 71.535, -16.908
74.427, 71.402, -17.198
75.510, 71.351, -17.256
76.608, 71.280, -17.454
77.723, 71.261, -17.742
78.853, 71.159, -18.128
80.000, 71.113, -18.004
81.164, 71.074, -18.210
82.344, 70.997, -18.311
83.542, 70.953, -18.147
84.757, 70.895, -18.514
85.990, 70.802, -18.551
87.241, 70.664, -18.420
88.510, 70.772, -17.920
89.797, 70.675, -19.142
91.103, 70.610, -18.805
92.428, 70.491, -18.252
93.773, 70.600, -18.314
95.137, 70.486, -17.791
96.520, 70.474, -18.439
97.924, 70.448, -17.231
99.349, 70.498, -18.344
100.794, 70.365, -18.401
102.260, 70.350, -18.013
103.747, 70.261, -17.950
105.256, 70.335, -18.147
106.787, 70.186, -18.434
108.340, 70.116, -18.291
109.916, 70.226, -17.884
111.515, 70.077, -18.470
113.137, 70.142, -17.370
114.783, 70.126, -18.012
116.452, 70.111, -17.626
118.146, 70.031, -18.262
119.865, 70.055, -18.154
121.608, 69.845, -17.937
123.377, 69.984, -18.058
125.171, 69.878, -17.869
126.992, 69.803, -18.549
128.839, 69.770, -18.947
130.713, 69.985, -17.637
132.615, 69.836, -18.152
134.543, 69.852, -17.913
136.500, 69.773, -18.031
138.486, 69.731, -18.279
140.500, 69.812, -18.437
142.544, 69.791, -18.255
144.617, 69.797, -18.019
146.721, 69.593, -18.586
148.855, 69.632, -18.581
151.020, 69.675, -18.391
153.217, 69.672, -18.616
155.445, 69.668, -18.353
157.706, 69.574, -18.912
160.000, 69.548, -17.952
162.327, 69.548, -18.167
164.688, 69.429, -18.707
167.084, 69.493, -17.831
169.514, 69.453, -18.172
171.980, 69.495, -17.557
174.481, 69.468, -17.960
177.019, 69.542, -17.360
179.594, 69.634, -18.826
182.206, 69.659, -18.021
184.856, 69.623, -18.546
187.545, 69.671, -18.573
190.273, 69.645, -19.180
193.041, 69.712, -18.865
195.849, 69.782, -19.360
198.697, 69.704, -19.427
201.587, 69.689, -19.303
204.520, 69.654, -20.230
207.494, 69.733, -20.767
210.512, 69.759, -21.334
213.574, 69.659, -21.656
216.681, 69.678, -21.364
219.833, 69.673, -21.887
223.030, 69.718, -22.404
226.274, 69.657, -22.754
229.565, 69.706, -22.859
232.905, 69.718, -23.229
236.292, 69.661, -24.181
239.729, 69.639, -24.539
243.216, 69.650, -24.366
246.754, 69.649, -25.162
250.343, 69.611, -26.171
253.984, 69.531, -26.828
257.678, 69.461, -27.041
261.426, 69.418, -27.222
265.229, 69.335, -28.001
269.087, 69.291, -28.452
273.001, 69.258, -29.309
276.972, 69.265, -30.300
281.000, 68.963, -30.280
285.088, 68.983, -30.783
289.234, 68.937, -31.276
293.441, 68.782, -31.845
297.710, 68.646, -32.591
302.040, 68.543, -33.243
306.433, 68.309, -33.534
310.890, 68.198, -34.037
315.412, 67.998, -34.265
320.000, 67.792, -34.210
324.655, 67.605, -34.004
329.377, 67.378, -33.587
334.168, 67.211, -33.130
339.028, 67.112, -32.349
343.959, 66.942, -31.482
348.962, 66.832, -30.740
354.038, 66.820, -30.263
359.188, 66.730, -29.798
364.412, 66.678, -29.254
369.713, 66.584, -29.530
375.090, 66.490, -28.336
380.546, 66.486, -28.305
386.081, 66.380, -27.806
391.697, 66.336, -27.726
397.395, 66.253, -27.402
403.175, 66.157, -26.957
409.039, 66.073, -26.409
414.989, 65.898, -25.784
421.025, 65.868, -24.879
427.149, 65.769, -24.537
433.362, 65.756, -23.429
439.665, 65.615, -22.533
446.060, 65.574, -21.572
452.548, 65.516, -20.568
459.131, 65.519, -19.402
465.809, 65.535, -18.250
472.584, 65.564, -17.351
479.458, 65.602, -16.354
486.432, 65.706, -15.714
493.507, 65.803, -14.575
500.686, 65.998, -13.973
507.968, 66.081, -13.378
515.357, 66.230, -13.006
522.853, 66.357, -13.423
530.458, 66.520, -13.194
538.174, 66.636, -13.857
546.002, 66.630, -14.496
553.943, 66.788, -14.774
562.001, 66.784, -15.920
570.175, 66.755, -16.829
578.469, 66.651, -17.390
586.883, 66.596, -17.874
595.419, 66.416, -18.276
604.080, 66.296, -18.820
612.866, 66.147, -18.569
621.780, 66.021, -18.285
630.824, 65.810, -17.833
640.000, 65.681, -16.908
649.309, 65.539, -16.232
658.753, 65.392, -15.779
668.335, 65.317, -14.229
678.056, 65.266, -12.862
687.919, 65.178, -11.470
697.925, 65.230, -10.519
708.076, 65.276, -8.963
718.376, 65.299, -8.272
728.825, 65.260, -6.771
739.426, 65.437, -5.526
750.181, 65.471, -4.835
761.093, 65.565, -4.148
772.163, 65.683, -3.080
783.394, 65.731, -2.280
794.789, 65.862, -1.386
806.349, 65.972, -0.587
818.078, 66.104, 0.107
829.977, 66.223, -0.127
842.050, 66.380, 0.870
854.297, 66.549, 1.422
866.724, 66.725, 1.366
879.330, 66.858, 1.500
892.120, 67.019, 1.427
905.097, 67.155, 1.166
918.262, 67.292, 0.212
931.618, 67.353, -0.445
945.169, 67.346, -1.155
958.917, 67.279, -1.387
972.864, 67.203, -1.592
987.015, 67.153, -1.354
1001.371, 67.105, -1.069
1015.937, 67.050, -0.862
1030.714, 67.008, 0.004
1045.706, 67.003, 0.425
1060.916, 66.972, 1.426
1076.347, 66.956, 2.057
1092.003, 67.023, 3.432
1107.887, 67.117, 5.099
1124.001, 67.215, 5.576
1140.350, 67.354, 6.541
1156.937, 67.548, 6.946
1173.765, 67.712, 7.275
1190.838, 67.858, 7.082
1208.159, 67.930, 7.247
1225.732, 68.024, 7.194
1243.561, 68.082, 7.463
1261.649, 68.139, 7.676
1280.000, 68.215, 8.196
1298.618, 68.315, 8.607
1317.507, 68.384, 9.259
1336.670, 68.499, 9.779
1356.113, 68.639, 10.152
1375.838, 68.807, 10.683
1395.850, 68.971, 10.831
1416.153, 69.125, 10.906
1436.751, 69.307, 10.844
1457.649, 69.489, 10.546
1478.851, 69.611, 10.082
1500.362, 69.719, 9.507
1522.185, 69.781, 8.942
1544.326, 69.820, 8.449
1566.789, 69.842, 8.085
1589.578, 69.837, 7.858
1612.699, 69.805, 7.691
1636.156, 69.737, 7.971
1659.955, 69.650, 8.794
1684.099, 69.670, 10.515
1708.595, 69.965, 12.322
1733.447, 70.275, 11.929
1758.661, 70.405, 11.078
1784.241, 70.437, 10.628
1810.193, 70.434, 10.628
1836.523, 70.463, 10.895
1863.236, 70.504, 11.435
1890.338, 70.573, 12.061
1917.833, 70.692, 12.644
1945.729, 70.816, 13.191
1974.030, 70.946, 13.549
2002.743, 71.120, 13.847
2031.873, 71.274, 14.031
2061.428, 71.402, 13.773
2091.412, 71.504, 13.654
2121.832, 71.574, 13.660
2152.695, 71.624, 13.864
2184.007, 71.698, 14.249
2215.774, 71.773, 14.692
2248.003, 71.862, 15.459
2280.701, 72.005, 16.266
2313.874, 72.193, 16.933
2347.530, 72.390, 17.361
2381.676, 72.575, 17.642
2416.318, 72.756, 17.998
2451.464, 72.961, 18.406
2487.122, 73.174, 19.011
2523.298, 73.448, 19.502
2560.000, 73.752, 19.805
2597.236, 74.099, 20.000
2635.014, 74.482, 19.885
2673.341, 74.915, 19.378
2712.226, 75.381, 18.167
2751.676, 75.821, 15.818
2791.700, 76.091, 12.943
2832.306, 76.241, 10.276
2873.503, 76.342, 7.938
2915.299, 76.432, 5.776
2957.703, 76.529, 3.604
3000.724, 76.646, 1.246
