* Measurement data measured by REW V5.19
* Source: In 1-2 (MOTU M Series), no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 23 Sep, 2020 5:10:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 23 17:10:42
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 72.027, 58.727
10.293, 72.051, 57.686
10.443, 72.070, 56.733
10.595, 72.088, 55.796
10.749, 72.103, 54.884
10.905, 72.117, 53.996
11.064, 72.131, 53.136
11.225, 72.146, 52.306
11.388, 72.163, 51.497
11.554, 72.183, 50.709
11.722, 72.205, 49.930
11.892, 72.231, 49.152
12.065, 72.258, 48.371
12.241, 72.287, 47.577
12.419, 72.316, 46.773
12.599, 72.343, 45.959
12.782, 72.369, 45.137
12.968, 72.393, 44.317
13.157, 72.414, 43.496
13.348, 72.435, 42.679
13.543, 72.453, 41.862
13.740, 72.470, 41.040
13.939, 72.485, 40.211
14.142, 72.496, 39.369
14.348, 72.501, 38.526
14.557, 72.498, 37.682
14.768, 72.488, 36.870
14.983, 72.471, 36.097
15.201, 72.451, 35.391
15.422, 72.431, 34.746
15.646, 72.416, 34.166
15.874, 72.410, 33.603
16.105, 72.414, 33.037
16.339, 72.424, 32.414
16.577, 72.434, 31.723
16.818, 72.439, 30.960
17.063, 72.430, 30.161
17.311, 72.408, 29.381
17.563, 72.374, 28.660
17.818, 72.338, 28.042
18.077, 72.308, 27.504
18.340, 72.291, 27.009
18.607, 72.288, 26.487
18.877, 72.290, 25.871
19.152, 72.286, 25.169
19.431, 72.267, 24.416
19.713, 72.225, 23.709
20.000, 72.170, 23.167
20.291, 72.119, 22.831
20.586, 72.090, 22.675
20.885, 72.100, 22.599
21.189, 72.150, 22.432
21.497, 72.224, 22.038
21.810, 72.298, 21.392
22.127, 72.352, 20.547
22.449, 72.378, 19.607
22.776, 72.374, 18.679
23.107, 72.349, 17.832
23.443, 72.312, 17.081
23.784, 72.267, 16.411
24.130, 72.214, 15.811
24.481, 72.154, 15.298
24.837, 72.089, 14.895
25.198, 72.026, 14.617
25.565, 71.972, 14.449
25.937, 71.936, 14.348
26.314, 71.923, 14.239
26.697, 71.932, 14.017
27.085, 71.951, 13.566
27.479, 71.953, 12.827
27.879, 71.906, 11.881
28.284, 71.788, 10.985
28.696, 71.614, 10.485
29.113, 71.440, 10.581
29.537, 71.333, 11.100
29.966, 71.313, 11.547
30.402, 71.327, 11.539
30.844, 71.299, 11.165
31.293, 71.201, 10.891
31.748, 71.078, 11.124
32.210, 71.006, 11.785
32.678, 71.006, 12.425
33.154, 71.028, 12.776
33.636, 71.025, 13.017
34.125, 71.010, 13.462
34.621, 71.027, 14.102
35.125, 71.084, 14.679
35.636, 71.152, 15.112
36.154, 71.226, 15.556
36.680, 71.337, 16.006
37.214, 71.490, 16.191
37.755, 71.641, 15.990
38.304, 71.767, 15.607
38.861, 71.890, 15.146
39.427, 72.013, 14.382
40.000, 72.073, 13.301
40.582, 72.035, 12.460
41.172, 71.988, 12.390
41.771, 72.042, 12.686
42.379, 72.174, 12.527
42.995, 72.274, 11.907
43.620, 72.334, 11.340
44.255, 72.421, 10.768
44.898, 72.493, 9.649
45.552, 72.437, 8.314
46.214, 72.283, 7.818
46.886, 72.234, 8.194
47.568, 72.331, 7.937
48.260, 72.346, 6.633
48.962, 72.202, 5.664
49.674, 72.086, 5.563
50.397, 72.057, 5.268
51.130, 71.970, 4.636
51.874, 71.832, 4.565
52.628, 71.762, 4.995
53.394, 71.763, 5.345
54.170, 71.780, 5.515
54.958, 71.793, 5.760
55.758, 71.867, 6.230
56.569, 72.018, 6.064
57.391, 72.058, 5.318
58.226, 72.054, 5.382
59.073, 72.186, 5.210
59.932, 72.208, 4.206
60.804, 72.160, 4.254
61.688, 72.291, 4.183
62.586, 72.332, 3.100
63.496, 72.286, 2.801
64.420, 72.350, 2.555
65.357, 72.378, 1.744
66.307, 72.341, 1.075
67.272, 72.284, 0.785
68.250, 72.285, 0.728
69.243, 72.295, 0.370
70.250, 72.291, 0.180
71.272, 72.319, -0.112
72.309, 72.330, -0.512
73.360, 72.341, -0.948
74.427, 72.342, -1.517
75.510, 72.280, -2.064
76.608, 72.273, -1.932
77.723, 72.337, -2.724
78.853, 72.249, -3.327
80.000, 72.233, -3.417
81.164, 72.235, -3.692
82.344, 72.223, -4.032
83.542, 72.238, -4.222
84.757, 72.232, -4.829
85.990, 72.229, -5.079
87.241, 72.222, -5.792
88.510, 72.162, -5.925
89.797, 72.212, -6.117
91.103, 72.156, -6.590
92.428, 72.205, -6.877
