* Measurement data measured by REW V5.19
* Source: In 1-2 (MOTU M Series), no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 23 Sep, 2020 5:08:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 23 17:08:26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 66.651, 64.097
10.293, 66.619, 63.170
10.443, 66.584, 62.434
10.595, 66.553, 61.778
10.749, 66.536, 61.200
10.905, 66.530, 60.692
11.064, 66.541, 60.182
11.225, 66.571, 59.685
11.388, 66.614, 59.125
11.554, 66.674, 58.488
11.722, 66.741, 57.753
11.892, 66.813, 56.890
12.065, 66.884, 55.918
12.241, 66.946, 54.840
12.419, 66.999, 53.674
12.599, 67.037, 52.466
12.782, 67.062, 51.228
12.968, 67.072, 50.017
13.157, 67.072, 48.835
13.348, 67.066, 47.720
13.543, 67.057, 46.655
13.740, 67.051, 45.639
13.939, 67.049, 44.635
14.142, 67.052, 43.618
14.348, 67.053, 42.555
14.557, 67.052, 41.431
14.768, 67.036, 40.263
14.983, 67.003, 39.068
15.201, 66.947, 37.920
15.422, 66.873, 36.870
15.646, 66.783, 35.979
15.874, 66.693, 35.276
16.105, 66.609, 34.750
16.339, 66.546, 34.346
16.577, 66.504, 33.964
16.818, 66.482, 33.547
17.063, 66.463, 33.024
17.311, 66.438, 32.445
17.563, 66.400, 31.852
17.818, 66.348, 31.368
18.077, 66.304, 31.032
18.340, 66.280, 30.813
18.607, 66.295, 30.607
18.877, 66.344, 30.174
19.152, 66.398, 29.415
19.431, 66.428, 28.307
19.713, 66.392, 26.989
20.000, 66.279, 25.834
20.291, 66.117, 25.161
20.586, 65.961, 25.140
20.885, 65.886, 25.700
21.189, 65.951, 26.328
21.497, 66.129, 26.311
21.810, 66.333, 25.325
22.127, 66.468, 23.455
22.449, 66.467, 21.132
22.776, 66.315, 18.967
23.107, 66.056, 17.514
23.443, 65.782, 17.017
23.784, 65.582, 17.221
24.130, 65.482, 17.531
24.481, 65.432, 17.534
24.837, 65.364, 17.287
25.198, 65.258, 17.165
25.565, 65.158, 17.444
25.937, 65.128, 17.955
26.314, 65.179, 18.166
26.697, 65.238, 17.700
27.085, 65.210, 16.731
27.479, 65.057, 15.887
27.879, 64.829, 15.795
28.284, 64.637, 16.580
28.696, 64.560, 17.702
29.113, 64.569, 18.471
29.537, 64.572, 18.736
29.966, 64.513, 18.917
30.402, 64.421, 19.454
30.844, 64.360, 20.358
31.293, 64.348, 21.302
31.748, 64.349, 22.115
32.210, 64.334, 23.031
32.678, 64.337, 24.333
33.154, 64.424, 25.885
33.636, 64.601, 27.188
34.125, 64.803, 28.015
34.621, 64.983, 28.682
35.125, 65.185, 29.554
35.636, 65.487, 30.353
36.154, 65.872, 30.356
36.680, 66.215, 29.330
37.214, 66.435, 27.844
37.755, 66.572, 26.544
38.304, 66.705, 25.330
38.861, 66.807, 23.769
39.427, 66.797, 22.138
40.000, 66.722, 21.263
40.582, 66.740, 21.049
41.172, 66.873, 20.310
41.771, 66.960, 18.801
42.379, 66.952, 17.474
42.995, 66.988, 16.531
43.620, 67.072, 15.066
44.255, 67.040, 13.123
44.898, 66.902, 11.896
45.552, 66.813, 11.250
46.214, 66.708, 10.327
46.886, 66.448, 10.126
47.568, 66.289, 11.826
48.260, 66.457, 13.135
48.962, 66.581, 12.437
49.674, 66.417, 11.946
50.397, 66.258, 13.218
51.130, 66.321, 14.687
51.874, 66.452, 15.313
52.628, 66.578, 15.545
53.394, 66.716, 15.456
54.170, 66.854, 15.010
54.958, 66.958, 14.168
55.758, 66.975, 13.406
56.569, 67.008, 13.278
57.391, 67.108, 12.904
58.226, 67.154, 12.486
59.073, 67.275, 12.172
59.932, 67.326, 10.683
60.804, 67.160, 10.148
61.688, 67.201, 10.405
62.586, 67.196, 9.388
63.496, 67.179, 9.578
64.420, 67.362, 8.119
65.357, 67.109, 6.641
66.307, 67.177, 8.098
67.272, 67.444, 5.879
68.250, 67.137, 4.561
69.243, 67.119, 5.932
70.250, 67.241, 5.778
71.272, 67.315, 5.513
72.309, 67.341, 4.486
73.360, 67.211, 4.022
74.427, 67.207, 4.237
75.510, 67.228, 3.567
76.608, 67.182, 3.561
77.723, 67.319, 3.279
78.853, 67.295, 2.097
80.000, 67.204, 2.140
81.164, 67.209, 2.146
82.344, 67.190, 2.171
83.542, 67.256, 1.496
84.757, 67.097, 1.034
85.990, 67.293, 1.239
87.241, 67.256, -0.562
88.510, 67.245, -0.584
89.797, 67.151, -0.568
91.103, 67.226, -0.359
92.428, 67.151, 0.146
93.773, 67.274, -1.029
95.137, 67.072, -1.544
96.520, 67.078, -2.346
97.924, 66.966, -2.215
99.349, 67.174, -1.779
100.794, 67.258, -2.404
102.260, 67.229, -3.865
103.747, 67.088, -3.365
105.256, 66.897, -4.798
106.787, 67.024, -4.676
108.340, 66.892, -5.603
109.916, 67.133, -6.307
111.515, 66.900, -6.159
113.137, 67.093, -5.924
114.783, 66.925, -6.271
116.452, 66.705, -7.345
118.146, 66.587, -6.620
119.865, 66.786, -7.318
121.608, 66.667, -8.236
123.377, 66.683, -8.429
125.171, 66.613, -8.042
126.992, 66.531, -7.937
128.839, 66.717, -8.407
130.713, 66.408, -7.684
132.615, 66.533, -8.247
134.543, 66.662, -8.905
136.500, 66.530, -8.173
138.486, 66.452, -9.523
140.500, 66.697, -9.446
142.544, 66.476, -8.789
144.617, 66.411, -9.569
146.721, 66.338, -9.910
148.855, 66.394, -10.345
151.020, 66.337, -10.557
153.217, 66.386, -10.283
155.445, 66.237, -10.698
157.706, 66.275, -12.114
160.000, 66.231, -12.023
162.327, 66.416, -11.103
164.688, 66.170, -11.057
167.084, 65.942, -11.502
169.514, 66.018, -13.163
171.980, 66.091, -13.116
174.481, 66.193, -13.253
177.019, 66.202, -13.383
179.594, 66.110, -12.069
182.206, 65.750, -12.895
184.856, 65.798, -13.350
