* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 6:22:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 18:22:09
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 57.457, -68.896
10.293, 57.689, -70.331
10.443, 57.923, -71.971
10.595, 58.123, -73.566
10.749, 58.298, -75.198
10.905, 58.441, -76.817
11.064, 58.555, -78.402
11.225, 58.640, -79.866
11.388, 58.698, -81.207
11.554, 58.739, -82.355
11.722, 58.765, -83.315
11.892, 58.792, -84.082
12.065, 58.821, -84.666
12.241, 58.865, -85.140
12.419, 58.923, -85.524
12.599, 58.997, -85.921
12.782, 59.083, -86.346
12.968, 59.175, -86.861
13.157, 59.266, -87.449
13.348, 59.349, -88.117
13.543, 59.424, -88.810
13.740, 59.491, -89.517
13.939, 59.557, -90.201
14.142, 59.627, -90.887
14.348, 59.710, -91.595
14.557, 59.803, -92.413
14.768, 59.907, -93.377
14.983, 60.007, -94.558
15.201, 60.090, -95.912
15.422, 60.144, -97.412
15.646, 60.159, -98.875
15.874, 60.147, -100.171
16.105, 60.120, -101.157
16.339, 60.123, -101.745
16.577, 60.192, -102.094
16.818, 60.350, -102.388
17.063, 60.605, -103.059
17.311, 60.904, -104.398
17.563, 61.195, -106.476
17.818, 61.418, -109.238
18.077, 61.514, -112.331
18.340, 61.466, -115.262
18.607, 61.293, -117.554
18.877, 61.046, -118.777
19.152, 60.822, -118.673
19.431, 60.747, -117.585
19.713, 60.862, -116.370
20.000, 61.114, -115.756
20.291, 61.397, -116.058
20.586, 61.608, -117.044
20.885, 61.700, -118.098
21.189, 61.711, -118.577
21.497, 61.747, -118.237
21.810, 61.915, -117.539
22.127, 62.229, -117.391
22.449, 62.590, -118.473
22.776, 62.862, -120.831
23.107, 62.940, -123.925
23.443, 62.789, -126.919
23.784, 62.462, -128.992
24.130, 62.085, -129.698
24.481, 61.803, -129.292
24.837, 61.682, -128.640
25.198, 61.668, -128.528
25.565, 61.655, -129.076
25.937, 61.588, -129.869
26.314, 61.491, -130.485
26.697, 61.426, -130.900
27.085, 61.416, -131.477
27.479, 61.413, -132.516
27.879, 61.347, -133.848
28.284, 61.194, -134.892
28.696, 61.018, -135.094
29.113, 60.947, -134.431
29.537, 61.073, -133.717
29.966, 61.340, -134.069
30.402, 61.567, -135.912
30.844, 61.565, -138.580
31.293, 61.269, -140.456
31.748, 60.850, -139.806
32.210, 60.722, -136.539
32.678, 61.132, -133.688
33.154, 61.761, -133.992
33.636, 62.126, -136.811
34.125, 62.085, -139.528
34.621, 61.889, -140.152
35.125, 61.931, -139.348
35.636, 62.220, -139.706
36.154, 62.390, -141.961
36.680, 62.258, -144.170
37.214, 62.026, -144.454
37.755, 62.038, -143.647
38.304, 62.269, -144.053
38.861, 62.385, -146.018
39.427, 62.266, -147.836
40.000, 62.080, -148.238
40.582, 62.044, -147.804
41.172, 62.137, -147.816
41.771, 62.200, -148.511
42.379, 62.148, -149.150
42.995, 62.034, -148.956
43.620, 61.987, -147.818
44.255, 62.101, -146.462
44.898, 62.335, -145.895
45.552, 62.540, -146.473
46.214, 62.601, -147.598
46.886, 62.542, -148.380
47.568, 62.493, -148.655
48.260, 62.509, -149.091
48.962, 62.513, -150.038
49.674, 62.452, -150.981
50.397, 62.401, -151.389
51.130, 62.466, -151.680
51.874, 62.578, -152.748
52.628, 62.547, -154.168
53.394, 62.418, -154.427
54.170, 62.438, -153.907
54.958, 62.515, -154.222
55.758, 62.456, -154.499
56.569, 62.471, -153.983
57.391, 62.618, -154.487
58.226, 62.610, -156.067
59.073, 62.449, -156.930
59.932, 62.370, -156.715
60.804, 62.487, -156.666
61.688, 62.599, -157.798
62.586, 62.536, -158.673
63.496, 62.498, -158.557
64.420, 62.503, -158.367
65.357, 62.574, -158.094
66.307, 62.673, -159.237
67.272, 62.430, -161.072
68.250, 62.006, -160.194
69.243, 62.116, -157.814
70.250, 62.453, -159.253
71.272, 62.314, -161.421
72.309, 62.234, -161.132
73.360, 62.419, -162.214
74.427, 62.185, -163.845
75.510, 62.193, -161.699
76.608, 62.390, -163.389
77.723, 62.197, -161.842
78.853, 62.412, -163.028
80.000, 61.962, -160.163
81.164, 62.577, -160.661
82.344, 61.798, -160.968
83.542, 62.348, -157.752
84.757, 62.237, -161.970
85.990, 61.824, -159.948
87.241, 62.394, -157.889
88.510, 62.667, -160.813
89.797, 62.441, -159.927
91.103, 63.085, -156.212
92.428, 63.523, -161.687
93.773, 63.059, -161.161
95.137, 63.143, -162.014
96.520, 63.035, -162.189
97.924, 63.099, -163.015
99.349, 62.623, -165.729
100.794, 62.620, -161.821
102.260, 62.617, -164.477
103.747, 62.487, -162.892
105.256, 63.038, -162.870
106.787, 62.671, -165.970
108.340, 62.829, -163.776
109.916, 62.767, -164.571
111.515, 62.774, -165.509
113.137, 62.836, -166.678
114.783, 62.757, -167.533
116.452, 62.703, -167.824
118.146, 62.786, -165.875
119.865, 62.729, -166.306
121.608, 62.767, -165.725
123.377, 62.537, -167.476
125.171, 62.512, -166.848
126.992, 62.733, -167.803
128.839, 62.689, -166.356
130.713, 62.303, -166.988
132.615, 62.531, -169.674
134.543, 62.442, -167.273
136.500, 62.618, -168.162
138.486, 62.641, -168.902
140.500, 62.539, -168.782
142.544, 62.560, -167.530
144.617, 62.255, -168.041
146.721, 62.439, -169.035
148.855, 62.316, -168.223
151.020, 62.483, -168.262
153.217, 62.326, -167.478
155.445, 62.317, -168.192
157.706, 62.351, -168.772
160.000, 62.424, -168.187
162.327, 62.494, -168.468
164.688, 62.592, -168.774
167.084, 62.355, -166.657
169.514, 62.012, -165.326
171.980, 62.382, -164.267
174.481, 62.419, -165.360
177.019, 62.349, -166.033
179.594, 62.300, -167.379
182.206, 62.286, -168.085
184.856, 62.642, -166.425
187.545, 62.365, -166.016
190.273, 62.307, -166.799
193.041, 62.584, -165.765
195.849, 62.495, -164.423
198.697, 62.680, -164.485
201.587, 62.864, -165.078
204.520, 62.809, -166.009
207.494, 62.767, -166.277
210.512, 62.871, -165.757
213.574, 62.843, -165.833
216.681, 62.915, -165.484
219.833, 62.921, -165.918
223.030, 62.953, -166.404
226.274, 62.985, -166.670
229.565, 63.038, -165.532
232.905, 62.978, -166.141
236.292, 63.079, -166.443
239.729, 63.085, -167.583
243.216, 62.955, -167.320
246.754, 62.926, -167.291
250.343, 62.919, -167.603
253.984, 63.052, -168.314
257.678, 62.946, -167.544
261.426, 63.046, -168.035
265.229, 63.106, -168.623
269.087, 62.876, -167.103
273.001, 62.849, -168.389
276.972, 63.023, -167.856
281.000, 62.842, -168.220
285.088, 63.001, -168.349
289.234, 62.920, -168.270
293.441, 62.940, -168.932
297.710, 62.978, -167.560
302.040, 62.926, -167.820
306.433, 62.975, -166.787
310.890, 62.615, -165.458
315.412, 62.803, -167.563
320.000, 63.050, -165.703
324.655, 62.939, -166.817
329.377, 63.056, -167.649
334.168, 63.166, -166.213
339.028, 63.119, -167.686
343.959, 62.883, -167.558
348.962, 63.004, -167.016
354.038, 63.288, -167.429
359.188, 63.220, -164.702
364.412, 62.824, -169.731
369.713, 63.496, -169.166
375.090, 63.107, -166.769
380.546, 63.342, -169.099
386.081, 62.897, -166.612
391.697, 63.417, -166.242
397.395, 63.219, -168.601
403.175, 63.052, -165.579
409.039, 63.318, -166.044
414.989, 63.215, -167.364
421.025, 62.987, -165.812
427.149, 63.265, -165.812
433.362, 63.193, -166.201
439.665, 62.943, -166.568
446.060, 63.190, -168.683
452.548, 63.667, -166.533
459.131, 63.363, -165.095
465.809, 63.737, -165.068
472.584, 63.879, -168.419
479.458, 63.856, -165.203
486.432, 63.755, -166.173
493.507, 63.608, -166.767
500.686, 63.320, -167.645
507.968, 63.724, -167.545
515.357, 63.847, -166.432
522.853, 63.706, -167.739
530.458, 63.448, -167.309
538.174, 63.453, -166.260
546.002, 63.765, -164.758
553.943, 63.357, -166.909
562.001, 63.123, -165.078
570.175, 64.062, -165.404
578.469, 63.496, -167.144
586.883, 63.428, -166.930
595.419, 63.632, -166.585
604.080, 63.670, -165.330
612.866, 63.660, -166.290
621.780, 63.962, -163.235
630.824, 63.732, -163.671
640.000, 64.020, -164.910
649.309, 63.971, -165.947
658.753, 63.877, -164.047
668.335, 63.993, -163.911
678.056, 64.104, -164.940
687.919, 63.785, -162.569
697.925, 64.207, -162.293
708.076, 64.292, -162.845
718.376, 64.379, -163.889
728.825, 64.483, -164.192
739.426, 64.574, -165.383
750.181, 64.522, -164.908
761.093, 64.385, -163.041
772.163, 64.580, -164.679
783.394, 64.357, -163.680
794.789, 64.604, -164.603
806.349, 64.505, -164.364
818.078, 64.636, -163.040
829.977, 64.861, -164.366
842.050, 64.810, -165.228
854.297, 64.754, -165.617
866.724, 65.027, -165.096
879.330, 64.968, -165.515
892.120, 64.882, -165.662
905.097, 64.972, -164.751
918.262, 64.806, -166.382
931.618, 64.950, -168.037
945.169, 64.809, -166.399
958.917, 64.844, -165.236
972.864, 65.050, -166.693
987.015, 64.953, -164.975
1001.371, 65.097, -166.502
1015.937, 65.087, -164.943
1030.714, 64.752, -165.505
1045.706, 65.238, -163.363
1060.916, 65.151, -163.840
1076.347, 65.345, -164.390
1092.003, 65.580, -162.092
1107.887, 65.505, -163.355
1124.001, 65.694, -164.222
1140.350, 65.762, -163.984
1156.937, 65.939, -162.327
1173.765, 65.994, -164.535
1190.838, 66.237, -164.967
1208.159, 66.354, -166.525
1225.732, 66.584, -165.296
1243.561, 66.527, -165.892
1261.649, 66.632, -167.020
1280.000, 66.777, -168.497
1298.618, 66.695, -168.608
1317.507, 66.777, -168.635
