* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 13 Oct, 2020 5:02:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oct 13 17:02:18
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 48.134, -51.021
10.293, 48.231, -51.576
10.443, 48.331, -52.151
10.595, 48.451, -52.588
10.749, 48.582, -53.009
10.905, 48.725, -53.460
11.064, 48.876, -53.936
11.225, 49.029, -54.473
11.388, 49.184, -55.057
11.554, 49.330, -55.671
11.722, 49.470, -56.305
11.892, 49.599, -56.893
12.065, 49.720, -57.430
12.241, 49.839, -57.843
12.419, 49.962, -58.139
12.599, 50.103, -58.301
12.782, 50.267, -58.381
12.968, 50.469, -58.439
13.157, 50.705, -58.594
13.348, 50.978, -58.931
13.543, 51.266, -59.569
13.740, 51.565, -60.549
13.939, 51.840, -61.882
14.142, 52.083, -63.516
14.348, 52.270, -65.383
14.557, 52.393, -67.302
14.768, 52.447, -69.187
14.983, 52.437, -70.808
15.201, 52.379, -72.048
15.422, 52.288, -72.784
15.646, 52.207, -72.945
15.874, 52.163, -72.614
16.105, 52.184, -71.874
16.339, 52.290, -71.025
16.577, 52.470, -70.266
16.818, 52.713, -69.769
17.063, 52.988, -69.664
17.311, 53.267, -69.935
17.563, 53.533, -70.539
17.818, 53.769, -71.406
18.077, 53.964, -72.431
18.340, 54.116, -73.515
18.607, 54.223, -74.561
18.877, 54.288, -75.466
19.152, 54.321, -76.126
19.431, 54.341, -76.457
19.713, 54.371, -76.447
20.000, 54.435, -76.162
20.291, 54.551, -75.741
20.586, 54.724, -75.370
20.885, 54.944, -75.234
21.189, 55.189, -75.455
21.497, 55.431, -76.063
21.810, 55.646, -77.007
22.127, 55.816, -78.172
22.449, 55.933, -79.407
22.776, 55.998, -80.540
23.107, 56.026, -81.412
23.443, 56.046, -81.929
23.784, 56.090, -82.117
24.130, 56.184, -82.131
24.481, 56.332, -82.195
24.837, 56.515, -82.486
25.198, 56.705, -83.041
25.565, 56.882, -83.775
25.937, 57.043, -84.566
26.314, 57.195, -85.355
26.697, 57.346, -86.168
27.085, 57.490, -87.050
27.479, 57.611, -87.963
27.879, 57.705, -88.766
28.284, 57.790, -89.313
28.696, 57.899, -89.604
29.113, 58.059, -89.839
29.537, 58.261, -90.309
29.966, 58.465, -91.161
30.402, 58.631, -92.300
30.844, 58.743, -93.476
31.293, 58.819, -94.470
31.748, 58.891, -95.241
32.210, 58.981, -95.927
32.678, 59.083, -96.701
33.154, 59.175, -97.602
33.636, 59.240, -98.523
34.125, 59.284, -99.320
34.621, 59.324, -99.937
35.125, 59.377, -100.403
35.636, 59.453, -100.789
36.154, 59.557, -101.236
36.680, 59.666, -101.942
37.214, 59.715, -102.896
37.755, 59.658, -103.488
38.304, 59.574, -102.921
38.861, 59.671, -101.450
39.427, 59.980, -100.724
40.000, 60.255, -101.591
40.582, 60.290, -102.636
41.172, 60.253, -102.233
41.771, 60.430, -101.197
42.379, 60.731, -101.680
42.995, 60.813, -103.251
43.620, 60.703, -103.640
44.255, 60.755, -102.678
44.898, 61.046, -102.586
45.552, 61.297, -104.114
46.214, 61.364, -106.000
46.886, 61.324, -107.066
47.568, 61.377, -106.957
48.260, 61.711, -107.078
48.962, 62.100, -109.546
49.674, 62.102, -113.180
