* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 13 Oct, 2020 4:54:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oct 13 16:54:06
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 45.875, -31.422
10.293, 45.962, -32.716
10.443, 46.047, -33.995
10.595, 46.045, -34.951
10.749, 46.012, -35.626
10.905, 45.965, -35.841
11.064, 45.919, -35.660
11.225, 45.929, -35.065
11.388, 45.992, -34.146
11.554, 46.153, -33.275
11.722, 46.401, -32.480
11.892, 46.713, -32.247
12.065, 47.081, -32.553
12.241, 47.437, -33.567
12.419, 47.776, -35.225
12.599, 48.043, -37.394
12.782, 48.233, -39.942
12.968, 48.321, -42.654
13.157, 48.312, -45.280
13.348, 48.199, -47.646
13.543, 48.019, -49.398
13.740, 47.783, -50.422
13.939, 47.574, -50.488
14.142, 47.431, -49.757
14.348, 47.433, -48.372
14.557, 47.588, -47.022
14.768, 47.899, -45.986
14.983, 48.285, -45.807
15.201, 48.691, -46.382
15.422, 49.059, -47.693
15.646, 49.343, -49.302
15.874, 49.548, -50.934
16.105, 49.677, -52.287
16.339, 49.781, -53.066
16.577, 49.910, -53.326
16.818, 50.103, -53.166
17.063, 50.395, -52.991
17.311, 50.752, -53.183
17.563, 51.132, -53.892
17.818, 51.482, -55.156
18.077, 51.750, -56.723
18.340, 51.924, -58.226
18.607, 52.023, -59.369
18.877, 52.085, -59.934
19.152, 52.167, -59.885
19.431, 52.322, -59.526
19.713, 52.549, -59.278
20.000, 52.808, -59.427
20.291, 53.044, -60.029
20.586, 53.210, -60.882
20.885, 53.288, -61.608
21.189, 53.308, -61.827
21.497, 53.339, -61.378
21.810, 53.453, -60.481
22.127, 53.678, -59.644
22.449, 53.982, -59.354
22.776, 54.297, -59.809
23.107, 54.558, -60.861
23.443, 54.735, -62.154
23.784, 54.838, -63.316
24.130, 54.913, -64.136
24.481, 55.009, -64.657
24.837, 55.155, -65.127
25.198, 55.340, -65.820
25.565, 55.528, -66.850
25.937, 55.684, -68.108
26.314, 55.792, -69.338
26.697, 55.869, -70.274
27.085, 55.958, -70.793
27.479, 56.103, -71.011
27.879, 56.322, -71.242
28.284, 56.589, -71.795
28.696, 56.853, -72.763
29.113, 57.067, -73.961
29.537, 57.222, -75.038
29.966, 57.355, -75.761
30.402, 57.517, -76.235
30.844, 57.715, -76.847
31.293, 57.891, -77.843
31.748, 57.977, -78.956
32.210, 57.978, -79.554
32.678, 58.008, -79.331
33.154, 58.178, -78.911
33.636, 58.437, -79.388
34.125, 58.602, -80.933
34.621, 58.560, -82.430
35.125, 58.425, -82.494
35.636, 58.460, -81.192
36.154, 58.777, -80.319
36.680, 59.171, -81.031
37.214, 59.435, -82.620
37.755, 59.606, -83.884
38.304, 59.822, -84.792
38.861, 60.079, -86.187
39.427, 60.236, -87.988
40.000, 60.269, -89.126
40.582, 60.360, -89.141
41.172, 60.620, -89.209
41.771, 60.903, -90.392
42.379, 61.016, -92.138
42.995, 60.972, -93.135
43.620, 60.957, -93.068
44.255, 61.079, -92.959
44.898, 61.230, -93.812
45.552, 61.220, -95.236
46.214, 61.046, -95.562
46.886, 61.043, -94.037
47.568, 61.458, -93.261
48.260, 61.892, -95.546
48.962, 61.912, -98.628
49.674, 61.769, -99.242
50.397, 61.977, -98.760
51.130, 62.309, -100.330
51.874, 62.361, -102.530
52.628, 62.317, -103.342
53.394, 62.373, -104.011
54.170, 62.316, -105.129
54.958, 62.134, -105.130
55.758, 62.089, -104.073
56.569, 62.186, -103.544
57.391, 62.251, -103.550
58.226, 62.291, -103.213
59.073, 62.419, -102.534
59.932, 62.644, -102.106
60.804, 62.894, -102.098
61.688, 63.134, -102.208
62.586, 63.389, -102.522
63.496, 63.569, -103.225
64.420, 63.681, -103.279
65.357, 63.933, -103.258
66.307, 64.160, -104.471
67.272, 64.257, -105.461
68.250, 64.420, -106.273
69.243, 64.546, -107.310
70.250, 64.735, -107.780
71.272, 64.981, -109.061
72.309, 65.095, -110.051
73.360, 65.300, -110.625
74.427, 65.454, -111.599
75.510, 65.633, -112.207
76.608, 65.792, -113.500
77.723, 65.879, -114.445
78.853, 65.998, -115.386
80.000, 66.115, -116.294
81.164, 66.234, -117.259
82.344, 66.368, -118.053
83.542, 66.502, -119.118
84.757, 66.606, -119.880
85.990, 66.754, -120.755
87.241, 66.862, -121.703
88.510, 67.010, -122.693
89.797, 67.074, -124.034
91.103, 67.190, -124.718
92.428, 67.309, -126.104
93.773, 67.465, -127.228
95.137, 67.532, -128.893
96.520, 67.638, -129.777
97.924, 67.765, -131.026
99.349, 67.812, -132.502
100.794, 67.899, -133.110
102.260, 68.016, -134.472
103.747, 68.179, -135.685
105.256, 68.246, -137.697
106.787, 68.317, -139.033
108.340, 68.333, -140.574
109.916, 68.442, -142.352
111.515, 68.383, -144.198
113.137, 68.436, -145.894
114.783, 68.467, -147.393
116.452, 68.459, -149.316
118.146, 68.444, -150.736
119.865, 68.320, -151.983
121.608, 68.312, -153.481
123.377, 68.212, -155.028
125.171, 68.195, -156.277
126.992, 68.143, -157.645
128.839, 68.094, -159.445
130.713, 68.036, -160.977
132.615, 67.894, -162.597
134.543, 67.820, -164.240
136.500, 67.624, -166.166
138.486, 67.412, -167.766
140.500, 67.112, -169.445
142.544, 66.762, -171.003
144.617, 66.304, -171.832
146.721, 65.926, -172.723
148.855, 65.499, -172.172
151.020, 65.034, -171.083
153.217, 64.711, -169.974
155.445, 64.347, -167.019
157.706, 64.161, -164.362
160.000, 63.990, -162.081
162.327, 63.981, -159.203
164.688, 64.121, -156.730
167.084, 64.322, -155.451
169.514, 64.504, -153.458
171.980, 64.740, -152.080
174.481, 65.022, -150.951
177.019, 65.274, -150.877
179.594, 65.579, -150.603
182.206, 65.784, -150.855
184.856, 66.004, -151.318
187.545, 66.234, -151.719
190.273, 66.417, -152.300
193.041, 66.609, -153.186
195.849, 66.755, -154.139
198.697, 66.917, -155.389
201.587, 66.993, -156.402
204.520, 67.061, -157.962
207.494, 67.092, -159.569
210.512, 67.117, -160.366
213.574, 67.119, -161.410
216.681, 67.098, -162.315
219.833, 67.086, -163.129
223.030, 67.023, -163.921
226.274, 67.052, -164.664
229.565, 67.020, -165.578
232.905, 67.022, -166.480
236.292, 66.956, -167.518
239.729, 66.818, -168.323
243.216, 66.701, -168.812
246.754, 66.616, -169.143
250.343, 66.596, -169.539
253.984, 66.528, -170.360
257.678, 66.379, -171.082
261.426, 66.209, -171.086
265.229, 66.086, -170.502
269.087, 66.051, -170.206
273.001, 66.077, -170.045
276.972, 66.068, -170.643
