* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 10 Nov, 2020 3:27:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nov 10 15:27:49
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 63.977, -89.386
10.293, 64.044, -90.389
10.443, 64.112, -91.484
10.595, 64.188, -92.440
10.749, 64.269, -93.402
10.905, 64.354, -94.399
11.064, 64.441, -95.429
11.225, 64.525, -96.510
11.388, 64.604, -97.632
11.554, 64.671, -98.766
11.722, 64.728, -99.904
11.892, 64.772, -100.975
12.065, 64.805, -101.972
12.241, 64.836, -102.829
12.419, 64.870, -103.558
12.599, 64.921, -104.153
12.782, 64.993, -104.673
12.968, 65.098, -105.189
13.157, 65.227, -105.809
13.348, 65.383, -106.615
13.543, 65.538, -107.683
13.740, 65.686, -109.036
13.939, 65.795, -110.623
14.142, 65.858, -112.359
14.348, 65.855, -114.122
14.557, 65.793, -115.684
14.768, 65.673, -116.934
14.983, 65.526, -117.630
15.201, 65.390, -117.774
15.422, 65.300, -117.335
15.646, 65.307, -116.634
15.874, 65.410, -115.970
16.105, 65.607, -115.664
16.339, 65.838, -116.018
16.577, 66.058, -116.986
16.818, 66.225, -118.496
17.063, 66.304, -120.265
17.311, 66.295, -121.966
17.563, 66.216, -123.371
17.818, 66.098, -124.279
18.077, 65.996, -124.642
18.340, 65.952, -124.689
18.607, 65.978, -124.705
18.877, 66.061, -124.977
19.152, 66.161, -125.702
19.431, 66.228, -126.813
19.713, 66.236, -128.070
20.000, 66.183, -129.200
20.291, 66.095, -129.974
20.586, 66.011, -130.299
20.885, 65.976, -130.280
21.189, 66.011, -130.193
21.497, 66.101, -130.328
21.810, 66.209, -130.810
22.127, 66.299, -131.573
22.449, 66.354, -132.434
22.776, 66.377, -133.198
23.107, 66.391, -133.758
23.443, 66.418, -134.134
23.784, 66.472, -134.443
24.130, 66.550, -134.812
24.481, 66.637, -135.307
24.837, 66.720, -135.919
25.198, 66.793, -136.598
25.565, 66.855, -137.303
25.937, 66.907, -138.021
26.314, 66.950, -138.748
26.697, 66.982, -139.475
27.085, 67.003, -140.177
27.479, 67.017, -140.840
27.879, 67.027, -141.472
28.284, 67.032, -142.087
28.696, 67.028, -142.665
29.113, 67.018, -143.152
29.537, 67.013, -143.506
29.966, 67.030, -143.787
30.402, 67.074, -144.149
30.844, 67.125, -144.735
31.293, 67.147, -145.519
31.748, 67.123, -146.293
32.210, 67.065, -146.818
32.678, 67.012, -147.030
33.154, 66.993, -147.092
33.636, 67.001, -147.229
34.125, 67.009, -147.507
34.621, 67.003, -147.831
35.125, 66.986, -148.102
35.636, 66.970, -148.324
36.154, 66.954, -148.528
36.680, 66.933, -148.667
37.214, 66.918, -148.652
37.755, 66.935, -148.503
38.304, 67.000, -148.415
38.861, 67.089, -148.632
39.427, 67.154, -149.145
40.000, 67.165, -149.644
40.582, 67.150, -149.786
41.172, 67.163, -149.593
41.771, 67.220, -149.318
42.379, 67.310, -149.078
42.995, 67.442, -148.942
43.620, 67.610, -149.250
44.255, 67.736, -150.145
44.898, 67.764, -151.087
45.552, 67.769, -151.541
46.214, 67.848, -151.928
46.886, 67.950, -152.930
47.568, 67.973, -154.305
48.260, 67.928, -155.522
48.962, 67.840, -156.525
49.674, 67.704, -156.994
50.397, 67.636, -156.618
51.130, 67.722, -156.501
51.874, 67.768, -157.391
52.628, 67.662, -158.029
53.394, 67.580, -157.895
54.170, 67.539, -158.021
54.958, 67.422, -158.025
55.758, 67.352, -157.459
56.569, 67.332, -157.321
57.391, 67.225, -157.088
58.226, 67.176, -156.049
59.073, 67.246, -155.164
59.932, 67.350, -154.523
60.804, 67.500, -154.196
61.688, 67.600, -154.223
62.586, 67.677, -153.807
63.496, 67.821, -153.424
64.420, 67.954, -153.271
65.357, 68.112, -153.129
66.307, 68.275, -153.449
67.272, 68.401, -153.867
68.250, 68.532, -154.434
69.243, 68.633, -155.013
70.250, 68.780, -155.436
71.272, 68.950, -156.322
72.309, 69.069, -157.318
