* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 16 Sep, 2020 4:08:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 16 16:08:09
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 65.155, -79.971
10.293, 65.269, -81.202
10.443, 65.373, -82.341
10.595, 65.473, -83.465
10.749, 65.568, -84.558
10.905, 65.658, -85.623
11.064, 65.747, -86.644
11.225, 65.834, -87.620
11.388, 65.924, -88.561
11.554, 66.016, -89.461
11.722, 66.113, -90.343
11.892, 66.216, -91.219
12.065, 66.323, -92.102
12.241, 66.434, -93.019
12.419, 66.547, -93.966
12.599, 66.657, -94.958
12.782, 66.764, -95.987
12.968, 66.862, -97.039
13.157, 66.954, -98.104
13.348, 67.036, -99.150
13.543, 67.112, -100.173
13.740, 67.183, -101.147
13.939, 67.253, -102.081
14.142, 67.324, -102.972
14.348, 67.398, -103.849
14.557, 67.477, -104.720
14.768, 67.556, -105.617
14.983, 67.636, -106.540
15.201, 67.711, -107.496
15.422, 67.778, -108.460
15.646, 67.836, -109.416
15.874, 67.888, -110.321
16.105, 67.934, -111.165
16.339, 67.982, -111.929
16.577, 68.038, -112.638
16.818, 68.104, -113.309
17.063, 68.183, -114.001
17.311, 68.270, -114.748
17.563, 68.361, -115.574
17.818, 68.447, -116.484
18.077, 68.524, -117.445
18.340, 68.589, -118.425
18.607, 68.641, -119.379
18.877, 68.685, -120.268
19.152, 68.729, -121.088
19.431, 68.775, -121.846
19.713, 68.830, -122.569
20.000, 68.893, -123.299
20.291, 68.961, -124.058
20.586, 69.032, -124.859
20.885, 69.100, -125.703
21.189, 69.165, -126.577
21.497, 69.225, -127.464
21.810, 69.280, -128.353
22.127, 69.331, -129.238
22.449, 69.380, -130.118
22.776, 69.425, -130.995
23.107, 69.467, -131.868
23.443, 69.505, -132.727
23.784, 69.539, -133.555
24.130, 69.571, -134.337
24.481, 69.608, -135.071
24.837, 69.652, -135.778
25.198, 69.706, -136.501
25.565, 69.766, -137.281
25.937, 69.826, -138.138
26.314, 69.877, -139.050
26.697, 69.917, -139.967
27.085, 69.949, -140.842
27.479, 69.982, -141.665
27.879, 70.020, -142.471
28.284, 70.062, -143.309
28.696, 70.100, -144.197
29.113, 70.129, -145.103
29.537, 70.149, -145.969
29.966, 70.169, -146.767
30.402, 70.195, -147.530
30.844, 70.230, -148.318
31.293, 70.265, -149.163
31.748, 70.294, -150.043
32.210, 70.317, -150.925
32.678, 70.337, -151.804
33.154, 70.354, -152.696
33.636, 70.362, -153.580
34.125, 70.367, -154.404
34.621, 70.381, -155.176
35.125, 70.410, -156.015
35.636, 70.436, -157.025
36.154, 70.433, -158.129
36.680, 70.404, -159.111
37.214, 70.383, -159.909
37.755, 70.390, -160.737
38.304, 70.399, -161.797
38.861, 70.375, -162.968
39.427, 70.323, -163.990
40.000, 70.285, -164.887
40.582, 70.259, -165.932
41.172, 70.190, -167.136
41.771, 70.061, -168.081
42.379, 69.935, -168.467
42.995, 69.876, -168.623
43.620, 69.855, -168.965
44.255, 69.817, -169.346
44.898, 69.807, -169.435
45.552, 69.894, -169.682
46.214, 70.012, -170.834
46.886, 70.010, -172.640
47.568, 69.890, -174.043
48.260, 69.807, -174.921
48.962, 69.775, -176.201
49.674, 69.665, -177.895
