* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS  With no timing reference
* Dated: 30 Apr, 2021 9:30:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Apr 30 21:30:20
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 64.657, 92.529
10.293, 64.717, 91.860
10.443, 64.780, 90.966
10.595, 64.878, 89.804
10.749, 64.981, 88.598
10.905, 65.061, 87.690
11.064, 65.135, 86.885
11.225, 65.217, 85.951
11.388, 65.304, 84.957
11.554, 65.386, 83.984
11.722, 65.465, 83.021
11.892, 65.540, 82.062
12.065, 65.610, 81.109
12.241, 65.678, 80.150
12.419, 65.742, 79.200
12.599, 65.802, 78.302
12.782, 65.860, 77.438
12.968, 65.920, 76.590
13.157, 65.982, 75.764
13.348, 66.048, 74.963
13.543, 66.117, 74.155
13.740, 66.189, 73.334
13.939, 66.263, 72.482
14.142, 66.335, 71.602
14.348, 66.405, 70.691
14.557, 66.468, 69.763
14.768, 66.526, 68.827
14.983, 66.576, 67.911
15.201, 66.622, 67.023
15.422, 66.664, 66.175
15.646, 66.706, 65.370
15.874, 66.751, 64.597
16.105, 66.799, 63.847
16.339, 66.850, 63.099
16.577, 66.904, 62.344
16.818, 66.959, 61.576
17.063, 67.013, 60.796
17.311, 67.064, 60.017
17.563, 67.113, 59.247
17.818, 67.161, 58.493
18.077, 67.209, 57.756
18.340, 67.259, 57.028
18.607, 67.310, 56.298
18.877, 67.362, 55.558
19.152, 67.412, 54.804
19.431, 67.458, 54.043
19.713, 67.501, 53.288
20.000, 67.539, 52.552
20.291, 67.576, 51.843
20.586, 67.613, 51.163
20.885, 67.652, 50.500
21.189, 67.693, 49.837
21.497, 67.737, 49.158
21.810, 67.779, 48.455
22.127, 67.817, 47.733
22.449, 67.849, 47.007
22.776, 67.876, 46.295
23.107, 67.899, 45.613
23.443, 67.920, 44.968
23.784, 67.943, 44.353
24.130, 67.969, 43.753
24.481, 67.997, 43.153
24.837, 68.026, 42.543
25.198, 68.055, 41.925
25.565, 68.082, 41.305
25.937, 68.108, 40.688
26.314, 68.134, 40.076
26.697, 68.158, 39.465
27.085, 68.181, 38.852
27.479, 68.202, 38.242
27.879, 68.220, 37.646
28.284, 68.237, 37.071
28.696, 68.254, 36.515
29.113, 68.273, 35.970
29.537, 68.292, 35.425
29.966, 68.311, 34.876
30.402, 68.329, 34.325
30.844, 68.346, 33.774
31.293, 68.362, 33.225
31.748, 68.375, 32.679
32.210, 68.387, 32.142
32.678, 68.398, 31.617
33.154, 68.409, 31.101
33.636, 68.419, 30.589
34.125, 68.429, 30.077
34.621, 68.436, 29.574
35.125, 68.443, 29.086
35.636, 68.450, 28.610
36.154, 68.458, 28.132
36.680, 68.464, 27.651
37.214, 68.467, 27.182
37.755, 68.470, 26.735
38.304, 68.475, 26.298
38.861, 68.480, 25.848
39.427, 68.483, 25.389
40.000, 68.483, 24.941
40.582, 68.482, 24.508
41.172, 68.480, 24.077
41.771, 68.475, 23.664
42.379, 68.470, 23.302
42.995, 68.472, 22.955
43.620, 68.476, 22.562
44.255, 68.469, 22.179
44.898, 68.461, 21.899
45.552, 68.472, 21.636
46.214, 68.485, 21.247
46.886, 68.475, 20.859
47.568, 68.468, 20.656
48.260, 68.497, 20.440
48.962, 68.528, 19.961
49.674, 68.523, 19.433
50.397, 68.512, 19.097
51.130, 68.524, 18.770
51.874, 68.533, 18.304
52.628, 68.524, 17.851
53.394, 68.511, 17.470
54.170, 68.500, 17.105
54.958, 68.488, 16.743
55.758, 68.471, 16.346
56.569, 68.438, 15.971
57.391, 68.404, 15.714
58.226, 68.380, 15.473
59.073, 68.352, 15.214
59.932, 68.323, 15.027
60.804, 68.301, 14.868
61.688, 68.277, 14.735
62.586, 68.256, 14.667
63.496, 68.244, 14.614
64.420, 68.234, 14.542
65.357, 68.224, 14.479
66.307, 68.222, 14.415
67.272, 68.220, 14.312
68.250, 68.224, 14.263
69.243, 68.236, 14.159
70.250, 68.252, 14.217
71.272, 68.322, 14.061
72.309, 68.304, 13.548
73.360, 68.251, 13.842
74.427, 68.296, 14.112
75.510, 68.319, 14.106
76.608, 68.354, 14.109
