* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 16 Sep, 2020 3:24:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 16 15:24:21
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 58.872, -77.035
10.293, 58.954, -77.925
10.443, 59.043, -78.703
10.595, 59.137, -79.473
10.749, 59.236, -80.262
10.905, 59.339, -81.063
11.064, 59.443, -81.899
11.225, 59.548, -82.772
11.388, 59.649, -83.671
11.554, 59.746, -84.602
11.722, 59.838, -85.542
11.892, 59.923, -86.483
12.065, 60.002, -87.411
12.241, 60.077, -88.305
12.419, 60.148, -89.165
12.599, 60.220, -89.979
12.782, 60.294, -90.753
12.968, 60.373, -91.498
13.157, 60.459, -92.225
13.348, 60.553, -92.965
13.543, 60.654, -93.729
13.740, 60.759, -94.547
13.939, 60.866, -95.421
14.142, 60.971, -96.366
14.348, 61.068, -97.361
14.557, 61.157, -98.404
14.768, 61.233, -99.451
14.983, 61.298, -100.490
15.201, 61.352, -101.478
15.422, 61.400, -102.409
15.646, 61.444, -103.264
15.874, 61.489, -104.058
16.105, 61.538, -104.798
16.339, 61.592, -105.510
16.577, 61.650, -106.208
16.818, 61.711, -106.902
17.063, 61.773, -107.589
17.311, 61.837, -108.261
17.563, 61.903, -108.915
17.818, 61.974, -109.554
18.077, 62.053, -110.208
18.340, 62.137, -110.902
18.607, 62.225, -111.674
18.877, 62.307, -112.533
19.152, 62.376, -113.451
19.431, 62.427, -114.383
19.713, 62.459, -115.253
20.000, 62.481, -115.991
20.291, 62.506, -116.589
20.586, 62.545, -117.079
20.885, 62.606, -117.537
21.189, 62.686, -118.067
21.497, 62.772, -118.729
21.810, 62.851, -119.507
22.127, 62.913, -120.338
22.449, 62.959, -121.144
22.776, 62.996, -121.867
23.107, 63.035, -122.507
23.443, 63.083, -123.118
23.784, 63.137, -123.765
24.130, 63.187, -124.467
24.481, 63.223, -125.178
24.837, 63.247, -125.816
25.198, 63.268, -126.318
25.565, 63.301, -126.692
25.937, 63.359, -127.020
26.314, 63.440, -127.420
26.697, 63.532, -127.981
27.085, 63.616, -128.713
27.479, 63.677, -129.541
27.879, 63.710, -130.347
28.284, 63.723, -131.017
28.696, 63.736, -131.505
29.113, 63.765, -131.869
29.537, 63.817, -132.240
29.966, 63.879, -132.727
30.402, 63.929, -133.321
30.844, 63.959, -133.903
31.293, 63.980, -134.349
31.748, 64.017, -134.671
32.210, 64.081, -135.045
32.678, 64.155, -135.639
33.154, 64.203, -136.438
33.636, 64.208, -137.218
34.125, 64.191, -137.746
34.621, 64.194, -138.004
35.125, 64.243, -138.226
35.636, 64.321, -138.685
36.154, 64.388, -139.428
36.680, 64.413, -140.236
37.214, 64.409, -140.859
37.755, 64.414, -141.243
38.304, 64.446, -141.558
38.861, 64.491, -141.965
39.427, 64.527, -142.432
40.000, 64.554, -142.864
40.582, 64.579, -143.265
41.172, 64.599, -143.636
41.771, 64.624, -143.943
42.379, 64.669, -144.318
42.995, 64.703, -144.960
43.620, 64.683, -145.637
44.255, 64.647, -145.908
44.898, 64.683, -146.025
45.552, 64.757, -146.653
46.214, 64.758, -147.598
46.886, 64.707, -148.028
47.568, 64.745, -148.049
48.260, 64.853, -148.645
48.962, 64.873, -149.715
49.674, 64.811, -150.195
50.397, 64.826, -150.118
51.130, 64.899, -150.490
51.874, 64.897, -151.052
52.628, 64.887, -151.137
53.394, 64.934, -151.350
54.170, 64.947, -151.814
