* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 7:28:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 19:28:51
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 63.308, -48.684
10.293, 63.451, -50.135
10.443, 63.595, -51.707
10.595, 63.718, -53.082
10.749, 63.833, -54.410
10.905, 63.943, -55.661
11.064, 64.050, -56.847
11.225, 64.161, -57.975
11.388, 64.276, -59.051
11.554, 64.399, -60.120
11.722, 64.528, -61.180
11.892, 64.661, -62.274
12.065, 64.797, -63.398
12.241, 64.929, -64.560
12.419, 65.059, -65.750
12.599, 65.183, -66.946
12.782, 65.301, -68.137
12.968, 65.415, -69.296
13.157, 65.528, -70.428
13.348, 65.644, -71.522
13.543, 65.764, -72.611
13.740, 65.891, -73.702
13.939, 66.022, -74.840
14.142, 66.154, -76.027
14.348, 66.283, -77.281
14.557, 66.404, -78.577
14.768, 66.513, -79.901
14.983, 66.611, -81.201
15.201, 66.701, -82.457
15.422, 66.787, -83.646
15.646, 66.878, -84.778
15.874, 66.976, -85.892
16.105, 67.084, -87.029
16.339, 67.196, -88.262
16.577, 67.303, -89.605
16.818, 67.394, -91.060
17.063, 67.456, -92.576
17.311, 67.484, -94.044
17.563, 67.481, -95.363
17.818, 67.456, -96.431
18.077, 67.430, -97.169
18.340, 67.430, -97.613
18.607, 67.474, -97.877
18.877, 67.572, -98.126
19.152, 67.720, -98.565
19.431, 67.890, -99.350
19.713, 68.051, -100.501
20.000, 68.174, -101.933
20.291, 68.240, -103.477
20.586, 68.245, -104.908
20.885, 68.206, -105.998
21.189, 68.158, -106.597
21.497, 68.152, -106.733
21.810, 68.227, -106.662
22.127, 68.391, -106.779
22.449, 68.607, -107.422
22.776, 68.816, -108.707
23.107, 68.959, -110.473
23.443, 69.005, -112.359
23.784, 68.965, -113.942
24.130, 68.891, -114.935
24.481, 68.852, -115.358
24.837, 68.896, -115.573
25.198, 69.014, -116.048
25.565, 69.146, -117.010
25.937, 69.235, -118.310
26.314, 69.264, -119.575
26.697, 69.269, -120.513
27.085, 69.307, -121.170
27.479, 69.401, -121.912
27.879, 69.511, -123.065
28.284, 69.570, -124.563
28.696, 69.546, -125.985
29.113, 69.474, -126.872
29.537, 69.438, -127.156
29.966, 69.493, -127.282
30.402, 69.609, -127.753
30.844, 69.713, -128.654
31.293, 69.766, -129.635
31.748, 69.795, -130.387
32.210, 69.848, -130.985
32.678, 69.924, -131.741
33.154, 69.977, -132.722
33.636, 69.984, -133.634
34.125, 69.983, -134.241
34.621, 70.019, -134.731
35.125, 70.073, -135.442
35.636, 70.091, -136.301
36.154, 70.074, -136.891
36.680, 70.090, -137.123
37.214, 70.173, -137.441
37.755, 70.265, -138.166
38.304, 70.307, -139.023
38.861, 70.331, -139.625
39.427, 70.385, -140.134
