* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 7:20:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 19:20:23
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 65.101, -54.790
10.293, 65.229, -56.315
10.443, 65.358, -57.977
10.595, 65.475, -59.438
10.749, 65.588, -60.877
10.905, 65.696, -62.299
11.064, 65.799, -63.703
11.225, 65.897, -65.093
11.388, 65.990, -66.465
11.554, 66.078, -67.816
11.722, 66.160, -69.140
11.892, 66.236, -70.420
12.065, 66.308, -71.651
12.241, 66.379, -72.812
12.419, 66.451, -73.906
12.599, 66.530, -74.929
12.782, 66.618, -75.902
12.968, 66.722, -76.849
13.157, 66.839, -77.814
13.348, 66.972, -78.831
13.543, 67.112, -79.945
13.740, 67.257, -81.170
13.939, 67.394, -82.502
14.142, 67.519, -83.907
14.348, 67.624, -85.339
14.557, 67.711, -86.705
14.768, 67.782, -87.962
14.983, 67.849, -89.028
15.201, 67.927, -89.923
15.422, 68.026, -90.649
15.646, 68.159, -91.336
15.874, 68.322, -92.073
16.105, 68.510, -92.961
16.339, 68.699, -94.069
16.577, 68.873, -95.351
16.818, 69.019, -96.750
17.063, 69.126, -98.123
17.311, 69.205, -99.343
17.563, 69.270, -100.358
17.818, 69.339, -101.155
18.077, 69.431, -101.843
18.340, 69.542, -102.573
18.607, 69.659, -103.436
18.877, 69.761, -104.453
19.152, 69.829, -105.540
19.431, 69.858, -106.501
19.713, 69.874, -107.197
20.000, 69.911, -107.637
20.291, 69.998, -108.003
20.586, 70.143, -108.609
20.885, 70.313, -109.756
21.189, 70.448, -111.531
21.497, 70.491, -113.716
21.810, 70.420, -115.875
22.127, 70.259, -117.529
22.449, 70.082, -118.377
22.776, 69.986, -118.528
23.107, 70.030, -118.541
23.443, 70.194, -119.101
23.784, 70.392, -120.562
24.130, 70.529, -122.769
24.481, 70.554, -125.212
24.837, 70.480, -127.310
25.198, 70.374, -128.688
25.565, 70.320, -129.379
25.937, 70.376, -129.826
26.314, 70.528, -130.600
26.697, 70.704, -132.050
27.085, 70.815, -134.102
27.479, 70.797, -136.308
27.879, 70.648, -138.012
28.284, 70.444, -138.667
28.696, 70.313, -138.259
29.113, 70.355, -137.563
29.537, 70.525, -137.631
29.966, 70.671, -138.795
30.402, 70.679, -140.498
30.844, 70.557, -141.888
31.293, 70.407, -142.626
31.748, 70.298, -143.111
32.210, 70.189, -143.747
32.678, 70.019, -144.170
33.154, 69.846, -143.742
33.636, 69.815, -142.714
34.125, 69.925, -142.160
34.621, 70.011, -142.229
35.125, 70.027, -141.700
35.636, 70.197, -140.037
