* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 16 Sep, 2020 4:40:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 16 16:40:48
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 60.362, -75.721
10.293, 60.478, -76.698
10.443, 60.597, -77.584
10.595, 60.719, -78.460
10.749, 60.843, -79.325
10.905, 60.969, -80.180
11.064, 61.099, -81.030
11.225, 61.231, -81.873
11.388, 61.366, -82.727
11.554, 61.506, -83.592
11.722, 61.647, -84.485
11.892, 61.789, -85.419
12.065, 61.931, -86.395
12.241, 62.067, -87.427
12.419, 62.198, -88.504
12.599, 62.317, -89.617
12.782, 62.424, -90.753
12.968, 62.516, -91.874
13.157, 62.595, -92.968
13.348, 62.661, -93.987
13.543, 62.718, -94.928
13.740, 62.772, -95.756
13.939, 62.828, -96.491
14.142, 62.892, -97.128
14.348, 62.969, -97.723
14.557, 63.061, -98.292
14.768, 63.165, -98.908
14.983, 63.281, -99.585
15.201, 63.400, -100.369
15.422, 63.517, -101.245
15.646, 63.624, -102.212
15.874, 63.717, -103.214
16.105, 63.795, -104.225
16.339, 63.860, -105.182
16.577, 63.918, -106.060
16.818, 63.975, -106.846
17.063, 64.041, -107.556
17.311, 64.119, -108.243
17.563, 64.211, -108.947
17.818, 64.312, -109.739
18.077, 64.412, -110.635
18.340, 64.504, -111.624
18.607, 64.577, -112.665
18.877, 64.632, -113.667
19.152, 64.675, -114.572
19.431, 64.716, -115.349
19.713, 64.772, -116.012
20.000, 64.852, -116.678
20.291, 64.951, -117.462
20.586, 65.055, -118.442
20.885, 65.143, -119.632
21.189, 65.193, -120.930
21.497, 65.201, -122.132
21.810, 65.189, -123.074
22.127, 65.192, -123.719
22.449, 65.242, -124.211
22.776, 65.352, -124.851
23.107, 65.493, -125.949
23.443, 65.603, -127.601
23.784, 65.622, -129.569
24.130, 65.525, -131.345
24.481, 65.350, -132.375
24.837, 65.192, -132.372
25.198, 65.168, -131.634
25.565, 65.320, -130.991
25.937, 65.579, -131.204
26.314, 65.820, -132.410
26.697, 65.952, -134.136
27.085, 65.969, -135.692
27.479, 65.939, -136.637
27.879, 65.949, -137.064
28.284, 66.032, -137.485
28.696, 66.142, -138.316
29.113, 66.204, -139.483
29.537, 66.197, -140.564
29.966, 66.166, -141.255
30.402, 66.169, -141.697
30.844, 66.211, -142.277
31.293, 66.244, -143.164
31.748, 66.228, -144.123
32.210, 66.188, -144.848
