* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 7:34:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 19:34:24
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 59.244, -43.918
10.293, 59.320, -45.077
10.443, 59.397, -46.224
10.595, 59.467, -47.025
10.749, 59.542, -47.669
10.905, 59.634, -48.161
11.064, 59.743, -48.532
11.225, 59.879, -48.866
11.388, 60.040, -49.173
11.554, 60.223, -49.574
11.722, 60.428, -50.066
11.892, 60.640, -50.727
12.065, 60.860, -51.552
12.241, 61.071, -52.545
12.419, 61.272, -53.696
12.599, 61.454, -54.961
12.782, 61.616, -56.319
12.968, 61.756, -57.723
13.157, 61.873, -59.137
13.348, 61.969, -60.533
13.543, 62.048, -61.865
13.740, 62.111, -63.116
13.939, 62.168, -64.242
14.142, 62.223, -65.235
14.348, 62.287, -66.069
14.557, 62.376, -66.788
14.768, 62.498, -67.420
14.983, 62.667, -68.100
15.201, 62.877, -68.956
15.422, 63.126, -70.106
15.646, 63.386, -71.694
15.874, 63.630, -73.705
16.105, 63.833, -76.128
16.339, 63.961, -78.760
16.577, 64.004, -81.355
16.818, 63.962, -83.672
17.063, 63.856, -85.340
17.311, 63.752, -86.164
17.563, 63.712, -86.212
17.818, 63.801, -85.717
18.077, 64.051, -85.381
18.340, 64.400, -85.761
18.607, 64.768, -87.043
18.877, 65.067, -89.139
19.152, 65.229, -91.632
19.431, 65.237, -93.861
19.713, 65.138, -95.249
20.000, 65.027, -95.500
20.291, 65.017, -94.799
20.586, 65.182, -93.840
20.885, 65.494, -93.555
21.189, 65.830, -94.453
21.497, 66.053, -96.291
21.810, 66.094, -98.343
22.127, 65.969, -99.748
22.449, 65.787, -99.879
22.776, 65.711, -98.803
23.107, 65.853, -97.449
23.443, 66.176, -97.003
23.784, 66.530, -98.025
24.130, 66.771, -100.217
24.481, 66.832, -102.811
24.837, 66.739, -105.046
25.198, 66.577, -106.500
25.565, 66.441, -107.242
25.937, 66.376, -107.658
26.314, 66.372, -108.067
26.697, 66.407, -108.526
27.085, 66.486, -108.997
27.479, 66.624, -109.616
27.879, 66.801, -110.657
28.284, 66.956, -112.188
28.696, 67.034, -113.901
29.113, 67.037, -115.291
29.537, 67.026, -116.060
29.966, 67.066, -116.378
30.402, 67.166, -116.626
30.844, 67.292, -116.984
31.293, 67.428, -117.383
31.748, 67.591, -117.874
32.210, 67.769, -118.762
32.678, 67.894, -120.192
33.154, 67.896, -121.780
33.636, 67.797, -122.817
34.125, 67.713, -123.023
34.621, 67.740, -122.967
35.125, 67.851, -123.460
35.636, 67.942, -124.613
36.154, 67.962, -125.956
36.680, 67.946, -127.111
37.214, 67.936, -128.044
37.755, 67.949, -128.851
38.304, 67.993, -129.605
38.861, 68.057, -130.428
39.427, 68.110, -131.274
40.000, 68.152, -131.833
40.582, 68.250, -132.101
41.172, 68.410, -132.729
41.771, 68.510, -133.920
42.379, 68.495, -134.811
42.995, 68.518, -134.966
43.620, 68.652, -135.672
44.255, 68.661, -137.496
44.898, 68.425, -138.578
45.552, 68.284, -137.635
46.214, 68.512, -137.207
46.886, 68.720, -139.348
47.568, 68.573, -141.690
48.260, 68.383, -141.777
48.962, 68.534, -141.429
49.674, 68.770, -142.993
50.397, 68.774, -145.081
51.130, 68.682, -145.910
51.874, 68.707, -146.016
52.628, 68.805, -146.433
53.394, 68.880, -147.116
54.170, 68.920, -147.836
54.958, 68.928, -148.494
55.758, 68.930, -149.006
56.569, 68.948, -149.606
57.391, 68.951, -150.339
58.226, 68.962, -150.997
59.073, 69.004, -151.843
59.932, 69.028, -152.887
60.804, 69.040, -153.920
61.688, 69.024, -154.929
62.586, 68.992, -155.615
63.496, 68.973, -156.099
64.420, 69.002, -156.265
65.357, 69.133, -157.270
66.307, 69.053, -159.106
67.272, 68.918, -159.596
68.250, 68.861, -160.501
69.243, 68.734, -160.560
70.250, 68.845, -160.986
71.272, 68.771, -162.356
72.309, 68.673, -162.763
73.360, 68.561, -162.671
74.427, 68.698, -162.738
75.510, 68.619, -164.406
76.608, 68.611, -165.205
77.723, 68.282, -167.250
78.853, 68.206, -164.679
80.000, 68.544, -166.554
81.164, 68.315, -167.366
82.344, 68.334, -166.349
83.542, 68.514, -166.297
84.757, 68.462, -167.767
85.990, 68.283, -167.838
87.241, 68.274, -168.753
88.510, 67.988, -170.492
89.797, 67.707, -169.839
91.103, 67.604, -168.123
92.428, 67.818, -167.141
93.773, 67.722, -166.743
95.137, 67.628, -165.905
96.520, 67.696, -163.639
97.924, 67.987, -166.065
99.349, 67.813, -166.227
100.794, 68.110, -167.779
102.260, 68.060, -166.033
103.747, 68.490, -167.687
105.256, 68.279, -166.552
106.787, 68.414, -167.111
108.340, 68.324, -167.749
109.916, 68.281, -168.841
111.515, 68.333, -169.864
113.137, 68.242, -169.838
114.783, 68.426, -170.631
116.452, 68.319, -171.664
118.146, 68.334, -171.280
119.865, 68.273, -172.576
121.608, 68.254, -173.459
123.377, 68.191, -172.720
125.171, 68.230, -173.254
126.992, 68.260, -173.729
128.839, 68.202, -174.211
130.713, 68.090, -174.304
132.615, 68.179, -174.464
134.543, 67.968, -175.057
136.500, 67.953, -175.392
138.486, 68.112, -175.531
140.500, 68.045, -176.166
142.544, 68.084, -176.367
144.617, 68.047, -175.659
146.721, 67.954, -176.911
148.855, 67.998, -176.973
151.020, 68.024, -177.439
153.217, 67.994, -177.164
155.445, 67.865, -176.234
157.706, 67.801, -177.232
160.000, 67.829, -177.773
162.327, 67.945, -177.273
164.688, 67.875, -177.652
167.084, 67.921, -177.801
169.514, 67.903, -178.215
171.980, 67.905, -177.351
174.481, 67.967, -177.791
177.019, 67.843, -178.434
179.594, 67.906, -178.620
182.206, 67.898, -179.068
184.856, 67.978, -179.497
187.545, 67.954, -179.697
190.273, 67.950, -179.715
193.041, 67.933, 179.808
195.849, 67.915, 179.747
198.697, 67.943, 179.360
201.587, 67.952, 178.643
204.520, 67.898, 178.803
207.494, 67.831, 178.432
210.512, 67.924, 178.129
213.574, 67.889, 178.036
216.681, 68.000, 177.661
219.833, 67.971, 176.587
223.030, 67.981, 176.175
226.274, 68.005, 175.712
229.565, 67.989, 174.244
232.905, 67.895, 174.386
236.292, 67.875, 173.734
239.729, 67.862, 172.391
243.216, 67.782, 172.519
246.754, 67.657, 171.066
250.343, 67.613, 171.116
253.984, 67.506, 170.199
257.678, 67.300, 169.727
261.426, 67.172, 169.939
265.229, 67.122, 169.298
269.087, 66.964, 170.126
273.001, 66.995, 170.427
276.972, 66.957, 170.329
281.000, 66.945, 170.832
285.088, 66.875, 170.353
289.234, 66.803, 170.041
293.441, 66.783, 169.789
297.710, 66.714, 169.540
302.040, 66.642, 168.968
306.433, 66.481, 168.967
310.890, 66.445, 168.698
315.412, 66.342, 169.070
320.000, 66.297, 169.244
324.655, 66.173, 169.066
329.377, 66.012, 169.649
334.168, 65.950, 168.813
339.028, 65.894, 169.409
343.959, 65.744, 169.750
348.962, 65.668, 169.541
354.038, 65.615, 169.204
359.188, 65.594, 169.328
364.412, 65.523, 170.203
369.713, 65.444, 170.375
375.090, 65.314, 170.491
380.546, 65.340, 171.620
386.081, 65.205, 171.198
391.697, 65.104, 171.669
397.395, 65.009, 170.912
