* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 26 Sep, 2020 5:29:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 26 17:29:11
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 59.387, 111.688
10.293, 59.515, 109.547
10.443, 59.644, 107.219
10.595, 59.741, 105.158
10.749, 59.823, 103.172
10.905, 59.893, 101.322
11.064, 59.955, 99.602
11.225, 60.018, 98.043
11.388, 60.082, 96.634
11.554, 60.158, 95.342
11.722, 60.244, 94.163
11.892, 60.344, 93.017
12.065, 60.456, 91.904
12.241, 60.574, 90.753
12.419, 60.695, 89.570
12.599, 60.809, 88.330
12.782, 60.912, 87.058
12.968, 60.997, 85.773
13.157, 61.063, 84.524
13.348, 61.108, 83.344
13.543, 61.140, 82.286
13.740, 61.160, 81.368
13.939, 61.183, 80.601
14.142, 61.212, 79.954
14.348, 61.260, 79.390
14.557, 61.326, 78.807
14.768, 61.410, 78.162
14.983, 61.504, 77.359
15.201, 61.596, 76.399
15.422, 61.676, 75.268
15.646, 61.733, 74.042
15.874, 61.768, 72.787
16.105, 61.780, 71.574
16.339, 61.783, 70.480
16.577, 61.791, 69.494
16.818, 61.813, 68.594
17.063, 61.860, 67.684
17.311, 61.926, 66.666
17.563, 62.000, 65.505
17.818, 62.068, 64.194
18.077, 62.116, 62.820
18.340, 62.143, 61.509
18.607, 62.162, 60.347
18.877, 62.187, 59.368
19.152, 62.236, 58.523
19.431, 62.314, 57.663
19.713, 62.403, 56.675
20.000, 62.479, 55.558
20.291, 62.523, 54.424
20.586, 62.531, 53.465
20.885, 62.524, 52.848
21.189, 62.542, 52.568
21.497, 62.614, 52.361
21.810, 62.720, 51.861
22.127, 62.799, 50.902
22.449, 62.779, 49.694
22.776, 62.626, 48.826
23.107, 62.388, 49.038
23.443, 62.217, 50.703
23.784, 62.290, 53.188
24.130, 62.656, 54.959
24.481, 63.158, 54.764
24.837, 63.566, 52.522
25.198, 63.724, 49.108
25.565, 63.595, 45.746
