* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 19 Aug, 2021 6:19:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aug 19 18:19:43
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 64.692, -93.525
10.293, 64.750, -94.175
10.443, 64.811, -95.052
10.595, 64.903, -96.205
10.749, 64.999, -97.412
10.905, 65.072, -98.345
11.064, 65.134, -99.184
11.225, 65.203, -100.136
11.388, 65.273, -101.134
11.554, 65.339, -102.089
11.722, 65.402, -103.013
11.892, 65.463, -103.914
12.065, 65.523, -104.794
12.241, 65.586, -105.682
12.419, 65.649, -106.568
12.599, 65.712, -107.432
12.782, 65.775, -108.293
12.968, 65.839, -109.177
13.157, 65.902, -110.066
13.348, 65.962, -110.954
13.543, 66.019, -111.843
13.740, 66.074, -112.732
13.939, 66.126, -113.607
14.142, 66.176, -114.468
14.348, 66.224, -115.310
14.557, 66.272, -116.139
14.768, 66.319, -116.959
14.983, 66.367, -117.772
15.201, 66.413, -118.584
15.422, 66.457, -119.396
15.646, 66.498, -120.200
15.874, 66.536, -120.990
16.105, 66.571, -121.759
16.339, 66.606, -122.501
16.577, 66.640, -123.220
16.818, 66.676, -123.923
17.063, 66.714, -124.630
17.311, 66.750, -125.352
17.563, 66.783, -126.092
17.818, 66.809, -126.842
18.077, 66.823, -127.571
18.340, 66.827, -128.234
18.607, 66.827, -128.797
18.877, 66.828, -129.237
19.152, 66.840, -129.558
19.431, 66.873, -129.813
19.713, 66.929, -130.076
20.000, 67.004, -130.418
20.291, 67.091, -130.890
20.586, 67.178, -131.507
20.885, 67.255, -132.242
21.189, 67.317, -133.043
21.497, 67.364, -133.854
21.810, 67.399, -134.636
22.127, 67.428, -135.375
22.449, 67.454, -136.073
22.776, 67.479, -136.742
23.107, 67.505, -137.392
23.443, 67.532, -138.030
23.784, 67.561, -138.667
24.130, 67.590, -139.315
24.481, 67.618, -139.983
24.837, 67.642, -140.668
25.198, 67.659, -141.349
25.565, 67.670, -141.999
25.937, 67.680, -142.603
26.314, 67.693, -143.171
26.697, 67.711, -143.734
27.085, 67.731, -144.323
27.479, 67.750, -144.941
27.879, 67.763, -145.569
28.284, 67.772, -146.186
28.696, 67.780, -146.790
29.113, 67.788, -147.403
29.537, 67.793, -148.040
29.966, 67.791, -148.697
30.402, 67.779, -149.350
30.844, 67.760, -149.979
31.293, 67.731, -150.577
31.748, 67.693, -151.133
32.210, 67.643, -151.606
32.678, 67.585, -151.928
33.154, 67.533, -152.053
33.636, 67.504, -152.010
34.125, 67.511, -151.905
34.621, 67.553, -151.875
35.125, 67.616, -152.022
35.636, 67.685, -152.364
36.154, 67.745, -152.860
36.680, 67.794, -153.454
37.214, 67.831, -154.112
37.755, 67.858, -154.828
38.304, 67.869, -155.589
38.861, 67.864, -156.352
39.427, 67.846, -157.075
40.000, 67.823, -157.752
40.582, 67.799, -158.420
41.172, 67.771, -159.115
41.771, 67.734, -159.838
42.379, 67.685, -160.567
42.995, 67.624, -161.290
43.620, 67.551, -162.011
44.255, 67.460, -162.726
44.898, 67.346, -163.391
45.552, 67.211, -163.947
46.214, 67.061, -164.370
46.886, 66.897, -164.660
47.568, 66.719, -164.799
48.260, 66.528, -164.744
48.962, 66.330, -164.439
49.674, 66.140, -163.840
50.397, 65.975, -162.980
51.130, 65.841, -161.915
51.874, 65.752, -160.627
52.628, 65.745, -159.259
53.394, 65.821, -158.317
54.170, 65.886, -158.120
54.958, 65.844, -158.255
55.758, 65.693, -157.951
56.569, 65.516, -156.774
57.391, 65.407, -154.838
58.226, 65.415, -152.568
59.073, 65.541, -150.424
59.932, 65.744, -148.736
60.804, 65.972, -147.532
61.688, 66.203, -146.661
62.586, 66.439, -146.040
63.496, 66.678, -145.650
64.420, 66.916, -145.480
65.357, 67.151, -145.542
66.307, 67.368, -145.830
67.272, 67.560, -146.264
68.250, 67.726, -146.785
69.243, 67.870, -147.323
70.250, 68.002, -147.899
71.272, 68.112, -148.559
72.309, 68.198, -149.164
73.360, 68.280, -149.725
74.427, 68.352, -150.286
75.510, 68.415, -150.813
76.608, 68.473, -151.324
77.723, 68.521, -151.812
78.853, 68.559, -152.260
80.000, 68.588, -152.624
81.164, 68.621, -152.860
82.344, 68.672, -153.059
83.542, 68.733, -153.309
84.757, 68.797, -153.625
85.990, 68.858, -153.991
87.241, 68.912, -154.398
88.510, 68.957, -154.814
89.797, 68.996, -155.219
91.103, 69.031, -155.617
92.428, 69.060, -155.991
93.773, 69.088, -156.340
95.137, 69.114, -156.675
96.520, 69.136, -156.982
97.924, 69.160, -157.252
99.349, 69.185, -157.523
100.794, 69.212, -157.799
102.260, 69.233, -158.099
103.747, 69.255, -158.348
105.256, 69.281, -158.629
106.787, 69.306, -158.881
108.340, 69.331, -159.113
109.916, 69.358, -159.309
111.515, 69.384, -159.530
113.137, 69.408, -159.782
114.783, 69.431, -160.074
116.452, 69.451, -160.366
118.146, 69.476, -160.609
119.865, 69.501, -160.831
121.608, 69.517, -160.947
123.377, 69.538, -161.119
125.171, 69.546, -161.270
126.992, 69.562, -161.473
128.839, 69.576, -161.695
130.713, 69.597, -161.888
132.615, 69.617, -162.080
134.543, 69.640, -162.225
136.500, 69.667, -162.373
138.486, 69.696, -162.537
140.500, 69.725, -162.726
142.544, 69.754, -162.942
144.617, 69.779, -163.175
146.721, 69.803, -163.409
148.855, 69.823, -163.645
151.020, 69.842, -163.870
153.217, 69.858, -164.093
155.445, 69.873, -164.294
157.706, 69.888, -164.460
160.000, 69.906, -164.639
162.327, 69.919, -164.840
164.688, 69.942, -165.073
167.084, 69.958, -165.359
169.514, 69.966, -165.553
171.980, 69.987, -165.612
174.481, 70.007, -165.738
177.019, 70.017, -165.791
179.594, 70.047, -165.958
182.206, 70.058, -166.170
184.856, 70.080, -166.351
187.545, 70.104, -166.511
190.273, 70.130, -166.648
193.041, 70.156, -166.836
195.849, 70.181, -167.059
198.697, 70.199, -167.310
201.587, 70.213, -167.465
204.520, 70.236, -167.677
207.494, 70.254, -167.861
210.512, 70.274, -168.037
213.574, 70.297, -168.232
216.681, 70.319, -168.457
219.833, 70.335, -168.680
223.030, 70.353, -168.913
226.274, 70.380, -169.116
229.565, 70.390, -169.434
232.905, 70.374, -169.650
236.292, 70.392, -169.685
239.729, 70.418, -169.810
243.216, 70.433, -170.023
246.754, 70.442, -170.244
250.343, 70.456, -170.446
253.984, 70.468, -170.646
257.678, 70.483, -170.872
261.426, 70.504, -171.059
265.229, 70.521, -171.191
269.087, 70.543, -171.444
273.001, 70.553, -171.667
276.972, 70.562, -171.831
281.000, 70.589, -172.032
285.088, 70.609, -172.288
289.234, 70.607, -172.541
293.441, 70.607, -172.701
297.710, 70.633, -172.879
302.040, 70.652, -173.130
306.433, 70.669, -173.364
310.890, 70.689, -173.582
315.412, 70.702, -173.841
320.000, 70.716, -174.106
324.655, 70.727, -174.412
329.377, 70.726, -174.765
334.168, 70.710, -175.010
339.028, 70.710, -175.105
343.959, 70.726, -175.264
348.962, 70.738, -175.522
354.038, 70.738, -175.773
359.188, 70.740, -175.929
364.412, 70.764, -176.096
369.713, 70.780, -176.424
375.090, 70.770, -176.766
380.546, 70.766, -176.905
386.081, 70.780, -177.108
391.697, 70.788, -177.387
397.395, 70.775, -177.696
403.175, 70.771, -177.721
409.039, 70.789, -177.934
414.989, 70.798, -178.111
421.025, 70.812, -178.275
427.149, 70.841, -178.467
433.362, 70.879, -178.812
439.665, 70.892, -179.293
446.060, 70.900, -179.628
452.548, 70.904, 179.882
459.131, 70.876, 179.605
465.809, 70.887, 179.300
472.584, 70.876, 178.973
479.458, 70.890, 178.662
486.432, 70.896, 178.190
493.507, 70.855, 177.679
500.686, 70.820, 177.591
507.968, 70.847, 177.316
515.357, 70.826, 176.864
522.853, 70.822, 176.580
530.458, 70.803, 176.154
538.174, 70.784, 175.917
546.002, 70.776, 175.535
553.943, 70.766, 175.307
562.001, 70.766, 174.767
570.175, 70.723, 174.356
578.469, 70.692, 174.190
586.883, 70.712, 173.808
595.419, 70.679, 173.285
604.080, 70.660, 172.878
612.866, 70.625, 172.417
621.780, 70.581, 172.027
630.824, 70.556, 171.641
640.000, 70.494, 171.139
649.309, 70.459, 171.014
658.753, 70.439, 170.532
668.335, 70.396, 170.098
678.056, 70.337, 169.638
687.919, 70.278, 169.466
697.925, 70.261, 169.133
708.076, 70.233, 168.661
718.376, 70.181, 168.047
728.825, 70.093, 167.683
739.426, 70.044, 167.388
750.181, 70.008, 167.038
761.093, 69.977, 166.354
772.163, 69.868, 165.601
783.394, 69.730, 165.403
794.789, 69.695, 165.230
806.349, 69.610, 164.620
818.078, 69.497, 164.332
829.977, 69.437, 164.304
842.050, 69.406, 163.590
854.297, 69.286, 162.880
866.724, 69.161, 162.583
879.330, 69.071, 161.875
892.120, 68.882, 161.367
905.097, 68.739, 161.279
918.262, 68.623, 160.879
931.618, 68.451, 160.490
945.169, 68.272, 160.284
958.917, 68.125, 160.097
972.864, 67.912, 159.738
987.015, 67.665, 160.011
1001.371, 67.504, 160.364
1015.937, 67.313, 160.911
1030.714, 67.238, 161.340
1045.706, 67.128, 161.082
1060.916, 66.936, 161.172
1076.347, 66.792, 160.997
1092.003, 66.532, 160.920
1107.887, 66.297, 161.523
1124.001, 66.092, 161.910
1140.350, 65.869, 162.469
1156.937, 65.634, 163.085
1173.765, 65.406, 164.133
1190.838, 65.226, 164.954
1208.159, 64.992, 165.910
1225.732, 64.823, 167.134
1243.561, 64.588, 168.023
1261.649, 64.348, 169.781
1280.000, 64.259, 171.659
1298.618, 64.148, 172.593
1317.507, 63.964, 174.164
1336.670, 63.828, 175.767
1356.113, 63.739, 177.386
1375.838, 63.609, 178.962
1395.850, 63.487, -179.430
1416.153, 63.411, -177.459
1436.751, 63.299, -175.816
1457.649, 63.181, -173.749
1478.851, 63.169, -171.270
1500.362, 63.155, -169.660
1522.185, 63.045, -167.374
1544.326, 63.057, -164.526
1566.789, 63.146, -161.912
1589.578, 63.262, -159.406
1612.699, 63.513, -157.049
1636.156, 63.713, -155.775
1659.955, 63.822, -154.445
1684.099, 63.955, -152.347
1708.595, 64.215, -150.810
1733.447, 64.447, -149.442
1758.661, 64.734, -148.750
1784.241, 64.879, -148.473
1810.193, 65.047, -147.640
1836.523, 65.212, -147.592
1863.236, 65.261, -147.102
1890.338, 65.385, -146.598
1917.833, 65.416, -146.538
1945.729, 65.359, -145.702
1974.030, 65.394, -144.761
2002.743, 65.329, -143.984
2031.873, 65.257, -142.130
2061.428, 65.276, -140.282
2091.412, 65.252, -138.042
2121.832, 65.340, -135.651
2152.695, 65.394, -132.825
2184.007, 65.611, -129.569
2215.774, 65.886, -126.660
2248.003, 66.257, -123.758
2280.701, 66.686, -121.113
2313.874, 67.189, -118.623
2347.530, 67.798, -116.713
2381.676, 68.461, -115.628
2416.318, 69.076, -115.191
2451.464, 69.725, -115.186
2487.122, 70.323, -115.895
2523.298, 70.883, -116.996
2560.000, 71.424, -118.483
2597.236, 71.872, -120.660
2635.014, 72.230, -122.735
2673.341, 72.539, -124.868
2712.226, 72.792, -127.202
2751.676, 72.951, -129.398
2791.700, 73.054, -131.142
2832.306, 73.193, -132.851
2873.503, 73.246, -134.640
2915.299, 73.212, -135.928
2957.703, 73.211, -136.322
3000.724, 73.302, -136.564
3044.370, 73.424, -136.869
3088.652, 73.604, -137.152
3133.577, 73.808, -138.154
3179.156, 73.921, -139.366
3225.398, 73.980, -140.090
3272.312, 74.089, -140.635
3319.909, 74.153, -141.259
3368.198, 74.223, -141.090
3417.190, 74.452, -140.718
3466.894, 74.728, -141.038
3517.321, 75.026, -141.291
3568.482, 75.437, -142.011
3620.387, 75.860, -143.871
3673.046, 76.194, -146.365
3726.472, 76.474, -149.310
3780.675, 76.644, -152.763
